No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
25,Carlinos Acie,SB,JR,5-9,190,"McKeesport, PA",McKeesport Area
48,Joshua Adams,LB,SO,6-0,198,"Birmingham, AL",Ramsay
41,Terrell Adams,LB,SO,6-0,215,"Birmingham, AL",Ramsay
53,John Amell,LB,SO,6-3,230,"Jacksonville, FL",Bartram Trail
7,Xavier Arline,QB,FR,5-9,165,"Wading River, NY",Shoreham-Wading River
36,Derek Atwaters,FS,SO,6-1,193,"Pompano Beach, FL",Cardinal Gibbons
62,Pierce Banbury,C,JR,6-2,302,"Aldie, VA",Oakton
65,Nick Bernacchi,OG,JR,6-2,290,"Fairfax, VA",J.W. Robinson
67,Donald Berniard Jr.,NG,FR,6-0,280,"Baton Rouge, LA",University Laboratory
42,Ian Blake,LB,SR,6-2,226,"Boerne, TX",Louis D. Brandeis
93,Dalton Boswell,DT,FR,6-3,310,"Gordo, AL",Sipsey Valley
70,Jackson Boyer,LB,FR,6-4,215,"Hartselle, AL",Hartselle
50,Ahmad Bradley,OG,FR,6-3,300,"Harvey, LA",John Ehret
91,John Brand,NG,SO,6-3,270,"Flower Mound, TX",Edward S. Marcus
7,Kevin Brennan,S,JR,5-11,199,"Westfield, NJ",Don Bosco Prep
37,Chaisen Buckner,LB,FR,6-1,197,"Chatsworth, GA",North Murray
81,Tyshawn Buckner,WR,SO,6-3,199,"Birmingham, AL",Homewood
62,Jacob Busic,DT,FR,6-4,250,"Westminster, MD",Westminster
13,Mike Cabrera,S,SR,5-10,198,"Downey, CA",Downey
34,Jamale Carothers,FB,JR,5-9,203,"Bowling Green, KY",Bowing Green
29,Caleb Clear,CB,JR,6-1,188,"Memphis, TN",Cordova
77,Luke Coleman,C,SO,6-4,294,"Memphis, TN",Briarcrest Christian
8,Willie Collins V,S,FR,5-11,185,"Mansfield, TX",Lake Ridge
60,Mattie Conlon,OG,JR,6-2,290,"Bronx, NY",Fordham Prep
3,Mychal Cooper,WR,JR,6-5,221,"San Antonio, TX",Taft
74,Jake Cossavella,OT,SO,6-4,258,"Orange, CA",Orange Lutheran
50,Khalil Crawford,LB,FR,6-1,220,"Prattville, AL",Lakeland Senior (Fla.)
76,Clay Cromwell,DE,FR,6-3,250,"Oxford, MS",Oxford
33,Ajani Cuevas-Gillis,LB,FR,6-0,170,"Ashburn, VA",Stone Bridge
47,Daniel Davies,K,SO,5-10,173,"Richardson, TX",J.J. Pearce
34,Aaron Davis,LB,FR,6-2,202,"Upper Marlboro, MD",Gonzaga College
82,Emmett Davis,WR,SR,6-1,184,"Arnold, MD",Broadneck
69,Nick Dell'Acqua,OG,JR,6-4,299,"Chula Vista, CA",Mater Dei
54,Diego Fagot,LB,JR,6-3,240,"Fort Lauderdale, FL",Calvary Christian
14,Micah Farrar,CB,SR,6-0,180,"Cincinnati, OH",St. Xavier
39,Ben Fee,P,JR,5-10,231,"Commerce Township, MI",Orchard Lake St. Mary's
23,Myles Fells,SB,SR,5-11,180,"Little Rock, AR",Joe T. Robinson
71,Tausili Fiatoa,LB,FR,6-3,230,"Laie, HI",Kahuku
98,Mike Flowers,NG,SR,6-3,318,"Hermitage, TN",Donelson Christian Academy
11,Evan Fochtman,FS,SR,6-1,193,"Crownsville, MD",Archbishop Spalding
66,Kip Frankland,OT,SO,6-1,280,"Germantown, TN",Houston
72,Luca Fratianne,OT,JR,6-2,273,"Simi Valley, CA",Newbury Park
25,Jordan Geter,CB,SO,5-10,174,"Columbus, GA",Columbus
26,Eavan Gibbons,S,FR,5-10,185,"San Diego, CA",St. Augustine
49,Kyle Gibbs,LS,SR,6-2,206,"Corona, CA",Norco
10,BJ Gibson,S,SO,6-4,209,"Marietta, GA",Walton
83,Marcell Gleaton,WR,JR,6-3,224,"Ellenwood, GA",Community Christian
16,Jamal Glenn,CB,JR,5-11,181,"Laurel, MD",Maret School (DC)
55,Sam Glover,OT,FR,6-3,265,"Pickerington, OH",Pickerington
2,Tyger Goslin,QB,JR,5-11,181,"Moorpark, CA",Moorpark
18,Dre Grace,CB,FR,6-0,165,"Port Saint Lucie, FL",Centennial
75,Jacob Greenwood,DE,FR,6-2,255,"Canton, MS",Germantown
97,Antonio Greer,DE,SO,6-2,250,"Grand Prairie, TX",Bowie
79,Pryson Greer,DT,FR,6-1,280,"San Antonio, TX",Sandra Day O'Connor
58,Jacob Gregory,DE,SR,6-3,234,"Suwanee, GA",Centennial
86,Will Harbour,LB,FR,6-1,225,"Frisco, TX",Reedy
73,Keandre' Harper,LB,FR,6-3,220,"Columbus, GA",Carver
