No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
37,Marquese Allen-Patmon,DB,FR,6-1,195,"San Diego, CA",Lincoln HS
28,Austin Arnold,DB,SR,5-10,190,"Las Vegas, NV",Bishop Gorman HS
88,Nick Barcelos,LS,FR,5-11,220,"Foothill Ranch, CA",Santa Margarita Catholic
14,Jake Barlage,QB,SO,6-1,200,"Moreno Valley, CA",Valley View HS/Riverside City College
87,Will Barnard,WR,SO,6-0,180,"Reno, NV",Reno HS/Wayne State College
64,Blake Baughman,OL,FR,6-4,285,"Auburn, CA",Placer HS
3,Jamaal Bell,WR,FR,5-10,170,"Lancaster, CA",Antelope Valley HS
42,Davion Blackwell,LB,FR,6-1,220,"Folsom, CA",Folsom HS
89,Jack Bolduc,DE,SO,6-4,250,"Santa Ana, CA",JSerra HS
93,Curtis Bonam,DT,FR,5-11,250,"Los Angeles, CA",Cathedral HS
31,Mikael Bradford,DB,JR,5-10,175,"Compton, CA",Lynwood HS/Minot State
34,Josiah Bradley,LB,SO,6-1,220,"Scottsdale, AZ",Saguaro HS
76,Nate Brown,OL,SR,6-4,300,"Tracy, CA",Tracy HS
24,Micah Camat,DB,FR,6-1,175,"Honolulu, HI",'Iolani School
61,Drew Cannon,OL,JR,6-4,300,"Orlando, FL",Bishop Moore HS/Tyler Junior College
26,Avery Carrington,DB,FR,6-2,215,"Chandler, AZ",Chandler HS
60,Donovan Carter,OL,FR,5-11,290,"Lancaster, CA",Paraclete HS
18,Jonah Chong,QB,FR,6-0,170,"Honolulu, HI",'Iolani School
33,JoJuan Claiborne,DB,JR,5-11,185,"Las Vegas, NV",Bishop Gorman HS
19,Kieran Clark,DB,FR,5-11,190,"Peoria, AZ",Centennial HS
4,Elijah Cooks,WR,SR,6-4,215,"Atascadero, CA",Atascadero HS
16,Nate Cox,QB,JR,6-9,225,"Lafayette, LA",Garden City Community College
67,Gray Davis,OL,JR,6-4,300,"Dallas, TX",Parish Episcopal HS
15,Jaden Dedman,DB,SO,5-10,175,"Rancho Cucamonga, CA",Upland HS
49,Julian Diaz,PK,SR,6-1,215,"Lincoln, CA",Lincoln HS/American River College
7,Romeo Doubs,WR,JR,6-2,200,"Los Angeles, CA",Jefferson HS
70,Nathan Edwards,OL,SR,6-4,300,"Reno, NV",Galena HS
23,Christian Feist,RB,SR,5-9,180,"San Jose, CA",Valley Christian HS
46,Eric Fellenzer,P,SO,6-5,230,"Laguna Niguel, CA",Dana Hills HS
48,Matt Freem,PK,JR,6-0,175,"Lake Forest, CA",El Toro HS/Saddleback College
65,Aaron Frost,OL,JR,6-5,310,"Long Beach, CA",Long Beach Poly HS
