No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
52,Jonathan Adorno,OL,FR,6-4,300,"Raleigh, NC",Rolesville
68,Brian Anderson,OL,JR,6-2,295,"Montgomery, AL",Montgomery Catholic
77,Wisdom Asaboro,OL,FR,6-8,320,"Warri, Nigeria",Covenant Day (N.C.)
7,Eugene Asante,LB,SO,6-0,210,"Alexandria, VA",Westfield
17,Grayson Atkins,PK,SR,5-9,188,"Boiling Springs, SC",Boiling Springs/Furman
94,Adam BCK,P,SO,6-1,195,"Reidsville, NC",Rockingham County
57,Cayden Baker,OL,FR,6-5,285,"Fort Myers, FL",Fort Myers
76,William Barnes,OL,SO,6-3,335,"Apopka, FL",Apopka
54,A.J. Beatty,DL,FR,6-4,275,"Pittsburgh, PA",Central Catholic
27,Giovanni Biggers,DB,SO,6-1,185,"Woodbridge, VA",Boys’ Latin
41,Kedrick Bingley-Jones,DL,FR,6-4,280,"Concord, NC",Providence Day
14,Jefferson Boaz,QB,FR,6-6,245,"Pilot Mountain, NC",East Surry
34,British Brooks,RB,JR,5-10,200,"Gastonia, NC",Ashbrook
36,Jalen Brooks,LB,FR,6-0,235,"Knightdale, NC",Cardinal Gibbons
2,Dyami Brown,WR,JR,6-0,185,"Charlotte, NC",West Mecklenburg
1,Khafre Brown,WR,FR,6-0,175,"Charlotte, NC",West Mecklenburg
70,Noland Brown,OL,FR,6-0,300,"Bryson City, NC",Swain County
35,Carson Burgess,WR,SO,5-11,170,"Greensboro, NC",Southeast Guilford
98,Noah Burnette,PK,FR,5-9,165,"Raleigh, NC",Leesville Road
54,Chance Carroll,OL,FR,6-2,295,"Mooresville, NC",Hough
8,Michael Carter,RB,SR,5-8,199,"Navarre, FL",Navarre
2,Don Chapman,DB,SO,6-1,190,"San Diego, CA",Lincoln
19,Austyn Chestnut,WR,JR,5-7,165,"Reidsville, NC",Reidsville
28,Austin Chrismon,WR,JR,5-9,195,"China Grove, NC",South Rowan
49,Parks Cochrane,LB,FR,5-11,230,"Charleston, SC",IMG Academy
17,Chris Collins,LB,SO,6-4,240,"Richmond, VA",Benedictine College Prep
60,Trevor Collins,DS,SR,6-1,240,"Ramseur, NC",Eastern Randolph
0,Ja'Qurious Conley,DB,FR,6-0,210,"Jacksonville, NC",Northside
81,John Copenhaver,TE,FR,6-2,220,"Roswell, GA",Roswell
15,Beau Corrales,WR,SR,6-3,205,"Georgetown, TX",Georgetown
13,Tylee Craft,WR,FR,6-4,180,"Sumter, SC",Sumter
6,Jacolby Criswell,QB,FR,6-0,225,"Morrilton, AR",Morrilton
80,Will Crowley,TE,FR,5-11,235,"Winston-Salem, NC",Reynolds
87,Colby Doreen,DL,FR,6-4,225,"Middletown, MD",Middletown
11,Josh Downs,WR,FR,5-10,175,"Suwanee, GA",North Gwinnett
