No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
93,Erik Abrell,LS,JR,6-1,215,"Aurora, IL",Aurora Christian/Western Illinois
27,Mark Aitken,CB,FR,5-9,175,"Chicago, IL",Kenwood Academy
29,Woodly Appolon,LB,JR,6-4,206,"Montreal, Canada",Jean-Grou/Butler CC
56,Miles Baggett,DT,SR,6-2,281,"Chicago, IL",Whitney Young/Minnesota State-Moorhead
84,Keion Battle,WR,FR,6-1,186,"Plainfield, IL",Oswego East
46,Anthony Beacom,P,FR,5-10,204,"Roselle, IL",Lake Park
53,Nate Beyer,OL,FR,6-4,310,"Sterling, IL",Sterling
34,Donavan Bieber,TB,FR,5-11,180,"Columbia, IL",Columbia
32,Brett Bostad,FB,SO,6-0,245,"Kennedale, TX",Kennedale
12,Ross Bowers,QB,SR,6-2,200,"Bothell, WA",Bothell/California
6,CJ Brown,S,FR,5-11,192,"Canton, MI",Walled Lake Western
28,Tommy Brunner,DE,FR,6-3,248,"Milwaukee, WI",Whitefish Bay
24,Nazareth Bryant,TB,FR,5-10,185,"Oak Park, IL",Oak Park-River Forest
60,Evan Buss,OL,FR,6-6,298,"Kimberly, WI",Kimberly
16,Drew Cassens,QB,FR,6-2,213,"Downers Grove, IL",Downers Grove North
76,John Champe,OL,FR,6-4,317,"Brookfield, WI",Brookfield East
0,Jordan Cole,LB,JR,6-2,223,"Ferguson, MO",McCluer South-Berkeley
21,Erin Collins,TB,JR,6-2,210,"Plant City, FL",Armwood/Hutchinson CC
70,Marques Cox,OL,SO,6-6,310,"Peoria, IL",Peoria
88,Daniel Crawford,TE,SR,6-2,251,"Macomb, MI",Dakota
52,Ivan Davis,DE,FR,6-3,220,"Canton, MI",Plymouth
80,Mike DeHaan,TE,SO,6-5,252,"Tinley Park, IL",Andrew
42,Greg DeLuca,FB,SR,6-2,214,"Boonton Township, NJ",Mountain Lakes/Duke
2,Lance Deveaux Jr.,LB,SR,5-10,223,"Pompano Beach, FL",St. Thomas Aquinas
26,Jaden Dolphin,S,FR,6-2,194,"Des Plaines, IL",Maine West
