No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
22,Kendall Abdur-Rahman,RB,SO,5-11,190,"Edwardsville, IL",Edwardsville
57,Jayson Ademilola,DL,JR,6-3,279,"Jackson, NJ",St. Peter's Prep
19,Justin Ademilola,DL,JR,6-1,248,"Jackson, NJ",St. Peter's Prep
23,Litchfield Ajavon,S,SO,6-0,192,"Baltimore, MD",Episcopal
26,Leo Albano,WR,JR,6-1,219,"Charleston, SC",Bishop England
8,Jafar Armstrong,WR,SR,6-0,220,"Lee's Summit, MO",Bishop Miege
4,Kevin Austin Jr.,WR,JR,6-2,215,"Ft. Lauderdale, FL",North Broward Prep
79,Tosh Baker,OL,FR,6-8,300,"Scottsdale, AZ",Pinnacle
69,Aaron Banks,OL,SR,6-5,330,"Alameda, CA",El Cerrito
52,Bo Bauer,LB,JR,6-2,230,"Harborcreek, PA",Cathedral Prep
84,Kevin Bauman,TE,FR,6-4,240,"Red Bank, NJ",Red Bank Catholic
27,JD Bertrand,LB,SO,6-1,228,"Alpharetta, GA",Blessed Trinity
12,Ian Book,QB,SR,6-0,206,"El Dorado Hills, CA",Oak Ridge
17,Jordan Botelho,DL,FR,6-2,248,"Honolulu, HI",Saint Louis
28,TaRiq Bracy,CB,JR,5-10,180,"Milpitas, CA",Milpitas
19,Jay Bramblett,P,SO,6-1,193,"Tuscaloosa, AL",Hillcrest
12,DJ Brown,S,JR,6-0,194,"Annapolis, MD",St. John's College
81,Jay Brunelle,WR,FR,6-1,196,"Paxton, MA",Saint John's
17,Cole Capen,QB,JR,6-4,227,"Yorba Linda, CA",Orange Lutheran
68,Michael Carmody,OL,FR,6-6,295,"Mars, PA",Mars Area
14,J.D. Carney,QB,SR,5-10,180,"San Diego, CA",Cathedral Catholic
77,Quinn Carroll,OL,SO,6-6,306,"Edina, MN",Edina
7,Brendon Clark,QB,SO,6-1,212,"Midlothian, VA",Manchester
37,Henry Cook,WR,FR,5-10,175,"Shaker Heights, OH",St. Ignatius
52,Zeke Correll,OL,SO,6-3,295,"Cincinnati, OH",Anderson
20,Shaun Crawford,S,SR,5-9,180,"Lakewood, OH",St. Edward
56,Howard Cross III,DL,SO,6-0,275,"Paramus, NJ",Saint Joseph Regional
3,Avery Davis,WR,SR,5-11,202,"Cedar Hill, TX",Cedar Hill
56,John Dirksen,OL,JR,6-5,306,"Maria Stein, OH",Marion Local
39,Jonathan Doerer,K,SR,6-3,197,"Charlotte, NC",South Mecklenburg
98,Alexander Ehrensberger,DL,FR,6-6,247,"Dusseldorf, Germany",Theodor-Fliedner Gymnasium
74,Liam Eichenberg,OL,SR,6-6,302,"Cleveland, OH",Saint Ignatius
28,Griffin Eifert,WR,FR,6-0,195,"Fort Wayne, IN",Bishop Dwenger
16,Cameron Ekanayake,RB,SR,6-0,200,"Niles, MI",Edwardsburg
34,Osita Ekwonu,LB,SO,6-0,236,"Charlotte, NC",Providence Day School
20,C'Bo Flemister,RB,JR,5-11,201,"Williamson, GA",Pike County
7,Isaiah Foskey,DL,SO,6-4,257,"Antioch, CA",De La Salle
55,Ja'Mion Franklin,DL,JR,6-1,310,"Ridgely, MD",North Caroline
94,Giovanni Ghilotti,DL,FR,6-4,220,"Greenbrae, CA",Marin Catholic
76,Dillan Gibbons,OL,SR,6-4,309,"Clearwater, FL",Clearwater Central Catholic
38,Dawson Goepferich,K,SR,6-2,200,"Holt, MO",Kearney/Brown
50,Reed Gregory,LB,SR,6-0,210,"Morristown, NJ",Delbarton
3,Houston Griffith,S,JR,5-11,204,"Chicago, IL",IMG Academy (FL)
61,Colin Grunhard,OL,SR,6-0,290,"Mission, KS",Bishop Miege
72,Robert Hainsey,OL,SR,6-4,290,"Pittsburgh, PA",IMG Academy (FL)
14,Kyle Hamilton,S,SO,6-4,219,"Atlanta, GA",Marist School
5,Cam Hart,CB,SO,6-2,207,"Baltimore, MD",Good Counsel
9,Daelin Hayes,DL,SR,6-3,258,"Belleville, MI",Skyline
93,Zane Heemsoth,DL,SO,6-5,240,"Elmhurst, IL",York
11,Ramon Henderson,CB,FR,6-1,189,"Bakersfield, CA",Liberty
49,Jack Henige,TE,SR,6-5,238,"Hinsdale, IL",Fenwick
41,Kurt Hinish,DL,SR,6-1,296,"Pittsburgh, PA",Central Catholic
15,Jordan Johnson,WR,FR,6-2,180,"St. Louis, MO",DeSmet Jesuit
80,Micah Jones,WR,JR,6-4,219,"Gurnee, IL",Warren
