No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
25,Prince Ajegwu,S,SR,6-3,207,"Baltimore, MD",Eastern Tech
34,Ali Ali,CB,FR,5-10,170,"Philadelphia, PA",St. Frances Academy
57,Chaz Allison,LB,FR,6-1,220,"Ashburn, VA",Broad Run
14,Dominique Anthony,QB,FR,6-1,220,"Oxon Hill, MD",Potomac
84,Donta Anthony Jr.,TE,JR,6-6,241,"Temple Hills, MD",Potomac
3,Frederik Antoine,WR,FR,6-1,202,"Montreal, Canada",Montmorency College
9,Jorell Baum,DE,FR,6-3,216,"Elizabeth City, NC",Northeastern
60,Joshua Bennett,OL,FR,6-4,300,"Castleton, VA",Rappahannock County/Fork Union
92,Tyre Bibby,DT,JR,6-3,260,"Miami, FL",American Senior/Coffeyville
63,Xavier Black,OL,FR,6-4,270,"Fishereville, VA",Wilson Memorial
7,Harrell Blackmon,S,SR,5-11,195,"Jackson, MS",Callaway/Copiah-Lincoln
1,Lance Boykin,CB,JR,6-3,201,"High Point, NC",High Point Christian
0,Malcolm Britt,LB,FR,6-0,207,"Norfolk, VA",Oscar Smith
5,Will Brocchini,CB,SR,5-9,161,"Sacramento, CA",Whitney/Sierra
32,Joshua Burdsall,LB,FR,6-0,200,"Woodbridge, VA",Forest Park
28,Corey Chapman,CB,FR,5-11,175,"Chesapeake, VA",Hickory
17,Damion Charity,S,SO,6-1,171,"Hampton, VA",Phoebus
87,Braxton Collins,WR,FR,6-4,186,"Greer, SC",Greer
12,Elijah Davis,RB,SO,5-10,205,"Lynchburg, VA",Heritage
95,Ethan Duane,P,FR,6-0,198,"Melbourne, Australia",-
59,James Fagan,OL,SR,6-6,308,"Richmond, VA",Franklin Military Academy/Virginia Union
48,Estefano Feliciano Jr.,LB,JR,6-1,232,"Tampa, FL",Gaither
27,K'Ron Ferrell,CB,FR,5-11,170,"Dorchester, SC",Woodland
6,Nigel Fitzgerald,WR,SO,6-5,210,"Greensboro, NC",Dudley
50,Alonzo Ford Jr.,DT,FR,6-3,290,"Richmond, VA",Varina
22,Kaleb Ford-Dement,CB,JR,5-11,180,"Whitehouse, TX",Whitehouse/Kilgore
44,Matt Geiger,RB,JR,5-10,184,"Dillsburg, PA",Bishop McDevitt
31,Quijoun Gordon,CB,FR,5-10,180,"Suffolk, VA",Nansemond River
23,Geronda Hall,CB,JR,5-10,180,"Atlanta, GA",KIPP Atlanta Collegiate
28,Javon Harvey,WR,FR,5-11,164,"Norfolk, VA",Lake Taylor
70,Jack Hassard,OL,SO,6-5,295,"Greensboro, NC",Grimsley
91,B.R. Hatcher,LS,JR,6-5,243,"Jefferson, SC",Central
10,Larry Hawkins III,S,JR,6-3,186,"Temple, TX",Temple/Trinity Valley
27,Braxton Hayes,WR,FR,6-1,185,"Virginia Beach, VA",Kellam
97,Marcus Haynes,DE,JR,6-4,210,"Bowie, MD",Bowie/Fork Union
24,Joe Joe Headen,CB,SR,5-10,180,"Harrisburg, PA",Bishop McDevitt
19,Cornell Hendrick Jr.,WR,SO,6-1,175,"Manson, NC",Warren County
8,Ryan Henry,LB,JR,6-2,220,"Miami, FL",Miami Southridge/ASA Miami
83,Jake Herslow,WR,SR,6-0,172,"Virginia Beach, VA",Cox
38,Colten Hicks,S,FR,6-3,205,"Poquoson, VA",Poquoson
96,Keyshawn Hunter,DT,FR,6-2,295,"Washington, DC",H.D. Woodson
72,Talyn Hunter,OL,FR,6-4,260,"Harrisburg, NC",Hickory Ridge
20,Aaron Jackson,DL,SR,6-1,280,"Richmond, VA",Clover Hill
41,Cory Jackson,LB,SR,6-4,214,"Jackson, MS",Madison Ridgeland/Pearl River
94,O'Shea Jackson,DE,SO,6-5,260,"Philadelphia, PA",Imhotep Institute
4,LaMareon James,CB,FR,5-10,170,"Norfolk, VA",Indian River
21,R'Tarriun Johnson,S,JR,5-11,200,"Wiggins, MS",Stone/Mississippi Gulf Coast
13,Terry Jones,S,FR,6-1,178,"Baltimore, MD",Mergenthaler Vo Tech
89,Marcus Joyner,TE,SR,6-2,246,"Camden, NC",Camden County
53,Khadere Kounta,OL,SO,6-6,275,"Gaithersburg, MD",The Avalon School
9,Eric Kumah,WR,SR,6-3,223,"Manassas, VA",Forest Park
62,Tyler Lamar,OL,FR,6-2,310,"West Columbia, SC",Gray Collegiate Academy
85,Trey Lancaster,TE,FR,6-4,215,"Chesapeake, VA",Grassfield
61,Andrew Lawson,OL,SR,6-3,301,"Spring Grove, PA",Spring Grove
81,Devin Lester,WR,FR,5-11,175,"Bluefield, VA",Graham
35,Luke Lindenfeldar,S,FR,5-11,180,"Ashburn, VA",Broad Run
26,Jalen Lomax,CB,FR,5-11,160,"Virginia Beach, VA",Landstown
30,Rafael McCoy,WR,FR,5-10,170,"Wilkes-Barre, PA",James M. Coughlin
15,Tyrik McDaniel,S,FR,6-1,184,"Irmo, SC",Dutch Fork
56,Sokoya McDuffie,DT,SO,6-5,290,"Florence, SC",South Florence
54,Jeremy Meiser,DT,SR,6-3,280,"Cincinnati, OH",Archbishop Moeller
76,Jack Miller III,OL,JR,6-7,282,"Richmond, VA",Douglas S. Freeman
16,Aaron Moore,WR,SO,6-2,184,"Dumfries, VA",Potomac
19,Amorie Morrison,DE,FR,6-4,235,"Virginia Beach, VA",Salem
49,John Morton,LS,FR,6-1,226,"Ashburn, VA",Stone Bridge
73,Austin Mosier,OL,FR,6-3,280,"Piscataway, NJ",Piscataway
65,Cameron Muller,OL,JR,6-4,333,"Columbia, SC",Ridge View
10,Isiah Paige,WR,FR,5-8,165,"Richmond, VA",Varina
15,Reese Poffenbarger,QB,FR,6-1,200,"Middletown, MD",Middletown
51,Carson Ramos,DL,JR,6-3,265,"Loma Rica, CA",Yuba City/American River
47,Anthony Resek,LB,SR,6-0,215,"Virginia Beach, VA",Kempsville
98,Nick Rice,K,SR,6-1,197,"St. Petersburg, FL",Plant
14,Justinn Richardson,S,JR,6-0,190,"Lauderhill, FL",Chaminade-Madonna
39,Roman Ridley,TE,FR,6-4,210,"Bedford, VA",Liberty
46,Elijah Rivers,RB,FR,5-11,160,"Chesterfield, VA",L.C. Bird
18,Noah Robinson,WR,FR,6-3,180,"Mineral, VA",Louisa County
68,Brandon Ruff,OL,FR,6-6,271,"Bedford, VA",Liberty
64,Nick Saldiveri,OL,SO,6-6,300,"Waxhaw, NC",Parkwood
29,Obie Sanni,RB,FR,5-9,185,"Aurora, CO",Smoky Hill
74,Santana Saunders,OL,FR,6-5,270,"Upper Marlboro, MD",Charles Herbert Flowers
86,Darius Savedge,WR,SO,6-3,195,"Surry County, VA",Smithfield
