No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
1,Michael Alaimo,QB,FR,6-4,215,"Montvale, NJ",St. Joseph Regional
19,Jack Albers,QB,FR,6-0,180,"Louisville, KY",Dayton
36,Jaylan Alexander,LB,JR,6-1,230,"Hoffman Estates, IL",Hoffman Estates
18,Cam Allen,CB,SO,6-1,200,"Bluefield, VA",Graham
10,Amad Anderson Jr.,WR,SO,5-11,175,"Staten Island, NY",Curtis
33,Jackson Anthrop,WR,SR,5-11,190,"West Lafayette, IN",Central Catholic
20,Alfred Armour,RB,SO,6-1,235,"Indianapolis, IN",Warren Central
92,Bryce Austin,DT,FR,6-2,310,"Detroit, MI",Southfield Arts & Tech
32,Elijah Ball,LB,SO,6-1,205,"Indianapolis, IN",Ben Davis
55,Derrick Barnes,LB,SR,6-1,245,"Covington, KY",Holy Cross
3,David Bell,WR,SO,6-2,205,"Indianapolis, IN",Warren Central
24,Nyles Beverly,DB,FR,6-0,195,"Macadonia, OH",Nordonia
48,Kyle Bilodeau,TE,FR,6-5,250,"Mechanicsville, VA",Woodberry Forest
70,Will Bramel,OL,SO,6-6,300,"Danville, KY",Boyle County
34,Ryan Brandt,S,FR,6-1,210,"Angola, IN",Angola
91,Ben Buechel,TE,FR,6-3,210,"New Berlin, WI",Eisenhower
17,Austin Burton,QB,JR,6-2,200,"Newton, MA",UCLA
79,Jared Bycznski,OL,FR,6-5,305,"Berea, OH",Berea-Midpark
6,Maliq Carr,WR,FR,6-5,230,"Oak Park, MI",Oak Park
57,Will Chapman,LB,FR,5-11,225,"Indianapolis, IN",Cathedral
80,Camdyn Childers,WR,FR,6-0,200,"Fort Wayne, IN",Carroll
28,Zac Collins,P,JR,6-0,180,"Louisville, KY",Saint Xavier
19,Brooks Cormier,P,SO,6-5,220,"Tuscaloosa, AL",American Christian Academy
25,Tyler Coyle,LB,SR,6-2,215,"Windsor, CT",UConn
68,Cam Craig,OL,FR,6-5,305,"Dublin, OH",Jerome
83,Jack Cravaack,TE,SO,6-5,250,"Cincinnati, OH",Madeira
47,Brendan Cropsey,P,FR,6-0,190,"Saline, MI",Saline
58,Branson Deen,DL,SO,6-2,275,"Indianapolis, IN",Lawrence Central
84,Edward Dellinger,K,FR,6-3,180,"Charlotte, NC",Charlotte County Day
85,J.D. Dellinger,K,SR,6-2,200,"Charlotte, NC",Charlotte Country Day
22,King Doerue,RB,SO,5-10,220,"Amarillo, TX",Tascosa
43,Kieren Douglas,LB,JR,6-2,240,"Pickerington, OH",Pickerington Central
87,Payne Durham,TE,SO,6-5,255,"Suwanee, GA",Peachtree Ridge
95,Hayden Ellinger,LB,FR,6-0,210,"Fort Wayne, IN",Bishop Dewenger
97,Semisi Fakasiieiki,DE,SR,6-2,230,"Compton, CA",Dominguez
93,Steven Faucheux,DT,FR,6-5,300,"West Chester, OH",Lakota West
71,Nalin Fox,OL,FR,6-5,295,"Pontiac, MI",Notre Dame Prep
96,Ben Furtney,LB,FR,6-0,210,"South Elgin, IL",St. Charles North
72,Sam Garvin,OL,JR,6-3,295,"Fishers, IN",Hamilton Southeastern
67,Gus German,OL,FR,6-7,310,"West Lafayette, IN",Central Catholic
6,Jalen Graham,S,SO,6-3,215,"Detroit, MI",Cass Tech
4,Marvin Grant,S,FR,6-2,210,"Detroit, MI",Martin Luther King
49,Zane Greene,S,SO,6-0,200,"Indianapolis, IN",Pike
53,Gus Hartwig,OL,FR,6-5,305,"Zionsville, IN",Zionsville
78,Grant Hermanns,OL,SR,6-7,305,"Albuquerque, NM",Rio Rancho
5,Da'Joun Hewitt,RB,FR,5-10,205,"Nashville, TN",Davidson Academy
21,Andrew Hobson,QB,FR,6-1,210,"Indianapolis, IN",Hamilton Southeastern
75,Spencer Holstege,OL,FR,6-5,305,"Grand Rapids, MI",South Christian
40,Zander Horvath,RB,JR,6-3,230,"Mishawaka, IN",Marian
13,Geovonte' Howard,CB,JR,6-0,190,"Houston, TX",Kilgore CC
45,Byron Hubbard II,LB,SO,6-1,220,"Westfield, IN",Westfield
98,Greg Hudgins III,DE,FR,6-4,280,"Washington, DC",St. John's College Prep
12,Dontay Hunter II,DE,FR,6-4,260,"Westerville, OH",Westerville Central
44,Kydran Jenkins,LB,FR,6-1,255,"Louisville, GA",Jefferson County
17,DJ Johnson,CB,SO,6-0,180,"Indianapolis, IN",Iowa
90,Lawrence Johnson,DL,SO,6-3,300,"Fort Wayne, IN",Snider
73,Kyle Jornigan,OL,FR,6-4,315,"Youngstown, OH",Cardinal Mooney
54,Josh Kaltenberger,OL,FR,6-5,305,"Cranberry Township, PA",Seneca Valley
21,Sanoussi Kane,S,FR,6-0,205,"Harlem, NY",Blair Academy
5,George Karlaftis,DE,SO,6-4,270,"West Lafayette, IN",West Lafayette
50,Sulaiman Kpaka,DE,FR,6-2,270,"Grand Prairie, TX",Grand Prairie
54,Ben Kreul,LB,FR,6-3,235,"Waukesha, WI",Catholic Memorial
41,Caleb Krockover,K,FR,5-9,190,"West Lafayette, IN",West Lafayette
62,Ben Kuhns,OL,FR,6-4,295,"Pendleton, IN",Pendleton Heights
37,Caleb Lahey,LB,FR,5-10,210,"Bismarck, IL",Bismarck-Henning/Rossville-Allen
35,Henry Lewis,RB,FR,5-10,190,"Fishers, IN",Fishers
69,Greg Long,OL,SR,6-4,295,"El Paso, TX",UTEP
96,Hunter MacDonald,LS,FR,6-2,235,"Crown Point, IN",Crown Point
1,Dedrick Mackey,CB,JR,5-11,185,"Miami, FL",Booker T. Washington
47,Jeff Marks,DL,SO,6-3,280,"Mobile, AL",Davidson
80,Alex Maxwell,WR,FR,6-0,195,"St. Leon, IN",East Central
58,Jimmy McKenna,OL,SO,6-5,300,"Avon, OH",Avon
94,Robert McWilliams III,DE,JR,6-4,240,"South Miami, FL",Coral Gables
74,Eric Miller,OL,SO,6-7,300,"Mason, OH",William Mason
88,Garrett Miller,TE,FR,6-5,255,"Round Rock, TX",Round Rock
15,DaMarcus Mitchell,LB,JR,6-3,270,"Thibodaux, LA",Southwest Mississippi CC
59,Dave Monnot III,OL,FR,6-6,285,"Joliet, IL",Joliet Catholic
14,Marcellus Moore,WR,FR,5-8,160,"Plainfield, IL",Plainfield North
4,Rondale Moore,WR,SO,5-9,180,"New Albany, IN",Trinity
7,Tirek Murphy,RB,FR,5-10,215,"Middle Village, NY",Christ the King
9,Lorenzo Neal,DT,SR,6-3,325,"Houston, TX",Saint Thomas
16,Aidan O'Connell,QB,JR,6-3,200,"Long Grove, IL",Stevenson
89,Paul Piferi,TE,FR,6-5,230,"Villa Park, CA",Villa Park
13,Jack Plummer,QB,SO,6-5,220,"Gilbert, AZ",Gilbert
39,Zach Randall,LB,JR,6-0,225,"Fishers, IN",Hamilton Southeastern
9,Mershawn Rice,WR,FR,6-2,200,"Reynoldsburg, OH",Reynoldsburg
84,Daniel Roach,WR,FR,5-8,185,"West Lafayette, IN",Central Catholic
27,Anthony Romphf,CB,FR,6-0,190,"Southfield, MI",Southfield Arts & Tech
30,Brooks Royal,LS,JR,6-2,190,"Fitzgerald, GA",Fitzgerald
41,Khali Saunders,LB,FR,6-3,230,"Elmhurst, IL",Immaculate Conception
24,TJ Sheffield,WR,FR,5-11,185,"Thompson's Station, TN",Independence
29,Simeon Smiley,CB,SR,6-0,210,"Pensacola, FL",Pensacola Catholic
25,Jake Smith,WR,FR,6-3,200,"Lafayette, IN",Harrison
11,Kadin Smith,DB,SO,6-0,210,"Taylorville, KY",Spencer County
89,Andrew Sowinski,WR,FR,6-0,170,"Indianapolis, IN",Chatard
12,Jared Sparks,WR,SR,6-1,215,"Geismar, LA",Dutchtown
35,Antonio Stevens,S,FR,6-2,190,"Nashville, TN",Battle Ground Academy
76,Mark Stickford,OL,JR,6-5,305,"Carmel, IN",Carmel
59,KJ Stokes,DL,SO,6-3,285,"Millbrook, AL",Stanhope Elmore
81,Collin Sullivan,WR,FR,6-2,200,"Round Rock, TX",Round Rock
99,Jack Sullivan,DL,SO,6-5,275,"Plainfield, IL",Plainfield East
82,Grant Summers,WR,FR,5-11,180,"Atlanta, GA",IMG Academy
86,Kory Taylor,WR,SO,6-5,205,"Hilliard, OH",Bradley
46,Nick Taylor,LS,FR,6-4,225,"Indianapolis, IN",Lawrence North
38,Brennan Thieneman,S,SR,6-1,210,"Noblesville, IN",Guerin Catholic
23,Cory Trice,S,SO,6-3,210,"Hopkinsville, KY",Christian County
51,Chase Triplett,LB,FR,6-3,245,"Michigan City, IN",Michigan City
52,Zac Tuinei,LB,FR,6-0,240,"Michigan City, IN",Arkansas State
57,Chris Van Eekeren,K,FR,5-11,185,"Chesterton, IN",Chesterton
37,Jacob Wahlberg,LB,FR,6-4,235,"Muskegon, MI",Mona Shores
42,Clyde Washington,LB,FR,6-3,220,"Medford, NJ",Lenape
77,DJ Washington,OL,JR,6-4,315,"Louisville, KY",Ballard
8,Anthony Watts,DT,SR,6-4,300,"Houston, TX",Jack Yates
0,Milton Wright,WR,SO,6-3,195,"Louisville, KY",Christian Academy Louisville
2,Abdur-Rahmaan Yaseen,WR,FR,6-2,195,"Southfield, MI",Walled Lake
31,Nick Zecchino,LS,SR,6-0,205,"Cedar Grove, NJ",Cedar Grove/UConn
