No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
32,Rani Abdulaziz,DB,SR,5-10,186,"Roseland, NJ",West Essex
5,Kessawn Abraham,DB,JR,5-10,183,"Brooklyn, NY",Erasmus Hall
22,Kay'Ron Adams,RB,SO,5-10,203,"Warren, OH",Warren G Harding
92,Mayan Ahanotu,DL,JR,6-4,274,"Tampa, FL",Berkeley Prep
10,Matt Alaimo,TE,JR,6-4,238,"Paramus, NJ",St. Joseph Regional [Montvale]
19,Austin Albericci,QB,JR,5-10,174,"Closter, NJ",Demarest
1,Valentino Ambrosio,PK,JR,5-8,167,"Cranford, NJ",Cranford
21,Tre Avery,DB,SR,5-11,180,"Baltimore, MD",Franklin
43,Dami Awoyinfa,LB,FR,6-0,220,"Linden, NJ",Linden
90,Wesley Bailey,DL,FR,6-5,231,"Ottawa, Canada",Clearwater Academy International [Fla.]
55,Malik Barrow,DL,SR,6-3,270,"Tampa, FL",IMG Academy
6,Rashawn Battle,LB,SR,6-1,232,"Grentown, PA",Wallenpaupack
59,Drew Bethke,DL,SO,6-3,239,"Furlong, PA",Central Bucks East
73,Brendan Bordner,OL,SR,6-5,284,"Columbus, OH",Hilliard Bradley
91,David Broncati,P,SO,6-4,247,"Stamford, CT",St. Thomas More
93,Ireland Burke,DL,SO,6-3,298,"Jamaica, NY",Pope John XXIII
39,Amir Byrd,DB,SO,5-7,161,"Mount Laurel, NJ",Lenape
17,Jameer Campbell,WR,SR,5-9,174,"Manville, NJ",Manville
80,Shawn Collins,DL,FR,6-5,228,"Montclair, NJ",Montclair
30,Chris Conti,LB,SO,6-2,221,"Wyckoff, NJ",DePaul Catholic
60,Omari Cooper,OL,SR,6-4,274,"San Diego, CA",University City/San Diego Mesa CC
2,Aron Cruickshank,WR,JR,5-10,160,"Brooklyn, NY",Erasmus Hall
95,Justin Davidovicz,PK,SR,5-10,167,"Bridgewater, NJ",Bridgewater-Raritan
33,Parker Day,RB,SR,5-9,188,"Toms River, NJ",Toms River North
68,Stanley Dennis II,DL,FR,5-10,293,"Jersey City, NJ",St. Peter's Prep/The Taft School
82,Christian Dremel,WR,SO,5-9,176,"Caldwell, NJ",Don Bosco Prep
99,Michael Dwumfour,DL,SR,6-1,296,"Scotch Plains, NJ",DePaul Catholic
3,Olakunle Fatukasi,LB,SR,6-1,234,"Far Rockaway, NY",Grand Street Campus
53,Tunde Fatukasi,OL,FR,6-4,298,"Far Rockaway, NY",Erasmus Hall
96,Guy Fava,PK,SO,6-0,191,"Mahwah, NJ",Don Bosco Prep
14,Zach Feagles,P,SR,6-3,227,"Ridgewood, NJ",Ridgewood
65,Bryan Felter,OL,FR,6-3,299,"Westfield, NJ",Bergen Catholic
78,Liam Flite,OL,JR,6-5,299,"Blackwood, NJ",Highland Regional
8,Tyshon Fogg,LB,SR,6-1,232,"Baltimore, MD",Calvert Hall
39,Nyjon Freeman,RB,FR,6-0,215,"Hoboken, NJ",Hoboken
67,Harry Ganton,OL,FR,6-1,250,"Verona, NJ",Delbarton
46,Matt Gibney,LB,SO,6-0,214,"Woodridge, NJ",St. Joseph Regional [Montvale]
36,Darius Gooden,DB,SO,6-2,203,"Newark, NJ",West Side
20,John Guaimano,WR,SO,6-0,201,"Cedar Grove, NJ",Cedar Grove
50,CJ Hanson,OL,SO,6-5,292,"Jackson, NJ",St. John Vianney
13,Jovani Haskins,TE,SR,6-5,251,"Bergenfield, NJ",Bergenfield
40,Joe Hayford,RB,SR,5-7,190,"Spotswood, NJ",Spotswood
86,Cooper Heisey,TE,SO,6-4,245,"Scotch Plains, NJ",Scotch Plains-Fanwood/Wyoming Seminary Prep
9,Monterio Hunt,WR,SR,6-1,188,"Walnut, MS",Walnut/Northwest Mississippi CC
10,Zukudo Igwenagu,LB,SO,6-4,242,"Worcester, MA",Worcester Academy
0,Christian Izien,DB,JR,5-10,198,"Far Rockaway, NY",Erasmus Hall
17,Deion Jennings,LB,JR,6-0,220,"Sicklerville, NJ",Timber Creek
24,Naijee Jones,DB,SR,5-11,200,"Erial, NJ",Timber Creek
15,Shameen Jones,WR,SR,6-2,180,"Bronx, NY",Cardinal Hayes
98,Robin Jutwreten,DL,JR,6-5,265,"Stockholm, Sweden",Arlandagymnasiet
88,Stanley King,WR,SO,6-5,192,"Camden, NJ",Woodrow Wilson
88,René Konga,DL,FR,6-4,265,"Ottawa, Canada",Colonel By Secondary School
89,Victor Konopka,TE,FR,6-7,247,"Kinnelon, NJ",Blair Academy/Don Bosco Prep
94,Adam Korsak,P,SR,6-1,185,"Melbourne, Australia",Maribyrnong College/Victoria University
41,Frederik Krebs,WR,FR,6-3,199,"Metuchen, NJ",Metuchen
66,Nick Krimin,OL,SR,6-5,310,"South Amboy, NJ",St. Joseph [Metuchen]
45,Jamree Kromah,DL,JR,6-4,261,"Glenarden, MD",CH Flowers
21,Johnny Langan,QB,JR,6-3,223,"Wayne, NJ",Bergen Catholic
75,Beau Lanzidelle,OL,FR,6-4,306,"Medford, NJ",Shawnee/The Hun School
64,Jason Lavigna,OL,SO,6-3,263,"Holland Township, NJ",Delaware Valley
71,Aaron Lewis,DL,FR,6-5,242,"Williamstown, NJ",Williamstown
88,Johnathan Lewis,TE,SR,6-3,238,"East Orange, NJ",St. Peter's Prep
13,Chris Long,DB,FR,6-0,164,"Willingboro, NJ",Willingboro
7,Robert Longerbeam,WR,FR,5-11,155,"Alexandria, VA",T.C. Williams
23,Elorm Lumor,DL,SR,6-3,241,"Piscataway, NJ",Piscataway/Milford Academy
37,Joe Lusardi,DB,FR,5-11,188,"Summit, NJ",Summit
20,Elijuwan Mack,DB,FR,5-11,181,"Newark, NJ",St. Joseph Regional [Montvale]
9,Tyreek Maddox-Williams,LB,SR,6-1,226,"Philadelphia, PA",Timber Creek [N.J.]
91,Tijaun Mason,DL,SR,6-6,234,"Memphis, TN",Trezevant
81,Rich McDonald,WR,SR,5-11,182,"Sparta, NJ",Sparta
18,Bo Melton,WR,SR,5-11,190,"Mays Landing, NJ",Cedar Creek
16,Max Melton,DB,FR,6-0,181,"Mays Landing, NJ",Cedar Creek
57,Zach Miseo,OL,SR,6-3,294,"Bridgewater, NJ",Bridgewater-Raritan
56,Kamar Missouri,DL,FR,6-5,267,"Baltimore, MD",Mergenthaler Vo-Tech
23,Kyle Monangai,RB,FR,5-9,207,"Roseland, NJ",Don Bosco Prep
28,Nasir Montgomery,WR,FR,6-0,188,"East Orange, NJ",East Orange
87,Tahjay Moore,TE,FR,6-5,235,"New Brunswick, NJ",New Brunswick
90,Thomas Morgan,TE,JR,6-5,248,"Fresh Meadows, NY",Holy Cross/Fork Union Military Academy/ASA College/Iowa Western
45,Brandon Myers,TE,JR,6-1,238,"Bridgewater, NJ",Bridgewater-Raritan
26,CJ Onyechi,DL,SR,6-0,248,"West Orange, NJ",West Orange
71,Raiqwon O’Neal,OL,JR,6-4,296,"Conway, SC",Conway
1,Isaih Pacheco,RB,JR,5-11,210,"Vineland, NJ",Vineland South
54,Cedrice Paillant,OL,JR,6-4,298,"New Rochelle, NY",New Rochelle/Monroe College
85,Jessie Parson III,WR,FR,5-9,169,"New Rochelle, NY",New Rochelle
27,Piotr Partyla,RB,FR,5-9,177,"Lyndhurst, NJ",Lyndhurst
69,Caleb Patterson,DL,FR,6-2,258,"Jamesville, NY",Jamesville-DeWitt
72,Hollin Pierce,OL,FR,6-8,354,"Trenton, NJ",Trenton Central/Fork Union Military Academy
35,Jonathan Pimentel,LB,JR,6-3,241,"Manalapan, NJ",Manalapan
12,Peyton Powell,DB,SO,6-2,181,"Midland, TX",Odessa Permian
22,Tyreem Powell,LB,FR,6-4,218,"Vineland, NJ",Vineland South
28,Aslan Pugh,LB,SR,6-0,227,"Wilmington, DE",Wilmington Charter
41,Jack Quander,DL,SO,6-2,224,"Nokesville, VA",Patriot/Fork Union Military Academy
51,Troy Rainey,DL,FR,6-4,314,"Bridgeport, CT",Harding
18,Keenan Reid,DB,SR,5-10,176,"Somerset, NJ",Franklin
84,Ahmirr Robinson,WR,FR,6-1,185,"Vauxhall, NJ",Union
76,Matt Rosso,OL,JR,6-5,284,"Fairless Hills, PA",Pennsbury
94,Kevin Schaeffer,DL,FR,6-5,244,"Hewitt, NJ",West Milford
46,Brendan Shank,LS,JR,6-0,219,"Franklin Township, NJ",St. Joseph [Metuchen]
19,Calebe Silva,DB,SR,5-9,175,"Garfield, NJ",Garfield/Hudson Valley CC
3,Evan Simon,QB,FR,6-3,210,"Mount Joy, PA",Manheim Central
11,Drew Singleton,LB,SR,6-2,222,"Newark, NJ",Paramus Catholic
8,Artur Sitkowski,QB,JR,6-5,224,"Old Bridge, NJ",Old Bridge/IMG Academy [Fla.]
16,Cole Snyder,QB,SO,6-2,194,"Lakewood, NY",Southwestern
62,Matthew Sportelli,LS,SR,6-1,261,"Wayne, NJ",Wayne Hills
29,Lawrence Stevens,DB,SR,5-8,184,"Lawrenceville, NJ",Don Bosco Prep
70,Reggie Sutton,OL,JR,6-4,291,"Towson, MD",Calvert Hall
42,David Tarallo,DB,FR,5-11,202,"Lodi, NJ",St. Mary's
47,Billy Taylor,LS,SR,6-1,225,"Parsippany, NJ",Parsippany Hills
58,Mohamed Toure,LB,SO,6-1,221,"Pleasantville, NJ",Pleasantville
50,Julius Turner,DL,SR,6-0,265,"Meridian, MS",Meridian
97,Mike Tverdov,DL,SR,6-4,254,"Union, NJ",Union
44,Brian Ugwu,DL,SO,6-3,234,"Hillside, NJ",Hillside
0,Noah Vedral,QB,SR,6-1,195,"Wahoo, NE",Bishop Neumann
33,Andrew Vince,DL,FR,6-4,218,"Schwenksville, PA",Souderton
77,Sam Vretman,OL,SR,6-6,302,"Upplands Vasby, Sweden",Cheshire Academy [Conn.]
83,Isaiah Washington,WR,SO,6-3,201,"Jacksonville, FL",Trinity Christian Academy
7,Brendon White,DB,SR,6-2,220,"Powell, OH",Olentangy Liberty
5,Paul Woods,WR,JR,6-1,163,"Buffalo, NY",Canisius
