No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
95,Cameron Alexander,DE,SR,6-5,300,"Los Angeles, CA",Mira Costa HS
91,E.J. Ane,DL,JR,6-2,265,"Fort Irwin, CA",Silver Valley HS
93,Sinjun Astani,DE,JR,6-4,261,"Malibu, CA",Loyola HS
6,Johnny Balderas,CB,JR,6-1,187,"Shafter, CA","Liberty HS, Shafter HS"
66,Lamar Barrett,OL,JR,6-4,325,"Bartow, FL",Bartow HS
28,Travis Benham,P,JR,6-3,210,"Pacifica, CA",Riordan HS
25,Charlie Bostic III,CB,FR,5-11,195,"Saratoga, CA",Valley Christian HS
13,Jermaine Braddock,WR,SO,6-1,191,"Covina, CA",Charter Oak HS
77,Scott Breslin,OL,JR,6-4,280,"Burbank, CA",Burbank HS
35,Lorenzo Burkes,LB,FR,6-2,230,"Sacramento, CA",Jesuit HS
30,Jackson Burrill,TE,SR,6-2,245,"San Jose, CA",Bellarmine Prep
51,Devon Calloway,LB,JR,6-0,217,"Northridge, CA",Oaks Christian HS
85,Jackson Canaan,TE,FR,6-3,225,"Sacramento, CA",Jesuit HS
62,Jesse Chamberlain,OL,JR,6-3,302,"Burbank, CA",Burroughs HS
44,Jordan Cobbs,LB,SO,6-1,234,"Oakland, CA",San Leandro HS
86,Vincent Corso,WR,JR,5-10,172,"Westlake Village, CA",Westlake HS
4,Andre Crump,WR,SO,6-0,180,"Sacramento, CA",Monterey Trail HS
41,Hadari Darden,LB,SR,6-3,207,"Berkeley, CA",Moreau Catholic HS
87,"Derrick Deese, Jr.",TE,SR,6-4,235,"La Palma, CA",Kennedy HS
14,Matt Der Torossian,QB,FR,6-3,195,"Laguna Hills, CA",Laguna Hills HS
34,Jalend Dinwiddie,S,JR,5-11,186,"Stockton, CA",Stagg HS
42,Viliami Fehoko,DE,SO,6-4,233,"East Palo Alto, CA",Saint Francis HS
99,Elijah Fischer,P,FR,6-2,185,"Phoenix, AZ",Brophy HS
84,Bailey Gaither,WR,SR,6-1,182,"Paso Robles, CA",Paso Robles HS
60,Chris Galleta,OL,JR,6-0,293,"San Diego, CA",Mater Dei Catholic HS
29,Shamar Garrett,RB,FR,5-9,179,"Livermore, CA",De La Salle HS
48,Josh Gomez,DL,FR,6-2,265,"Salinas, CA",Salinas HS
51,Andrew Gonneville,LS,SO,6-2,215,"Mission Viejo, CA",Trabuco Hills HS
21,Mikale Greer,CB,FR,6-2,185,"Compton, CA",Lawndale HS/Paramount HS
90,Lando Grey,DL,JR,6-2,290,"Pago Pago, American Samoa",Faasao Marist HS
92,Cade Hall,DL,JR,6-2,260,"Morgan Hill, CA",Bellarmine Prep
9,Isaiah Hamilton,WR,SO,5-11,180,"Baldwin Park, CA",Charter Oak HS
94,Jamaar Hardy,DE,JR,6-3,273,"Antioch, CA",Deer Valley HS
45,Kyle Harmon,LB,JR,6-0,229,"Antioch, CA",Freedom HS
1,Isaiah Holiness,WR,SO,5-10,182,"Redlands, CA",Redlands East Valley HS
56,Kyle Hoppe,C,SR,6-1,290,"Temecula, CA",Chaparral HS
