No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
16,Trey Adkins,WR,SO,5-11,178,"Simpsonville, SC",Hillcrest
25,Rashad Amos,RB,FR,6-2,215,"Fayetteville, GA",Sandy Creek
93,Joseph Anderson,DL,FR,6-3,275,"Murfreesboro, TN",Oakland
59,Matthew Bailey,LS,FR,6-1,200,"Deland, FL",Deland
23,Jaheim Bell,TE,FR,6-2,230,"Lake City, FL",Valdosta
67,Gavin Bennett,OL,FR,6-3,290,"Rock Hill, SC",South Pointe
81,Jalen Brooks,WR,JR,6-3,190,"Harrisburg, NC",Hickory Ridge/Wingate/Tarleton State
8,Jahmar Brown,LB,SO,6-1,215,"Ft. Lauderdale, FL",St. Thomas Aquinas
3,Jordan Burch,LB,FR,6-6,275,"Columbia, SC",Hammond
89,Ger-Cari Caldwell,WR,FR,6-5,205,"Rock Hill, SC",Northwestern
68,Wyatt Campbell,OL,SO,6-6,305,"Elgin, SC",Lugoff-Elgin
33,Slade Carroll,RB,SR,5-9,205,"Lexington, SC",Lexington
97,Devontae Davis,DL,JR,6-3,290,"New Ellenton, SC",Silver Bluff/Georgia Military
4,Jaylin Dickerson,DB,JR,6-1,195,"Southern Pines, NC",Pinecrest
22,John Dixon,DB,SO,6-0,185,"Tampa, FL",Chamberlain
4,Luke Doty,QB,FR,6-1,210,"Myrtle Beach, SC",Myrtle Beach
71,Eric Douglas,OL,JR,6-4,315,"Charlotte, NC",Mallard Creek
32,Bradley Dunn,FB,FR,5-9,222,"Columbia, SC",Hammond School
28,Deon Eaddy,WR,FR,6-2,190,"Woodbridge, VA",Forest Park
45,Spencer Eason-Riddle,LB,SR,6-0,225,"Raleigh, NC",Leesville Road
55,Gilber Edmond,LB,FR,6-5,230,"Fort Pierce, FL",Westwood
29,Brandon Edwards,WR,FR,6-0,200,"Blythewood, SC",Blythewood
99,Jabari Ellis,DL,SR,6-3,285,"Vance, SC",Lake Marion/Georgia Military
52,Kingsley Enagbare,DL,JR,6-4,270,"Atlanta, GA",Hapeville Charter Academy
31,Chandler Farrell,ATH,SR,6-3,278,"Summerville, SC",Summerville
14,Deshaun Fenwick,RB,SO,6-1,220,"Bradenton, FL",Braden River
10,Rodricus Fitten,LB,FR,6-1,255,"Atlanta, GA",Booker T. Washington
25,O'Donnell Fortune,DB,FR,6-1,175,"Sumter, SC",Sumter
27,Jaylan Foster,DB,SR,5-10,190,"Duncan, SC",Byrnes/Gardner-Webb
23,Fabian Goodman,DB,FR,5-10,170,"Columbia, SC",Hammond School
44,Sherrod Greene,LB,SR,6-1,230,"Rocky Mount, NC",Rocky Mount
26,Landon Grier,DB,FR,5-9,175,-,-
54,Jovaughn Gwyn,OL,SO,6-2,295,"Charlotte, NC",Harding University
47,Cole Hanna,PK,SO,5-7,180,"Norcross, GA",Norcross
20,Kevin Harris,RB,SO,5-10,225,"Hinesville, GA",Bradwell Institute
91,Tonka Hemingway,DL,FR,6-3,265,"Conway, SC",Conway
45,Alex Herrera,K,FR,5-9,182,"Columbia, SC",Spring Valley
3,Ryan Hilinski,QB,SO,6-3,225,"Orange, CA",Orange Lutheran
15,Collin Hill,QB,SR,6-4,222,"Moore, SC",Dorman/Colorado State
18,Dominick Hill,DB,FR,6-0,195,"Orlando, FL",Jones
1,Jaycee Horn,DB,JR,6-1,205,"Alpharetta, GA",Alpharetta
12,Joey Hunter,DB,FR,6-0,200,"Atlanta, GA",Sandy Creek
95,Alex Huntley,DL,FR,6-4,295,"Blythewood, SC",Hammond
50,Sadarius Hutcherson,OL,SR,6-4,320,"Huntingdon, TN",Huntingdon
98,Mitch Jeter,PK,FR,5-10,190,"Salisbury, NC",Cannon School
19,Brad Johnson,LB,JR,6-2,235,"Pendleton, SC",Pendleton
92,Tyreek Johnson,DL,SO,6-3,265,"Sumter, SC",Lakewood
53,Ernest Jones,LB,JR,6-2,230,"Waycross, GA",Ware County
