No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
23,Abdul Adams,RB,SR,5-11,205,"Landover, MD",Hillside (N.C.)
56,Patrick Alberga,DL,FR,6-3,250,"Saranac Lake, NY",Saranac Lake
82,Damien Alford,WR,FR,6-5,210,"Montreal, Canada",McArthur (Fla.)
35,Chase Atkinson,DB,FR,5-11,180,"Columbia, SC",Blythewood
53,Garth Barclay,OL,FR,6-7,270,"York, PA",York Suburban
23,Justin Barron,WR,FR,6-4,208,"Rocky Hill, CT",Suffield Academy
87,Luke Benson,TE,SO,6-3,233,"Chalfont, PA",Central Bucks West
60,Matthew Bergeron,OL,SO,6-4,312,"Victoriaville, Canada",Cégep de Thetford
85,Josh Black,DL,SR,6-3,282,"Loves Park, IL",Harlem
67,Chris Bleich,OL,SO,6-6,332,"Hanover Township, PA",Wyoming Valley West
50,Aaron Bolinsky,LS,JR,5-11,218,"Frackville, PA",North Schuylkill
38,AJ Calabro,DB,SO,5-10,197,"Farmingdale, NJ",Saint John Vianney
31,Geoff Cantin-Arku,LB,SO,6-4,228,"Lévis, Canada",Cégep Garneau
11,Ja'Had Carter,DB,FR,6-2,191,"Richmond, VA",Henrico
7,Andre Cisco,DB,JR,6-0,209,"Valley Stream, NY",IMG Academy (Fla.)
11,Devon Clarke,DB,SR,6-2,197,"Kissimmee, FL",Osceola
10,Adrian Cole,DB,FR,5-10,171,"Plantation, FL",Plantation
34,Eric Coley,DB,JR,6-2,206,"Manlius, NY",Fayetteville-Manlius
92,Nolan Cooney,P,SR,6-3,202,"East Greenwich, RI",East Greenwich
17,Rex Culpepper,QB,SR,6-3,221,"Tampa, FL",Plant
45,Kevon Darton,DL,FR,5-11,281,"Fitchburg, MA",Worcester Academy
57,Dakota Davis,OL,JR,6-5,327,"Mount Airy, MD",Glenelg
69,Patrick Davis,OL,SR,6-5,311,"Gatineau, Canada",Champlain Regional
95,Cooper Dawson,DL,FR,6-5,255,"Hanahan, SC",Hanahan
13,Tommy DeVito,QB,JR,6-2,221,"Cedar Grove, NJ",Don Bosco Prep
33,Ryan Dolan,LB,FR,6-0,230,"Novato, CA",Marin Catholic
63,Chris Elmore,OL,SR,6-0,288,"Chicago, IL",Phillips Academy
40,Nate Erickson,DB,FR,5-10,190,"Greene, NY",Greene
20,Ethan Fischler,WR,SO,6-0,182,"Orinda, CA",Miramonte
46,Devin Flowers,RB,FR,6-0,245,"Glen Allen, VA",Glen Allen
70,Wil Froumy,OL,SO,6-6,307,"Exeter, NH",Exeter
90,Ishmael Goulbourne,LB,FR,6-3,207,"West Palm Beach, FL",Dwyer
26,Aman Greenwood,DB,FR,5-10,180,"Washington, DC",St. John's College
89,Aaron Hackett,TE,SR,6-3,237,"Venice, FL",Venice
19,Rob Hanna,DB,FR,6-0,168,"Miami, FL",Miami Palmetto
52,Curtis Harper,DL,JR,6-2,296,"McKeesport, PA",McKeesport
3,Taj Harris,WR,JR,6-2,164,"Beverly, NJ",Palmyra
18,Ed Hendrix,WR,SO,6-3,220,"Washington, DC",H.D. Woodson
28,Jarveon Howard,RB,JR,5-10,214,"Columbia, MS",East Marion
55,Josh Ilaoa,OL,FR,6-3,295,"Charlotte, NC",Mallard Creek
85,Courtney Jackson,WR,FR,5-10,173,"Monroeville, PA",Gateway
4,Nykeim Johnson,WR,SR,5-8,170,"Washington, DC",Friendship Academy
8,Sharod Johnson,WR,JR,5-11,181,"Miami, FL",Booker T. Washington
20,Cam Jonas,DB,SO,6-1,210,"West Palm Beach, FL",Dwyer
9,Kingsley Jonathan,DL,SR,6-3,264,"Baltimore, MD",St. Frances Academy
80,Isaiah Jones,WR,SO,6-4,200,"Cocoa, FL",Cocoa
13,Mikel Jones,LB,SO,6-1,230,"Miami, FL",IMG Academy
25,Jawhar Jordan,RB,FR,5-9,172,"Farmingdale, NY",Hamilton (Ariz.)
41,Joey Kelly,LS,FR,6-1,193,"Phoenix, AZ",Brophy College Prep
48,Abrahim Kenneh,LB,FR,6-0,202,"Syracuse, NY",Nottingham
12,Latarie Kinsler,DL,FR,6-3,213,"Pahokee, FL",Pahokee
58,Ryan Kisselstein,OL,SO,6-6,331,"Syracuse, NY",Corcoran
71,Josh Kosciol,OL,FR,6-1,308,"Honeoye Falls, NY",Honeoye Falls-Lima
21,Lee Kpogba,LB,SO,6-1,224,"Winston-Salem, NC",Parkland
28,Ben Labrosse,DB,FR,6-2,200,"Greenfield Park, Canada",Vanier College
94,Kevin Lemieux,DL,FR,6-4,252,"Ashburnham, MA",Governor's Academy
17,Steve Linton,LB,FR,6-5,224,"Dublin, GA",Dublin
16,Leon Lowery,LB,FR,6-4,225,"Elizabeth, NJ",North Brunswick
24,Cooper Lutz,RB,SO,6-0,201,"Reading, PA",Berks Catholic
18,Luke MacPhail,QB,FR,6-4,215,"Boston, MA",Dexter Southfield
88,Steven Mahar Jr.,TE,FR,6-5,225,"Rochester, NY",Aquinas Institute
47,Maximilian Mang,TE,FR,6-7,250,"Nuthetal, Germany",Leibniz-Gymnasium Potsdam
11,Dillon Markiewicz,QB,FR,6-5,216,"McKinney, TX",McKinney North
2,Ifeatu Melifonwu,DB,JR,6-3,213,"South Grafton, MA",Grafton
43,Mike Midkiff,LS,FR,6-3,195,"Colorado Springs, CO",Air Academy
15,JaCobian Morgan,QB,FR,6-4,203,"Canton, MS",Canton
99,Zach Morton,DL,JR,6-4,248,"Detroit, MI",Cass Technical
92,Jason Muñoz,DL,FR,6-3,243,"Hollywood, FL",St. Thomas Aquinas
15,Neil Nunn,DB,FR,6-0,183,"West Perrine, FL",Miami Palmetto
37,Kevin Nusdeo,DB,JR,6-1,205,"Orange, CT",Choate Rosemary Hall
93,Noah Nwosu,P,SO,6-3,216,"Rockville, MD",Bullis School
93,Caleb Okechukwu,DL,SO,6-4,257,"Washington, DC",St. John's College
29,Trebor Pena,WR,FR,6-0,185,"Ocean Township, NJ",Ocean Township
90,Brandon Peskin,PK,FR,6-1,205,"Long Island, NY",Half Hollow Hills East
72,Mark Petry,OL,SO,6-4,265,"Hochheim am Main, Germany",Graf-Stauffenberg-Gymnasium
22,Markenzy Pierre,RB,JR,5-11,216,"Kissimmee, FL",Liberty
14,Anthony Queeley,WR,SO,6-2,193,"Orlando, FL",Lake Nona
51,Anthony Red,OL,FR,6-5,297,"Bloomfield, CT",St. Thomas More
42,Tyrell Richards,LB,JR,6-4,234,"Brampton, Canada",Clarkson Secondary School
61,Joe Rondi,DL,FR,6-4,272,"Wayne, NJ",Wayne Hills
97,Cody Roscoe,DL,SR,6-1,258,"Houston, TX",Heights
68,Airon Servais,OL,SR,6-6,309,"Green Bay, WI",Ashwaubenon
24,Anwar Sparrow,LB,FR,6-1,204,"Virginia Beach, VA",Salem
