No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
6,Devon Achane,RB,FR,5-9,185,"Missouri City, TX",Fort Bend Marshall
43,Cagan Baldree,FB,SR,6-4,250,"Carthage, TX",Carthage
70,Josh Bankhead,OL,FR,6-5,320,"The Woodlands, TX",College Park
94,Drake Bhatia,PK,FR,5-7,152,"Houston, TX",Episcopal
31,Elijah Blades,-,-,-,-,-,-
8,Connor Blumrick,RB,JR,6-5,215,"Pearland, TX",Pearland
30,Andrew Boykin,WR,JR,6-1,181,"Austin, TX",Westlake
31,Reinard Britz,QB,SO,6-3,190,"Conroe, TX",Oak Ridge
18,Kam Brown,WR,FR,6-1,192,"Colleyville, TX",Colleyville Heritage
36,Ke'Shun Brown,LB,FR,6-1,230,"Montgomery, AL",Carver
5,Bobby Brown III,DL,JR,6-4,325,"Arlington, TX",Lamar
14,Camron Buckley,WR,SR,6-2,190,"Cedar Hill, TX",Cedar Hill
29,Daniel Bushland,WR,SO,6-0,190,"Austin, TX",St. Michael's Catholic Academy
10,Zach Calzada,QB,FR,6-3,205,"Sugar Hill, GA",Lanier
14,Keldrick Carper,DB,SR,6-2,195,"Plain Dealing, LA",Plain Dealing
81,Caleb Chapman,WR,SO,6-5,195,"Friendswood, TX",Clear Brook
52,Smart Chibuzo,OL,FR,6-4,340,"Fresno, TX",Hightower
40,Connor Choate,DS,SO,6-1,200,"Coppell, TX",Coppell
2,Micheal Clemons,DL,SR,6-5,270,"Garland, TX",Sachse/Cisco JC
95,Nik Constantinou,P,FR,6-0,220,"Melbourne, Australia",Penleigh & Essendon
20,Connor Cook,RB,FR,6-0,215,"Salado, TX",Salado
45,Edgerrin Cooper,LB,FR,6-2,215,"Covington, LA",Covington
24,Earnest Crownover,RB,SO,6-1,220,"Grandview, TX",Grandview/Kilgore JC
88,Baylor Cupp,TE,FR,6-6,240,"Brock, TX",Brock
36,Caden Davis,PK,FR,6-2,205,"Coppell, TX",Coppell
1,Demond Demas,WR,FR,6-3,180,"Tomball, TX",Tomball
10,Fadil Diggs,DL,FR,6-5,250,"East Camden, NJ",Woodrow Wilson
29,"Antonio Doyle, Jr.",LB,FR,6-3,250,"St. Louis, MO",Lutheran North
15,Logan Fisher,QB,FR,6-1,175,"Bracketville, TX",Brackett
11,Travon Fuller,DB,SR,6-1,180,"Athens, TX",Athens
67,Galen Gallagher,OL,SO,6-4,300,"Orange Grove, TX",Orange Grove
16,Brian George,DB,JR,6-2,190,"South Bay, FL",Glades Central/Highland [Kan.] CC
48,Jacob Graham,DS,FR,5-11,206,"Houston, TX",Memorial
54,Carson Green,OL,SR,6-6,320,"Southlake, TX",Carroll
55,Kenyon Green,OL,SO,6-4,325,"Humble, TX",Atascocita
26,Jacob Groff,WR,JR,6-2,210,"San Antonio, TX",Churchill
48,Alan Guerrieri,P,FR,5-10,190,"College Station, TX",College Station
33,Aaron Hansford,LB,SR,6-3,245,"Washington, DC",St. John's College HS
18,"Donell Harris, Jr.",DL,FR,6-3,220,"Liberty City, FL",Gulliver Prep
73,Jared Hocker,OL,SR,6-5,325,"North Richland Hills, TX",Birdville
22,Darvon Hubbard,RB,FR,6-0,210,"Akron, OH","Willow Canyon [Surprise, Ariz.]"
40,Avery Hughes,DB,FR,6-0,177,"Sugar Land, TX",Fort Bend Austin
53,Houston Hummel,LB,FR,6-4,250,"Dallas, TX",Highland Park
6,Derick Hunter,DL,FR,6-4,310,"Fort Myers, FL",Dunbar
25,Deondre Jackson,RB,FR,5-11,230,"Stone Mountain, GA",Stephenson
16,Kenyon Jackson,WR,FR,6-6,195,"Loganville, GA",Grayson
35,McKinnley Jackson,DL,FR,6-2,335,"Lucedale, MS",George County
68,Jordan Jefferson,DL,FR,6-0,304,"Navasota, TX",Navasota
27,Antonio Johnson,DB,FR,6-3,190,"East St. Louis, IL",East St. Louis
1,Buddy Johnson,LB,SR,6-2,240,"Dallas, TX",Kimball
3,Tyree Johnson,DL,JR,6-4,240,"Washington, DC",St. John's College (DC)
38,Reed Johnston,DB,JR,5-11,200,"Plano, TX",West
55,Adarious Jones,DL,FR,6-4,305,"Virginia Beach, VA",Bishop Sullivan Catholic
9,Hezekiah Jones,WR,JR,5-11,180,"Stafford, TX",Stafford
17,Jaylon Jones,DB,FR,6-2,205,"Cibolo, TX",Steele
0,Myles Jones,DB,SR,6-4,185,"Magnolia, TX",Magnolia West
13,Haynes King,QB,FR,6-3,200,"Longview, TX",Longview
63,Braeden Kobza,OL,FR,5-11,276,"Tomball, TX",Rosehill Christian
2,Chase Lane,WR,FR,6-0,190,"Houston, TX",Saint Pius X
8,DeMarvin Leal,DL,SO,6-4,290,"San Antonio, TX",Judson
23,Tarian Lee Jr.,LB,FR,6-2,230,"Tallahassee, FL",Godby
56,Keeath Magee II,LB,SR,6-0,240,"Houston, TX",Westfield
39,Brady Marek,DB,JR,6-0,172,"Keller, TX",Keller
15,Jeremiah Martin,DL,JR,6-5,262,"San Bernardino, CA",Cajon
25,Reese Mason,DB,SO,6-1,204,"Magnolia, TX",Magnolia
75,Luke Matthews,OL,SO,6-4,320,"Missouri City, TX",Elkins
51,Joe Mawad,LB,JR,6-2,260,"Westbury, NY",St. Dominic
77,Ryan McCollum,OL,SR,6-5,300,"Spring, TX",Klein Oak
89,Justin Mellenbruch,TE,JR,6-1,225,"Austin, TX",Westlake
52,Andrew Merrick,LB,FR,6-2,225,"Dallas, TX",Parish Episcopal
11,Kellen Mond,QB,SR,6-3,217,"San Antonio, TX",IMG Academy (Fla.)
65,Dan Moore Jr.,OL,SR,6-5,315,"Beaumont, TX",West Brook
76,Chris Morris,OL,FR,6-4,290,"Memphis, TN",PURE Youth
7,Devin Morris,DB,JR,6-1,200,"Caldwell, TX",Caldwell
21,Josh Moten,DB,FR,5-11,165,"Waldorf, MD",National Christian Academy
46,Braedon Mowry,DL,FR,6-3,240,"Katy, TX",Taylor
7,Moose Muhammad III,WR,FR,6-1,196,"Charlotte, NC",Myers Park
9,Leon O'Neal Jr.,DB,JR,6-1,210,"Cypress, TX",Cypress Springs
74,Aki Ogunbiyi,OL,FR,6-4,325,"Houston, TX",Kempner
50,Kyle Ohlen,OL,JR,6-2,328,"Austin, TX",Bowie/Abilene Christian
20,Ikenna Okeke,LB,SR,6-3,225,"Smyrna, TN",Smyrna
