No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
30,Logan Ammons,WR,JR,5-8,170,"New Baunfels, TX",Canyon HS
3,Angelo Anderson,DL,FR,6-3,255,"New Orleans, LA",John Curtis Christian
40,Nick Anderson,LB,JR,5-11,230,"Vicksburg, MS",Jones County JC/Vicksburg
32,Chadwick Bailey,S,FR,5-11,190,"Los Angeles, CA",Loyola
12,Ton'Quez Ball,S,FR,5-10,205,"Knoxville, TN",South Doyle
56,Hayden Beal,LB,FR,5-11,220,"Bluegoose, TN",Scotts Hill
27,Ygenio Booker,RB,SO,5-11,205,"Brooksville, FL",Hernando HS
31,Larry Brooks,S,JR,6-0,200,"Fort Worth, TX",Kennedale HS
93,Brandon Brown,DL,FR,6-1,310,"Katy, TX",Morton Ranch
89,Reggie Brown,TE,FR,6-2,240,"Houston, TX",Legacy School of Sports Science
86,Sorrell Brown,WR,SO,6-3,205,"Arlington, TX",Martin HS
59,Sam Bruchhaus,LB,JR,6-3,215,"Lake Charles, LA",St. Louis Catholic
20,Cameron Carroll,RB,SO,6-0,225,"Flowood, MS",Northwest Rankin HS
37,Macon Clark,S,JR,6-0,185,"St. Rose, LA",Destrehan HS
79,Joey Claybrook,OL,JR,6-6,295,"Starkville, MS",Starkville HS
8,Josh Coltrin,QB,SO,6-1,205,"Houston, TX",Manvel
67,Graham Dable,K,SO,6-1,200,"Winnetka, IL",New Trier
14,Christian Daniels,TE,SO,6-2,220,"Rocky Mount, NC",Western Alamance HS
12,Cameron Dartez,QB,FR,6-0,195,"Baton Rouge, LA",Catholic
6,Corey Dauphine,RB,SR,6-0,195,"Port Arthur, TX",Texas Tech
49,Armoni Dixon,LB,FR,6-3,230,"Chicago, IL",Loyola Academy
64,Corey Dublin,OL,SR,6-4,300,"New Orleans, LA",Jesuit HS
17,Cornelius Dyson,DB,FR,6-2,200,"Kentwood, LA",Kentwood High School
74,Jackson Fort,OL,FR,6-4,310,"The Woodlands, TX",College Park
95,Adonis Friloux,DL,FR,6-1,300,"Hahnville, LA",Hahnville High School
96,Casey Glover,PK,SO,6-3,200,"Jericho, NY",Friends Academy
62,Merek Glover,PK,SR,6-0,200,"Jericho, NY",Friends Academy
69,Rashad Green,OL,FR,6-4,320,"Baton Rouge, LA",University Lab
25,Kevaris Hall,DB,FR,6-2,190,"Red Oak, TX",Red Oak High School
16,Drew Harris,QB,JR,6-1,200,"Easton, PA",Camden
19,Kiland Harrison,DB,FR,5-11,185,"Raymond, MS",St. Joseph Catholic
54,Carlos Hatcher,DE,SO,6-3,240,"Carrollton, TX",Hebron HS
52,Sincere Haynesworth,OL,SO,6-1,310,"Pearland, TX",Pearland
33,Kevin Henry,LB,SR,6-0,245,"Baton Rouge, LA",Central H.S.
94,Eric Hicks Jr.,DL,FR,6-2,285,"Savannah, GA",Benedictine Military School
39,Matthew Hightower,LB,FR,6-1,215,"Palos Heights, IL",Shepard High School
41,Darius Hodges,LB,FR,6-1,265,"Montgomery, AL",Park Crossing
66,Nik Hogan,OL,SO,6-4,300,"Brandon, MS",Northwest Rankin HS
19,Josh Holl,QB,SO,6-1,200,"Houston, TX",Cypress Christian School
9,Keon Howard,QB,SR,6-1,215,"Laurel, MS",Laurel
57,Ethan Hudak,LS,FR,6-0,230,"Phoenix, AZ",Mountain Ridge
5,Stephon Huderson,RB,SR,5-9,200,"Petal, MS",Petal HS
13,Justin Ibieta,QB,FR,6-4,230,"Metairie, LA",Metairie Park Country Day School
63,Cameron Jackel,OL,JR,6-6,300,"Marrero, LA",Archbishop Shaw HS
4,Jha'Quan Jackson,WR,SO,5-9,185,"Luling, LA",Hahnville
80,Tyrick James,TE,JR,6-2,250,"Waco, TX",China Spring HS
77,Jeffery Johnson,NT,JR,6-3,330,"Brookhaven, MS",Brookhaven HS
7,Patrick Johnson,DE,SR,6-3,255,"Chattanooga, TN",Notre Dame HS
11,Amare Jones,RB,JR,5-11,200,"Frisco, TX",Frisco Heritage HS
1,Mykel Jones,WR,SR,5-11,190,"Patterson, LA",Patterson H.S.
46,Keitha Jones Jr.,TE,JR,6-1,225,"Port Arthur, TX",Memorial High School
21,Ajani Kerr,DB,SR,6-0,195,"Powder Springs, GA",McEachern
65,Ben Knutson,OL,SR,6-7,305,"Granger, IN",Virginia/Penn HS
36,Chase Kuerschen,S,SR,6-1,195,"Knoxville, TN",Knoxville Catholic HS
26,Shi’Keem Laister,DB,FR,6-2,190,"Clanton, AL",Chilton County High School
8,Willie Langham,CB,JR,6-1,175,"Bessemer, AL",McAdory HS
83,Dane Ledford,WR,JR,6-0,185,"Argyle, TX",Argyle HS
51,Stephen Lewerenz,OL,SO,6-3,285,"Gainesville, FL",Buchholz HS
22,Gabe Liu,S,FR,5-10,180,"Oakland, CA",Williston Northampton School
71,Matt Lombardi,OL,FR,6-6,275,"Philadelphia, PA",Saint Joseph's Prep School
35,Jesus Machado,LB,FR,6-0,220,"Miami, FL",Champagnat Catholic
60,Ethan Marcus,OL,FR,6-1,295,"Long Island, NY",Lynbrook
47,Aidan McCahill,LB,FR,6-0,190,"East Grand Rapids, MI",East Grand Rapids
30,Jonathan Mestayer II,S,FR,6-0,195,"Baton Rouge, LA",Catholic
10,Kyle Meyers,DB,SR,6-0,180,"New Orleans, LA",Holy Cross
61,Jaylen Miller,OL,SR,6-3,310,"Jacksonville, FL",Providence
9,Jaylon Monroe,CB,SR,5-9,180,"Dallas, TX",West Mesquite HS
28,Marvin Moody,LB,SR,6-2,225,"Bryant, AR",Bryant HS
29,Reggie Neely,DB,FR,6-0,170,"Shelby County, TN",Briarcrest Christian School
73,Colby Orgeron,OL,FR,6-5,285,"New Orleans, LA",John Curtis
87,Stephen Payne,WR,FR,5-10,165,"Charlotte, NC",Charlotte Country Day School
7,Michael Pratt,QB,FR,6-2,200,"Boca Raton, FL",Deerfield Beach HS
81,Tyrek Presley,WR,FR,6-2,195,"Riverdale, GA",Charles Drew
40,Connor Prouet,TE,JR,6-0,225,"New Orleans, LA",Jesuit HS
43,Rishi Rattan,CB,FR,5-9,165,"Shawnee, KS",Bishop Miege
