No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
91,Mike Allen,DL,JR,6-5,284,"Sugar Hill, GA",Lanier
36,"Jarrett Alston, Jr.",DB,FR,5-8,170,"Temple Hill, MD",St. John's College
45,Nick Andersen,DB,FR,5-11,185,"Clifton, VA",Centreville
42,James Ash,DL,FR,6-3,285,"Tampa, FL",Chamberlin
56,Mark Balbis,LB,FR,6-1,215,"Jupiter, FL",Jupiter
80,Jahmal Banks,WR,FR,6-4,216,"Bethesda, MD",St. Frances Academy
9,Carlos Basham Jr.,DL,SR,6-5,285,"Roanoke, VA",Northside
26,Christian Beal-Smith,RB,JR,5-10,201,"Winston-Salem, NC",East Forsyth
94,Tony Benish,PK,FR,5-8,155,"Downer's Grove, IL",Benet Academy
95,"Dion Bergan, Jr.",DL,JR,6-1,298,"Kissimmee, FL",Osceola
82,Trey Boll,TE,FR,6-4,218,"Richmond, VA",Collegiate
40,Rondell Bothroyd,DL,SO,6-4,275,"Manchester, CT",E.O. Smith
96,Claude Bragg,DL,FR,6-4,220,"Davidson, NC",Community School of Davidson
32,Jarrett Brown,WR,FR,6-0,180,"Flower Mound, TX",Marcus
32,Jeff Burley,LB,JR,6-2,219,"Jackson, GA",Jackson
29,Caelen Carson,DB,FR,6-0,182,"Waldorf, MD",North Point
18,Cody Cater,QB,FR,6-1,189,"Charlotte, NC",Providence Day School
87,Teddy Centofanti,WR,SO,5-11,184,"Winchester, MA",Winchester
93,Isaiah Chaney,DL,FR,6-4,262,"Cartersville, GA",Cartersville
23,Brandon Chapman,TE,SR,6-5,249,"Grove City, OH",Grove City
52,Spencer Clapp,OL,JR,6-6,295,"Gibsonville, NC",Eastern Guilford
54,Will Cobb,LS,FR,5-10,201,"Matthews, NC",Weddington
48,Jack Connelly,TE,FR,6-6,215,"Palos Verdes, CA",Chadwick
28,Quinton Cooley,RB,FR,5-9,208,"Bailey, NC",Southern Nash
42,Jack Crane,K,SR,6-2,197,"Sammamish, WA",Skyline/Washington State
98,Wyatt Crespi,DL,FR,6-1,247,"Concord, CA",De La Salle
20,Coby Davis,DB,JR,5-11,195,"Upper Marlboro, MD",Maret School
30,Jasheen Davis,DL,FR,6-3,243,"Snellville, GA",Shiloh
75,Terrance Davis,OL,SR,6-3,325,"Temple Hills, MD",DeMatha Catholic/Maryland
10,Kenneth Dicks III,DB,SO,6-0,200,"Suwanee, GA",Lambert
