No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
89,A.J. Abbott,WR,SO,6-2,192,"Northville, MI",West Bloomfield
24,Haakon Anderson,WR,FR,6-1,200,"Verona, WI",Verona
75,Michael Balistreri,DE,JR,6-4,288,"Grafton, WI",University School of Milwaukee
61,Dylan Barrett,OL,FR,6-5,306,"St. Charles, IL",East
68,Ben Barten,OL,FR,6-5,285,"Stratford, WI",Stratford
51,Adam Bay,LS,SR,6-0,229,"Mesa, AZ",Desert Ridge
65,Tyler Beach,OL,JR,6-6,309,"Grafton, WI",Port Washington
95,Keeanu Benton,NT,SO,6-4,315,"Janesville, WI",Craig
8,Jalen Berger,RB,FR,6-0,210,"Newark, NJ",Don Bosco Prep
52,Josh Bernhagen,LS,SR,6-2,245,"Madison, WI",La Follette
26,Travian Blaylock,S,SO,5-11,200,"Humble, TX",Atascocita
63,Tanor Bortolini,OL,FR,6-4,-,"Kewaunee, WI",Kewaunee
63,Peter Bowden,LS,FR,6-2,217,"San Diego, CA",Francis Parker
10,Stephan Bracey,WR,FR,5-10,172,"Grand Rapids, MI",East Kentwood
50,Logan Brown,OL,FR,6-6,311,"Grand Rapids, MI",East Kentwood
60,Logan Bruss,OL,JR,6-5,310,"Appleton, WI",Kimberly
41,Noah Burks,OLB,SR,6-2,240,"Carmel, IN",Carmel
25,Eric Burrell,S,SR,6-0,195,"Severn, MD",McDonogh School
4,Donte Burton,CB,SO,5-10,180,"Loganville, GA",Loganville
38,Dante Caputo,S,FR,5-11,181,"Pittsburgh, PA",North Allegheny
86,Devin Chandler,WR,FR,6-0,176,"Huntersville, NC",Hough
44,John Chenal,FB,JR,6-2,252,"Grantsburg, WI",Grantsburg
45,Leo Chenal,ILB,SO,6-2,250,"Grantsburg, WI",Grantsburg
17,Jack Coan,QB,SR,6-3,221,"Sayville, NY",Sayville
31,Madison Cone,S,SR,5-9,182,"Kernersville, NC",East Forsyth
85,Clay Cundiff,TE,FR,6-3,251,"Wichita, KS",Bishop Carroll
48,Cole Dakovich,TE,FR,6-5,252,"Waukesha, WI",Catholic Memorial
32,Julius Davis,RB,FR,5-10,189,"Menomonee Falls, WI",Menomonee Falls
7,Danny Davis III,WR,SR,6-0,194,"Springfield, OH",Springfield
31,Jordan DiBenedetto,WR,SO,6-0,190,"Stoughton, WI",Stoughton
94,Boyd Dietzen,DE,SO,6-3,264,"Combined Locks, WI",Kimberly
67,Jon Dietzen,OL,SR,6-6,319,"Black Creek, WI",Seymour
13,Chimere Dike,WR,FR,6-1,193,"Waukesha, WI",North
16,Jack Dunn,WR,SR,5-7,174,"Madison, WI",Edgewood
28,Quan Easterling,FB,FR,6-3,238,"Akron, OH",Archbishop Hoban
6,Dean Engram,CB,FR,5-9,164,"Columbia, MD",Gonzaga College HS
82,Jack Eschenbach,TE,SO,6-6,224,"Downers Grove, IL",Benet Academy
84,Jake Ferguson,TE,JR,6-5,246,"Madison, WI",Memorial
42,Jaylan Franklin,TE,SO,6-4,222,"Brownstown, MI",O.A. Carlson
74,Michael Furtney,OL,SO,6-5,307,"Milan, MI",Milan
34,Ross Gengler,ILB,FR,6-2,215,"Delavan, WI",Delavan-Darien
98,C.J. Goetz,OLB,SO,6-3,241,"Muskego, WI",Catholic Memorial
39,Tatum Grass,ILB,FR,6-2,222,"Holmen, WI",Holmen
50,Izayah Green-May,OLB,JR,6-6,221,"Bolingbrook, IL",Bolingbrook
39,Mike Gregoire,WR,SO,5-10,171,"Green Bay, WI",Notre Dame Academy
37,Garrett Groshek,RB,SR,5-11,220,"Amherst Junction, WI",Amherst
20,Isaac Guerendo,RB,SO,6-0,213,"Clayton, IN",Avon
8,Deron Harrell,CB,JR,6-2,182,"Denver, CO",East
92,Matt Henningsen,DE,JR,6-3,286,"Menomonee Falls, WI",Menomonee Falls
19,Nick Herbig,OLB,FR,6-2,225,"Kauai, HI",Saint Louis School
1,Faion Hicks,CB,JR,5-10,185,"Miami, FL",Flanagan
52,Kaden Johnson,OLB,FR,6-2,227,"St. Paul, MN",Minnehaha Academy
56,Rodas Johnson,DE,FR,6-2,293,"Columbus, OH",St. Francis DeSales
36,Kobe Knaak,CB,SR,5-9,191,"Franklin, WI",Franklin
73,Kerry Kodanko,OL,FR,6-2,292,"Green Bay, WI",West DePere
24,Adam Krumholz,WR,SR,6-1,193,"Stoughton, WI",Stoughton
49,Cam Large,TE,FR,6-3,257,"Pomfret, CT",Noble & Greenough
19,Collin Larsh,K,JR,5-10,184,"Marshall, WI",Monona Grove
46,Gabe Lloyd,TE,SR,6-4,231,"Green Bay, WI",Northeast Wisconsin Lutheran
17,Max Lofy,CB,FR,5-10,184,"Colorado Springs, CO",Pine Creek
