No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
32,Ahmad Adams,LB,SO,6-1,220,"Bryant, AR",Bryant
35,Andrew Agapos,LB,FR,6-0,210,"Cordova, TN",Evangelical Christian School
10,Elery Alexander,S,SR,5-11,195,"Van Vleck, TX",Kilgore (Texas) CC
45,TW Ayers,DE,SO,6-1,251,"Lamar, MO",Lamar HS
23,Isaiah Azubuike,RB,SO,5-9,215,"St.Louis, MO",Lutheran North HS
58,DeQuan Ball,DE,FR,6-1,243,"Birmingham, AL",Pinson Valley HS
30,Derrick Bean,LB,JR,6-2,232,"Pinson, AL",Clay-Chalkville HS
6,Wyatt Begeal,QB,FR,5-11,204,"Cibolo, TX",Steele HS
5,Kivon Bennett,DL,JR,6-2,236,"Fort Lauderdale, FL",Tennessee
1,James Blackman,QB,JR,6-5,190,"South Bay, FL",Florida State
19,Denzel Blackwell,CB,FR,5-10,180,"Houston, TX",Boston College
22,Caleb Bonner,LB,SR,6-1,221,"Reform, AL",Pickens County HS
91,JB Brown,DL,FR,6-0,279,"Hewitt, TX",Midway HS
28,Jeffmario Brown,LB,SR,6-2,227,"Myrtle Beach, SC",Hutchinson (Kan.) CC
38,Jack Bullard,DS,FR,5-11,202,"Chandler, AZ",Corona Del Sol HS
71,Mekhi Butler,OL,SO,6-3,338,"Omaha, NE",Iowa Western CC
26,CJ Cage,WR,FR,5-11,177,"Fort Lauderdale, FL",University School of NSU
19,Coltin Clack,TE,FR,6-3,234,"Texarkana, TX",Texas HS
5,David Clayton,WR,FR,5-11,182,"Grapevine, TX",Grapevine HS
27,KaRon Coleman,S,FR,6-0,197,"Eutaw, AL",Greene County HS
84,Jack Combs,WR,JR,6-0,191,"Grand Rapids, MI",Iowa
16,Torren Coppage-El,DL,FR,6-4,232,"Lilburn, GA",Parkview HS
25,Perrish Cox III,DB,FR,5-9,160,"Lacy Lakeview, TX",Connally HS
39,Ryan Dadds,P,FR,5-10,175,"Hawthorne, Australia",Brisbane State HS
68,Avery Demmons,OL,JR,6-5,320,"Queen Creek, AZ",Iowa Central CC
17,Leroy Deshazor,WR,JR,6-0,200,"Lakeland, FL",College of the Canyons (Calif.)
37,Taylon Doss,CB,FR,5-10,188,"Shannon, MS",Shannon HS
