No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
25,Marco Avant,LB,FR,6-3,215,"Forrest City, AR",Jonesboro HS
92,Cameron Ball,DL,FR,6-5,310,"Atlanta, GA",Tri-Cities HS
30,Reid Bauer,P,JR,5-11,200,"Magnolia, TX",Magnolia HS
89,Nathan Bax,TE,SO,6-4,255,"Jefferson City, MO",Helias Catholic HS / Illinois State
24,LaDarrius Bishop,DB,JR,6-0,190,"Ashdown, AR",Ashdown HS
15,Simeon Blair,DB,JR,5-10,210,"Pine Bluff, AR",Pine Bluff HS
43,Brooks Both,LB,FR,6-0,230,"Harrison, AR",Harrison HS
44,Andy Boykin,DL,FR,6-4,290,"Lagrange, GA",Troup County HS
9,Greg Brooks Jr.,DB,JR,5-11,185,"Harvey, LA",West Jefferson HS
21,Montaric Brown,DB,SR,6-0,190,"Ashdown, AR",Ashdown HS
26,Donte Buckner,RB,FR,5-11,200,"Pine Bluff, AR",White Hall HS
16,Treylon Burks,WR,JR,6-3,225,"Warren, AR",Warren HS
33,Kelin Burrle,LB,FR,6-0,205,"Harvey, LA",Helen Cox HS
23,Devin Bush,DB,SO,6-0,200,"New Orleans, LA",Edna Karr HS
90,Vito Calvaruso,K,SO,6-2,200,"Jefferson City, MO",Helias Catholic HS
50,Cole Carson,OL,FR,6-5,305,"Bogata, TX",Rivercrest HS
91,Taurean Carter,DL,SO,6-3,305,"Mansfield, TX",Mansfield Legacy HS
46,Francisco Castro,LS,FR,6-1,210,"Miami, FL",Columbus HS
1,Jalen Catalon,DB,SO,5-10,200,"Mansfield, TX",Mansfield Legacy HS
6,Kendall Catalon,WR,SR,5-9,185,"Mansfield, TX",Mansfield Legacy HS / Southern
4,Malik Chavis,DB,SO,6-2,195,"Rison, AR",Rison HS
17,Hudson Clark,DB,SO,6-2,180,"Dallas, TX",Highland Park HS
66,Ty Clary,OL,SR,6-4,315,"Fayetteville, AR",Fayetteville HS
57,Shane Clenin,OL,SR,6-6,325,"Festus, MO",Jefferson HS
85,Harper Cole,WR,FR,5-9,180,"Aurora, IL",Waubonsie Valley HS
3,Lucas Coley,QB,FR,6-2,205,"San Antonio, TX",Cornerstone Christian School
26,Kevin Compton,DB,FR,6-2,175,"Pine Bluff, AR",Watson Chapel HS
38,Jon Conley,DB,SO,6-0,175,"Fayetteville, AR",Fayetteville HS
11,Jaquayln Crawford,WR,JR,5-10,175,"Rockdale, TX",Rockdale HS / Oklahoma
53,Ty’Kieast Crawford,OL,SO,6-5,350,"Carthage, TX",Carthage HS / Charlotte
76,Myron Cunningham,OL,SR,6-6,325,"Warren, OH",Warren G. Harding HS / Iowa Central CC
75,Ray Curry Jr.,OL,FR,6-5,315,"Memphis, TN",White Station HS
17,John David White,WR,SO,5-11,185,"Little Rock, AR",Pulaski Academy
30,Levi Draper,LB,SR,6-1,240,"Collinsville, OK",Collinsville HS / Oklahoma
22,Deon Edwards,LB,SR,6-1,220,"Clermont, FL",Lake Minneola HS
94,Patrick Foley,P,FR,6-3,200,"Omaha, NE",Creighton Prep
7,Joe Foucha,DB,SR,5-11,205,"New Orleans, LA",McDonogh 35 HS
5,Dorian Gerald,DL,SR,6-3,265,"Florence, SC",West Florence HS / College of the Canyons (Calif.)
18,Trent Gordon,DB,JR,5-11,190,"Spring, TX",Manvel HS / Penn State
0,AJ Green,RB,FR,5-11,200,"Tulsa, OK",Union HS
50,Eric Gregory,DL,SO,6-4,295,"Memphis, TN",IMG Academy
36,Jermaine Hamilton-Jordan,DB,FR,6-1,180,"Kansas City, MO",Lincoln College Prep
41,T.J. Hammonds,RB,SR,5-10,195,"Little Rock, AR",Joe T. Robinson HS
47,Jordan Hanna,LB,FR,6-2,215,"Greenwood, AR",Greenwood HS
95,Morgan Hanna,DL,SO,6-4,245,"Greenwood, AR",Greenwood HS
83,Chris Harris,WR,FR,5-10,190,"Dumas, AR",Dumas HS
56,Marcus Henderson,OL,SO,6-5,290,"Memphis, TN",Memphis University School
27,Hayden Henry,LB,SR,6-2,225,"Little Rock, AR",Pulaski Academy
82,Hudson Henry,TE,SO,6-5,255,"Little Rock, AR",Pulaski Academy
94,Jon Hill,DL,FR,6-5,250,"Dumas, AR",Dumas HS
4,Malik Hornsby,QB,FR,6-2,180,"Missouri City, TX",Fort Bend Marshall HS
21,Javion Hunt,RB,FR,6-0,205,"Oklahoma City, OK",Carl Albert HS
88,Koilan Jackson,TE,SR,6-2,240,"Little Rock, AR",Joe T. Robinson HS
2,Ketron Jackson Jr.,WR,FR,6-2,205,"Royse City, TX",Royse City HS
1,KJ Jefferson,QB,SO,6-3,245,"Sardis, MS",North Panola HS
20,Dominique Johnson,RB,SO,6-1,235,"Crowley, TX",Crowley HS
8,Jayden Johnson,DB,FR,6-2,220,"Cedartown, GA",Cedartown HS
19,Khari Johnson,DB,SO,6-0,185,"Boston, MA",Suffield Academy
39,Nathan Johnson,TE,FR,6-4,205,"Little Rock, AR",Catholic HS
70,Luke Jones,OL,JR,6-5,310,"Little Rock, AR",Pulaski Academy / Notre Dame
