No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
23,Anthony Adkins,RB,SO,6-1,245,"Hodgenville, KY",Larue County
69,Matthew Adoghe,OL,FR,6-3,320,"Suwanee, GA",Peachtree Ridge
50,Ryan Aguilar,LS,JR,6-2,225,"Bakersfield, CA",Liberty HS
86,Isaiah Alston,WR,SO,6-4,200,"Carteret, NJ",Mater Dei Prep (USMAPS)
4,Christian Anderson,QB,SR,6-1,195,"Bronx, NY",Cardinal Hayes
33,Hamilton Baker,LB,SO,6-1,220,"Daphne, AL",Daphne HS
18,Cade Ballard,QB,SO,5-9,205,"Greeneville, TN",Greeneville
26,Josiah Banks,LB,FR,6-1,200,"Lewisville, NC",Mount Tabor
58,Sam Barczak,OL,JR,6-2,275,"Tyrone, GA",Sandy Creek (USMAPS)
40,Cade Barnard,RB,SR,6-3,235,"Seminole, TX",Seminole
73,Dayton Baugh,OL,SO,6-4,280,"Walton, KY",Beechwood (USMAPS)
9,Maurice Bellan,QB,JR,5-10,185,"Fulton, MD",The Peddie School
27,Deante Bernard,DB,SO,5-11,190,"Albuquerque, NM",Sandia HS (USMAPS)
19,Aaron Bibbins,DB,SO,6-1,200,"Kennesaw, GA",Sprayberry (USMAPS)
22,Malik Birchett,LB,FR,6-1,225,"Mooresville, NC",Moorsville (USMAPS)
57,Connor Bishop,OL,JR,6-3,280,"Holland, PA",Archbishop Wood
13,Donovon Blow,DB,FR,5-11,192,"Killeen, TX",Copperas Cove
90,Billy Boehlke,P,SO,5-9,205,"Cleveland, OH",Benedictine
97,Kwabena Bonsu,DL,SR,6-4,285,"Austell, GA",South Cobb
36,Shepherd Bowling,LB,FR,6-0,200,"Katy, TX",Katy
25,Elijah Boyd,DB,JR,6-2,205,"Erlanger, KY",Western Reserve Academy (USMAPS)
37,Tyler Brennan,RB,SO,5-11,200,"Pittsburgh, PA",North Hills HS (USMAPS)
30,Lucky Brooks,RB,FR,5-10,210,"Lafayette, LA",Acadiana (USMAPS)
20,Marquel Broughton,DB,JR,5-10,205,"Lawrenceville, GA",Mountain View (USMAPS)
85,Andrew Bruster-Young,WR,SO,5-11,205,-,-
33,Jakobi Buchanan,RB,JR,6-0,260,"St. Charles, MO",Chaminade Prep (USMAPS)
78,Shayne Buckingham,OL,SO,6-4,275,"Dacula, GA",Dacula (USMAPS)
13,Logan Burks,WR,FR,6-6,205,"Carmel, IN",Carmel
14,Jordan Burrell,DB,FR,6-0,195,"Columbia, SC",Tulare Weston (USMAPS)
51,Brian Burton,LB,FR,5-10,218,"Philadelphia, PA",Midway (USMAPS)
79,Nikai Butler,DL,SO,6-2,275,"Fayetteville, NC",Douglas Byrd HS (USMAPS)
46,Connor Butt,LB,SO,5-11,205,"Scottsdale, AZ",Notre Dame Prep
64,Cameron Callaway,OL,SO,6-0,275,"Aledo, TX",Aledo HS
85,Chris Cameron,TE,SR,6-4,265,"Baton Rouge, LA",Catholic (USMAPS)
34,Andre Carter II,OLB,JR,6-7,250,"Missouri City, TX",Cheshire Academy
29,Adam Cash,DB,FR,5-11,215,"Arlington, TX",Mansfield Timberview (USMAPS)
38,Brandon Castro,LB,FR,5-11,180,"Loganville, GA",Buford
29,Cole Caterbone,WR,JR,6-1,200,"Plantation, FL",St. Thomas Aquinas HS (USMAPS)
42,Wilson Catoe,FB,SR,6-2,245,"Suwanee, GA",Peachtree Ridge
25,MIke Cerniauskas,DB,FR,5-11,210,"Baton Rouge, LA",Catholic
72,Grady Chapman,OL,JR,6-4,285,"Carlisle, PA",Carlisle
7,Jimmy Ciarlo,OLB,SO,6-2,210,"Ringwood, NJ",St. Joseph Regional (USMAPS)
37,Blane Cleaver,LB,FR,6-2,215,"Berwick, PA",Berwick Area
95,Nolan Cockrill,DL,SR,6-3,290,"Centreville, VA",Westfield
