No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
16,Malcolm Askew,DB,SR,5-11,186,"McCalla, AL",McAdory
40,John Reese Bellew,S,FR,6-1,202,"Gadsden, AL",Westbrook Christian
4,Tank Bigsby,RB,SO,6-0,208,"LaGrange, GA",Callaway
28,Jackson Billings,WR,FR,5-10,179,"Huntsville, AL",Westminster Christian
64,Cort Bradley,OL,FR,6-3,292,"Auburn, AL",Auburn
52,Nick Brahms,OL,SR,6-4,302,"Navarre, FL",Navarre
82,Hayden Brice,TE,SR,6-3,222,"Jackson, MS",St. Joseph
20,Cayden Bridges,S,FR,6-2,181,"Magee, MS",Magee
39,Dylan Brooks,EDG,FR,6-4,227,"Roanoke, AL",Handley
43,Kameron Brown,LB,SO,6-0,239,"Sugar Hill, GA",Lanier
92,Marquis Burks,DT,SR,6-3,314,"Chicago, IL",Curie
49,Dre Butler,DT,JR,6-5,298,"Covington, GA",Newton
17,Elijah Canion,WR,SO,6-4,214,"Hollywood, FL",Chaminade-Madonna
80,Ze'Vian Capers,WR,SO,6-4,195,"Alpharetta, GA",Denmark
26,Anders Carlson,K,SR,6-5,220,"Colorado Springs, CO",Classical Academy
91,Oscar Chapman,P,SO,6-3,197,"Adelaide, Australia",Prince Alfred College
55,Brenden Coffey,OL,SR,6-7,292,"Paradise, CA",Paradise
12,Sammy Cohen,S,SO,6-1,222,"Marietta, GA",Pope
71,Brandon Council,OL,SR,6-4,335,"Tar Heel, NC",West Bladen
95,Nick Curtis,DT,FR,6-5,210,"Birmingham, AL",Hoover
18,Dematrius Davis,QB,FR,5-10,202,"Houston, TX",North Shore
41,Jordan Davis,CB,FR,5-11,160,"Montgomery, AL",Carver
3,Tar'Varish Dawson Jr.,WR,FR,5-10,161,"Fort Myers, FL",Lehigh Senior
86,Luke Deal,TE,SO,6-5,255,"Greenwood, SC",Emerald
15,A.D. Diamond,CB,FR,6-0,153,"Mobile, AL",Blount
40,Flynn Driscoll,TE,JR,6-6,242,"Madison, CT",Daniel Hand
22,Trey Elston,CB,SR,6-1,193,"Auburn, AL",Auburn
81,J.J. Evans,WR,FR,6-2,224,"Montevallo, AL",Montevallo
90,Tony Fair,DL,SR,6-1,330,"South Bend, IN",South Bend Washington
1,T.J. Finley,QB,SO,6-7,246,"Ponchatoula, LA",Ponchatoula
93,Daniel Foster-Allen,DE,FR,6-4,258,"Mobile, AL",St. Paul's
87,Brandon Frazier,TE,SO,6-7,267,"McKinney, TX",McKinney North
85,Tyler Fromm,TE,SO,6-5,240,"Warner Robins, GA",Warner Robins
19,Cade Granzow,QB,FR,6-3,220,"Franklin, TN",Brentwood
28,Devin Guice,S,SR,5-9,165,"Opelika, AL",Opelika
29,Derick Hall,EDG,JR,6-3,251,"Gulfport, MS",Gulfport
59,Brodarious Hamm,OL,SR,6-6,334,"Griffin, GA",Spalding
50,Marcus Harris,DL,SO,6-2,279,"Montgomery, AL",Park Crossing
38,Ahmari Harvey,S,FR,6-0,172,"Tallahassee, FL",University School
37,Romello Height,EDG,SO,6-3,214,"Dublin, GA",Dublin
5,Kobe Hudson,WR,SO,6-1,199,"Pine Mountain, GA",Troup County
61,Reed Hughes,LS,FR,6-1,221,"Conway, AR",Conway
27,Jarquez Hunter,RB,FR,5-10,202,"Philadelphia, MS",Neshoba Central
44,Lee Hunter,DT,FR,6-4,321,"Mobile, AL",Blount
24,Jordon Ingram,RB,FR,6-1,199,"Mobile, AL",St. Paul's
