No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
95,Lucas Alonso,DL,FR,6-2,272,"Miami, FL",Westminster Christian School
18,Jack Anders,ATH,SO,6-1,203,"Germantown, MD",Northwest
58,Austin Barber,OL,FR,6-6,312,"Jacksonville, FL",Trinity Christian Academy
36,Cornelius Barnes,ATH,FR,6-0,172,"Tallahassee, FL",Godby
44,Brandon Becar,ATH,SR,6-2,239,"Green Cove Springs, FL",Fleming
30,Diwun Black,LB,JR,6-3,228,"Forest, MS",Osceola
19,Elijah Blades,DB,SR,6-2,183,"Pasadena, CA",Muir
50,Kaleb Boateng,OL,SO,6-4,285,"Fort Lauderdale, FL",Fort Lauderdale
8,Khris Bogle,OLB,JR,6-4,242,"Fort Lauderdale, FL",Cardinal Gibbons
91,Justus Boone,DL,FR,6-4,252,"Sumter, SC",Sumter HS
36,Chief Borders,LB,FR,6-4,241,"Chicago, IL",Heard County (Ga.)
23,Demarkcus Bowman,RB,FR,5-10,193,"Lakeland, FL",Lakeland HS
46,John Brady,ATH,SO,5-11,189,"Tallahassee, FL",Bolles School
72,Josh Braun,OL,SO,6-6,342,"Live Oak, FL",Suwannee
34,Lacedrick Brunson,LB,SR,6-2,229,"Miami, FL",Miami Jackson
88,Marcus Burke,WR,FR,6-4,187,"Jacksonville, FL",Trinity Christian Academy
2,Amari Burney,LB,SR,6-2,239,"St. Petersburg, FL",Calvary Christian
6,Zachary Carter,DL,SR,6-4,285,"Tampa, FL",Hillsborough
10,Andrew Chatfield Jr.,OLB,JR,6-2,260,"Plantation, FL",American Heritage
47,Jace Christmann,K,SR,6-1,200,"Houston, TX",Memorial
79,Hayden Clem,OL,FR,6-2,290,"Maitland, FL",Winter Park
20,Corey Collier Jr.,S,FR,6-1,176,"Miami, FL",Miami Palmetto
1,Jacob Copeland,WR,JR,6-0,202,"Pensacola, FL",Escambia
1,Brenton Cox Jr.,OLB,JR,6-4,253,"Stockbridge, GA",Stockbridge
26,Jeremy Crawshaw,P,FR,6-4,193,"New South Wales, Australia",-
33,Daniel Cross,ATH,JR,6-0,178,"Orlando, FL",East River
57,Coleman Crozier,ATH,JR,5-11,203,"Plantation, FL",St. Thomas Aquinas
