No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
18,Derrik Allen,DB,SO,6-2,208,"Marietta, GA",Notre Dame
28,Tony Amerson,RB,FR,5-11,218,"Montgomery, AL",St. James School
15,Trad Beatty,QB,SO,6-5,220,"Columbia, SC",Temple
86,Nathan Bell,DL,FR,6-3,235,"Moultrie, GA",Colquitt County HS
88,Zeek Biggers,DL,FR,6-6,363,"Salisbury, NC",West Rowan HS
25,James BlackStrain,WR,FR,6-2,190,"Cocoa, FL",Holy Trinity Episcopal Academy
21,Leo Blackburn,WR,FR,6-5,220,"Atlanta, GA",Westlake HS
9,Avery Boyd,WR,FR,6-2,212,"Tallahassee, FL",Godby HS
0,Djimon Brooks,DL,SR,6-1,286,"Sandersville, GA",Washington County HS
20,Miles Brooks,DB,FR,6-2,184,"Jacksonville, FL",Trinity Christian Academy
35,Sirad Bryant,DB,FR,6-2,200,"Cordele, GA",Crisp County HS
50,Jamal Camp,OL,FR,6-2,289,"Cumming, GA",South Forsyth HS
2,Tariq Carpenter,DB,SR,6-4,225,"Ludowici, GA",Long County HS
49,Grey Carroll,DL,FR,6-3,256,"Alcoa, TN",Alcoa HS
7,Malachi Carter,WR,JR,6-3,195,"Lawrenceville, GA",Mountain View HS
96,Albany Casey,DL,FR,6-4,239,"Bay Minnett, AL",Baldwin County HS
5,T.K. Chimedza,DL,SO,6-3,322,"Dacula, GA",IMG Academy (Fla.)
42,Brent Cimaglia,PK,SR,6-0,219,"Nashville, TN",Tennessee
9,Antonneous Clayton,DL,SR,6-3,256,"Vienna, GA",Florida
77,Devin Cochran,OL,SR,6-7,314,"Norcross, GA",Vanderbilt
34,Jack Coco,LS,JR,6-2,232,"Johns Creek, GA",Johns Creek HS
43,Noah Collins,DL,FR,6-4,225,"Loganville, GA",Grayson HS
55,Kenny Cooper,OL,SR,6-3,325,"Calhoun, GA",Sonoraville HS
39,Thomas Culwell,DB,SR,5-8,160,"Carrollton, GA",Carrollton HS
30,Trent Davis,WR,FR,5-11,167,"Douglas, GA",Coffee HS
83,Dylan Deveney,TE,SO,6-6,265,"Medford, NJ",The Hun School
42,Jordan Domineck,DL,SO,6-3,235,"Lakeland, FL",George Jenkins HS
99,D'Quan Douse,DL,FR,6-2,292,"Savannah, GA",Calvary Day School
22,Kaleb Edwards,DB,FR,6-0,200,"Dacula, GA",Dacula HS
10,Ayinde Eley,LB,JR,6-3,232,"Olney, MD",Maryland
22,Devin Ellison,RB,FR,5-9,200,"Jacksonville, FL",Bartram Trail HS
11,Marquez Ezzard,WR,SO,6-2,212,"Atlanta, GA",Miami (Fla.)
53,Deion Fisher,LB,FR,6-2,232,"McDonough, GA",Eagles Landing Christian Academy
72,Weston Franklin,OL,FR,6-4,316,"Jesup, GA",Wayne County HS
34,Khatavian Franks,LB,FR,6-2,215,"Fairburn, GA",Creekside HS
46,Henry Freer,LS,FR,6-0,215,"College Park, GA",Woodward Academy
67,Joe Fusile,OL,FR,6-6,320,"Richmond Hill, GA",Richmond Hill HS
1,Jahmyr Gibbs,RB,FR,5-11,200,"Dalton, GA",Dalton HS
33,Daylon Gordon,RB,FR,5-9,190,"Eastman, GA",Dodge County HS
7,Bryce Gowdy,WR,FR,6-3,210,"Deerfield Beach, FL",Deerfield Beach HS
76,Wing Green,OL,FR,6-7,309,"Leesburg, GA",Lee County HS
95,Ja'Quon Griffin,DL,SO,6-0,258,"Rome, GA",Rome HS
6,Jamious Griffin,RB,SO,5-10,210,"Rome, GA",Rome HS
38,Casey Gunn,DB,FR,6-0,185,"Alpharetta, GA",Denmark HS
48,Carson Harof,WR,FR,5-11,185,"Woodstock, GA",Blessed Trinity Catholic HS
11,Kevin Harris,DL,FR,6-4,240,"Loganville, GA",Alabama
18,Peje' Harris,WR,SO,6-3,211,"Newnan, GA",Newnan HS
31,Jamal Haynes,WR,FR,5-9,175,"Loganville, GA",Grayson HS
37,Colin Hemingway,RB,FR,5-6,185,"Boyds, MD",Poolesville HS
21,Jalen Huff,DB,FR,5-11,189,"Athens, GA",Buford HS
23,Jordan Huff,DB,FR,6-2,188,"Madison, GA",Morgan County HS
15,Jared Ivey,DL,FR,6-6,275,"Suwanee, GA",North Gwinnett HS
4,Quez Jackson,LB,JR,6-1,215,"Fort Valley, GA",Peach County HS
24,Kenan Johnson,DB,FR,6-1,182,"Minneola, FL",Lake Minneola HS
70,Ryan Johnson,OL,SR,6-6,307,"Brentwood, TN",Tennessee
30,Tamarii Jones-Cummings,DB,FR,6-2,195,"Fort Lauderdale, FL",Nova Southeastern University School
29,Bruce Jordan-Swilling,RB,SR,6-1,220,"New Orleans, LA",Brother Martin HS
87,Jude Kelley,PK,FR,6-1,172,"Acworth, GA",Allatoona HS
