No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
44,Thomas Allen,LB,SR,6-3,240,"Tampa, FL",Plant
10,Ryder Anderson,DL,SR,6-6,266,"Katy, TX",Katy / Ole Miss
4,David Baker,WR,FR,6-3,195,"Indianapolis, IN",Scecina Memorial
20,Tim Baldwin Jr.,RB,SO,6-0,211,"Nokesville, VA",Patriot
88,AJ Barner,TE,SO,6-6,245,"Aurora, OH",Aurora
39,Ryan Barnes,TE,JR,6-4,244,"Noblesville, IN",Noblesville
76,Matthew Bedford,OL,JR,6-6,310,"Cordova, TN",Cordova
67,Kahlil Benson,OL,FR,6-6,319,"Southaven, MS",Southaven
89,Matt Bjorson,TE,SR,6-3,241,"Hinsdale, IL",Hinsdale Central
48,James Bomba,TE,FR,6-6,255,"Bloomington, IN",Bloomington South / Miami (Ohio)
24,Bryson Bonds,DB,SO,6-1,201,"Crowley, TX",Crowley
42,D.K. Bonhomme,OLB,JR,6-3,235,"Ottawa, Canada",Clearwater Academy International (Fla.)
58,Chris Bradberry,OL,SR,6-6,306,"Rancho Cucamonga, CA",Etiwanda / Riverside (Calif.) Community College
12,Da'Shaun Brown,WR,SO,6-2,180,"Racine, WI",St. Catherine's
92,Alfred Bryant,OLB,SR,6-2,250,"Fresno, TX",Manvel
1,Camron Buckley,WR,SR,6-2,198,"Cedar Hill, TX",Cedar Hill / Texas A&M
5,Juwan Burgess,DB,SR,6-1,199,"Tampa, FL",Plant
63,Andy Buttrell,OL,FR,6-5,295,"Argyle, TX",Liberty Christian
93,Charles Campbell,K,JR,5-9,175,"Jackson, TN",University School of Jackson
50,Zach Carpenter,OL,SO,6-5,320,"Cincinnati, OH",Archbishop Moeller / Michigan
5,Stephen Carr,RB,SR,6-1,215,"Gardena, CA",Summit / USC
46,Aaron Casey,LB,JR,6-2,228,"Douglasville, GA",Alexander
36,Chris Childers,RB,JR,6-0,220,"Matteson, IL",St. Rita / Indiana State University
26,Gabe Cohen,DB,SR,6-1,212,"Sloatsburg, NY",The Hun School (N.J.) / Villanova University
20,Joseph Daniels Jr.,DB,JR,5-8,192,"Johns Creek, GA",Roswell
49,Sam Daugstrup,TE,FR,6-5,230,"Cleveland, OH",Saint Ignatius
60,Dalton Davis,DL,SO,6-1,262,"Noblesville, IN",Noblesville
80,Connor Delp,WR,FR,5-10,170,"Greenwood, IN",Center Grove
94,Demarcus Elliott,DL,SR,6-3,307,"Garden City, KS",Garden City / Garden City C.C. (Kan.)
10,David Ellis,RB,JR,6-1,214,"Clinton Township, MI",Chippewa Valley
22,Davion Ervin-Poindexter,RB,JR,5-11,190,"Merrillville, IN",Brother Rice (Ill.)
94,James Evans,P,FR,6-1,222,"Auckland, New Zealand",Sacred Heart College Auckland
54,Brady Feeney,OL,FR,6-4,320,"St. Louis, MO",Christian Brothers College
53,Vinny Fiacable,OL,FR,6-4,318,"Fort Wayne, IN",Bishop Dwenger
39,Patrick Finley,DB,FR,6-0,188,"Fort Wayne, IN",Bishop Dwenger
31,Bryant Fitzgerald,DB,SR,6-0,208,"Indianapolis, IN",Avon
80,Chris Freeman,K,FR,6-2,190,"Zionsville, IN",Zionsville
22,Maurice Freeman,LB,FR,6-0,200,"Norfolk, VA",Oscar Smith
3,Ty Fryfogle,WR,SR,6-2,205,"Lucedale, MS",George County
16,Grant Gremel,QB,SO,6-3,200,"Noblesville, IN",Noblesville
16,Jordan Grier,DB,FR,6-0,193,"Ellenwood, GA",Cedar Grove
36,Nicholas Grieser,DB,SO,6-0,187,"New Castle, IN",New Castle
70,Luke Haggard,OL,SR,6-7,305,"Petaluma, CA",Petaluma / Santa Rosa J.C. (Calif.)
13,Jaren Handy,OLB,JR,6-6,255,"Hattiesburg, MS",Hattiesburg / Auburn
82,Christian Harris,WR,SR,6-3,176,"Wheaton, IL",Wheaton-Warrenville South / College of DuPage (Ill.)
17,Jonathan Haynes,DB,SR,5-11,205,"Benoit, MS",Ray Brooks School / Ole Miss
6,James Head Jr.,DL,SR,6-5,262,"Miami, FL",Southridge
86,Peyton Hendershot,TE,SR,6-4,254,"North Salem, IN",Tri-West
2,Jacolby Hewitt,WR,JR,6-1,198,"Cordova, TN",Cordova
43,Matt Hohlt,LB,FR,6-2,220,"Greenwood, IN",Center Grove
33,Connor Hole,DB,FR,5-11,177,"Jamestown, IN",Western Boone
33,David Holloman,RB,FR,6-0,215,"Auburn Hills, MI",Avondale
19,Malachi Holt-Bennett,WR,FR,6-3,180,"Birmingham, AL",Fairfield High Preparatory School
71,Randy Holtz,OL,FR,6-7,340,"Fort Wayne, IN",Snider
23,Trent Howland,RB,FR,6-3,230,"Joliet, IL",Joliet West
83,Eli Jochem,WR,FR,6-1,180,"Gibsonia, PA",Pine-Richland
77,Caleb Jones,OL,SR,6-8,362,"Indianapolis, IN",Lawrence North
4,Cam Jones,LB,SR,6-3,224,"Memphis, TN",St. Benedict at Auburndale
98,Cooper Jones,DL,FR,6-6,270,"Valparaiso, IN",Valparaiso
52,Shamar Jones,DL,JR,6-1,264,"Johnstown, PA",Greater Johnstown
25,Will Jontz,QB,SO,6-3,224,"Brighton, MI",Brighton
30,Jordan Jusevitch,DB,JR,6-1,193,"Lowell, IN",Lowell
57,Julian Kameristy,DL,FR,6-2,253,"Chicago, IL",IMG Academy
56,Mike Katic,OL,SO,6-4,312,"Gibsonia, PA",Pine-Richland
7,Christopher Keys,DB,FR,6-0,185,"Collins, MS",Collins
83,Asher King,P,SO,6-2,208,"Westfield, IN",Heritage Christian
18,Jonathan King,DL,JR,6-3,252,"Tampa, FL",Tampa Bay Tech
62,Cameron Knight,OL,FR,6-3,281,"Noblesville, IN",Noblesville
99,Weston Kramer,DL,SR,6-2,290,"Naperville, IL",Marmion Academy / Northern Illinois
55,Luke Lane,OL,SO,6-3,322,"Lebanon, OH",Lebanon
0,Raheem Layne,DB,SR,6-1,200,"Deland, FL",Sebastian River
67,Christian Love,DL,JR,6-0,288,"Detroit, MI",Detroit Country Day School
74,Nick Marozas,OL,JR,6-5,279,"Chicago, IL",Brother Rice
13,Miles Marshall,WR,JR,6-4,212,"Lilburn, GA",Parkview
1,Devon Matthews,DB,SR,6-2,205,"Jacksonville, FL",Ribault
7,D.J. Matthews Jr.,WR,SR,5-11,160,"Jacksonville, FL",Trinity Christian Academy / Florida State
59,Gavin McCabe,DL,JR,6-4,291,"Oak Lawn, IL",Marist
9,Marcelino McCrary-Ball,DB,SR,6-0,214,"Roswell, GA",Roswell
0,Donaven McCulley,QB,FR,6-5,210,"Indianapolis, IN",Lawrence North
25,Deland McCullough II,DB,SO,6-1,202,"Bloomington, IN",Blue Valley North (Kan.) / Miami (Ohio)
47,Micah McFadden,LB,SR,6-2,232,"Tampa, FL",Plant
15,Zack Merrill,QB,SO,5-11,208,"Hobart, IN",Andrean
8,James Miller,LB,JR,6-2,223,"Tampa, FL",Armwood
3,Tiawan Mullen,DB,JR,5-10,180,"Fort Lauderdale, FL",Coconut Creek
96,Caleb Murphy,DL,FR,6-4,270,"Campbellsburg, IN",West Washington
50,Sio Nofoagatoto'a,DL,JR,6-3,315,"Ili'ili, American Samoa",Clearwater Academy International (Fla.)
51,Mackenzie Nworah,OL,SR,6-4,332,"Houston, TX",Manvel
79,Charlie O'Connor,OL,JR,6-2,303,"Western Springs, IL",Lyons Township
38,Drew Pearce,DB,FR,5-11,183,"Tipton, IN",Tipton
9,Michael Penix Jr.,QB,JR,6-3,218,"Tampa, FL",Tampa Bay Tech
55,C.J. Person,DL,SO,6-3,292,"Montgomery, AL",Montgomery Catholic Preparatory School
21,Noah Pierre,DB,JR,5-11,182,"Hialeah, FL",Champagnat Catholic
72,Dylan Powell,OL,SR,6-3,310,"Hannibal, MO",Hannibal / Stanford University
66,Aidan Rafferty,OL,JR,6-6,298,"Kensington, MD",Gonzaga College
85,McCall Ray,WR,SO,5-11,192,"Bedford, IN",Bedford North Lawrence
41,Beau Robbins,DL,SO,6-5,260,"Carmel, IN",Carmel
81,Kurtis Robinson,LS,FR,6-3,191,"Alpharetta, GA",Johns Creek
52,Joshua Sales Jr.,OL,FR,6-6,319,"Brownsburg, IN",Brownsburg
19,Josh Sanguinetti,DB,SO,6-1,185,"Lauderdale Lakes, FL",University School
69,Peter Schulz,OL,SO,6-2,251,"Franklin, MI",Brother Rice
27,Luke Shayotovich,WR,JR,5-8,177,"Avon, IN",Avon
8,Jaquez Smith,WR,FR,6-1,200,"Fairburn, GA",Westlake
15,Larry Smith III,DB,FR,5-11,175,"Jacksonville, FL",Oakleaf
90,Jared Smolar,K,SR,5-11,221,"Valparaiso, IN",Valparaiso / Rutgers University
28,Charlie Spegal,RB,FR,5-10,219,"New Palestine, IN",New Palestine
84,Aaron Steinfeldt,TE,FR,6-5,245,"Bloomington, IN",Bloomington North
64,Race Stewart,DL,FR,6-3,298,"Bloomington, IN",Bloomington North
18,Javon Swinton,WR,SO,6-2,187,"Stafford, VA",North Stafford
61,Ricky Tamis,OL,SO,6-3,301,"Miami Beach, FL",Miami Beach Senior
85,Khameron Taylor,TE,SR,6-4,261,"Alachua, FL",Santa Fe / University of South Alabama
2,Reese Taylor,DB,SR,5-11,185,"Indianapolis, IN",Ben Davis
35,DeKaleb Thomas,DB,JR,6-0,185,"Jeffersonville, IN",Trinity (Ky.)
14,Larry Tracy III,DB,SO,5-11,182,"Indianapolis, IN",Decatur Central
27,Xavier Trueblood,LB,FR,5-11,215,"Bloomington, IN",Bloomington North
45,Andrew Turvy,LB,FR,6-2,230,"Carmel, IN",Carmel
14,Jack Tuttle,QB,JR,6-4,212,"San Marcos, CA",Mission Hills / University of Utah
45,Trey Walker,TE,SO,6-5,245,"Winnetka, IL",New Trier
53,Stephen Walker II,DL,SO,6-3,302,"Indianapolis, IN",Brebeuf Jesuit
34,Chase Washington,DB,SR,5-11,180,"Bloomington, IN",Bloomington South
12,Lem Watley-Neely,DB,FR,6-0,180,"Harper Woods, MI",Harper Woods
73,Tim Weaver,OL,SO,6-6,315,"Hellertown, PA",Saucon Valley
97,Jake Wellmann,LS,FR,6-1,225,"Indianapolis, IN",Warren Central
49,Brett Wethington,LB,FR,6-0,210,"Thorntown, IN",Western Boone
95,Antoine Whitner Jr.,DL,SO,6-5,305,"Bradenton, FL",IMG Academy
75,Luke Wiginton,OL,FR,6-5,310,"Fort Wayne, IN",Bishop Dwenger
40,Cameron Williams,LB,SO,6-3,218,"Merrillville, IN",Andrean
23,Jaylin Williams,DB,SR,6-0,182,"Memphis, TN",Germantown
17,Jordyn Williams,WR,FR,6-1,184,"Albany, GA",Trinity Christian School
5,Dexter Williams II,QB,FR,6-1,213,"Macon, GA",Mount de Sales Academy
