No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
11,Chase Allen,TE,SR,6-7,250,"Nixa, MO",Nixa
6,Jaquan Amos,DB,SR,6-1,200,"Philadelphia, PA",Northeast / Villanova
84,Ezeriah Anderson,WR,SO,6-5,230,"Seffner, FL",Armwood
33,Cale Anthony,RB,FR,6-1,215,"Pleasantville, IA",Pleasantville
14,Michal Antoine Jr.,DB,SO,6-0,190,"Ft. Lauderdale, FL",Cardinal Gibbons
96,Connor Assalley,PK,SR,6-0,205,"Naperville, IL",Central
8,Cordarrius Bailey,DE,SR,6-3,255,"Clarksdale, MS",Clarksdale
85,Aidan Bitter,WR,SO,6-2,190,"Tampa, FL",Steinbrenner
39,Tyler Bittman,PK,FR,6-2,195,"Hartland, WI",Arrowhead
63,Jim Bonifas,OL,FR,6-5,280,"Dubuque, IA",Senior
14,Aidan Bouman,QB,FR,6-6,250,"Buffalo, MN",Buffalo
21,Jirehl Brock,RB,SO,6-0,215,"Quincy, IL",Quincy
99,Howard Brown,DL,FR,6-2,325,"Kansas City, MO",Lincoln College Prep
33,Mason Chambers,DB,SO,6-3,205,"Schertz, TX",Clemens
10,Blake Clark,QB,JR,6-2,210,"West Des Moines, IA",Dowling Catholic
19,Beau Coberley,WR,JR,5-11,185,"Nevada, IA",West Marshall
18,Ashton Cook,QB,FR,6-5,205,"Iowa City, IA",Regina
43,Dae'Shawn Davis,LB,SO,6-0,215,"Cleveland, OH",Shaw
87,Easton Dean,TE,SO,6-6,255,"Oswego, KS",Labette County
12,Hunter Dekkers,QB,FR,6-3,235,"Hawarden, IA",West Sioux
52,Trevor Downing,OL,JR,6-4,310,"Creston, IA",Creston
34,Blaze Doxzon,RB,FR,5-9,205,"Omaha, NE",Elkhorn South
48,Benjamin Dunkleberger,DB,JR,6-0,175,"Lake Mills, WI",Lake Mills
0,Corey Dunn,P,SR,6-0,200,"Numurkah, Australia",Numurkah
31,Virdel Edwards II,DB,SO,6-1,210,"Plano, TX",Prestonwood Christian
12,Greg Eisworth II,DB,SR,6-0,205,"Grand Prairie, TX",South
75,Sean Foster,OL,SR,6-8,325,"Mundelein, IL",Carmel Catholic
17,Beau Freyler,DB,FR,6-2,205,"Colorado Springs, CO",Pine Creek
16,Answer Gaye,RB,JR,5-10,175,"Des Moines, IA",Hoover
20,Hayes Gibson,QB,FR,6-1,190,"Ankeny, IA",Centennial
97,Jayden Gray,DE,FR,6-3,240,"Haslet, TX",V.R. Eaton
53,Derek Greiner,LB,SR,5-11,230,"Williamsburg, IA",Williamsburg
98,Seth Greiner,DE,FR,6-3,275,"Monroe, IA",PCM
59,Connor Guess,DS,JR,5-11,215,"Van Meter, IA",Van Meter
28,Breece Hall,RB,JR,6-1,220,"Wichita, KS",Northwest
83,DeShawn Hanika,TE,SO,6-6,245,"Topeka, KS",Hayden / Butler CC
41,Koby Hathcock,LS,SO,5-10,215,"Mesa, AZ",Desert Ridge
59,Jack Hester,OL,FR,6-4,270,"Bettendorf, IA",Bettendorf
86,Jacob Hillmann,TE,JR,6-2,230,"Gilbert, IA",Gilbert
20,Aric Horne,LB,SO,6-1,225,"Jacksonville, FL",Raines
77,Robert Hudson,OL,SR,6-7,345,"Walled Lake, MI",Western
54,Jarrod Hufford,OL,SO,6-5,310,"Newark, OH",Licking Valley
35,Jake Hummel,LB,SR,6-1,235,"Des Moines, IA",Dowling Catholic
38,Levi Hummel,LB,SO,5-11,220,"Des Moines, IA",Dowling Catholic
8,Xavier Hutchinson,WR,SR,6-3,210,"Jacksonville, FL",Bartram Trail
41,Drew Iutzwig,TE,FR,6-6,265,"Batavia, IL",Batavia
16,Daniel Jackson,WR,FR,6-2,220,"Cibolo, TX",Steele
47,Kendell Jackson,LB,JR,5-11,225,"Des Moines, IA",Roosevelt
81,D'Shayne James,WR,FR,6-3,215,"Gilbert, AZ",Perry
26,Anthony Johnson Jr.,DB,SR,6-0,200,"St. Petersburg, FL",St. Petersburg
89,Trent Jones II,DE,FR,6-3,250,"Eden Prairie, MN",Eden Prairie
29,Vonzell Kelley III,DB,SO,6-0,185,"Lee's Summit, MO",West
61,Evan Kilstrom,OL,SO,6-5,325,"Bettendorf, IA",Pleasant Valley
19,Kym-Mani King,DB,JR,5-10,185,"New Port Richey, FL",Mitchell
49,Stevo Klotz,TE,FR,6-4,250,"Chaska, MN",Chaska
88,Charlie Kolar,TE,SR,6-6,260,"Norman, OK",North
94,Kyle Krezek,DT,SO,6-3,275,"Cedar Rapids, IA",Xavier
13,Tayvonn Kyle,DB,JR,5-11,180,"Valdosta, GA",Lowndes
78,Nick Lawler,OL,FR,6-3,330,"Clare, IA",Ft. Dodge St. Edmond
93,Isaiah Lee,DT,JR,6-0,305,"Chicago, IL",Nazareth Academy
