No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
37,Grayden Addison,P,FR,5-11,200,"Noblesville, IN",Noblesville HS
46,D'Marion Alexander,DE,FR,6-5,215,"China Spring, TX",China Spring HS
40,Tabor Allen,K,SO,6-1,183,"Mansfield, TX",Mansfield Lakeridge HS
91,Jelani Arnold,DL,SR,6-2,265,"Irving, TX",MacArthur HS
2,Lawrence Arnold,WR,FR,6-3,195,"DeSoto, TX",DeSoto HS
17,Jason Bean,QB,JR,6-3,189,"Mansfield, TX",Lake Ridge HS
6,Taiwan Berryhill,LB,SO,6-2,235,"New Orleans, LA",St. Augustine HS
0,Nate Betts,LB,SR,6-1,225,"Kerens, TX",Kerens HS
83,Jacob Borcila,K,SO,6-2,177,"Westerville, OH",Westerville Central HS
68,Earl Bostick Jr.,OL,SR,6-6,290,"Barnwell, SC",Barnwell HS
82,Mason Brotherton,TE,FR,6-4,242,"Mena, AR",Mena HS
18,Jordan Brown,WR,FR,5-11,188,"Grand Prairie, TX",DeSoto HS
49,Krishawn Brown,LB,FR,6-1,206,"Tulsa, OK",Booker T. Washington HS
2,Jacobee Bryant,CB,FR,6-0,170,"Evergreen, AL",Hillcrest HS
5,O.J. Burroughs,S,FR,5-10,175,"Savannah, GA",IMG Academy
93,Sam Burt,DL,SR,6-4,288,"Abilene, KS",Abilene HS
77,Bryce Cabeldue,OL,FR,6-6,282,"Clovis, NM",Clovis HS
97,Kenean Caldwell,DL,SO,6-2,333,"Oak Grove, LA",Oak Grove HS
47,Jared Casey,FB,FR,6-0,254,"Plainville, KS",Plainville HS
41,Nick Channel,LB,JR,6-0,214,"Wichita, KS",Kapaun Mt. Carmel HS
61,Malik Clark,OL,SR,6-4,323,"New Orleans, LA",Warren Easton HS
26,Jack Codwell,RB,FR,6-0,222,"Pearland, TX",IMG Academy
86,Mac Copeland,TE,JR,6-4,258,"Wichita, KS",Wichita Collegiate HS
16,Cam'Ron Dabney,CB,FR,5-10,180,"Atlanta, GA",Cherokee Bluff HS
