No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
12,Alex Adams,WR,SO,6-0,196,"Osyka, MS",South Pike HS
3,Andre Anthony,DE,SR,6-4,251,"New Orleans, LA",Edna Karr HS
24,Carter Arceneaux,WR,FR,5-11,183,"Lafayette, LA",St. Thomas More HS
18,Avery Atkins,PK,SR,6-0,218,"Auburn, AL",Auburn HS
31,Peyton Badyrka,PK,FR,6-3,166,"Dunmore, PA",Dunmore HS
23,Micah Baskerville,LB,SR,6-2,223,"Shreveport, LA",Evangel Christian Academy
80,Jack Bech,WR,FR,6-2,207,"Lafayette, LA",St. Thomas More HS
54,Aaron Benfield,LB,SO,6-0,225,"Lafitte, LA",E.D. White Catholic HS
64,Josh Billedeaux,OL,FR,6-2,312,"Lafayette, LA",St. Thomas More HS
42,Lane Blue,LB,FR,6-1,247,"Chatham, LA",Neville HS
86,Caleb Bonine,TE,FR,6-3,214,"Baton Rouge, LA",Catholic HS / Northwestern St.
1,Kayshon Boutte,WR,SO,6-0,190,"New Iberia, LA",Westgate HS
75,Anthony Bradford,OL,SO,6-5,365,"Muskegon, MI",Muskegon HS
26,Tre Bradford,RB,SO,6-0,200,"Dallas, TX",Lancaster HS
15,Myles Brennan,QB,SR,6-4,210,"Long Beach, MS",St. Stanislaus HS
28,Major Burns,DB,FR,6-3,178,"Baton Rouge, LA",Madison Prep Academy / Georgia
38,Pig Cage,DB,FR,5-11,198,"Kenner, LA",Archbishop Rummel HS / Nicholls
17,Zavier Carter,DE,FR,6-4,199,"Atlanta, GA",Hapeville Charter Academy
55,Jarell Cherry,DE,JR,6-2,259,"Dallas, TX",Carter HS
41,Jake Chiasson,TE,FR,5-11,213,"Lafayette, LA",St. Thomas More HS
18,Damone Clark,LB,SR,6-3,240,"Baton Rouge, LA",Southern Lab HS
32,Lloyd Cole,CB,SR,5-11,200,"Bossier City, LA",Parkway HS / Grambling
6,Derrick Davis Jr.,DB,FR,6-0,198,"Pittsburgh, PA",Gateway HS
3,Tyrion Davis-Price,RB,JR,6-1,223,"Baton Rouge, LA",Southern Lab HS
76,Austin Deculus,OT,SR,6-7,325,"Mamou, LA",Cy-Fair HS
72,Garrett Dellinger,OL,FR,6-5,303,"Clarkston, MI",Clarkston HS
35,Nick Demas,RB,FR,6-0,198,"Westfield, IN",Guerin Catholic HS
46,Charlie Drost,TE,FR,6-4,236,"Lake Charles, LA",St. Louis Catholic HS
74,Marcus Dumervil,OL,FR,6-5,310,"Lauderdale Lakes, FL",St. Thomas Aquinas HS
4,John Emery Jr.,RB,JR,6-0,215,"St. Rose, LA",Destrehan HS
24,Darren Evans,CB,SR,6-3,174,"Baton Rouge, LA",Glen Oaks HS / Nicholls
94,Joseph Evans,DT,SO,6-1,306,"Haynesville, LA",Haynesville HS
36,Messiah Farinas,S,FR,6-0,173,"Houston, TX",Westside HS
92,Neil Farrell Jr.,DT,SR,6-4,325,"Mobile, AL",Murphy HS
12,Tavion Faulk,QB,FR,6-1,167,"Carencro, LA",Carencro HS
37,Hunter Faust,LB,JR,6-1,216,"New Orleans, LA",Jesuit HS
49,Jonathan Ferguson,LS,FR,6-1,222,"Sacramento, CA",Davis Senior HS
25,Cordale Flott,CB,JR,6-2,170,"Saraland, AL",Saraland HS
