No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
6,Micah Abraham,DB,SO,6-2,175,"Tampa, FL",East Lake
71,Tarik Adams,OL,SR,6-4,329,"Valdosta, GA",Lowndes
0,Shadeed Ahmed,WR,SO,6-0,172,"Richmond, TX",Navarro College
22,Rasheen Ali,RB,FR,6-0,201,"Cleveland, OH",Shaker Heights
86,Timothy Allen,WR,JR,6-0,180,"Capitol Heights, MD",Bowie State
58,Elijah Alston,DL,FR,6-3,248,"Chesapeake, VA",Oscar Smith
25,J'Coryan Anderson,LB,SO,6-2,231,"Knoxville, TN",Fulton
48,Zach Appio,LS,JR,5-11,206,"Normal, IL",Central Catholic
56,Emmanuel Balogun,DL,FR,6-7,253,"Oshogbo, Nigeria",Fork Union
7,Abraham Beauplan,LB,JR,6-2,223,"Boynton Beach, FL",Navarro College
70,Sean Behrens,OL,SR,6-3,320,"Lithia, FL",Newsome
30,Tyriek Bell,LB,JR,6-2,210,"Blythewood, SC",Saddleback College
17,Charles Bell VI,DB,FR,6-2,188,"Gaithersburg, MD",Quince Orchard
77,Tristen Bittner,OL,FR,6-5,320,"Wheeling, WV",Wheeling Park
47,Matthew Bosset,LS,FR,6-2,216,"Ormond Beach, FL",Seabreeze
10,Joshua Bowers,DB,JR,6-2,182,"Bradenton, FL",Navarro College
97,Kenyon Bowyer,K,SO,5-9,190,"Sacramento, CA",Sierra College
26,Chancellor Bright,DB,FR,6-4,169,"Knoxville, TN",Knoxville Catholic
53,Johran Broadnax,LB,JR,6-2,196,"Columbia, SC",U. of Pikeville
44,Hunter Burns,LS,FR,6-0,225,"Charleston, WV",South Charleston
0,Sam Burton,DL,SO,6-2,226,"Boca Raton, FL",Spanish River
59,Immanuel Bush,DL,FR,6-1,290,"Lancaster, SC",Lancaster
96,Jordan Calomese,DL,SO,6-4,246,"Bay Saint Louis, MS",Ms. Gulf Coast CC
90,Esaias Carpenter,DL,JR,6-4,285,"Wichita, KS",Butler CC
16,Brian Cavicante,LB,SR,6-2,213,"Portsmouth, VA",Delaware State
96,Shane Ciucci,K,SO,5-9,178,"Livonia, MI",Fresno State
94,Jayshaun Coffman,DL,FR,6-5,297,"Lexington, KY",Frederick Douglass
85,Caleb Coombs,WR,FR,5-11,184,"Leesburg, VA",St. John's College HS
39,Kentreaz Coston,DB,FR,6-1,190,"Edenton, NC",John A. Holmes
92,Rodney Croom,DL,JR,6-2,268,"Cincinnati, OH",Winton Woods
32,Koby Cumberlander,DL,JR,6-3,227,"Roswell, GA",Roswell
6,Cade Cunningham,QB,FR,6-4,169,"Wake Forest, NC",Heritage
54,Darion Dearinger,DL,FR,6-2,249,"Lawrenceburg, KY",Anderson County
8,Brandon Drayton,S,SR,6-3,195,"Largo, FL",Largo
52,Ethan Driskell,OL,FR,6-9,314,"Louisville, KY",Holy Cross
41,J.T. Dukes,LB,FR,6-2,212,"Bogart, GA",North Oconee
9,Jamare Edwards,DL,JR,6-3,275,"Miami, FL",Carol City
36,Jason Edwards,LB,JR,6-2,221,"Bluefield, WV",WVU
11,JoJo Evans,S,FR,6-2,192,"Palm Beach Gardens, FL",Palm Beach Gardens
5,Sheldon Evans,RB,JR,5-11,192,"Roswell, GA",Roswell
64,Chris Everhart,OL,FR,6-3,299,"Greeneville, TN",Greeneville
14,Cam Fancher,QB,FR,6-1,195,"Huber Heights, OH",Wayne
54,Steven Faucheux,OL,SO,6-5,293,"Liberty Township, OH",Purdue
35,Isaiah Finnie,LB,FR,6-1,205,"Hollywood, FL",McArthur
18,Daniel Foster,DL,FR,6-3,228,"Riviera Beach, FL",Dwyer
11,Xavier Gaines,TE,SR,6-3,216,"Frostproof, FL",Lake Wales
7,Corey Gammage,WR,SO,6-4,220,"Delray Beach, FL",Atlantic Community
3,Steven Gilmore,DB,JR,6-2,169,"Rock Hill, SC",South Pointe
70,Chris Graham,OL,FR,6-3,317,"Jacksonville, FL",Florida State
1,Charlie Gray,LB,JR,6-3,207,"Edwardsville, KS",Butler County CC
66,Garrett Green,OL,FR,6-2,307,"Hurricane, WV",Hurricane
62,Emmanuel Haefele,OL,JR,6-5,247,"Ehingen, Germany",N.M. Military Institute
87,Hayden Hagler,TE,SO,6-4,222,"Sulphur, LA",Blinn College
23,Ethan Hahn,WR,FR,5-8,175,"Richmond, KY",Madison Central
33,Josh Hardeman,S,FR,6-2,204,"Covington, GA",Newton
2,Jayden Harrison,WR,SO,5-11,193,"Antioch, TN",Vanderbilt
51,Sherman Hatton,DL,FR,6-2,287,"Washington, DC",Bishop McNamara
36,Kevin Henderson,RB,JR,5-9,170,"Midlothian, VA",Manchester
13,EJ Horton,WR,FR,6-0,175,"Louisville, KY",Palmetto Academy
42,Cecil Houston,LB,FR,5-11,179,"Union City, GA",Woodward Academy
20,De'Kwan Hughes,DB,FR,5-11,170,"Tampa, FL",Armwood
23,Rashawn Hunter,S,FR,6-3,168,"Cape Coral, FL",Mariner
73,Tyshawn Hurst,OL,SO,6-4,290,"Compton, CA",Snow College
58,Ethan Ingram,OL,FR,6-5,287,"Gainesville, FL",Buchholz
60,Xavier Ingram,OL,JR,6-0,200,"Carlsbad, NM",Carlsbad
21,E.J. Jackson,S,SO,6-2,178,"Belle Glade, FL",Glades Central
44,Jaydyn Johnson,LB,FR,6-2,211,"Milton, WV",Cabell Midland
13,Nazeeh Johnson,S,SR,6-2,189,"Martinsburg, WV",Millbrook
15,TJ Johnson,DL,SR,6-5,268,"Southfield, MI",Independence CC
1,Willie Johnson,WR,SR,6-0,178,"Fort Myers, FL",South Fort Myers
9,Talik Keaton,WR,SO,6-1,184,"Sarasota, FL",Booker
98,Khalil Khatib,LB,SR,6-0,240,"Raleigh, NC",Methodist
79,Jacob Kirkendoll,OL,JR,6-5,254,"Salt Rock, WV",Lincoln County
43,Robert LeFevre,P,SR,6-2,209,"Hilliard, OH",Hilliard Davidson
5,TyQaze Leggs,DL,FR,6-3,320,"La Vergne, TN",Austin Peay
63,James Magee,OL,JR,6-3,280,"Anaheim, CA",Fullerton
22,Kerion Martin,S,FR,6-2,213,"Charleston, WV",Capital
23,Jeremiah McClendon,S,FR,6-2,170,"Delray Beach, FL",Atlantic
45,John McConnell,P,FR,6-3,178,"Morgantown, WV",-
2,Cory McCoy,S,SR,6-2,182,"Anacoco, LA",McNeese State
15,Knowledge McDaniel,RB,SO,5-11,211,"Bradenton, FL",Braden River
38,Arak McDuffie,DL,SO,6-5,246,"Louisville, KY",Trinity
3,Caleb McMillan,WR,SO,6-3,215,"Orlando, FL",Bishop Moore
40,Siddeeq McNeal,DB,FR,6-3,190,"Lexington, KY",Frederick Douglass
31,Joshua McTier,DB,JR,5-11,160,"Washington, DC",Friendship Collegiate Academy
57,Eric Meeks,OL,FR,6-2,276,"Cincinnati, OH",Penn
98,Sean Meisler,K,FR,5-9,148,"Jacksonville, FL",Bishop Kenney
93,CJ Miller,DL,FR,6-4,224,"Thousand Oaks, CA",Chaminade
83,Devin Miller,TE,JR,6-3,224,"Metuchen, NJ",Metuchen
55,Alex Mollette,OL,SR,6-4,294,"Suwanee, GA",North Gwinnett
10,Charles Montgomery,WR,FR,5-11,179,"Seffner, FL",Armwood
27,Cameron Moore,DB,FR,6-2,175,"Allentown, NJ",East Coast Prep
98,Charles Moore,DL,FR,6-3,270,"Louisville, MS",-
12,Garet Morrell,TE,SR,6-3,241,"Leesburg, GA",Lee County
91,Raymeco Mucker,DL,FR,6-5,254,"Louisville, KY",Pleasure Ridge Park
40,Domenick Murphy,LB,JR,6-1,215,"Weirton, WV",Weir
69,Jack Murphy,OL,FR,6-4,283,"Fairfax, VA",Fork Union
95,Avery Musick,K,FR,6-1,177,"Canal Winchester, OH",Canal Winchester
24,Eli Neal,LB,SO,6-2,223,"Memphis, TN",White Station
65,Logan Osburn,OL,FR,6-3,288,"Ona, WV",Cabell Midland
4,Lawrence Papillon,RB,SO,5-9,200,"Miami, FL",Krop
84,Ethan Parsons,WR,FR,6-3,176,"Princeton, WV",Princeton
28,Ethan Payne,RB,FR,6-1,216,"Poca, WV",Poca
39,Jared Porter,P,JR,5-11,173,"Redlands, NM",ULM
55,Owen Porter,DL,SO,6-3,232,"Huntington, WV",Spring Valley
37,Zane Porter,S,FR,6-3,200,"Ceredo, WV",Spring Valley
14,Naquan Renalds,S,JR,6-2,192,"Winter Garden, FL",VELC
21,Amir Richardson,TE,FR,6-2,226,"Morgantown, WV",University
20,Keylin Roach,DB,JR,6-2,184,"Columbia, SC",Georgia Military
29,Arthur Rodgers,RB,FR,5-8,211,"Snellville, GA",Shiloh
59,Billy Ross,OL,SR,6-6,294,"Huntington, WV",North Carolina
78,Alex Salguero,OL,SR,6-4,317,"Bradenton, FL",Braden River
46,Andrew Sanders,K,SR,6-1,202,"Orange, CA",Embry-Riddle
56,Kendrick Sartor,OL,JR,6-7,310,"Cincinnati, OH",Princeton
19,Stone Scarcelle,WR,JR,6-1,198,"Royersford, PA",Spring-Ford
34,Shane Simmons,DL,SR,6-4,246,"Laurel, MD",Penn State
29,Daytione Smith,DB,FR,6-3,182,"East Highland Park, VA",Highland Springs
12,Jeremy Smith,S,FR,6-2,185,"Savannah, GA",Jenkins
60,LaDanian Smith,DL,FR,6-2,280,"Snellville, GA",Shiloh
16,Seth Smith,QB,FR,6-2,205,"Spartanburg, SC",Spartanburg
30,Jack Stakem,WR,SO,5-11,175,"Wheeling, WV",-
39,Hagan Stephenson,S,FR,6-2,161,"Eugene, OR",Marist Catholic
18,Ty Tarpley,QB,FR,6-0,176,"Powder Springs, GA",Hillgrove
99,Kyron Taylor,DL,JR,6-2,292,"Homestead, FL",South Dade
49,Cooper Thunell,TE,FR,6-5,220,"Purcellville, VA",Loudon Valley
68,Dalton Tucker,OL,SO,6-7,325,"Paris, KY",Bourbon County
50,Will Ulmer,OL,SR,6-4,312,"Richmond, KY",Madison Central
36,Ivan Vaughn,RB,FR,5-9,205,"Ona, WV",Cabell Midland
8,Grant Wells,QB,FR,6-2,203,"Charleston, WV",George Washington
95,Jordan Williams,LB,FR,6-2,233,"Proctorville, OH",Fairland
4,LeAnthony Williams,DB,SR,6-2,189,"Atlanta, GA",Clemson
81,Miles Williams,WR,FR,6-3,200,"Napa, CA",Justin-Siena
17,Luke Zban,QB,SO,6-2,200,"Huntington, WV",Huntington
