No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
8,Kay'Ron Adams,RB,SO,5-10,210,"Warren, OH",Warren G. Harding / Rutgers
34,Issaih Agnew-Beatty,RB,FR,5-8,190,"Marlboro, MA",St. Paul Diocesan
94,Lucas Aguirre,K,FR,5-10,175,"Lexington, MA",-
76,Willie Allen,OL,SR,6-7,340,"River Ridge, LA",John Curtis / Michigan
15,Viczaril Alobwede,DL,FR,6-4,260,"Stone Mountain, GA",Stephenson
8,Tristan Armstrong,DB,FR,5-11,185,"Washington, DC",National Christian Academy (Md.)
2,Rico Arnold,WR,JR,6-1,190,"Athens, GA",Clarke Central / Charlotte
81,Delvin Attafah,WR,FR,6-1,205,"Worcester, MA",Abby Kelley Foster Charter School
96,Josh Atwood,DL,FR,6-3,330,"Natick, MA",Natick
97,Devin Baldwin,DL,FR,6-5,275,"Southfield, MI",Southfield A&T / Rutgers
14,Javon Batten,DB,FR,6-3,200,"Brooklyn, NY","Miami, Fla. / Erasmus Hall"
44,Aaron Beckwith,DL,FR,6-4,285,"Germantown, MD",Northwest
65,Dominik Behrens,OL,FR,6-5,305,"Hamburg, Germany",The Williston Northampton School (Mass.)
28,Cyrus Bonsu,RB,FR,5-10,205,"Worcester, MA",Abby Kelley Foster Charter Public School
4,Noah Boykin,DB,SO,6-2,185,"Washington, DC",Howard D. Woodson / Notre Dame
54,Tommy Brandt,OL,FR,6-5,280,"St. Paul, MN",St. Thomas Academy
93,Josh Brunelle,LB,FR,6-0,235,"Worcester, MA",Doherty Memorial
91,Cameron Carson,K,FR,6-1,180,"Leesburg, VA",Loudon County / Maine
57,Qualeem Charles,OL,FR,6-5,320,"Attleboro, MA",Attleboro / AIC
29,Jared Chisari,RB,SO,5-11,200,"Fryeburg, ME",Fryeburg Academy / Bowdoin College
80,Eric Collins,WR,SR,5-10,180,"Tampa, FL",Armwood / NC State
3,Tanner Davis,S,SO,6-1,200,"Kingston, NY",Cheshire Academy (Conn.)
88,Andrew Debs,WR,FR,5-8,175,"Paxton, MA",St. Paul Diocesan / Worcester State
90,Evan Deckers,LS,JR,6-3,240,"Avon, CT",Avon Old Farms
11,Onuma Dieke,WR,FR,6-5,205,"Riverdale, GA",North Clayton
13,Osei Dixon,DB,FR,6-2,195,"Bowie, MD",St. Vincent Pallotti
26,Kenny Dudley,DB,FR,5-11,170,"Washington, DC",Friendship Collegiate Academy
47,Ethan Dumont,LS,SO,6-0,210,"Lincoln Univ, PA",Salesianum School / Weber State
9,Garrett Dzuro,QB,FR,5-11,200,"Lakewood, OH",St. Edward
18,Taylor Edwards,TE,SR,6-4,250,"Wilmington, DE",Alexis I. DuPont
52,Uchenna Ezewike,DL,SO,6-3,255,"Fort Lauderdale, FL",Stranahan
68,Helber Fagundes,OL,SO,6-5,325,"Methuen, MA",Everett
17,Eni Falayi,TE,FR,6-6,235,"Peabody, MA",Williston Northampton School
19,Michael Fitzgerald,WR,FR,6-6,200,"Roswell, GA",Roswell
45,Nathan Fraser,TE,FR,6-3,245,"Milton, MA",Milton
88,George Georgopoulos,P,JR,6-2,225,"Greenville, SC",J.L. Mann
