No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
67,Gavin Adams,OL,FR,6-2,295,"Derry, PA",Derry Area
37,Colvin Alford,LB,JR,6-0,220,"Miami, FL",Coral Reef Senior
80,Elijah Arroyo,TE,FR,6-4,235,"Frisco, TX",Independence
18,Tirek Austin-Cave,LB,FR,6-1,225,"Pennsauken, NJ",Camden
27,Brian Balom,S,FR,6-0,195,"Miramar, FL",Miramar
36,Andrew Barnes,S,FR,6-0,200,"Silver Springs, MD",Walter Johnson
7,"Al Blades, Jr.",CB,JR,6-1,188,"Fort Lauderdale, FL",St. Thomas Aquinas
92,"Jason Blissett, Jr.",DL,FR,6-4,262,"Queens, NY",Poly Prep
21,Bubba Bolden,S,JR,6-3,204,"Las Vegas, NV",Bishop Gorman / USC
30,Andres Borregales,K,FR,5-11,175,"Miami, FL",Champagnat Catholic
81,Kahlil Brantley,TE,FR,6-2,225,"Opa-Locka, FL",Miami Northwestern
0,Romello Brinson,WR,FR,6-2,185,"Miami, FL",Miami Northwestern
6,"Sam Brooks, Jr.",LB,SO,6-2,230,"Miami Gardens, FL",Miami Northwestern
24,Cody Brown,RB,FR,5-11,212,"Lilburn, GA",Parkview
46,Suleman Burrows,CB,SO,5-8,165,"St. Louis, MO",John Burroughs School
31,Connor Byrne,WR,JR,6-2,200,"Fairfield, CT",Fairfield College Prep / Rochester
74,"John Campbell, Jr.",OL,SO,6-5,315,"Orlando, FL",Dr. Phillips
5,Amari Carter,S,SR,6-2,202,"Riviera Beach, FL",Palm Beach Gardens
43,Isaiah Cashwell,RB,SO,5-8,215,"Mineola, NY",Chaminade
2,"Donald Chaney, Jr.",RB,FR,5-10,208,"Homestead, FL",Belen Jesuit
53,Jakai Clark,OL,SO,6-3,305,"Loganville, GA",Grayson
28,Marcus Clarke,CB,FR,5-10,182,"Winter Park, FL",Winter Park
23,Te'Cory Couch,CB,SO,5-10,170,"Fort Lauderdale, FL",Chaminade-Madonna
16,Malik Curtis,CB,FR,5-11,168,"Fort Myers, FL",Bishop Verot
95,Thomas Davis,DE,FR,6-2,220,"Valdosta, GA",Lowndes
55,Navaughn Donaldson,OL,SR,6-6,350,"Miami, FL",Miami Central
29,Isaiah Dunson,CB,FR,6-1,186,"Tucker, GA",Tucker
69,Sam Fishman,DL,FR,6-3,240,"Highland Park, IL",Highland Park
11,"Corey Flagg, Jr.",LB,FR,5-11,230,"Houston, TX",North Shore
32,Nelson Foley,P,FR,6-0,190,"Kaleen, Australia",University of Canberra Senior Secondary College (UCSSC)
96,Jonathan Ford,DL,SR,6-5,315,"Fort Lauderdale, FL",Dillard
22,"Thaddius Franklin, Jr.",RB,FR,6-0,230,"West Park, FL",Chaminade-Madonna
3,Gilbert Frierson,STR,SO,6-1,210,"Coconut Grove, FL",Coral Gables
13,Jake Garcia,QB,FR,6-3,200,"Whittier, CA",Grayson
87,Matias Gasc,P,SR,5-10,182,"Coral Springs, FL",Coral Springs Charter / Stetson
65,Corey Gaynor,OL,JR,6-4,308,"Parkland, FL",Stoneman Douglas
15,Jacolby George,WR,FR,6-0,180,"Lauderhill, FL",Plantation
71,Jared Griffith,OL,SO,6-3,318,"Sarasota, FL",Riverview
40,"Luis Gutierrez, Jr.",CB,FR,5-9,170,"Key Biscayne, FL",IMG Academy
26,"Gurvan Hall, Jr.",S,JR,6-0,192,"West Palm Beach, FL",Palm Beach Gardens
3,Mike Harley,WR,SR,5-11,182,"Fort Lauderdale, FL",St. Thomas Aquinas
20,Jalen Harrell,S,FR,6-2,210,"Hollywood, FL",Champagnat Catholic
23,Cam'Ron Harris,RB,JR,5-10,210,"Opa-Locka, FL",Carol City
81,Jared Harrison-Hunte,DL,FR,6-4,285,"Middle Village, NY",Christ The King
12,Jahfari Harvey,DL,FR,6-4,252,"Port St. Lucie, FL",Vero Beach
97,"Allan Haye, Jr.",DL,FR,6-2,305,"North Lauderdale, FL",Chaminade-Madonna
94,Lou Hedley,P,JR,6-4,225,"Mandurah, Australia",City College of San Francisco
57,Kai-Leon Herbert,OL,JR,6-5,305,"Plantation, FL",Plantation American Heritage
75,Zalon'tae Hillery,OL,JR,6-6,308,"Brunswick, GA",Glynn Academy
18,Larry Hodges,TE,FR,6-2,220,"Tampa, FL",Jesuit
48,Jake Hoffman,LB,FR,6-1,216,"Hollywood, FL",Chaminade-Madonna
82,Jarius Howard,WR,FR,5-10,172,"Portsmouth, VA",Oscar Frommel Smith
9,Avery Huff,LB,FR,6-3,205,"Fort Lauderdale, FL",St. Thomas Aquinas
40,Will Huggins,WR,SO,6-2,220,"Terra Linda, CA",IMG Academy
93,Jabari Ishmael,DE,FR,6-5,245,"Miami, FL",Christopher Columbus
8,DJ Ivey,CB,JR,6-1,195,"Florida City, FL",South Dade
1,Nesta Jade Silvera,DL,JR,6-2,306,"Pembroke Pines, FL",Plantation American Heritage
58,Clay James,LS,SO,5-11,195,"Cocoa, FL",Cocoa
44,Bradley Jennings Jr.,LB,JR,6-1,230,"Jacksonville, FL",Sandalwood
88,Dante Johnson,WR,JR,6-2,205,"Covington, GA",Newton
13,Deandre Johnson,DE,SR,6-3,260,"Miami, FL",Miami Southridge / Tennessee
51,Tyler Johnson,LB,FR,6-3,212,"Miami, FL",Miami Killian
24,Kamren Kinchens,S,FR,5-11,200,"Miami, FL",Miami Northwestern
1,D'Eriq King,QB,SR,5-11,195,"Manvel, TX",Manvel / Houston
4,Jaylan Knighton,RB,FR,5-10,190,"Lauderhill, FL",Deerfield Beach
45,Bryan Levine,DL,FR,6-3,230,"Los Angeles, CA",Brentwood School
85,Will Mallory,TE,JR,6-5,245,"Jacksonville, FL",Providence School
86,Dominic Mammarelli,TE,FR,6-4,248,"Naples, FL",Naples
17,Peyton Matocha,QB,FR,6-4,200,"Houston, TX",St. Thomas
53,Zach McCloud,DL,SR,6-2,254,"Lantana, FL",Santaluces
79,Michael McLaughlin,OL,FR,6-7,300,"Parkland, FL",Stoneman Douglas
91,Jordan Miller,DL,SO,6-4,320,"Jacksonville, FL",Sandalwood
59,Alan Nadelsticher,LS,FR,6-0,194,"Mexico City, Mexico",IMG Academy
49,Mason Napper,LS,FR,6-2,225,"Marietta, GA",Lassiter
84,Josh Neely,DL,FR,6-3,260,"Miami, FL",Miami Senior
60,Zion Nelson,OL,SO,6-5,316,"Sumter, SC",Sumter
70,Justice Oluwaseun,OL,JR,6-3,325,"Richmond, TX",Foster / UNLV
37,Michael Parrott,FB,JR,5-11,235,"Canton, NC",Pisgah / Alabama
12,Jeremiah Payton,WR,FR,6-1,185,"Jacksonville, FL",Fletcher
6,Mark Pope,WR,JR,6-1,175,"Miami, FL",Miami Southridge
86,Fred Potter,P,FR,5-11,200,"London, United Kingdom",Gulliver Prep
45,Camden Price,K,SO,6-1,170,"Severn, MD",Archbishop Spalding
48,Robert Prosek,TE,FR,6-4,240,"Key Largo, FL",Coral Shores
85,Sebastian Przytula,P,FR,6-1,205,"Largo, FL",Clearwater Central Catholic
34,Ryan Ragone,LB,SO,5-11,220,"Houston, TX",Pasadena Memorial / Arkansas State
11,Charleston Rambo,WR,JR,6-1,185,"Cedar Hill, TX",Cedar Hill / Oklahoma
83,Michael Redding III,WR,FR,6-2,202,"Pensacola, FL",IMG Academy
52,"Cleveland Reed, Jr.",OL,SO,6-3,320,"Fort Meade, FL",Fort Meade
7,Xavier Restrepo,WR,FR,5-10,195,"Coconut Creek, FL",Deerfield Beach
64,Jalen Rivers,OL,FR,6-5,325,"Jacksonville, FL",Oakleaf
16,Ryan Rizk,QB,SO,6-1,196,"Boynton Beach, FL",American Heritage - Delray
99,Elijah Roberts,DL,FR,6-4,270,"Miami, FL",Christopher Columbus
