No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
83,Erick All,TE,JR,6-4,245,"Fairfield, OH",Fairfield
29,Rhett Andersen,K,SR,6-0,172,"Poquoson, VA",Poquoson/Hampden-Sydney
62,Raheem Anderson,OL,FR,6-3,302,"Detroit, MI",Cass Technical
42,Trevor Andrews,DB,FR,6-2,218,"Brentwood, TN",Ravenwood
31,Lucas Andrighetto,RB,SR,6-1,204,"Mountain View, CA",St. Francis
1,Andrel Anthony,WR,FR,6-2,185,"East Lansing, MI",Lansing
74,Reece Atteberry,OL,SO,6-5,307,"Aurora, CO",Eaglecrest
85,Daylen Baldwin,WR,SR,6-2,219,"Southfield, MI",Waterford Mott
52,Karsen Barnhart,OL,JR,6-4,307,"Paw Paw, MI",Paw Paw
23,Michael Barrett,LB,SR,6-0,227,"Valdosta, GA",Lowndes
27,Christian Bartholomew,WR,SO,6-0,182,"Galesburg, MI",Kalamazoo United
37,Josh Beetham,TE,SO,6-5,239,"Yorkville, IL",Yorkville
8,Ronnie Bell,WR,SR,6-0,192,"Kansas City, MO",Park Hill
52,Kechaun Bennett,DE,FR,6-5,241,"Suffield, CT",Suffield Academy
26,Rayshaun Benny,DL,FR,6-5,292,"Detroit, MI",Oak Park
40,Christian Boivin,RB,FR,6-0,204,"Traverse City, MI",Traverse City West
72,Tristan Bounds,OL,FR,6-8,282,"Wallingford, CT",Choate Rosemary Hall
15,Alan Bowman,QB,SR,6-4,205,"Grapevine, TX",Grapevine
82,Max Bredeson,TE,FR,6-2,222,"Hartland, WI",Arrowhead
35,Luke Buckman,TE,SR,6-5,237,"Holland, MI",Holland
25,Junior Colson,LB,FR,6-2,225,"Brentwood, TN",Ravenwood
54,Kraig Correll,OL,SR,6-4,311,"Easton, PA",Blair Academy
2,Blake Corum,RB,SO,5-8,200,"Marshall, VA",St. Frances Academy
51,Greg Crippen,OL,FR,6-4,290,"Northborough, MA",IMG Academy
37,Eamonn Dennis,DB,SO,5-10,175,"Worcester, MA",St. John's
10,Cristian Dixon,WR,FR,6-2,197,"Santa Ana, CA",Mater Dei
19,Tommy Doman,K,FR,6-5,190,"Rochester Hills, MI",Orchard Lake St. Mary's
22,Tavierre Dunlap,RB,FR,6-0,222,"Del Valle, TX",Del Valle
7,Donovan Edwards,RB,FR,6-0,202,"West Bloomfield, MI",West Bloomfield
58,Giovanni El-Hadi,OL,FR,6-5,318,"Sterling Heights, MI",Adlai Stevenson
9,Sammy Faustin,DB,SR,6-2,200,"Naples, FL",Naples
66,Chuck Filiaga,OL,SR,6-6,337,"Aledo, TX",Aledo
60,Luke Fisher,OL,JR,6-4,298,"Plymouth, MI",Plymouth
