No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
89,Yusuf Ali,WR,JR,5-9,171,"Detroit, MI",Maplewood (TN)
11,Brad Anderson,RB,SR,5-8,166,"Huntsville, AL",Bob Jones
25,Bryce Bailey,WR,FR,5-9,166,"Cochran, GA",Bleckley
98,JR Bivens,DE,FR,6-0,236,"Roswell, GA",Blessed Trinity Catholic
12,Reed Blankenship,S,SR,6-1,204,"Athens, AL",West Limestone
61,J'Shun Bodiford,OL,SO,6-4,300,"Montgomery, AL",Jefferson Davis
80,Luke Bolger,TE,FR,6-2,236,"Ft. Mitchell, KY",Beechwood
27,Jai'Brian Bouye,CB,FR,5-11,180,"Waco, TX",La Vega
99,Jordan Branch,DL,SO,6-0,283,"Maury City, TN",Crockett County
-,Thomas Burks,PK,SO,6-1,185,"Murfreesboro, TN",Blackman HS
85,Landon Burrell,WR,FR,6-4,193,"Chatsworth, GA",North Murray
69,Brody Butler,LS,FR,5-11,218,"Homewood, AL",Homewood
4,Johnathan Butler,LB,JR,6-0,231,"Sumter, SC",Sumter HS
10,Jarek Campbell,LB,SO,6-0,206,"Murfreesboro, TN",Riverdale
57,Marley Cook,DT,FR,6-1,284,"Water Valley, MS",Water Valley
-,Langston Cross,DL,JR,6-2,250,"Bowie, MD",C.H. Flowers
16,Chase Cunningham,QB,JR,5-11,188,"Knoxville, TN",Knoxville Catholic
8,Devyn Curtis,LB,FR,6-2,224,"Nashville, TN",Brentwood Academy
35,Jalen Davis,LB,FR,6-1,195,"Kingsland, GA",Camden Co.
10,Jurriente Davis,LB,SO,6-0,235,"Greensboro, NC",Dudley
56,Adam Derry,OL,FR,6-3,297,"Ft. Mitchell, KY",Beechwood
12,Mike DiLiello,QB,SO,6-1,208,"Pembroke Pines, FL",Cooper City
93,Vincent Dinkins,DL,FR,6-1,268,"Kennesaw, GA",Kell HS
97,Quindarius Dunnigan,DE,FR,6-3,247,"Chattanooga, TN",McCallie
95,Tyrece Edwards,DT,FR,6-2,263,"Knoxville, TN",West
22,Micaleous Elder,WR,SO,5-9,155,"Cleveland, TN",Blackman
7,DJ England-Chisolm,WR,SO,5-7,150,"Moncks Corner, SC",Berkeley
70,Tyler Falvey,OL,SO,6-4,323,"Altamonte Springs, FL",Lake Brantley
91,Jordan Ferguson,DE,JR,6-2,262,"Atlanta, GA",Cartersville
17,Tra Fluellen,S,SO,6-2,207,"Gilmer, TX",Gilmer
40,Drew Francis,LB,FR,6-2,220,"Knoxville, TN",West
11,Stone Frost,QB,FR,5-10,202,"Decaturville, TN",Riverside
15,Raheme Fuller,DB,JR,6-3,212,"Ft. Lauderdale, FL",Boyd-Anderson
68,Carson Garrison,LS,FR,6-0,195,"Buford, GA",Buford
2,Izaiah Gathings,WR,JR,6-4,225,"Statesville, NC",Statesville
-,Dajeun Gibson,CB,FR,6-0,185,"Antioch, TN",Blackman
21,Will Gilchrist,TE,SR,6-2,239,"Pasadena, TX",Deer Park
64,Jacqui Graham,OL,SO,6-5,290,"Montgomery, AL",Jefferson Davis
1,Gregory Grate,S,JR,5-11,197,"Miami, FL",Carol City Senior
65,Marcus Greer,OL,SO,6-3,298,"St. Louis, MO",Chaminade College Prep
71,Conner Griffin,OL,FR,6-1,300,"Gray, GA",Jones County HS
38,ZaBrien Harden,LB,FR,6-3,225,"Swainsboro, GA",Swainsboro
41,Raquon Hartley,LB,FR,6-1,188,"Saluda, SC",Saluda
19,Jonathan Haynes,WR,SO,6-0,200,"North Wales, PA",North Penn
78,Dorian Hinton,OL,FR,6-4,317,"Naples, FL",Naples
10,Bailey Hockman,QB,JR,6-2,206,"Powder Springs, GA",McEachern
55,Joseph Honeysucker,DE,SO,6-3,240,"Nashville, TN",Hillsboro
43,Parker Hughes,S,FR,6-2,205,"Elizabethton, TN",Elizabethton
23,Jalen Jackson,CB,FR,6-2,171,"Tampa, FL",Bloomingdale
-,Darius James,RB,JR,5-11,181,"Nashville, TN",Fairview
22,Chris Johnson,CB,FR,5-10,180,"Murfreesboro, TN",Riverdale
67,Karter Johnson,OL,FR,6-5,277,"Murfreesboro, TN",Siegel
72,Netori Johnson,OL,JR,6-4,325,"Ellenwood, GA",Cedar Grove
66,Alex Jones,OL,FR,6-6,305,"Murfreesboro, TN",Oakland
16,Kyle Kee,S,SO,6-1,207,"Naples, FL",Naples
63,Wilson Kelly,OL,FR,6-0,299,"Danville, KY",Boyle County HS
54,Jacob King,OL,SO,6-1,292,"Brentwood, TN",John Overton
0,Richard Kinley,DE,FR,6-2,232,"Memphis, TN",Lausanne
29,Marcus LaFrance,S,FR,6-2,195,"North Lauderdale, FL",Deerfield Beach
83,Jaylin Lane,WR,FR,5-8,174,"Clover, SC",Clover HS
46,Andrew Leak,LB,FR,5-10,203,"LaGrange, GA",Heard County
74,Steven Losoya III,OL,FR,6-4,305,"Nashville, TN",John Overton
77,Eric Magwood,OL,SR,6-4,300,"Virginia Beach, VA",Landstown
47,Jacob Mahoney,HB,SO,6-0,224,"Knoxville, TN",Knoxville Catholic
6,Jimmy Marshall,WR,SR,6-5,229,"Macon, GA",Tattnall Square Academy
31,Davon Martin,CB,FR,5-11,177,"Orlando, FL",Edgewater
17,Shane McLaughlin,QB,JR,6-0,190,"West Grove, PA",Avon Grove
94,Ralph Mency,DE,FR,6-2,244,"Jacksonville, FL",Robert E. Lee Senior HS
84,Elijah Metcalf,WR,FR,5-9,163,"Charlotte, NC",Mallard Creek
44,Chaton Mobley,RB,JR,6-1,232,"Knoxville, TN",Fulton
50,Aran Mohamad-Ali,HB,FR,6-0,248,"Antioch, TN",John Overton
23,Jalen Montgomery,RB,FR,5-9,156,"Columbia, SC",Cardinal Newman
30,Marvae Myers-Glover,S,FR,6-0,186,"West Orlando, FL",Oak Ridge
15,Hayden Neighbors,WR,FR,6-2,177,"Huntsville, AL",Huntsville
-,Alec Ogden,QB,SO,6-4,205,"Marshall, WI",Monona Grove
39,Terrell Pack,LB,FR,6-2,200,"Sarasota, FL",Sarasota
62,Jordan Palmer,OL,JR,6-0,304,"Northridge, CA",Notre Dame HS
26,Wayne Parks,LB,JR,5-11,216,"Fellsmere, FL",Sebastian River
33,Decorian Patterson,CB,SO,6-0,191,"Ocala, FL",Leesburg
24,Scott Payne,PK,FR,5-11,195,"Signal Mountain, TN",Signal Mountain Middle
36,Frank Peasant,RB,FR,5-10,215,"Pensacola, FL",Escambia HS
32,Martell Pettaway,RB,SR,5-9,196,"Detroit, MI",Martin Luther King
9,Jarrin Pierce,WR,SR,5-11,195,"Los Angeles, CA",Bishop Alemany
7,Zeke Rankin,PK,FR,5-8,198,"Alcoa, TN",Alcoa
34,Amir Rasul,RB,SR,5-10,198,"Miami, FL",Coral Gables
3,Quincy Riley,CB,FR,6-0,181,"Columbia, SC",A.C. Flora
53,Lance Robinson,OL,FR,6-3,284,"Camilla, GA",Mitchell County HS
19,Teldrick Ross,S,SO,5-10,193,"Macon, GA",Jones County
55,Jahlil Ryles,OL,SO,6-1,293,"Phenix City, AL",Central
45,Joeseph Sewell,TE,JR,6-2,249,"Murfreesboro, TN",Blackman
-,Charlie Shalley,LS,FR,6-4,250,"Tallahassee, FL",Florida State
25,Ja'Shawn Sheffield,CB,FR,6-1,194,"Brunswick, GA",Frederica Academy
37,James Shellman IV,S,FR,6-0,195,"Savannah, GA",Islands HS
13,Javonte Sherman,WR,FR,6-2,180,"Valdosta, GA",Valdosta
42,Cody Smith,LB,JR,6-2,220,"Stuart, FL",Martin County
92,Damonte Smith,DL,FR,6-3,285,"Savannah, GA",Island
5,Deonte Stanley,CB,FR,6-2,193,"Dillon, SC",Latta
28,Deidrick Stanley II,S,FR,5-9,187,"Miami, FL",Miami Central HS
49,Jorden Starling,DE,SO,6-4,237,"Chattanooga, TN",McCallie School
82,Taharin Sudderth,TE,FR,6-4,230,"Alcoa, TN",Alcoa
35,Tyler Sweet,WR,JR,5-8,167,"Rialto, CA",Upland
-,Sam Tardits,HB,JR,6-3,241,"Atlanta, GA",Clarke Central
20,DQ Thomas,LB,SR,6-2,216,"Oxford, MS",Oxford
30,Jakobe Thomas,S,FR,6-2,190,"Tullahoma, TN",Tullahoma
86,JaMichael Thompson,WR,FR,6-1,166,"Birmingham, AL",Clay-Chalkville
38,Miles Tillman,P,FR,5-11,201,"Huntsville, AL",Sparkman
87,Marquel Tinsley,WR,FR,6-2,204,"Morganfield, KY",Daviess Co.
13,Kyle Ulbrich,P,JR,6-0,197,"Mentor, OH",Lake Catholic
48,Alex Usry,PK,JR,5-10,185,"McDonough, GA",Eagle's Landing Christian Academy
18,Nicholas Vattiato,QB,FR,6-1,185,"Plantation, FL",University School
24,Terry Wilkins,RB,FR,5-7,187,"Memphis, TN",Fairley
-,Caden Williams,LB,FR,6-0,228,"Buford, GA",Buford
52,Darius Williams,DE,FR,6-3,244,"Hemingway, SC",Hemingway
75,Jamari Williams,OL,FR,6-3,305,"Fort Lauderdale, FL",Cardinal Gibbons
81,CJ Windham,WR,SR,6-2,212,"Powder Springs, GA",McEachern
96,Zaylin Wood,DT,FR,6-1,270,"Bowdon, GA",Heard County
88,Ja'Kerrius Wyatt,DT,JR,6-3,270,"Prattville, AL",Autauga Academy
