No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
16,Jack Abraham,QB,SR,6-0,205,"Oxford, MS",Oxford HS (Southern Miss)
91,Deonte Anderson,DE,FR,6-3,235,"Fort Meade, FL",Fort Meade Senior HS
88,Carson Banks,WR,JR,5-10,170,"Brandon, MS",Northwest Rankin HS (Northeast Mississippi C.C.)
92,Jevon Banks,DE,FR,6-2,300,"Olive Branch, MS",Olive Branch HS
49,Andrew Berquist,WR,FR,6-4,215,"Ponte Vedra Beach, FL",Homeschooled
72,Canon Boone,OL,FR,6-4,290,"Kemah, TX",Dickinson HS
87,Bo Brooks,WR,JR,6-1,185,"Madison, MS",Madison Central HS (Copiah-Lincoln [Miss.] C.C.)
3,Aaron Brule,LB,JR,6-1,230,"New Orleans, LA",Archbishop Rummel HS
51,Reed Buys,OL,SO,6-4,300,"Vicksburg, MS",Warren Central HS (Jones College)
6,Jamire Calvin,WR,SR,5-10,160,"Pasadena, CA",Cathedral HS (Washington State)
20,Kyle Cass,S,JR,6-2,205,"New Orleans, LA",Mattie T. Blount HS (Mississippi Delta C.C.)
68,Gabe Cavazos Jr.,OL,FR,6-4,285,"Lake Cormorant, MS",Lake Cormorant HS
5,Randy Charlton,DE,JR,6-3,265,"Goulds, FL",Miami Southridge HS (UCF)
90,Armondous Cooley,DT,FR,6-2,300,"Shubuta, MS",Wayne County HS
45,Ty Cooper,LB,FR,6-4,240,"Louisville, MS",Louisville HS
41,Colby Cox,LS,FR,6-1,235,"Woodstock, GA",Woodstock HS
28,Londyn Craft,S,SR,6-0,205,"Rio Rancho, NM",IMG Academy
67,Charles Cross,OL,SO,6-5,310,"Laurel, MS",Laurel HS
94,Jaden Crumedy,DT,JR,6-5,310,"Hattiesburg, MS",Oak Grove HS
25,Brad Cumbest,WR,JR,6-5,240,"Hurley, MS",East Central HS
6,Jordan Davis,DE,SR,6-4,265,"Memphis, TN",Southwind HS (Copiah-Lincoln [Miss.] C.C.)
37,Tucker Day,P,SR,6-0,215,"Brentwood, TN",Brentwood HS
18,Janari Dean,S,FR,5-11,195,"Batesville, MS",South Panola HS
17,Caleb Ducking,WR,JR,6-5,205,"Rolling Fork, MS",South Delta HS (Holmes [Miss.] C.C.)
19,Collin Duncan,S,JR,6-0,205,"Montgomery, AL",St. James School
42,Corey Ellington,S,FR,6-3,185,"Lexington, MS",Holmes County Central HS
1,Martin Emerson,CB,JR,6-2,200,"Pensacola, FL",Pine Forest HS
13,Emmanuel Forbes,CB,SO,6-0,180,"Grenada, MS",Grenada HS
24,Christian Ford,WR,JR,5-11,175,"Atlanta, GA",Marietta HS (Iowa Central C.C.)
27,Esaias Furdge,CB,JR,6-0,185,"Clarksdale, MS",Clarksdale HS
48,Scott Goodman,P,JR,5-10,205,"Brandon, MS",Brandon HS
3,Daniel Greek,QB,FR,6-4,225,"Argyle, TX",Liberty Christian School
0,Jalen Green,S,SR,6-1,200,"Houston, TX",Houston Heights HS (Texas)
48,Eldric Griffin,S,FR,6-0,195,"Loganville, GA",Grayson HS
5,Lideatrick Griffin,WR,SO,5-10,180,"Philadelphia, MS",Philadelphia HS
54,Rodney Groce Jr.,LB,FR,6-2,240,"Pleasant Grove, AL",Pleasant Grove HS
35,Landon Guidry,S,SR,6-0,195,"Spring Hill, TN",Independence HS
43,Hayes Hammond,LS,FR,5-10,205,"Tupelo, MS",Tupelo HS
39,Jay Hampton,CB,FR,6-2,175,"Amory, MS",Amory HS
46,William Hardrick,CB,FR,6-1,160,"Adamsville, AL",Minor HS
21,Ke'Travion Hargrove,RB,FR,5-11,195,"Ruston, LA",Ruston HS
81,Antonio Harmon,WR,FR,6-3,210,"Kosciusko, MS",Kosciusko HS
15,Jack Harris,DE,SO,6-3,270,"Sumrall, MS",Oak Grove HS
82,Rufus Harvey,WR,FR,5-10,170,"Starkville, MS",Starkville HS
4,Malik Heath,WR,SR,6-3,220,"Jackson, MS",Callaway HS (Copiah-Lincoln [Miss.] C.C.)
98,Matthew Huerkamp,K,FR,6-3,185,"Madison, MS",Madison Central HS
52,Grant Jackson,OL,FR,6-6,310,"Brookhaven, MS",West Lincoln HS
53,Nick Jarrett,LB,JR,6-3,225,"Harvest, AL",Garden City [Kan.] CC
32,J.J. Jernighan,RB,JR,5-11,215,"Amory, MS",Amory HS (Copiah-Lincoln [Miss.] C.C.)
36,Jay Jimison,S,SR,6-0,200,"Forest, MS",Lake HS (Copiah-Lincoln [Miss.] C.C.)
23,Dillon Johnson,RB,SO,6-0,215,"Greenville, MS",St. Joseph HS
44,Jett Johnson,LB,JR,6-2,235,"Tupelo, MS",Tupelo HS
69,Kwatrivous Johnson,OL,JR,6-7,320,"Greenwood, MS",Greenwood HS
70,Ramble Johnson,OL,JR,6-4,290,"Purvis, MS",Purvis HS (Northwest Mississippi C.C.)
58,Kameron Jones,OL,JR,6-5,305,"Starkville, MS",Starkville HS
66,Nick Jones,OL,SO,6-3,300,"Byhalia, MS",Byhalia HS (East Mississippi CC)
89,Brodie King,WR,JR,5-10,190,"Biloxi, MS",Biloxi HS (Jones College)
4,Izuchukwu King Ani,DE,SO,6-4,265,"Hendersonville, TN",Davidson Academy
31,Teddy Knox,WR,FR,5-11,175,"Baton Rouge, LA",The Woodlands (Texas) HS
80,Kade Kolka,WR,FR,5-11,187,"Tallahassee, FL",Lawton Chiles HS
