No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
39,Matthew Alderfer,TE,SO,6-3,234,"Charlotte, NC",Cox Mill
16,Rakeim Ashford,SAF,SO,6-1,183,"Ackerman, MS",Choctaw County
13,Tyler Baker-Williams,NIC,JR,6-0,209,"Raleigh, NC",Southeast
89,Jakolbe Baldwin,WR,FR,6-0,207,"Hamlet, NC",Richmond Senior
25,Shyheim Battle,CB,FR,6-2,183,"Rocky Mount, NC",Rocky Mount
74,Anthony Belton,OL,SO,6-6,325,"Tallahassee, FL",Florida State U. School
26,Devon Betty,LB,FR,6-1,225,"Carver Ranches, FL",St. Thomas Aquinas
42,Danny Blakeman,DE,JR,6-2,269,"Raleigh, NC",Leesville Road
28,Aristotle Bowles,LB,JR,5-11,212,"Charlotte, NC",Olympic
12,Devan Boykin,NIC,FR,5-10,187,"Greensboro, NC",Ragsdale
29,Sean Brown,SAF,FR,6-0,198,"Charlotte, NC",Hough
88,Devin Carter,WR,SO,6-3,216,"Clayton, NC",Clayton
75,"Anthony Carter, Jr.",OL,FR,6-3,310,"Charlotte, NC",Butler
30,"Keon Caudle, Jr.",RB,FR,5-11,213,"Enfield, NC",Tarboro
5,C.J. Clark,DT,FR,6-3,300,"New London, NC",North Stanly
21,Jalen Coit,WR,FR,5-11,156,"Cheraw, SC",Cheraw
57,Lyndon Cooper,OL,FR,6-2,340,"Atlanta, GA",Carrollton
83,Josh Crabtree,WR,FR,6-3,193,"Wake Forest, NC",Heritage
38,Clay Craddock,NIC,FR,6-0,209,"Tarboro, NC",Tarboro
22,Micah Crowell,WR,FR,6-1,215,"Winston-Salem, NC",East Forsyth
15,Cayman Czesak,NIC,JR,6-2,188,"Wilmington, NC",Laney
62,Jaleel Davis,OL,FR,6-6,300,"Hamlet, NC",Richmond Senior
0,Terrell Dawkins,DE,FR,6-4,245,"Concord, NC",Cox Mill
33,Jackson DeSilva,WR,FR,6-1,200,"Wake Forest, NC",Rolesville
46,Levi Dorsey,SAF,FR,6-1,205,"Louisburg, NC",North Wake Saints
25,Titus Dorsey,SAF,SR,5-10,176,"Louisburg, NC",N. Wake Saints
36,Samuel Duncan,DB,FR,6-0,185,"Lincolnton, NC",W. Lincoln
32,Christopher Dunn,PK,JR,5-8,184,"Lexington, NC",North Davidson
80,Justin Dunn,WR,SO,6-1,200,"Raleigh, NC",Sanderson
48,Cory Durden,DT,SR,6-4,310,"Newberry, FL",Newberry
53,Derrick Eason,OL,SO,6-4,309,"Norfolk, VA",Norview
39,Darius Edmundson,DB,SO,6-0,170,"Middlesex, NC",Southern Nash
79,Ikem Ekwonu,OT,SO,6-4,320,"Charlotte, NC",Providence Day
86,Emeka Emezie,WR,SR,6-3,212,"Waxhaw, NC",Marvin Ridge
34,Nate Evans,CB,FR,6-0,172,"Virginia Beach, VA",Cox
4,Cyrus Fagan,SAF,SR,6-1,190,"Daytona Beach, FL",Mainland
10,Ben Finley,QB,FR,6-3,201,"Phoenix, AZ",Paradise Valley
82,Max Fisher,SAF,JR,6-2,215,"Upper Marlboro, MD",Gonzaga College HS
49,Bernard Flerlage,LB,FR,6-0,245,"Fayetteville, NC",Pine Forest
41,Caden Fordham,LB,FR,6-1,214,"Ponte Vedra, FL",The Bolles School
35,Michael Fox,WR,SO,6-0,174,"Orlando, FL",Dr. Phillips
8,Jalen Frazier,SAF,FR,5-9,181,"Charlotte, NC",Hough
71,Thornton Gentry,OL,FR,6-4,308,"Chapin, SC",Chapin
30,Walt Gerard,SAF,FR,6-0,190,"Washington, NC",Washington
50,Grant Gibson,C,JR,6-1,305,"Charlotte, NC",Mallard Creek
99,Trenton Gill,P,JR,6-4,219,"Hillsborough, NC",Cedar Ridge
47,Alex Gray,LB,SO,6-1,218,"Greensboro, NC",Page
20,Julian Gray,WR,FR,5-11,193,"Charlotte, NC",Hopewell
6,Jakeen Harris,SAF,SO,5-10,190,"Savannah, GA",Benedictine Military
55,Joshua Harris,DT,FR,6-4,350,"Roxboro, NC",Person
11,Andrew Harvey,QB,FR,6-2,209,"Cary, NC",Cardinal Gibbons
35,Chase Hattley,DB,FR,6-3,205,"Cary, NC",Panther Creek
72,Sean Hill,OL,FR,6-3,305,"Snellville, GA",Brookwood
3,Jordan Houston,RB,SO,5-10,190,"Waldorf, MD",Flint Hill
10,Tanner Ingle,SAF,JR,5-10,182,"Orlando, FL",Dr. Phillips
7,Chris Ingram,CB,SR,6-0,186,"Salisbury, NC",Mooresville
90,Savion Jackson,DE,SO,6-2,290,"Clayton, NC",Clayton
46,Andrew Jayne,TE,FR,6-6,232,"Fayetteville, NC",Terry Sanford
43,Colby Johnson,LB,FR,6-0,198,"Reidsville, NC",Reidsville
44,Yates Johnson,TE,FR,6-5,243,"Fayetteville, NC",Terry Sanford
31,Vi Jones,LB,JR,6-3,227,"Austin, TX",Westlake/Southern Cal
36,"Demarcus Jones, II",RB,FR,5-10,213,"Wendell, NC",Wake Forest
99,Daniel Joseph,DL,SR,6-3,265,"Toronto, Canada",Lake Forest Academy (Ill.)
52,Ibrahim Kante,DE,JR,6-4,263,"New York, NY",Cardinal Hayes
70,Walter Karstens,OL,FR,6-7,360,"Clayton, NC",Clayton
7,Zonovan Knight,RB,SO,5-11,210,"Bailey, NC",Southern Nash
60,Ethan Lane,OL,FR,6-3,290,"Lawrenceville, GA",Archer
97,Claude Larkins,DL,FR,6-4,284,"Ft. Lauderdale, FL",Chaminade-Madonna
67,Brendan Lawson,OL,FR,6-2,270,"Swansboro, NC",Swansboro
13,Devin Leary,QB,SO,6-1,212,"Sicklerville, NJ",Timber Creek
15,Keyon Lesane,WR,SO,5-11,190,"Lumberton, NC",Butler
44,"Mario Love, Jr.",NIC,FR,5-9,162,"Cornelius, NC",Hough
21,Khalid Martin,SAF,FR,6-0,192,"Tobaccoville, NC",East Forsyth
36,Alex Martjuchin,SAF,FR,5-11,185,"Cary, NC",Panther Creek
76,Patrick Matan,OL,FR,6-4,300,"Chevy Chase, MD",Gonzaga College HS
68,Matt McCabe,OL,FR,6-6,260,"Cary, NC",Panther Creek
52,Timothy McKay,OL,FR,6-4,300,"Raleigh, NC",Wakefield
16,Aaron McLaughlin,QB,FR,6-5,230,"Cumming, GA",Denmark
92,Alex McLaughlin,LS,FR,5-10,220,"Matthews, NC",Weddington
54,Dylan McMahon,OL,FR,6-4,300,"Savannah, GA",Savannah Christian
14,Nehki Meredith,CB,FR,5-9,180,"Virginia Beach, VA",Bishop Sullivan
