No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
2,Israel Abanikanda,RB,SO,5-11,215,"Brooklyn, NY",Abraham Lincoln
3,Jordan Addison,WR,SO,6-0,175,"Frederick, MD",Tuscarora
94,Cal Adomitis,LS,SR,6-2,250,"Pittsburgh, PA",Pittsburgh Central Catholic
5,Deslin Alexandre,DL,SR,6-4,285,"Pompano Beach, FL",Deerfield Beach
20,Myles Alston,WR,FR,6-1,180,"Virginia Beach, VA",Ocean Lakes
63,Matt Altsman,OL,FR,6-0,280,"Zelienople, PA",Pittsburgh Central Catholic
54,Trey Andersen,OL,FR,6-6,270,"Eagle Mountain, UT",Lehi
3,Khalil Anderson,DB,FR,5-11,170,"Atlanta, GA",Riverwood
87,Habakkuk Baldonado,DL,JR,6-5,260,"Rome, Italy",Clearwater Academy International (FL)
10,Jaylon Barden,WR,SO,5-11,175,"Lizella, GA",Westside
86,Gavin Bartholomew,TE,FR,6-4,260,"Schuylkill Haven, PA",Blue Mountain
15,Rashad Battle,DB,SO,6-3,205,"Atlanta, GA",Creekside
40,Emmanuel Belgrave,DL,FR,6-3,255,"Miami, FL",Miami Southridge Senior
54,Dylan Bennett,LB,FR,6-3,220,"Montoursville, PA",Montoursville
92,Tyler Bentley,DL,JR,6-2,305,"West Chester, OH",Lakota West
17,Davis Beville,QB,SO,6-6,235,"Greenville, SC",Greenville
85,Garrett Bickhart,WR,SR,6-5,215,"Liberty, PA",North Penn-Mansfield
28,Noah Biglow,DB,FR,5-11,170,"Wesley Chapel, FL",Armwood
81,Jaden Bradley,WR,FR,6-3,195,"Fayetteville, NC",DeMatha Catholic (MD)
38,Cam Bright,LB,SR,6-0,220,"Montgomery, AL",Park Crossing
57,Bam Brima,DL,SO,6-5,265,"Worcester, MA",Loyalsock Township (PA)
44,Taelen Brooks,DB,FR,6-1,185,"Pittsburgh, PA",Woodland Hills
52,Naquan Brown,DL,FR,6-3,205,"Virginia Beach, VA",Ocean Lakes
10,Keyshon Camp,DL,SR,6-4,290,"Lakeland, FL",Lake Gibson
24,Phil Campbell III,LB,SR,6-1,220,"Kendall Park, NJ",South Brunswick
39,Myles Canton,DB,SR,6-1,185,"Upper Marlboro, MD",DeMatha Catholic
45,Dante Caputo,DB,SO,5-11,190,"Wexford, PA",North Allegheny
70,Grant Carrigan,OL,SR,6-7,290,"Las Vegas, NV",Pine-Richland (PA)
40,Daniel Carter,RB,SO,5-10,235,"Margate, FL",St. Thomas Aquinas
98,Kirk Christodoulou,P,SR,6-1,225,"Melbourne, Australia",Balwyn
50,Jason Collier Jr.,OL,SO,6-6,335,"West Deptford, NJ",West Deptford
72,Jake Cortes,OL,JR,6-5,280,"McMurray, PA",Peters Township
24,Tamarion Crumpley,DB,FR,6-1,185,"Cincinnati, OH",Winton Woods
95,Devin Danielson,DL,JR,6-2,310,"Pittsburgh, PA",Thomas Jefferson
22,Vincent Davis,RB,JR,5-8,175,"Fort Lauderdale, FL",Cardinal Gibbons
20,Wendell Davis,LB,JR,6-2,240,"Richmond, VA",Benedictine College Prep
21,A.J. Davis Jr.,RB,SR,6-0,225,"Lakeland, FL",Lakeland
34,Solomon DeShields,LB,SO,6-2,230,"Millville, NJ",Millville Senior
27,Luke DelGaudio,WR,FR,6-2,195,"Shavertown, PA",Dallas
7,SirVocea Dennis,LB,JR,6-1,230,"Syracuse, NY",Christian Brothers Academy
12,M.J. Devonshire,DB,SO,5-11,185,"Aliquippa, PA",Aliquippa
94,Elliot Donald,DL,FR,6-2,255,"Pittsburgh, PA",Pittsburgh Central Catholic
60,Owen Drexel,OL,SR,6-3,310,"Montclair, NJ",Montclair
74,Terrence Enos Jr.,OL,FR,6-4,325,"Redford, MI",Cass Technical
93,James Fineran,LS,FR,6-4,225,"Towson, MD",Calvert Hall
49,Byron Floyd,LS,FR,6-1,245,"Mentor, OH",Mentor
53,Dorien Ford,DL,FR,6-4,285,"Pittsburgh, PA",Baldwin
26,Jake Frantl,QB,FR,6-0,200,"Erin, WI",Hartford Union
66,George French,OL,FR,6-7,320,"Bethlehem, PA",Bethlehem Catholic
30,Brandon George,LB,JR,6-3,240,"Bernville, PA",Berks Catholic
76,Matt Goncalves,OL,SO,6-6,320,"Manorville, NY",Eastport-South Manor
2,David Green,DL,JR,6-0,290,"West Mifflin, PA",Pittsburgh Central Catholic
92,Cam Guess,P,FR,5-11,200,"Belle Vernon, PA",Belle Vernon Area
37,Stephon Hall,DB,FR,6-1,170,"Monaca, PA",Central Valley
31,Erick Hallett II,DB,JR,5-11,195,"Cypress, TX",Cy-Fair
9,Rodney Hammond Jr.,RB,FR,5-9,175,"Norfolk, VA",Booker T. Washington
50,Dayon Hayes,DL,SO,6-3,260,"Pittsburgh, PA",Westinghouse
47,Aydin Henningham,LB,SO,6-2,210,"Delray Beach, FL",Deerfield Beach
48,Jackson Henry,LB,JR,6-2,235,"Perkasie, PA",Pennridge
9,Brandon Hill,DB,SO,5-11,195,"Apopka, FL",Wekiva
57,Gabe Houy,OL,SR,6-6,325,"Pittsburgh, PA",Upper St. Clair
