No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
18,Miles Adams,DE,SO,6-4,238,"Houston, TX",Strake Jesuit
38,Zach Adams,K,FR,5-11,180,"Spring, TX",Klein Oak
32,Jared Albert,DB,FR,6-3,185,"New Orleans, LA",Lusher
5,Chike Anigbogu,S,FR,5-10,194,"Missouri City, TX",Ridge Point
19,DJ Arkansas,LB,FR,6-2,200,"Denton, TX",Ryan
27,Andrew Awe,LB,FR,6-2,210,"Mansfield, TX",Mansfield Lake Ridge HS
11,Jake Bailey,WR,SO,5-10,180,"San Clemente, CA",St. John Bosco
21,Joshua Bailey,QB,FR,6-4,190,"Mandeville, LA",Fontainebleau
6,Desmyn Baker,LB,JR,6-2,230,"Clinton, MS",Clinton / NW Mississippi CC
58,Shea Baker,OL,JR,6-1,311,"Round Rock, TX",Cedar Ridge
14,Jaren Banks,LB,JR,6-0,213,"Junction City, OR",Sheldon / New Mexico Military
0,Adrian Bickham,RSH,SO,6-3,214,"Angie, LA",Varnado
15,Andrew Bird,CB,SO,6-1,185,"Fort Worth, TX",All Saints Episcopal
75,Blake Boenisch,DL,FR,6-3,300,"Needville, TX",Needville
21,Garrett Braden,OLB,FR,6-2,231,"New Canaan, CT",New Canaan
87,Jack Bradley,TE,SO,6-5,258,"Dallas, TX",Bishop Lynch
30,Ari Broussard,RB,SO,6-0,215,"New Orleans, LA",Lusher
82,Jaeger Bull,TE,JR,6-4,236,"Corpus Christi, TX",Flour Bluff
4,Prudy Calderon,DB,JR,5-11,213,"San Marcos, TX",San Marcos
17,Kobie Campbell,WR,FR,5-7,165,"Missouri City, TX",Hightower
55,De'Braylon Carroll,DT,SO,6-0,291,"Duncanville, TX",Duncanville
17,Treshawn Chamberlain,LB,JR,5-10,201,"Greenwood, SC",Emerald
81,Caleb Chappelle,WR,FR,5-11,181,"Tomball, TX",The Woodlands Christian Academy
10,Jake Constantine,QB,SR,6-2,200,"Camarillo, CA",Camarillo / Ventura College/Boise State/Weber State
22,Dillon Davis,RB,SR,6-2,211,"Bellaire, TX",Episcopal
2,Tre’shon Devones,CB,SO,6-0,183,"Duncanville, TX",Duncanville
48,Jacob Doddridge,DE,SO,6-3,247,"Southlake, TX",Carroll
16,Jonah Doddridge,DB,FR,6-2,180,"Southlake, TX",Southlake Carroll HS
25,Jordan Dunbar,CB,FR,5-11,194,"Tarrytown, NY",Iona Prep
34,Terreance Ellis,LB,FR,6-2,211,"Pearland, TX",Shadow Creek HS
91,Ikenna Enechukwu,DE,SO,6-4,266,"Kansas City., MO",Ruskin
83,Zion Felder,WR,FR,6-0,165,"Iowa Colony, TX",Manvel
75,Derek Ferraro,OL,SO,6-6,303,"New Rochelle, NY",Iona Prep
50,Izeya Floyd,OL,FR,6-2,326,"Frisco, TX",Reedy
80,Jayden Folmar,WR,FR,6-1,185,"Dothan, AL",Dothan
26,Christian Francisco,RB,FR,5-9,170,"Rogers, AR",Rogers
18,Robert French,TE,SO,6-5,241,"Jacksonville, FL",Bartram Trail
29,Sean Fresch,CB,FR,5-8,170,"Austin, TX",Lyndon B. Johnson
73,Cole Garcia,OL,SO,6-4,329,"Dallas, TX",Bishop Lynch
92,Elijah Garcia,DL,SR,6-5,302,"San Antonio, TX",Stevens
5,Wiley Green,QB,SO,6-3,211,"Coppell, TX",Prestonwood Christian
6,Khalan Griffin,RB,FR,5-10,215,"Tyler, TX",Chapel Hill
89,Michael Haack,WR,FR,5-11,160,"El Paso, TX",Franklin HS
50,Hunter Hanley,RSH,FR,6-2,237,"Hershey, PA",Milton Hershey
44,Geron Hargon,LB,FR,6-2,234,"Shreveport, LA",Captain Shreve
52,Jalen Hargrove,DL,FR,6-4,308,"Paterson, NJ",Choate Rosemary Hall
81,Jaggar Hebeisen,TE,FR,6-4,225,"Colleyville, TX",Heritage
98,Van Heitmann,DL,FR,6-6,207,"Houston, TX",Stratford HS
42,Brian Hibbard,FB,FR,6-0,211,"Baton Rouge, LA",Catholic HS
67,Connor Hughes,OL,FR,6-2,316,"Katy, TX",Cinco Ranch
15,Shawqi Itraish,QB,FR,6-3,190,"Bradenton, FL",Braden River
95,Caleb James,DE,FR,6-0,305,"Cypress, TX",North Shore HS
28,Jonathan Jean,CB,FR,5-10,175,"Lakeland, FL",Victory Christian Academy
3,JoVoni Johnson,QB,FR,6-3,215,"Conway, AR",Conway
32,Jerry Johnson III,FB,FR,6-1,232,"Port Saint Lucie, FL",Treasure Coast
14,Nate Kamper,TE,FR,6-6,222,"Fort Hood, TX",Killeen
54,Isaac Klarkowski,OL,FR,6-2,300,"Green Bay, WI",Southwest
13,Zane Knipe,WR,FR,5-11,180,"Houston, TX",:Lamar
99,Cole Latos,DL,FR,6-5,270,"Allen, TX",Allen
53,Mike Leone,OL,FR,6-5,275,"Bryn Mawr, PA",The Hun School
9,Kirk Lockhart,S,SO,5-11,187,"Cedar Hill, TX",Cedar Hill
