No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
33,Junior Aho,DT,JR,6-4,268,"Nice, France",New Mexico Military Institute
77,Alan Ali,OL,SR,6-5,309,"Fort Worth, TX",Timber Creek
74,Tyler Bailey,OL,FR,6-5,291,"Edinburg, TX",Vela
9,Beau Barker,WR,SO,6-1,184,"Amarillo, TX",Amarillo
28,Blake Bedwell,RB,FR,5-10,194,"Amarillo, TX",Amarillo
98,Jay Bell,DL,FR,6-4,254,"Beaumont, TX",West Brook
7,Ulysses Bentley IV,RB,SO,5-11,197,"Houston, TX",C.E. King
48,Will Benton,LS,SO,6-1,228,"Atlanta, GA",The Westminster Schools
58,Tai Brooks,OL,SO,6-4,335,"Allen, TX",Allen
39,Darren Brown,DT,JR,6-3,317,"Converse, TX",Judson
57,Cobe Bryant,OL,SR,6-5,325,"Auburn Hills, MI",Riverside C.C. / Arizona Western / Rochester
52,Marcus Bryant,OL,SO,6-8,314,"Round Rock, TX",Cedar Ridge
15,Keke Burns,LB,SO,6-4,232,"Pittsburg, TX",Pittsburg
88,Grant Calcaterra,TE,SR,6-5,247,"Rancho Santa Margarita, CA",Oklahoma / Santa Margarita Catholic
11,Chevin Calloway,S,SR,5-11,208,"Dallas, TX",Arkansas / Bishop Dunne
30,Carter Campbell,WR,FR,6-0,192,"San Antonio, TX",Reagan
40,Elijah Chatman,DE,JR,6-1,289,"Shreveport, LA",Evangel Christian Academy
21,Donald Clay,S,SO,5-11,195,"New Orleans, LA",John Curtis
52,Ricky Cole,DL,JR,6-2,300,"Baltimore, MD",Wagner / Dallastown
67,Dylan Cordell,OL,FR,6-2,303,"Houston, TX",Houston Second Baptist
97,Turner Coxe,LB,SR,6-3,243,"Dallas, TX",Highland Park
18,Chace Cromartie,S,JR,6-1,198,"Cibolo, TX",Steele
1,Brandon Crossley,CB,JR,6-0,186,"Dallas, TX",Colorado State / Little Elm
-,Max Cummins,DL,SR,6-5,200,"Fort Worth, TX",Texas / All Saints Episcopal
13,"Roderick Daniels, Jr.",WR,FR,5-9,191,"Duncanville, TX",Duncanville
26,Montaye Dawson,RB,FR,5-8,175,"Dallas, TX",All Saints Episcopal
10,Ty DeArman,LB,SO,5-11,194,"Arlington, TX",Oklahoma / Bowie
16,Trevor Denbow,S,SR,6-1,225,"Corsicana, TX",Navarro College / Corsicana
93,Bobby Duncum,DE,FR,6-4,219,"Austin, TX",Westlake
47,Stone Eby,DT,FR,6-5,270,"Flower Mound, TX",Flower Mound
31,Preston Ellison,LB,SR,6-3,204,"Odessa, TX",Permian
22,"Brandon Epton, Jr.",RB,FR,6-0,194,"Dallas, TX",Kimball
64,Cameron Ervin,OL,SO,6-3,286,"Fayetteville, AR",Fayetteville
49,Parker Forque,DE,FR,6-4,235,"Bellaire, TX",Episcopal
91,Matt Fraanje,P,FR,6-5,204,Australia,-
