No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
37,Dylan Adams,TE,FR,6-5,236,"Richardson, TX",Pearce High School
65,Colson Altman,OG,SR,6-2,311,"Brenham, TX",Brenham High School / Houston
10,Da'Veawn Armstead,S,FR,6-1,174,"Baton Rouge, LA",Central High School
33,Thomas Armstrong,LB,SO,6-3,223,"Hollywood, FL",Chaminade-Madonna College Preparatory
79,Steve Avila,C,JR,6-4,334,"Arlington, TX",South Grand Prairie High School
43,Blake Baldwin,LB,FR,6-0,225,"Clovis, CA",Clovis East High School
23,Sam Banks,WR,FR,6-1,180,"Nashville, TN",Montgomery Bell Academy
19,Shadrach Banks,LB,FR,6-1,250,"Houston, TX",North Shore High School / Texas A&M
4,Taye Barber,WR,SR,5-9,179,"Cypress, TX",Cypress Springs High School
2,Mikel Barkley,WR,JR,5-11,170,"Tallahassee, FL",Great Oak High School / Palomar College
58,Altrique Barlow,OG,FR,6-5,351,"Virginia Beach, VA",Catholic High School
97,Earl Barquet,DT,SO,6-3,277,"Marrero, LA",John Ehret High School
17,Trent Battle,QB,FR,6-1,199,"Daphne, AL",Daphne High School
94,Corey Bethley,DT,SR,6-2,313,"Katy, TX",Katy High School
31,Carter Bir,S,JR,6-1,175,"Flower Mound, TX",Marcus High School
66,Noah Bolticoff,OL,FR,6-5,297,"Rose Hill, KS",Rose Hill High School
47,Jake Boozer,S,FR,6-2,219,"Waco, TX",Bishop Reicher High School
28,Nook Bradford,S,JR,5-11,186,"Helotes, TX",O'Connor High School / Fork Union Military Academy
0,Marcel Brooks,WR,JR,6-2,194,"Fort Worth, TX",Marcus High School / LSU
75,Brannon Brown,C,SO,6-5,332,"San Antonio, TX",O'Connor High School
88,Quincy Brown,WR,FR,6-4,183,"Destrehan, LA",Destrehan High School
85,Nick Busa,WR,FR,5-10,169,"Houston, TX",Strake Jesuit High School
64,Oliver Buttram,OL,FR,5-11,275,"Houston, TX",Memorial High School
14,Abraham Camara,S,SO,6-0,186,"Alpharetta, GA",West Forsyth High School / Coffeyville CC
7,T.J. Carter,S,SR,5-11,193,"Nashville, TN",Stratford High School / Memphis
9,C.J. Ceasar II,CB,JR,5-11,166,"Monroe, LA",Richwood High School
28,Derek Certo,WR,JR,6-0,183,"New York, NY",Fordham Prep
20,Christopher Chosen,WR,FR,6-0,168,"Richmond, TX",George Ranch High School
26,Bud Clark,S,SO,6-2,189,"Alexandria, LA",Alexandria High School
74,Andrew Coker,OT,SO,6-7,319,"Katy, TX",James E. Taylor High School
77,Brandon Coleman,OT,SO,6-6,325,"Denton, TX",Denton High School / Trinity Valley Community College
11,Khari Coleman,DE,SO,6-2,221,"New Orleans, LA",G.W. Carver High School
3,Donavann Collins,CB,SO,5-11,188,"Cedar Hill, TX",Cedar Hill High School
22,Blair Conwright,WR,SO,5-11,179,"Lubbock, TX",Coronado High School
95,Terrell Cooper,DT,SR,6-2,283,"Lindale, TX",Lindale High School
29,Marvin Covington,CB,FR,5-11,185,"Mansfield, TX",Lake Ridge High School
81,Chase Curtis,WR,JR,6-5,220,"Pittsburg, KS",Pittsburg High School / Neosho County Community College
21,Noah Daniels,CB,SR,6-0,194,"League City, TX",Clear Creek High School
11,Derius Davis,WR,SR,5-9,162,"Saint Francisville, LA",West Feliciana High School
38,Henry Deakins,TE,FR,6-3,220,"Los Angeles, CA",Sierra Canyon High School
3,Emari Demercado,RB,SR,5-11,213,"Inglewood, CA",Downey High School / Saddleback College
84,Dominic DiNunzio,TE,SO,6-4,235,"Cleveland, OH",Saint Ignatius High School
46,Trenton Dickey,LB,FR,6-4,245,"Hardin, TX",Hardin High School
70,Kris Dike,OT,JR,6-6,305,"Van, TX",Van High School
35,Colton Dobson,WR,FR,5-11,170,"Nolensville, TN",Nolensville High School
92,Luke Dodds,DE,FR,6-3,233,"Round Rock, TX",Round Rock High School
7,Matthew Downing,QB,JR,6-0,206,"Alpharetta, GA",Alpharetta High School / Georgia
15,Max Duggan,QB,JR,6-2,214,"Council Bluffs, IA",Lewis Central High School
93,George Ellis III,DT,SR,6-2,291,"Miramar, FL",American Heritage High School
44,Colt Ellison,DE,JR,6-4,255,"Aledo, TX",Aledo High School
96,Nathan Ellisor,PK,FR,6-0,170,"Austin, TX",Lake Travis High School
40,Franklin Estrada,RB,FR,5-11,188,"Carollton, TX",Hebron High School
6,Zach Evans,RB,SO,5-11,212,"Houston, TX",North Shore High School
55,Obinna Eze,OT,SR,6-8,334,"Nashville, TN",Davidson Academy / Memphis
43,Sam Forman,LB,FR,6-3,213,"Aledo, TX",Aledo High School
21,Daimarqua Foster,RB,SO,5-10,201,"Wichita Falls, TX",Hirschi High School
15,Josh Foster,S,JR,6-2,190,"Newton, TX",Newton High School
37,Warren Fowler,LB,FR,6-0,200,"Pasadena, CA",La Salle College Prepatory
46,Michael Franklin,WR,SO,5-9,150,"Fort Worth, TX",O.D. Wyatt High School
30,Jayhvion Gipson,LB,FR,6-1,200,"Houston, TX",Langham Creek High School
62,Jack Gullett,OL,FR,6-5,281,"Austin, TX",Vandegrift High School
60,Tyler Guyton,OT,FR,6-7,312,"Manor, TX",Manor High School
82,Mitchell Hansen,TE,SO,6-4,240,"Plano, TX",Plano High School
35,Hilton Harris,LB,FR,6-4,210,"Southlake, TX",Grapevine Faith Christian School
31,Rhett Harris,LB,SR,6-1,210,"Aledo, TX",Aledo High School / San Diego
78,Wes Harris,OG,SR,6-4,321,"Aledo, TX",Aledo High School
25,Wyatt Harris,LB,JR,6-3,229,"Aledo, TX",Aledo High School
76,Garrett Hayes,OG,FR,6-5,297,"Athens, TX",Athens High School
27,Gunnar Henderson,WR,JR,5-9,169,"McAllen, TX",McAllen High School / Incarnate Word
73,Blake Hickey,OG,SR,6-4,318,"Godley, TX",Godley High School / Kansas State
47,Alex Hilty,S,FR,6-0,194,"Avon, CO",Vail Christian High School
6,Jamoi Hodge,LB,SO,6-2,224,"Winston-Salem, NC",Reynolds High School / Independence Community College
1,Tre'Vius Hodges-Tomlinson,CB,JR,5-9,177,"Waco, TX",Midway High School
12,Alex Honig,QB,FR,6-6,247,"Bavaria, Germany",Schwäbisch Hall Unicorns
98,Dylan Horton,DE,SR,6-4,250,"Frisco, TX",Frisco High School / New Mexico
9,Chase Jackson,WR,FR,6-2,170,"Choctaw, OK",Choctaw High School
16,Sam Jackson,QB,FR,5-11,185,"Naperville, IL",Naperville Central High School
29,Sterling Jackson,RB,SO,5-10,165,"Kerrville, TX",Tivy High School / Central Texas College
23,Keontae Jenkins,CB,SO,5-10,169,"South Norfolk, VA",Frank W. Cox High School
91,Patrick Jenkins,DT,SO,6-2,287,"New Orleans, LA",John Ehret High School
1,Quentin Johnston,WR,SO,6-4,201,"Temple, TX",Temple High School
41,Dillon Jones,P,SR,6-4,184,"Darien, CT",Darien High School
34,JR Justice,WR,SO,6-3,210,"San Diego, CA",St. Augustine High School / San Diego State
39,Griffin Kell,PK,JR,6-0,192,"Arlington, TX",Arlington High School
39,Matthew Kerr,S,FR,6-4,210,"Mason, TX",Mason High School
25,James Koshakji,PK,SO,5-8,171,"Dallas, TX",Jesuit Dallas
53,John Lanz,OG,JR,6-3,317,"Argyle, TX",Guyer High School
36,Joe Laterza,SN,FR,6-5,203,"Arlington Heights, IL",Saint Viator High School
40,Luke Lingard,LB,FR,6-1,216,"Colleyville, TX",Colleyville Heritage High School
86,Jasper Lott,TE,FR,6-5,253,"Argyle, TX",Argyle High School
26,Christian MacDonald,WR,FR,6-1,198,"Hopkinton, MA",Hopkinton High School
34,Zach Marcheselli,LB,SO,6-2,217,"Broken Arrow, OK",Broken Arrow High School
32,Ochaun Mathis,DE,JR,6-5,257,"Manor, TX",Manor High School
42,Brent Matiscik,TE,SO,6-1,245,"McKinney, TX",McKinney Boyd High School
17,Deshawn McCuin,S,SO,6-0,194,"Jacksonville, TX",Jacksonville High School
27,Jaionte McMillan,CB,SO,5-11,188,"Atlanta, GA",Rockdale County High School
69,Coy McMillon,C,SR,6-4,304,"Abilene, TX",Abilene High School
26,Caleb Medford,WR,FR,6-3,196,"Henderson, TX",Henderson High School
33,Kendre Miller,RB,SO,6-0,214,"Mount Enterprise, TX",Mount Enterprise High School
99,Soni Misi,DT,JR,6-2,312,"Rohnert Park, CA",Rancho Cotate High School / Santa Rosa Junior College
14,Chandler Morris,QB,FR,5-11,175,"Highland Park, TX",Highland Park High School / Oklahoma
41,Chris Murray,DE,FR,6-3,245,"Wichita Falls, TX",Hirschi High School
13,Jake Neufeld,WR,JR,6-3,198,"San Diego, CA",La Costa Canyon High School / Azusa Pacific
68,Michael Nichols,OT,FR,6-5,308,"Justin, TX",Northwest High School
87,Blake Nowell,WR,FR,6-4,196,"Ardmore, OK",Plainview High School
48,Zimbalist Odhams III,CB,FR,5-9,146,"Mansfield, TX",Lake Ridge High School / Southwestern Oklahoma State
4,Michael Onyemaobi,S,SR,6-1,194,"Temecula, CA",Chaparral High School
49,Antonio Ortiz,SN,SR,6-4,245,"Mechanicsville, VA",Benedictine College Preparatory
9,Luke Pardee,QB,FR,6-1,187,"Houston, TX",Klein Cain High School
16,D'Arco Perkins-McAllister,S,FR,6-1,185,"Nashville, TN",Stratford Comprehensive High School
89,Jack Powers,WR,JR,6-4,236,"Danville, CA",De La Salle High School
36,Ryan Quintanar,LB,FR,6-0,218,"Los Angeles, CA",Loyola High School
44,Ben Reppenhagen,TE,FR,6-3,247,"Edina, MN",Saint Thomas Academy
24,Deryl Reynolds,RB,SR,5-8,160,"San Antonio, TX",Alamo Heights High School / Colorado School of Mines
80,D'Andre Rogers,TE,FR,6-4,230,"Sammamish, WA",Eastside Catholic High School
83,Cade Rosenkranz,WR,SO,5-10,165,"Anaheim, CA",Servite High School
31,Jordy Sandy,P,JR,6-3,216,"Traralgon, Australia",ProKick Australia
30,Drew Scott,WR,SO,6-2,192,"Dallas, TX",Highland Park High School
61,Riley Self,OL,FR,6-4,291,"Lufkin, TX",Lufkin High School
43,Harper Simmons,PK,SO,6-0,191,"Frisco, TX",Lone Star High School / East Central
90,Jaquaze Sorrells,DT,FR,6-3,301,"Clearwater, FL",Winter Park High School
10,JD Spielman,WR,SR,5-9,173,"Minneapolis, MN",Eden Prairie High School / Nebraska
12,Geor'Quarius Spivey,TE,JR,6-5,241,"Monroe, LA",Richwood High School / Mississippi State
19,TJ Steele,WR,FR,6-0,211,"Lubbock, TX",Estacado High School
2,Kee'yon Stewart,CB,JR,5-11,180,"Houston, TX",North Shore High School
12,Kenny Turnier,DT,SR,6-4,283,"Miami, FL",Miami Central High School / UCF
20,La'Kendrick Van Zandt,S,SR,6-1,206,"Henderson, TX",Henderson High School
24,Tony Wallace,CB,SR,5-11,185,"Las Vegas, NV",Desert Pines High School / Independence CC
47,Carter Ware,TE,SR,6-4,254,"Liberty Hill, TX",Liberty Hill High School
19,Ahmonte Watkins,RB,FR,5-10,186,"Houston, TX",Klein Forest High School
0,Landyn Watson,DE,FR,6-3,242,"Hutto, TX",Hutto High School
57,Hudson White,OL,FR,6-2,296,"Abilene, TX",Wylie High School
71,Marcus Williams,OT,SO,6-6,321,"Longview, TX",Longview High School
18,Savion Williams,WR,SO,6-5,214,"Marshall, TX",Marshall High School
13,Dee Winters,LB,JR,6-1,230,"Brenham, TX",Burton High School
48,Cade Younger,WR,FR,6-0,190,"Arlington, WA",Arlington High School
