No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
79,Jaxon Adams,DL,FR,6-3,245,"Oak Ridge, TN",Oak Ridge
77,Chris Akporoghene,OL,SO,6-3,310,"Warri, Nigeria",IMG Academy
46,Will Albright,LS,FR,6-1,220,"Greeneville, TN",Greeneville
59,Dominic Bailey,DL,FR,6-3,270,"Salisbury, MD",St. Frances Academy
15,Harrison Bailey,QB,SO,6-5,220,"Marietta, GA",Marietta
65,Parker Ball,OL,SO,6-4,290,"Douglasville, GA",Douglas County
37,Montrell Bandy,DB,FR,6-3,170,"Mount Juliet, TN",Mount Juliet
33,Jeremy Banks,LB,JR,6-1,224,"Cordova, TN",Cordova
9,Tyler Baron,DL,SO,6-5,260,"Knoxville, TN",Knoxville Catholic
24,Aaron Beasley,LB,JR,6-1,225,"Franklin, GA",Heard County
21,Dee Beckwith,RB,FR,6-5,227,"Florence, AL",Florence
84,Trinity Bell,TE,FR,6-7,265,"Albertville, AL",Albertville
90,Daniel Bethel,PK,FR,6-1,185,"Clinton, TN",Anderson County
17,Michael Bittner,WR,SO,6-2,222,"Cincinnati, OH",Elder
48,Ja'Quain Blakely,DL,SR,6-2,270,"Moultrie, GA",Colquitt County
37,Paxton Brooks,P,SR,6-6,195,"Lexington, SC",Airport
35,Will Brooks,DB,FR,6-1,200,"Birmingham, AL",Vestavia Hills
46,Lucien Brunetti,WR,FR,6-0,165,"Nashville, TN",Montgomery Bell Academy
11,LaTrell Bumphus,DL,SR,6-3,290,"Savannah, TN",Hardin County
4,Warren Burrell,DB,JR,6-0,190,"Suwanee, GA",North Gwinnett
94,Matthew Butler,DL,SR,6-4,295,"Raleigh, NC",Garner Senior
74,K'Rojhn Calbert,OL,SR,6-5,325,"McMinnville, TN",Warren County Senior
9,Jimmy Calloway,WR,SO,6-0,190,"Morrow, GA",Morrow
86,Miles Campbell,TE,FR,6-3,240,"Douglasville, GA",South Paulding
41,JT Carver,PK,FR,5-11,190,"Martin, TN",Westview
75,Jerome Carvin,OL,SR,6-5,318,"Memphis, TN",Cordova
14,Christian Charles,DB,FR,6-1,186,"Gainesville, GA",Chestatee
82,Andison Coby,WR,SO,6-2,180,"Fort Lauderdale, FL",American Heritage / Northeast Mississippi JC
53,Jeremiah Crawford,OL,JR,6-5,315,"Goddard, KS",Goddard / Butler (Kan.) CC
66,Dayne Davis,OL,SO,6-7,325,"Bluff City, TN",Sullivan East
36,Tanner Dobrucky,WR,SR,5-9,193,"Richmond, VA",Douglas S. Freeman
20,Bryson Eason,LB,SO,6-3,290,"Memphis, TN",Whitehaven
72,Nick Edwards,OL,FR,6-5,324,"Clarksville, TN",Clarksville
7,Romello Edwards,DB,JR,6-0,187,"Philadelphia, PA",Neumann-Goretti
8,Tiyon Evans,RB,JR,5-11,220,"Hartsville, SC",Hartsville / Hutchinson (Kan.) JC
88,Princeton Fant,TE,SR,6-2,240,"Nashville, TN",LaVergne
17,Tyus Fields,DB,SO,5-10,186,"Cornelius, NC",Hough
1,Trevon Flowers,DB,SR,5-11,200,"Atlanta, GA",Tucker
0,Grant Frerking,WR,SR,6-5,216,"Atlanta, GA",Wesleyan School
47,Matt Gaca,LB,SO,6-2,223,"Franklin, TN",Franklin / Incarnate Word
99,Kurott Garland,DL,JR,6-3,310,"Conyers, GA",Heritage
15,Kwauze Garland,LB,SO,6-1,220,"Conyers, GA",Heritage
43,Jerrod Gentry,DB,FR,6-0,200,"Memphis, TN",Briarcrest Christian
5,Kenneth George Jr.,DB,SR,5-11,203,"Lafayette, LA",Acadiana / Trinity Valley (Texas) CC
58,Isaac Green,DL,SO,6-0,300,"Memphis, TN",Memphis Central
13,Kamal Hadden,DB,SO,6-1,190,"River Rouge, MI",River Rouge / Independence (Kan.) CC/Auburn
54,Kingston Harris,OL,JR,6-3,326,"Orlando, FL",IMG Academy
30,Roman Harrison,DL,JR,6-2,240,"Bainbridge, GA",Bainbridge
44,Tee Hodge,RB,FR,6-1,218,"Maryville, TN",Maryville
6,Jimmy Holiday,WR,SO,6-0,205,"Flora, MS",Madison Central
5,Hendon Hooker,QB,SR,6-4,218,"Greensboro, NC",Dudley / Virginia Tech
31,Nick Humphrey,LB,SR,6-1,210,"Monroe, MI",Jefferson
11,Jalin Hyatt,WR,SO,6-0,175,"Irmo, SC",Dutch Fork
26,Theo Jackson,DB,SR,6-2,203,"Nashville, TN",Overton
22,Jack Jancek,WR,FR,6-5,215,"Knoxville, TN",Knoxville Catholic
8,Bradley Jones,DB,SR,6-2,200,"Nashville, TN",Stratford / Memphis
1,Velus Jones Jr.,WR,SR,6-0,200,"Saraland, AL",Saraland / Southern Cal
25,Morven Joseph,LB,SO,6-2,215,"Lakeland, FL",Lake Gibson
80,Ramel Keyton,WR,JR,6-3,195,"Marietta, GA",Marietta
55,Braeden Krivosh,-,-,-,-,-,-
23,Cheyenne Labruzza,DB,SR,5-11,200,"Albany, LA",Albany
50,Jackson Lampley,OL,SO,6-4,320,"Nashville, TN",Montgomery Bell Academy
78,Ollie Lane,OL,JR,6-4,325,"Corryton, TN",Gibbs
83,Nigel Lanier,WR,FR,6-0,190,"Huntsville, AL",North Jackson
56,Riley Locklear,OL,SR,6-4,285,"Huntington, WV",Spring Valley
25,Antonio Malone,RB,FR,5-10,216,"Antioch, TN",Blackman
42,Kaemen Marley,WR,FR,6-3,195,"Ramseur, NC",Eastern Randolph
18,Brian Maurer,QB,SO,6-3,205,"Ocala, FL",West Port
68,Cade Mays,OL,SR,6-6,325,"Knoxville, TN",Knoxville Catholic / Georgia
63,Cooper Mays,OL,SO,6-3,295,"Knoxville, TN",Knoxville Catholic
22,Jaylen McCollough,DB,JR,6-0,205,"Austell, GA",Hillgrove
12,Sully McDermott,QB,FR,6-4,220,"Charlotte, NC",Marvin Ridge
12,Tamarion McDonald,DB,SO,6-2,200,"Memphis, TN",Whitehaven
40,Chase McGrath,PK,SR,6-0,195,"Newport Beach, CA",Mater Dei / Southern Cal
93,Amari McNeill,DL,FR,6-4,285,"Suwanee, GA",Peachtree Ridge
19,Walker Merrill,WR,FR,6-1,190,"Brentwood, TN",Brentwood
7,Joe Milton III,QB,JR,6-5,244,"Pahokee, FL",Olympia / Michigan
10,Juwan Mitchell,LB,SR,6-1,226,"Newark, NJ",Mater Dei / Butler (Kan.) CC/Texas
18,William Mohan,LB,FR,6-1,210,"Brooklyn, NY",Erasmus Hall / Michigan
13,Gaston Moore,QB,FR,6-2,200,"Hilton Head, SC",Hilton Head / UCF
93,Kolby Morgan,P,FR,5-11,195,"Oneida, TN",Oneida
85,Julian Nixon,TE,FR,6-3,245,"Atlanta, GA",Centennial
24,Fred Orr,RB,SO,5-11,212,"Valdosta, GA","Northeast (Clarksville, Tenn.)"
38,Solon Page III,LB,SR,6-2,223,"Atlanta, GA",Kell
64,William Parker,OL,FR,6-5,317,"Nashville, TN",Pearl-Cohn
3,JaVonta Payton,WR,SR,6-1,180,"Nashville, TN",Hillsboro / Northwest (Miss.) CC/Mississippi State
70,RJ Perry,OL,FR,6-6,325,"Fairfield, AL",Fairfield Prep
30,Marcus Pierce Jr.,RB,SR,5-8,195,"Dallas, TX",Garland / Maryville College
81,Austin Pope,TE,SR,6-4,243,"Knoxville, TN",Christian Academy of Knoxville
34,Trel Riley,DB,FR,6-1,180,"Princeton, KY",Caldwell County
71,James Robinson,OL,FR,6-4,340,"Montgomery, AL",Carver
28,De'Shawn Rucker,DB,FR,6-0,185,"Tallahassee, FL",Godby
47,Matthew Salansky,LS,SO,5-11,245,"Morristown, TN",Morristown West
89,Hunter Salmon,TE,SO,6-5,245,"Birmingham, AL",Vestavia
39,West Shuler,LB,SO,6-1,220,"Knoxville, TN",Christ School (N.C.)
26,J.T. Siekerman,WR,SR,5-10,180,"Douglasville, GA",Chapel Hill
51,Elijah Simmons,DL,SO,6-2,350,"Memphis, TN","Pearl-Cohn (Nashville, Tenn.)"
40,Donovan Slates,LB,SR,6-1,222,"Adrian, MI",Madison / Albion College
