No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
29,Trenton Adkins,RB,FR,6-1,205,"Clintwood, VA",Ridgeview
98,Darius Alexander,DT,FR,6-4,320,"Fort Wayne, IN",Wayne
1,Tycen Anderson,S,SR,6-2,210,"Toledo, OH",St. John's Jesuit
62,Dalton Andrews,OL,FR,6-2,270,"Pemberville, OH",Eastwood
61,Kelvin Ateman,OL,JR,6-6,307,"Detroit, MI",Cass Tech
39,Alex Bannister,CB,JR,5-10,185,"Monroe, OH",Monroe
42,Jackson Barrow,LB,FR,6-0,220,"Indianapolis, IN",Cathedral
19,Dylan Barry,S,FR,5-11,185,"Tampa, FL",Plant
-,Jonathan Batzke,P,FR,6-1,200,"Cairns, Australia",Trinity Bay State / Central Queensland
6,Nate Bauer,S,SO,6-0,197,"Akron, OH",Archbishop Hoban
10,Adam Beale,WR,SO,5-8,165,"Holland, OH",Springfield
58,Drew Beckenhaupt,OL,FR,6-3,287,"Cleves, OH",Elder
68,Mitchell Berg,OL,JR,6-6,310,"Maumee, OH",St. John's Jesuit
70,Michael Bergen,OL,FR,6-4,290,"Avon, OH",Avon
63,Parker Bisek,OL,FR,6-3,290,"Union, KY",Ryle
24,Xavier Black,S,FR,6-0,175,"Canton, OH",Canton McKinley
17,DeMeer Blankumsee,WR,FR,5-10,180,"Cincinnati, OH",Winton Woods
31,Daniel Bolden,LB,JR,6-1,245,"Cincinnati, OH",Colerain
2,Carter Bradley,QB,SO,6-3,215,"Jacksonville, FL",Providence
97,Cavon Butler,DT,FR,6-3,310,"Toledo, OH",Whitmer / Kentucky
90,Esean Carter,DT,FR,6-2,275,"Detroit, MI",Martin Luther King
86,Clay Caudill,TE,FR,6-4,245,"Mansfield, OH",Mansfield
47,Vontrell Chairse,OLB,FR,6-3,225,"Chicago, IL",Wendell Phillips Academy
21,Justin Clark,CB,JR,5-11,185,"Pontiac, MI",West Bloomfield
17,Thomas Cluckey,PK,SO,6-1,195,"Oregon, OH",Clay
15,Mike Coleman,CB,FR,5-11,165,"Pittsburgh, PA",Woodland Hills
32,John Coleus,S,FR,6-0,185,"Fort Myers, FL",Fort Myers
24,Lamy Constant,RB,FR,6-0,195,"East Orange, NJ",Brooklyn (NY) Canarsie
87,Jalin Cooper,WR,SO,6-4,190,"Medina, NY",Medina
35,AJ Crider,LB,JR,6-1,240,"Clinton, PA",Hookstown South Side
94,Jaelen Crider,DT,FR,6-2,305,"Stow, OH",Stow-Munroe Falls
95,Judge Culpepper,DT,SO,6-4,290,"Tampa, FL",Plant / Penn State
29,Evan Davis,PK,SO,5-9,180,"Shelby, NC",Crest
23,Drew DelVerne,PK,FR,5-10,177,"Sylvania, OH",Northview
11,Ronald Delancy III,CB,FR,6-0,187,"Miami, FL",Northwestern / Nebraska
65,Luke Doerger,OL,SR,6-2,295,"Cincinnati, OH",La Salle
74,Lavel Dumont,OL,SO,6-4,315,"Tampa, FL",Wharton
43,Sawiaha Ellis,LB,FR,6-1,230,"Hamilton, OH",Fairfield
34,Alex Enders,TE,FR,6-1,235,"Marion, OH",Pleasant HS
7,Dequan Finn,QB,FR,6-2,207,"Detroit, MI",Martin Luther King
49,Bailey Flint,P,SR,6-4,210,"Melbourne, Australia",Layton Christian Academy
7,Zachary Ford,S,JR,6-3,200,"Cleveland, OH",Cleveland Heights
76,Seth Frantz,OL,FR,6-3,310,"Englewood, OH",Northmont
28,Chris Gales,-,-,-,-,-,-
48,Nate Givhan,OLB,JR,6-4,240,"Montgomery, AL",Carver
11,Tucker Gleason,QB,FR,6-3,225,"Tampa, FL",Plant / Georgia Tech
13,A.J. Gucciardo,QB,FR,6-1,185,"Holland, OH",Springfield
78,Vitaliy Gurman,OL,SR,6-4,310,"Rochester, NY",Spencerport / Edinboro
6,Gavin Hall,QB,FR,6-2,205,"Powder Springs, GA",Harrison
10,Noah Hamlin,CB,JR,5-11,180,"Clairton, PA",Clairton / Cincinnati
72,Bryce Harris,OL,SR,6-3,300,"Akron, OH",Firestone
88,AJ Harrison,TE,SR,6-2,245,"Toledo, OH",Springfield
14,Rajon Hill,CB,FR,6-2,185,"Kansas City, MO",Staley
91,Jamal Hines,OLB,JR,6-3,250,"Cincinnati, OH",Princeton
20,Saeed Holt,S,JR,6-0,195,"Pittsburgh, PA",Woodland Hills
96,David Hood,DT,SR,6-1,287,"Miami Gardens, FL",Miami Carol City
25,Maxen Hook,S,FR,6-0,210,"New Palestine, IN",New Palestine
99,Desjuan Johnson,DE,JR,6-3,265,"Detroit, MI",East English Village Prep
2,Dyontae Johnson,LB,JR,6-2,230,"Detroit, MI",Cass Tech
34,Connor Jones,LB,FR,6-2,225,"Hilliard, OH",Darby
30,Jonathan Jones,LB,SR,5-11,230,"Ocoee, FL",Oak Ridge / Notre Dame
3,Micah Kelly,RB,FR,5-9,195,"Gautier, MS",Ocean Springs
12,DeAmonte King,WR,JR,5-11,195,"Akron, OH",St. Vincent-St. Mary
22,Bryant Koback,RB,JR,6-0,210,"Holland, OH",Springfield / Kentucky
40,Lenny Kühl,TE,FR,6-5,240,"Munich, Germany",Oklahoma City Cassady
22,Michael Lacey,S,SO,5-9,190,"Cleveland, OH",Benedictine
15,Matt Landers,WR,JR,6-5,200,"St. Petersburg, FL",St. Petersburg / Georgia
36,Ben Lisk,LS,FR,5-10,220,"Phoenix, AZ",Paradise Valley
60,Tyler Long,OL,SO,6-4,295,"Toledo, OH",Springfield
36,Jordan Lowe,RB,FR,5-9,225,"Detroit, MI",Cass Tech
33,Cauren Lynch,RB,FR,6-0,215,"Irving, TX",Parish Episcopal
8,Devin Maddox,WR,SO,5-9,170,"Cleveland, OH",Lakewood St. Edward's
55,Kendall Major,OL,SO,6-3,295,"Beaumont, TX",West Brook
13,Chris McDonald,CB,SO,5-10,192,"Miami, FL",Southridge
4,Danzel McKinley-Lewis,WR,SR,5-11,192,"Pittsburgh, PA",Seton-LaSalle
58,Sean Mills,LS,SR,6-2,230,"East Brunswick, NJ",Metuchen St. Joseph / Illinois
26,Jaylin Mines,S,FR,6-1,190,"Detroit, MI",Cass Tech
5,Bryce Mitchell,WR,SR,6-3,210,"Toledo, OH",Bowsher
27,Quinyon Mitchell,CB,FR,6-0,197,"Williston, FL",Williston
-,Kyle Moore,OL,FR,6-5,305,"Youngstown, OH",Austintown Fitch
19,Jerjuan Newton,WR,FR,5-11,190,"St. Petersburg, FL",Clearwater Central Catholic
47,CJ Nossaman,LS,JR,5-11,185,"Powell, OH",Olentengy Liberty
37,Damon Ollison II,LB,FR,6-0,210,"Akron, OH",Archbishop Hoban
46,Jeremiah Peters,OLB,FR,6-4,215,"Miami, FL",Booker T. Washington
87,Isaiah Pipkin,OLB,FR,6-6,225,"Wake Forest, NC",Wake Forest
59,Martez Poynter,DT,FR,6-4,265,"St. Louis, MO",Trinity Catholic
44,D'Andre Ragin,DE,FR,6-2,230,"Opa Locka, FL",St. Thomas Aquinas
52,"Doran Ray, Jr.",DT,FR,6-2,290,"Detroit, MI",Cass Tech
51,Josh Recker,LB,FR,6-1,227,"Tiffin, OH",Tiffin Calvert
50,Chris Redmon,DE,SR,6-2,231,"Fayetteville, AR",Fayetteville / Mississippi State
45,Jalen Riven,LB,FR,6-3,210,"Toledo, OH",Central Catholic
92,Devan Rogers,DT,SO,6-2,285,"Sidney, OH",Sidney
89,Drew Rosi,TE,SR,6-4,240,"Powell, OH",Olentangy Liberty
73,Nick Rosi,OL,SO,6-4,295,"Powell, OH",Olentengy Liberty
67,Garrett Schwiebert,OL,FR,6-7,260,"Halmer, OH",Patrick Henry
71,Vinny Sciury,OL,FR,6-3,292,"Massillon, OH",Perry
