No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
55,Jake Andrews,OL,SO,6-3,315,"Millbrook, AL",Stanhope Elmore HS
15,Jordan Anthony,LB,SR,6-0,239,"Silver Spring, MD",IMG Academy / Michigan
5,Jabre Barber,WR,FR,5-10,180,"Dothan, AL",Dothan HS
16,Devan Barrett,CB,JR,6-0,200,"Tampa, FL",Tampa Catholic / Auburn
72,Toryque Bateman,OL,JR,6-7,308,"Gadsden, AL",Gadsden City HS / Fort Scott CC
25,Wes Baumhower,LB,SO,6-0,208,"Fairhope, AL",Fairhope HS / Alabama
73,"Gerald Bell, Jr.",OL,SR,6-4,320,"Bessemer, AL",Bessemer City HS / Pearl River CC
67,Grant Betts,OL,SO,6-3,290,"Spanish Fort, AL",Spanish Fort HS
75,Kannon Biggs,OL,FR,6-5,302,"Athens, AL",Athens HS
20,DK Billingsley,RB,JR,5-11,229,"Scottsboro, AL",Scottsboro HS
49,Jackson Blalock,TE,FR,6-3,220,"Abbeville, AL",Abbeville Christian
60,Hall Boulware,OL,FR,6-3,275,"Rainbow City, AL",Westbrook Christian
65,Dylan Bradshaw,OL,SR,6-3,300,"Enterprise, AL",Enterprise HS
8,Demontrez Brown,WR,SO,6-3,214,"Madison, AL",Bob Jones HS
24,Josh Brown,CB,FR,5-11,170,"Valdosta, GA",Lowndes HS
21,Shakel Brown,DT,JR,6-4,320,"Miami, FL",Lincoln HS / Itawamba CC
13,Brooks Buce,K,JR,6-0,175,"Johns Creek, GA",Greater Atlanta Christian / Georgia
70,Tyler Burnsed,OL,FR,6-4,309,"Glen St. Mary, FL",Baker County HS
63,Carson Burt,OL,FR,6-5,284,"Fort Payne, AL",Fort Payne HS
64,Deandre Butler,OL,JR,6-4,312,"Opelika, AL",Opelika HS / Jacksonville State
27,John Butler,S,FR,6-0,185,"Sebastian River, FL",Sebastian River HS
19,Will Carn,QB,FR,6-3,200,"Jacksonville, FL",Nease HS
26,Tavarious Carswell,CB,FR,6-0,191,"Atlanta, GA",Mays HS
78,Jordan Chapman,OL,JR,6-3,307,"Leakesville, MS",Greene County HS / Jones County CC
0,Jamarcus Chatman,DE,SO,6-2,276,"Rome, GA",Rome HS / Florida State
5,Will Choloh,DT,JR,6-0,290,"Lawrenceville, GA",Archer HS
42,Donald Clea,LB,FR,6-2,211,"Jacksonville, FL",Trinity Christian Academy / Tusculum College
6,Kyle Coale,P,SR,5-11,192,"Palos Verdes, CA",Palos Verdes HS / Western Illinois
86,Rondell Cole,WR,SO,6-3,190,"Harvest, AL",Sparkman HS / Mississippi College
12,Markeis Colvin,S,SO,5-11,207,"Ruskin, FL",Armwood HS / Hutchinson CC
59,Max Copeland,LB,FR,6-2,202,"Troy, AL",Pike Liberal Arts School
17,Carloss Crawford,S,SO,6-2,191,"Memphis, TN",Heritage (Texas) HS / Coffeyville CC
1,Elijah Culp,CB,FR,5-11,182,"Charlotte, NC",Mallard Creek HS / Austin Peay
29,Jalen Cunningham,CB,FR,5-8,162,"Enterprise, AL",Enterprise HS
54,Peyton Dicks,LB,FR,6-3,205,"Grady, AL",Pike Liberal Arts School
93,Chyrius Duckett,DT,JR,6-4,340,"Pleasant Hill, CA",Skyview HS / Diablo Valley College
30,Jackson Dullard,TE,FR,6-2,240,"Brewton, AL",Flomaton HS
80,Ollie Finch Jr.,WR,FR,6-2,184,"Attalla, AL",Etowah HS
11,O'shai Fletcher,CB,SO,5-11,176,"Huntsville, AL",Randolph School
25,Dawson Foster,CB,SO,5-7,170,"Pensacola, FL",Tate HS
30,Anthony Frederique,K,FR,5-7,206,"Tampa, FL",Tampa Catholic HS
12,Jacob Free,QB,JR,6-5,218,"Brantley, AL",Brantley HS / NW Mississippi CC / Vanderbilt
83,Mekal Fuller,WR,FR,5-10,166,"Sugar Hill, GA",Brookwood HS / West Virginia Wesleyan
99,Cherokee Glasgow,DT,SR,6-2,292,"Mount Vernon, NY",Mount Vernon HS / Maryland
77,Derrick Graham,OL,FR,6-4,292,"Lake Minneola, FL",Lake Minneola HS
90,Elgin Griffin,DT,SR,6-2,303,"Valdosta, GA",Lowndes County HS / Eastern Arizona
81,Kyran Griffin-Isom,WR,SO,6-3,172,"New Orleans, LA",West Creek HS / Palomar College
35,Navy Harris,LB,JR,6-1,245,"Phenix City, AL",Glenwood School / Hutchinson CC
8,TJ Harris,S,JR,6-1,196,"Leesburg, GA",Lee County HS
9,Quayde Hawkins,QB,FR,6-1,200,"Bainbridge, GA",Bainbridge HS
71,Hamilton Hawthorne II,OL,SO,6-2,340,"Jacksonville, FL",Sandalwood HS
34,Terrence Head,BAN,SO,6-3,203,"Eclectic, AL",Elmore County HS
16,Peyton Higgins,WR,FR,5-10,179,"Florence, AL",Mars Hill Bible
30,"John Hines, Jr.",DE,SR,6-4,256,"Montgomery, AL",Park Crossing HS / Southwest Mississippi CC
53,Bubba Hudson,OL,JR,6-3,302,"Dawson, GA",Terrell County HS
98,T.J. Jackson,DT,FR,6-1,270,"Millbrook, AL",Stanhope Elmore HS
9,Richard Jibunor,BAN,SO,6-3,232,"Delta State, Nigeria",Athens Christian HS / Auburn
29,Byron Johnson,RB,FR,6-0,190,"Elba, AL",Elba HS
15,Tez Johnson,WR,FR,5-10,160,"Pinson, AL",Pinson Valley HS
52,Buddha Jones,DT,SO,6-3,281,"Tallahassee, FL",Godby HS / Kent State
74,Cameron Kaye,LS,SR,6-2,234,"Naples, FL",Gulf Coast HS
82,Bryce Kelly,WR,FR,6-1,188,"Montgomery, AL",Pike Road HS
14,Orlando Lacey,WR,JR,6-0,189,"Opp, AL",Opp HS
32,Phillip Lee,BAN,FR,6-4,214,"Jacksonville, FL",First Coast HS
84,AJ Lewis,TE,SO,6-3,251,"Mobile, AL",Murphy HS
85,Deyunkrea Lewis,TE,FR,6-3,242,"Montgomery, AL",Robert E. Lee HS
51,Chase Little,OL,FR,6-6,324,"Montgomery, AL",Montgomery Catholic
46,Zach Long,K,FR,6-3,162,"Tampa, FL",Hillsborough HS
44,Luke Magliozzi,P,JR,6-3,222,"Westmeadows, Australia",Essendon Keilor / UConn
27,Robert Marsh,WR,FR,5-7,157,"Phenix City, AL",Central HS
2,Carlton Martial,LB,JR,5-9,210,"Mobile, AL",McGill-Toolen HS
25,Josh Mays,RB,SO,5-9,208,"McDonough, GA",Eagle's Landing Christian
10,Jayden McDonald,LB,SO,6-0,231,"Suwanee, GA",North Gwinnett HS / Iowa
95,Luis Medina,DT,FR,6-1,300,"Summerville, GA",Chattooga HS
50,Quincey Miller,DE,FR,6-3,227,"Austell, GA",Pebblebrook HS
39,Brennen Milliron,LS,SO,5-8,211,"Hoover, AL",Hoover HS
37,Christian Murphy,CB,FR,6-0,194,"Pensacola, FL",Gulf Breeze HS
66,Cade Nixon,OL,FR,6-3,290,"Damascus, GA",Southwest Georgia Academy
22,Kyle Nixon,S,SR,6-1,197,"Fort Valley, GA",Peach County HS
89,Clayton Ollendieck,TE,SO,6-4,252,"Cresco, IA",Crestwood HS / Iowa Central CC
6,Taiyon Palmer,CB,SO,5-11,191,"Lawrenceville, GA",Archer HS / NC State
96,Malik Pertee,DT,FR,6-1,306,"Ocala, FL",Vanguard HS
92,Julian Peterson,DT,FR,6-3,307,"Pinson, AL",Pinson Valley HS
31,Dell Pettus,S,SO,6-0,200,"Harvest, AL",Sparkman HS
97,AJ Pierce,DT,SO,6-1,327,"Dothan, AL",Northview HS
38,Tye Pouncey,CB,FR,6-0,172,"Birmingham, AL",Pinson Valley HS
7,Taylor Powell,QB,JR,6-2,207,"Fayetteville, AR",Fayetteville HS / Missouri
14,Caleb Ransaw,CB,FR,6-0,196,"Harvest, AL",Sparkman HS
47,DeVon Reaves,DE,FR,6-4,252,"Conyers, GA",Salem HS
91,Cameron Reese,DE,FR,6-1,230,"Auburn, AL",Auburn HS
40,Scott Taylor Renfroe,K,FR,6-1,188,"Troy, AL",Pike Liberal Arts
73,Caleb Robbins,LS,FR,6-5,230,"Tuscaloosa, AL",Hillcrest HS
28,Sterling Roberts,S,FR,6-1,216,"Starke, FL",Bradford HS
7,KJ Robertson,LB,JR,6-1,235,"Alabaster, AL",Thompson HS
4,Marcus Rogers,WR,JR,6-3,211,"Smyrna, GA",Campbell HS / Iowa Western CC
9,Tre' Ross,TE,FR,6-4,210,"Tuscaloosa, AL",Hillcrest HS
69,Gage Saint,OL,FR,6-5,292,"Town Creek, AL",Hatton HS
23,Cayson Schjott,FB,FR,6-0,186,"Freeport, FL",Freeport HS
58,Logan Self,OL,FR,6-4,293,"Trussville, AL",Hewitt-Trussville HS
3,Antonio Showers,DE,JR,6-1,270,"Tucker, GA",Tucker HS
68,Ivan Shultz,OL,FR,6-4,304,"Mobile, AL",St. Paul's HS
22,Cortez Slocum,WR,FR,6-0,165,"Lake Butler, FL",Union County HS
4,Craig Slocum,S,JR,6-0,200,"Lake Butler, FL",Union County HS
3,B.J. Smith,RB,SR,5-9,216,"Millbrook, AL",Stanhope Elmore HS
41,Javon Solomon,BAN,FR,6-2,246,"Tallahassee, FL",Godby HS
19,Darrell Starling,S,FR,6-1,209,"Pelham, GA",Pelham HS
18,Reddy Steward,CB,SO,5-11,173,"Decatur, AL",Austin HS
33,Tim Steward,SPR,JR,5-9,197,"Hazlehurst, MS",Hazlehurst HS / Mississippi Gulf Coast CC
79,Austin Stidham,OL,JR,6-5,295,"Russellville, AL",Russellville HS
11,Deshon Stoudemire,WR,SO,6-1,182,"Stone Mountain, GA",Stephenson HS / Iowa Western
44,Jordan Stringer,LB,FR,6-2,226,"Augusta, GA",Laney HS
28,Charles Strong,LB,SO,6-1,239,"Lake Butler, FL",Union County HS / Texas A&M
23,Keyshawn Swanson,S,FR,5-11,185,"Pensacola, FL",West Florida Tech HS / Akron
24,Damien Taylor,RB,FR,5-10,210,"Northport, AL",Tuscaloosa County HS
45,Jalen Thomas,BAN,FR,6-2,210,"Birmingham, AL",Oak Mountain HS
36,Terry Thomas,LB,FR,6-0,197,"Childersburg, AL",Childersburg HS
60,Douglas Thompson,OL,FR,6-1,271,"Vestavia Hills, AL",Vestavia Hills HS
2,Reggie Todd,WR,SR,6-5,215,"Mobile, AL",Blount HS / Hinds CC / Mississippi State
17,Kyle Toole,QB,FR,6-2,218,"Leesburg, GA",Lee County HS
0,Kimani Vidal,RB,FR,5-8,215,"Marietta, GA",Marietta HS
87,Jaden Warren,WR,FR,6-4,215,"Oneonta, AL",Oneonta HS
18,Gunnar Watson,QB,SO,6-3,214,"Butler, GA",Taylor County HS
20,Brooks Weeks,LB,FR,6-2,217,"Eufaula, AL",Eufaula HS
43,Russell Weeks,TE,FR,6-4,235,"New Brockton, AL",New Brockton HS
10,Luke Whittemore,WR,JR,6-2,195,"Gainesville, FL",Buchholz HS
48,Cam Williams,BAN,FR,6-5,241,"Loganville, GA",Loganville HS
21,Jarris Williams,RB,FR,5-10,206,"Mobile, AL",Blount HS
13,Zion Williams,CB,JR,5-11,197,"Omaha, NE",Omaha North HS / Iowa Western CC
1,Jamontez Woods,RB,FR,5-11,213,"Gadsden, AL",Gadsden City HS
