No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
45,Mitchell Agude,LB,SR,6-4,245,"Corona, CA",Santiago HS (Riverside CC)
99,Luke Akers,P,SO,6-1,180,"Nashville, TN",Ravenwood HS
19,Kazmeir Allen,RB,JR,5-9,175,"Tulare, CA",Tulare Union HS
70,Alec Anderson,OL,JR,6-5,305,"Fontana, CA",Etiwanda HS
44,"Martin Andrus, Jr.",DL,SR,6-2,305,"Long Beach, CA",Los Angeles HS
3,Chase Artopoeus,QB,SO,6-1,195,"Orcutt, CA",St. Joseph HS
41,Devin Aupiu,LB,FR,6-5,237,"Oxnard, CA",Pacifica HS (Notre Dame)
27,Ashton Authement,WR,SO,6-2,205,"Riverside, CA",Notre Dame HS
2,Nicholas Barr-Mira,K,SO,6-0,170,"Palos Verdes, CA",Loyola HS
71,Baraka Beckett,OL,JR,6-3,311,"Pacific Palisades, CA",Palisades Charter HS
4,Stephan Blaylock,DB,SR,5-11,193,"Compton, CA",St. John Bosco HS
97,Kevin Boermeester,K,SR,6-0,185,"San Diego, CA",Cathedral Catholic HS (El Camino College)
28,Brittain Brown,RB,SR,6-1,205,"Canton, GA",Cherokee HS (Duke)
0,Kam Brown,WR,SO,6-0,190,"Colleyville, TX",Colleyville Heritage HS (Texas A&M)
9,Choé Bryant-Strother,LB,SO,6-3,240,"Atlanta, GA",Greater Atlanta Christian School
53,Christian Burkhalter,LB,FR,6-4,230,"Mobile, AL",Spanish Fort HS
33,Bo Calvert,LB,SR,6-3,235,"Oxnard, CA",Oaks Christian School
90,AJ Campbell,LB,FR,6-4,240,"Copley, OH",Copley HS
54,Josh Carlin,OL,SO,6-5,315,"Westlake Village, CA",Sierra Canyon School
24,Zach Charbonnet,RB,JR,6-1,220,"Camarillo, CA",Oaks Christian School (Michigan)
28,Kenny Churchwell III,DB,JR,6-2,190,"Casa Grande, AZ",Mountain Pointe HS
89,Michael Churich,TE,SO,6-6,240,"Burlingame, CA",Junipero Serra HS
62,Duke Clemens,OL,JR,6-3,291,"Kailua, HI",Punahou School
29,Adam Cohen,LB,SO,6-0,232,"Plainview, NY",Phillips Academy Andover
55,Thomas Cole,OL,FR,6-6,270,"San Luis Obispo, CA",San Luis Obispo HS
23,Chase Cota,WR,SR,6-3,209,"Medford, OR",South Medford HS
72,Garrett DiGiorgio,OL,FR,6-6,300,"Oak Hills, CA",Serrano HS
35,Devanti Dillard,WR,FR,6-0,200,"Fontana, CA",Etiwanda HS
43,James Dinneen,LB,SO,6-2,225,"Los Altos, CA",Saint Francis HS
61,Carson Drake,DL,SO,6-4,245,"Encinitas, CA",Santa Fe Christian School
85,Greg Dulcich,TE,JR,6-4,250,"Glendale, CA",St. Francis HS
22,Obi Eboh,DB,SR,6-2,195,"Southlake, TX",Carroll HS (Stanford)
37,Lucas Egurbide,TE,FR,6-2,250,"Moorpark, CA",Moorpark HS
86,Michael Ezeike,TE,SR,6-5,243,"Upland, CA",Colony HS
36,Ethan Fernea,RB,SR,6-0,195,"Dripping Springs, TX",Dripping Springs HS
75,Bruno Fina,OL,FR,6-4,290,"Tucson, AZ",Salpointe Catholic HS
56,Kobey Fitzgerald,LB,SR,6-0,215,"Eastvale, CA",Servite HS (Riverside CC)
49,Collin Flintoft,P,JR,6-1,185,"Pacific Palisades, CA",Loyola HS
57,Jon Gaines II,OL,JR,6-4,300,"Wauwatosa, WI",Marquette University HS
4,Ethan Garbers,QB,FR,6-3,210,"Newport Beach, CA",Corona del Mar HS (Washington)
60,Beau Gardner,LS,FR,6-4,250,"San Francisco, CA",St. Ignatius College Preparatory
15,Jordan Genmark Heath,LB,SR,6-1,225,"Stockholm, Sweden",Cathedral Catholic HS (Notre Dame)
78,Lucas Gramlick,OL,JR,6-7,310,"American Canyon, CA",American Canyon HS
65,"Paul Grattan, Jr.",OL,SR,6-4,300,"Pittsburgh, PA",Mt. Lebanon HS (Villanova)
11,Chase Griffin,QB,SO,5-10,190,"Round Rock, TX",Hutto HS
32,Christian Grubb,RB,SO,5-9,170,"Tarzana, CA",Notre Dame HS
30,Elisha Guidry,DB,JR,5-11,190,"Long Beach, CA",Vista Murrieta HS
81,Hudson Habermehl,TE,SO,6-6,246,"Roseville, CA",Woodcreek HS
46,Hayden Harris,DL,SO,6-5,251,"Mill Creek, WA",Eastside Catholic School
95,Sitiveni Havili-Kaufusi,DL,SO,6-3,282,"Waimanalo, HI",Punahou School
17,Parker Hogan,DB,FR,5-10,170,"Coto de Caza, CA",St. Margaret's Episcopal School
15,Kajiya Hollawayne,QB,FR,6-4,210,"Hemet, CA",San Jacinto HS
6,John Humphrey,DB,SO,6-2,192,"Pasadena, CA",John Muir HS
29,Delon Hurt,WR,SR,6-0,201,"Ontario, CA",Servite HS
12,Martell Irby,DB,JR,5-9,208,"San Diego, CA",Morse HS
97,Odua Isibor,DL,SR,6-3,265,"Phoenix, AZ",Saint Mary's Catholic HS
58,Datona Jackson,DL,SR,6-3,275,"Palm Springs, CA",Mississinawa Valley HS (College of the Desert)
25,Myles Jackson,LB,FR,6-2,248,"Jonesboro, GA",Mill Creek HS
19,Alex Johnson,DB,JR,6-0,185,"Carson, CA",Loyola HS
40,Caleb Johnson,LB,SR,6-1,230,"Murrieta, CA",Vista Murrieta HS (Fullerton College)
3,Cameron Johnson,DB,SR,5-11,180,"Houston, TX",John H. Reagan Heights HS (North Texas)
27,"Patrick Jolly, Jr.",DB,JR,6-1,186,"Tampa, FL",Newsome HS
22,Keegan Jones,RB,SO,5-9,175,"Cleveland, TN",Cleveland HS
35,"Carl Jones, Jr.",LB,JR,6-1,215,"Bakersfield, CA",Bakersfield HS
20,DJ Justice,WR,FR,6-0,190,"San Diego, CA",Bishop Alemany HS
10,Ale Kaho,LB,JR,6-2,220,"Reno, NV",Reno HS (Alabama)
55,Tyler Kiehne,DL,FR,6-3,250,"Los Lunas, NM",Los Lunas HS
26,Devin Kirkwood,DB,FR,6-3,194,"Inglewood, CA",Junipero Serra HS
4,Blake Kirshner,QB,SO,6-4,215,"Santa Clarita, CA",Santa Clarita Christian School
24,Qwuantrezz Knight,DB,SR,6-0,199,"Gretna, FL",East Gadsden HS (Kent State/Maryland)
26,Brian Kowall,RB,FR,5-11,210,"Templeton, CA",Mission College Preparatory Catholic HS
37,Quentin Lake,DB,SR,6-1,205,"Irvine, CA",Mater Dei HS
51,Jack Landherr IV,LS,JR,6-1,225,"Chino Hills, CA",Chino Hills HS
18,Keontez Lewis,WR,FR,6-3,197,"East St. Louis, IL",East St. Louis Senior HS
96,Ari Libenson,K,FR,5-9,167,"Berkeley, CA",Berkeley HS
93,RJ Lopez,K,SO,5-11,185,"Huntington Beach, CA",Mission Viejo HS
17,Logan Loya,WR,SO,5-11,180,"Garden Grove, CA",St. John Bosco HS
56,Atonio Mafi,OL,SR,6-4,355,"Shoreview, CA",Junipero Serra HS
94,Dovid Magna,DL,SO,6-4,280,"Malibu, CA",Malibu HS
67,Yutaka Mahe,OL,FR,6-6,300,"Hawthorne, CA",Da Vinci Schools
50,Tyler Manoa,DL,SR,6-4,300,"Hayward, CA",Saint Francis HS
64,Sam Marrazzo,OL,SR,6-3,301,"Aliso Viejo, CA",Aliso Niguel HS
23,Shamar Martin,DB,SO,5-10,190,"San Diego, CA",Morse HS
