No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
46,Eli Adams,DL,SO,5-11,235,"Rock Hill, SC",South Pointe
57,Vincenzo (Enzo) Anthony,LS,SO,5-10,222,"Port Charlotte, FL",Venice / Virginia
92,Mark Applegate,K,FR,5-11,155,"Fairfax, VA",Oakton
15,Keshon Artis,LB,SO,6-0,240,"Chesapeake, VA",Oscar Smith
65,Derrell Bailey Jr.,OL,FR,6-6,296,"Greenback, TN",Greenback
11,Amaré Barno,DL,JR,6-6,245,"Blythewood, SC",Westwood / Butler Community College
8,Emmanuel Belmar,DL,SR,6-2,258,"Suwanee, GA",Collins Hill
28,Chance Black,RB,FR,6-1,182,"Roebuck, SC",Dorman
5,Raheem Blackshear,RB,JR,5-9,198,"Philadelphia, PA",Archbishop Wood Catholic / Rutgers
42,Cole Blaker,TE,JR,6-3,236,"Narrows, VA",Narrows
4,Connor Blumrick,QB,JR,6-5,215,"Pearland, TX",Pearland / Texas A&M
59,Chris Boyd,OL,FR,6-7,270,"Stafford, VA",Colonial Forge/Fork Union
34,Tink Boyd,WR,SO,5-10,187,"Chesterfield, VA",Trinity
92,Sam Brooks,TE,FR,6-2,210,"Rockville, VA",Goochland
26,Jordan Brunson,RB,FR,6-0,215,"Alpharetta, GA",Denmark
53,Nikolai Bujnowski,OL,FR,6-1,304,"Verona, NJ",Paramus Catholic
15,Tahj Bullock,QB,FR,6-4,228,"Jersey City, NJ",Saint Peter's Prep
3,Braxton Burmeister,QB,JR,6-1,205,"La Jolla, CA",La Jolla Country Day / Oregon
16,Luke Bussel,WR,FR,6-1,207,"Chesapeake, VA",Greenbrier Christian/Fork Union Military Academy (Va.)
90,Mattheus Carroll,DL,FR,6-5,232,"Baltimore, MD",Gilman School
27,Armani Chatman,DB,SO,5-11,205,"Virginia Beach, VA",Bishop Sullivan Catholic
27,Kenji Christian,RB,FR,6-2,201,"Pinson, AL",Pinson Valley
70,Parker Clements,OL,FR,6-7,292,"Lugoff, SC",Lugoff-Elgin
46,Jared Cole,WR,FR,5-9,180,"Ashburn, VA",Stone Bridge / UMass
1,Chamarri Conner,DB,JR,6-0,205,"Jacksonville, FL",Trinity Christian Academy
92,Jaden Cunningham,DL,JR,6-2,306,"Lithonia, GA",Martin Luther King / Hutchinson Community College
17,Tae Daley,S,SR,6-1,203,"Warner Robins, GA",Northside / Vanderbilt
89,Drake DeIuliis,TE,JR,6-5,247,"Charlotte, NC",Providence
63,Griffin Duggan,OL,FR,6-5,295,"Suffolk, VA",Nansemond-Suffolk Academy
98,Cody Duncan,TE,FR,6-1,231,"Knoxville, TN",Knoxville Catholic
94,Conner Dusenbury,WR,FR,6-0,186,"Richmond, VA",James River
60,Silas Dzansi,OL,JR,6-5,325,"Woodbridge, VA",C.D. Hylton / Fork Union Military Academy (Va.)
58,Da'Shawn Elder,DB,FR,6-2,205,"Watkinsville, GA",Oconee County/Fork Union
38,Ty Eller,TE,JR,6-2,236,"Newton, NC",Newton-Conover / UNC Pembroke
47,Miles Ellis,WR,FR,5-11,175,"Glen Allen, VA",Deep Run
47,Dean Ferguson,LB,FR,6-2,228,"Sterling, VA",Potomac Falls
18,Joshua Forburger,QB,FR,6-1,195,"Bethesda, MD",Walter Johnson
6,Josh Fuga,DL,FR,6-2,308,"Woodbridge, VA",Freedom
86,Nick Gallo,TE,SO,6-4,251,"Richboro, PA",Council Rock South
45,TyJuan Garbutt,DL,JR,6-1,252,"Fredericksburg, VA",Riverbend
32,Tahj Gary,RB,FR,5-8,220,"Atlanta, GA",Woodward Academy
51,Dimitri Georgiadis,TE,JR,6-9,245,"Richmond, VA",Benedictine College Preparatory / IUPUI
90,Jared Gibble,TE,FR,6-4,235,"Winston-Salem, NC",Oak Grove
64,Bryce Goodner,OL,FR,6-3,303,"Athens, TN",McMinn
32,Hunter Green,DB,SO,6-1,187,"Knoxville, TN",Webb School
41,Jaylen Griffin,DL,JR,6-1,264,"Rome, GA",Rome
36,Jalen Hampton,RB,FR,5-10,192,"Rockville, MD",Georgetown Prep
72,Jesse Hanson,OL,FR,6-5,307,"Blue Ridge, VA",Lord Botetourt
20,DJ Harvey,DB,FR,5-11,185,"Chatsworth, CA",Sierra Canyon
13,Ny'Quee Hawkins,DB,FR,6-0,200,"Orange, NJ",Orange
86,Zach Hoban,K,SO,6-0,180,"West Orange, NJ",Seton Hall Prep / Rice
13,Changa Hodge,WR,SR,6-1,199,"East Stroudsburg, PA",East Stroudsburg South / Villanova
76,Brock Hoffman,OL,JR,6-3,310,"Statesville, NC",Statesville / Coastal Carolina
4,Dax Hollifield,LB,JR,6-1,239,"Shelby, NC",Shelby
66,Jack Hollifield,OL,FR,6-3,271,"Shelby, NC",Shelby
0,Jalen Holston,RB,JR,5-11,215,"Stockbridge, GA",Stockbridge
36,Elijah Howard,DB,FR,5-11,175,"Chattanooga, TN",Baylor School
40,Jalen Hoyle,DB,FR,6-0,192,"Englewood, NJ",Dwight Morrow
7,Devon Hunter,DB,JR,6-0,220,"Chesapeake, VA",Indian River
31,Trevor Jackson,WR,FR,6-3,187,"Leesburg, VA",Riverside
33,Keonta Jenkins,DB,FR,6-3,207,"Jacksonville, FL",Ribault
48,Matt Johnson,LB,FR,6-0,227,"Glen Allen, VA",Deep Run
29,Nyke Johnson,DB,FR,5-11,197,"Florence, SC",West Florence
53,Will Johnson,LB,FR,6-2,218,"Leonardtown, MD",Leonardtown
88,Jaylen Jones,WR,FR,6-1,203,"Richmond, VA",Thomas Jefferson
