No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
11,Amir Abdur-Rahman,WR,JR,6-3,225,"Atlanta, GA",Vanderbilt
16,Jaquan Amos,S,SR,6-0,194,"Philadelphia, PA",Villanova/Iowa State
22,Thailand Baldwin,CB,FR,5-10,171,"Hampton, VA",Life Christian Academy
34,Rico Barfield,RB,FR,5-11,214,"St. Louis, MO",DeSmet Jesuit HS
42,Jack Beebe,OLB,FR,6-0,215,"Plainfield, IN",Plainfield HS
13,Brandon Berger,OLB,SO,6-4,244,"Indianapolis, IN",Roncalli HS
17,Chayce Bishop,CB,FR,5-10,181,"Franklin, TN",Tennessee
19,Jack Blanco,S,JR,5-11,199,"San Diego, CA",San Diego Mesa College
16,Colin Blazek,QB,FR,6-3,205,"Venice, FL",Venice HS
79,Joseph Boggs,OL,JR,6-4,301,"Reynoldsburg, OH",Reynoldsburg HS
15,Lucas Borrow,P,SO,5-10,185,"Newcastle, Australia",Cardiff HS
97,Caden Britton,LS,FR,5-11,200,"New Albany, OH",New Albany HS
89,Justin Campbell,WR,SO,6-4,185,"Suwanee, GA",Johns Creek HS
45,Ashton Carroll,ILB,FR,6-3,215,"Roanoke, VA",Hidden Valley HS
14,Kaden Cobb,QB,FR,6-3,180,"Naperville, IL",Fenwick HS
26,Jordan Coleman,CB,FR,6-0,180,"Saint Peters, MO",DeSmet Jesuit HS
87,Casey Coll,TE,SR,6-2,245,"Lizton, IN",Saint Francis
32,Clayton Coll,ILB,JR,6-3,235,"Franklin, IN",Franklin Community HS
59,Jackson Constantine,ILB,FR,6-1,231,"Fishers, IN",Hamilton Southeastern HS
54,Ethan Crowe,OL,SO,6-5,307,"Bargersville, IN",Center Grove HS
48,Isaiah Dunnuck,TE,SR,6-3,240,"Fishers, IN",Cincinnati Christian Univ.
31,DeJuan Echoles Jr.,OLB,FR,6-2,220,"Indianapolis, IN",Warren Central HS
10,Ben Egenolf,S,SO,5-9,191,"Avon, IN",Cardinal Ritter HS
55,Dalton Elrod,ILB,FR,6-2,229,"Hartland, WI",Arrowhead HS
34,Brayden Evans,S,SO,6-1,207,"Camby, IN",Mooresville HS
99,Dakari Frazier,DL,FR,6-4,245,"Pickerington, OH",Pickerington Central HS
83,Cam Gillentine,WR,SO,5-11,195,"Muncie, IN",Muncie Central HS
35,Brody Glenn,WR,FR,6-2,180,"Fort Wayne, IN",Bishop Luers HS
76,Dylan Graber,DL,FR,6-2,290,"Powell, OH",Olentangy Liberty HS
37,Shoka Griffin II,RB,FR,5-8,252,"Muncie, IN",Muncie Central HS
72,Phyllip Gunn,OL,FR,6-3,315,"Hammond, IN",Merrillville HS
52,Drew Harper,ILB,FR,6-1,215,"Bradenton, FL",IMG Academy
97,John Harris,DL,SO,6-2,264,"Greenwood, IN",Roncalli HS
8,Trenton Hatfield,S,SR,6-2,203,"Muncie, IN",Illinois State
74,Porter Haught,OL,SO,6-4,290,"Fort Wayne, IN",Homestead HS
25,Austin Hill,WR,FR,6-2,185,"Muncie, IN",Yorktown HS
98,Carson Holmer,K,FR,6-1,185,"Avon, IN",Avon HS
66,Chris Hood,OL,FR,6-9,330,"Kendallville, IN",East Noble HS
36,Sidney Houston Jr.,OLB,JR,6-2,245,"Cahokia, IL",McKendree
95,Drew Hughes,DL,FR,6-2,260,"Willow Springs, IL",Nazareth Academy
80,Brady Hunt,TE,FR,6-6,245,"Muncie, IN",Delta HS
12,Jayshon Jackson,WR,SR,5-10,175,"Chicago, IL",Cincinnati
30,Caden Johnson,ILB,FR,6-2,230,"Lexington, KY",Frederick Douglass HS
58,Jalen Johnson,OL,FR,6-3,330,"River Rouge, MI",River Rouge HS
29,Harold Jones,S,SO,5-10,190,"Indianapolis, IN",Lawrence North HS
46,Jalon Jones,CB,FR,5-11,177,"Hillside, IL",York Community HS
1,Nic Jones,CB,JR,6-0,185,"Detroit, MI",Southfield A&T HS
