No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
25,Tajay Ahmed,RB,SR,6-1,190,"Lockport, NY",Starpoint/Canada Prep Academy
31,Caleb Arena,S,SO,6-1,190,"Pittsford, NY",Pittsford Mendon
88,Chandler Baker,WR,SR,5-10,190,"Batavia, NY",Batavia / Erie CC
80,Cameron Ball,TE,FR,6-6,235,"Washington, DC",Gonzaga College
14,Jackson Baltar,K,SR,5-11,180,"Orlando, FL",Bishop Moore
24,Solomanie Bambara,DE,FR,6-6,222,"Philadelphia, PA",Neumann Goretti
83,Tadd Barr,WR,JR,6-0,190,"Pen Argyl, PA",Pen Argyl / Moravian University
0,Jaylon Bass,DT,JR,6-3,295,"Ashland, AL",Clay Central / Hutchinson CC
53,C.J. Bazile,DE,JR,6-3,250,"Bayonne, NJ",Bayonne
75,Desmond Bessent,OL,SR,6-7,305,"Tampa, FL",Sickles / San Diego State
2,Elijah Blades,CB,SR,6-2,185,"Pasadena, CA",Muir / Florida
34,Trevor Borland,TE,JR,6-3,250,"Bolingbrook, IL",Bolingbrook
7,Solomon Brown,S,JR,5-11,195,"Largo, FL",Largo / Minnesota
19,Jonathan Capo,S,FR,6-0,190,"Wappingers Falls, NY",Ketcham
54,James Carrington III,OL,SO,6-3,290,"Buffalo, NY",St. Joseph's / Allegheny College
7,Casey Case,QB,SO,6-6,222,"Winter Park, FL",Winter Park
35,Brennan Clasgens,S,FR,6-0,185,"Rochester, NY",Brighton
32,Jibrahn Claude,S,FR,6-0,180,"Loganville, GA",Grayson
20,Ja'Mori Coard,DT,FR,6-3,300,"Crestwood, SC",Crestwood
3,Keyshawn Cobb,S,JR,6-0,200,"Fort Valley, GA",Peach County / Northeast Mississippi CC
2,"Ron Cook, Jr.",RB,SR,5-9,190,"Washington, DC",St. John's College
19,Javien Cuff,WR,JR,6-2,175,"Vero Beach, FL",Vero Beach
21,Demarco Cuffey,CB,FR,6-1,180,"Waldorf, MD",IMG Academy
5,Boobie Curry,WR,SR,6-2,205,"Houston, TX",St. Pius X / Arizona
64,Evan Davie,OL,FR,6-4,260,"Kenmore, NY",Kenmore West
