No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
32,Nick Apsey,LB,JR,6-1,221,"Empire, MI",Glen Lake
43,Alex Arch,WR,JR,6-0,197,"Alpena, MI",Alpena / Alpena CC
31,Marcus Badgett,DB,FR,6-0,190,"Red Oak, TX",Red Oak / Tyler JC
26,Myles Bailey,RB,SO,5-10,206,"North Brunswick, NJ",North Brunswick Township
78,Vashon Bailey,OL,SO,6-7,317,"Sunrise, FL",Somerset Academy
16,Jase Bauer,QB,FR,6-3,215,"Ankeny, IA",Ankeny
27,DeAnthony Becton,DB,FR,5-11,185,"Akron, OH",Akron East
16,Nahree Biggins,DB,FR,6-1,195,"Hillside, NJ",Hillside
84,Kenny Brewer III,WR,SO,6-0,201,"Lansing, MI",Waverly / Valparaiso
10,Jacques Bristol,DL,JR,6-1,300,"Sarasota, FL",Booker
36,Christian Brown,RB,FR,5-11,190,"Temperance, MI",Temperance Bedford
40,Lawai'a Brown,LB,FR,6-0,222,"Honolulu, HI",Saint Louis
2,Carlos Carriere,WR,SR,6-5,203,"Alpharetta, GA",Alpharetta / Maryland
80,Matteo Carriere,WR,FR,6-0,175,"Alpharetta, GA",Alpharetta
52,Dakota Cochran,LB,FR,6-2,235,"Shaker Heights, OH",Shaker Heights
82,Mitchel Collier,TE,FR,6-3,227,"Columbus, IN",Columbus North
90,Oumar Conde,DL,FR,6-3,245,"Bronx, NY",Capital Prep / Myrtle Beach Collegiate
48,Cade Conley,TE,FR,6-4,240,"Williamston, MI",Williamston
7,Ed Conoran,DB,FR,5-10,180,"Dover, NJ",DePaul Catholic
51,Cade Cote,DL,FR,6-3,245,"Maple Ridge, Canada",Clarkson North Secondary
93,Grayson Curtis,LS,FR,6-1,215,"East Lansing, MI",Haslett
58,Lucas Dailey,OL,FR,6-6,277,"Holland, MI",Holland
29,Jayden Davis,DB,SO,6-0,202,"Oakland, CA",Bishop O'Dowd / Contra Costa CC
19,Tyson Davis,WR,FR,5-10,175,"Goodrich, MI",Goodrich
39,Tyler DeWitt,RB,FR,5-11,170,"Comstock Park, MI",Comstock Park
67,Jonathan Decker,OL,FR,6-5,289,"Elkhart, IN",Elkhart Central
55,Malik Denkins,DL,SO,6-3,260,"Cincinnati, OH",Woodward / Hocking College
54,Caden Dewald,OL,FR,6-2,275,"Birmingham, MI",Seaholm
18,Ormondell Dingle,DB,SO,6-3,216,"Detroit, MI",Cass Technical
6,Dallas Dixon,WR,SR,6-1,201,"Phoenix, AZ",Tolleson / Northern Michigan
55,Braden Doyle,OL,SO,6-4,305,"Suamico, WI",Bay Port
28,Luke Elzinga,P,SO,6-4,210,"Grand Rapids, MI",Grand Rapids Christian
3,Bert Emanuel Jr.,QB,FR,6-3,210,"Houston, TX",Ridge Point
33,Jayden Evans,TE,SO,6-6,255,"Eastvale, CA",Roosevelt
66,Tyden Ferris,OL,JR,6-4,305,"Delton, MI",Delton-Kellogg
89,Javon Gantt,WR,SO,6-4,215,"Jacksonville, FL",Westside
41,Cory Gildersleeve Jr.,LB,SO,6-2,236,"Saline, MI",Saline
73,Bruno Guberinich,OL,FR,6-5,280,"Novi, MI",Detroit Catholic Central
35,Logan Guthrie,LB,SO,6-1,236,"Alpena, MI",Alpena
17,Jalen Handford,LB,FR,6-0,233,"Gurnee, IL",Warrren Township
69,Alex Heininger,OL,FR,6-4,286,"Rochester, NY",Brighton
75,Davis Heinzen,OL,FR,6-5,289,"Manitowoc, WI",Manitowoc Lincoln
97,Michael Heldman,DL,FR,6-4,246,"Romeo, MI",Romeo
51,Dylan Hertzberg,P,FR,6-0,175,"Grand Blanc, MI",Grand Blanc
27,Sam Hicks,WR,SO,5-9,181,"Fort Worth, TX",Nolan Catholic / Saddleback
17,Finn Hogan,WR,FR,6-5,209,"Maple City, MI",Glen Lake
57,Jesse Hoisington,OL,FR,6-5,-,"Royal Oak, MI",Royal Oak
9,Thomas Incoom,DL,SR,6-4,265,"Stone Mountain, GA",Stone Mountain / Valdosta State
15,Irone Jackson,WR,FR,6-1,180,"Bradenton, FL",Manatee
