No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
19,Keith Adams Jr.,RB,FR,5-9,210,"St. George, UT",-
84,Davis Allen,TE,SR,6-6,250,"Calhoun, GA",-
45,Sergio Allen,LB,JR,6-1,230,"Fort Valley, GA",-
33,Griffin Batt,TE,FR,6-0,220,"Clemson, SC",-
42,LaVonta Bentley,LB,JR,6-0,235,"Birmingham, AL",-
43,Will Blackston,TE,SO,6-1,255,"Honea Path, SC",-
68,Will Boggs,OL,SO,6-3,290,"York, SC",-
37,Liam Boyd,PK,FR,6-0,185,"Asheville, NC",-
11,Bryan Bresee,DT,SO,6-5,305,"Damascus, MD",-
9,Jake Briningstool,TE,SO,6-6,230,"Brentwood, TN",-
67,Nathan Brooks,OL,FR,6-4,285,"Fort Mill, SC",-
19,DeMonte Capehart,DT,SO,6-5,305,"Hartsville, SC",-
46,Jesiah Carlton,LB,SR,6-0,240,"Winston-Salem, NC",-
0,Barrett Carter,LB,SO,6-1,225,"Suwanee, GA",-
58,Holden Caspersen,LS,FR,5-11,215,"Roswell, GA",-
36,Quinn Castner,PK,SO,5-5,145,"Fort Mill, SC",-
80,Beaux Collins,WR,SO,6-3,210,"Los Angeles, CA",-
3,Dacari Collins,WR,SO,6-4,210,"Atlanta, GA",-
40,Brodey Conn,S,FR,6-0,200,"Clemson, SC",-
48,David Cote,LB,JR,5-11,225,"Six Mile, SC",-
29,Fletcher Cothran,LB,FR,6-3,210,"Anderson, SC",-
12,Sherrod Covil Jr.,S,FR,5-11,195,"Chesapeake, VA",-
60,Mac Cranford,OL,JR,6-0,290,"Hartsville, SC",-
82,Jackson Crosby,WR,FR,5-10,195,"Six Mile, SC",-
13,Tyler Davis,DT,SR,6-2,300,"Apopka, FL",-
2,Fred Davis II,CB,JR,6-0,200,"Jacksonville, FL",-
44,Cade Denhoff,DE,FR,6-5,255,"Plant City, FL",-
27,Carson Donnelly,S,SR,5-11,195,"Birmingham, AL",-
51,Colby Doolittle,LB,FR,6-2,235,"Newberry, SC",-
26,T.J. Dudley,LB,FR,6-1,230,"Montgomery, AL",-
83,Hampton Earle,WR,JR,5-10,195,"Clemson, SC",-
52,Joey Eddis,LB,SO,5-11,205,"Lawrence, KS",-
11,Sage Ennis,TE,SO,6-4,235,"Graceville, FL",-
43,Riggs Faulkenberry,LB,FR,6-1,210,"Greenville, SC",-
45,Philip Florenzo,LS,SO,6-2,240,"Towson, MD",-
62,Connor Graham,OL,SO,6-2,285,"Powdersville, SC",-
24,Hamp Greene,WR,JR,5-9,180,"Birmingham, AL",-
21,Malcolm Greene,CB,JR,5-10,195,"Richmond, VA",-
18,Kylon Griffin,S,FR,5-11,190,"Montgomery, AL",-
