No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
53,Andrew Adair,OL,SO,6-4,313,"Warrenton, VA",Kettle Run / Liberty
31,Percy Agyei-Obese,RB,SR,6-0,213,"Frederick, MD",Oakdale
55,Ronald Altman,OL,SO,6-3,290,"Springfield, VA",Lake Braddock Secondary / Air Force Prep
11,Billy Atkins,QB,FR,6-2,206,"Parkton, MD",Mount St. Joseph
29,Brent Austin,CB,FR,5-11,165,"San Bernardino, CA",Cajon
6,Julio Ayamel,LB,SO,6-0,222,"Gaithersburg, MD",Good Counsel
42,Carter Banks,DL,FR,6-2,203,"Lynchburg, VA",Heritage
37,Blake Barnes,WR,FR,6-4,198,"Virginia Beach, VA",Kellam
14,Alonza Barnett III,QB,FR,5-11,202,"Whitsett, NC",Grimsley
35,Jahquil Batts,S,FR,6-0,200,"Montclair, NJ",Don Bosco Prep / Jireh Prep
39,Payne Bauer,DL,FR,6-2,243,"Stephens City, VA",Sherando
41,Tate Beaver,LB,SR,6-1,219,"Newton, NC",Fred T. Foard / Lenoir-Rhyne
6,Kaelon Black,RB,FR,5-10,208,"Virginia Beach, VA",Salem
31,Antoine Booth,CB,FR,5-11,166,"Jessup, MD",DeMatha Catholic / Michigan State
62,Wesley Bostic,OL,FR,6-3,283,"Prince George, VA",Prince George
9,Reggie Brown,WR,JR,6-1,190,"Lakeland, FL",Kathleen
48,Greyson Cadd,DL,FR,6-1,246,"Charlotte, NC",Charlotte Christian / Palmetto Prep
99,James Carpenter,DL,SO,6-2,276,"Roanoke, VA",Roanoke Catholic
1,Todd Centeio,QB,SR,6-0,221,"West Palm Beach, FL",Dwyer / Colorado State
43,Matthew Channell,LB,FR,6-1,223,"Chesterfield, VA",Cosby
34,Chris Chukwuneke,S,JR,5-11,190,"Edison, NJ",St. John Vianney / The Peddie School
91,Sam Clark,P,SR,6-4,202,"Lilyfield, Australia",Newington College / Sacramento State
20,Xavier Cokley,CB,SO,5-11,186,"Baltimore, MD",Franklin
45,Antonio Colclough,DL,JR,6-4,245,"Harlem, NY",Cardinal Hayes / Temple
