No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
46,Aidan Alves,P,SR,6-1,220,"Dillsburg, PA",Northern York HS
8,Daijahn Anthony,CB,JR,6-0,205,"Richmond, VA",Henrico HS (Shepherd)
32,Elijah Auguste,CB,FR,5-10,180,"Everett, MA",Everett HS
14,Kylen Austin,WR,FR,6-0,155,"Baltimore, MD",St. Paul's School
22,Coleman Baker,WR,FR,5-11,175,"Brentwood, TN",David Lipscomb Academy
98,"CJ Bazile, Jr.",DL,FR,6-2,240,"Miami, FL",Miramar HS
85,Brayden Beck,K,SO,5-11,180,"Carrollton, TX",Hebron HS
38,Jaylin Belford,WR,FR,5-8,155,"Lynchburg, VA",Liberty Christian Academy
11,Johnathan Bennett,QB,JR,6-0,220,"Summerville, SC",Summerville HS
14,Deon Biggins,CB,SO,6-1,170,"Horn Lake, MS",Horn Lake HS
64,Jacob Bodden,OL,JR,6-3,310,"Hoover, AL",Hoover HS
30,Michael Bollinger,TE,SR,5-11,245,"Spartanburg, SC",Boiling Springs HS
92,Chris Boti,DL,SO,6-1,290,"Columbia, MD",St. Vincent Pallotti HS
16,Charlie Brewer,QB,SR,6-1,210,"Austin, TX",Lake Travis HS (Baylor/Utah)
68,Jalen Brooks,WR,FR,6-1,170,"Miami, FL",Gulliver Prep
33,Lawrence Brown,CB,FR,6-2,180,"Madison Heights, VA",Amherst County HS
42,Nick Brown,K,FR,6-4,155,"Frisco, TX",Centennial HS
9,Sean Brown,QB,SO,6-1,200,"Apex, NC",Middle Creek HS
19,Brody Brumm,WR,SR,6-0,200,"Winamac, IN",Winamac HS
97,Marquise Brunson,DL,FR,6-2,265,"Virginia Beach, VA",Princess Anne HS
56,Will Buchanan,OL,SO,6-6,325,"Asheville, NC",Christ School
75,Mason Bundy,OL,FR,6-6,300,"Mineral Bluff, GA",Fannin County HS
12,Zak Burnett,QB,SO,6-1,195,"Guntersville, AL",Guntersville HS (Samford)
5,Dre Butler,DT,SR,6-5,300,"Covington, GA",Newton HS (Auburn)
54,Caeden Callahan,LB,FR,6-1,215,"Acworth, GA",North Cobb Christian School
23,Malik Caper,RB,SO,6-0,235,"Dallas, TX",-
43,Joseph Carter,LB,FR,6-0,235,"Jacksonville, FL",University Christian HS
91,Kendy Charles,DT,SO,6-0,275,"Orange Park, FL",Orange Park HS
10,TreShaun Clark,DE,JR,6-1,250,"Cape Coral, FL",Cape Coral HS
17,Khaleb Coleman,WR,SR,6-2,230,"Washington, DC",Woodrow Wilson HS
19,Miyon Conaway,DE,FR,6-2,220,"Hazlehurst, GA",Jeff Davis HS
31,Tim Coutras,S,SO,6-1,205,"Brentwood, TN",Nolensville HS
82,D'Wayne Crawford,WR,JR,5-6,160,"Concord, NC",CFA Academy (East Carolina)
4,CJ Daniels,WR,SO,6-2,205,"Lilburn, GA",Parkview HS
36,Daniel Darko,S,SR,6-1,190,"Baltimore, MD",Seed School of Maryland (Marshall)
99,Bryce Dixon,DL,FR,6-2,275,"Charlotte, NC",David W. Butler HS
53,Phillip Doss,OL,SO,6-5,285,"Lynchburg, VA",Liberty Christian Academy
3,Demario Douglas,WR,SO,5-8,170,"Jacksonville, FL",Mandarin HS
35,Tyren Dupree,LB,JR,6-1,240,"Leesburg, AL",Cherokee HS
81,Markel Fortenberry,WR,FR,6-4,185,"Maryville, TN",Maryville HS
12,"Maurice Freeman, III",S,FR,6-0,200,"Chesapeake, VA",Oscar Smith HS
5,Noah Frith,WR,JR,6-4,200,"Woodstock, GA",Woodstock HS
73,X’Zauvea Gadlin,OL,SR,6-4,315,"Grand Prairie, TX",Mansfield Summit HS (Tulsa)
28,Justin Gipson,RB,FR,5-10,190,"Suwanee, GA",North Gwinnett HS
27,Micah Glaize,LB,JR,6-0,205,"Lynchburg, VA",Brookville HS
52,Jonathan Graham,OL,JR,6-5,325,"La Plata, MD",La Plata HS
15,Brylan Green,S,FR,5-11,170,"Opelousas, LA",Lafayette Christian Academy
2,T.J. Green,RB,SR,5-11,205,"Chandler, AZ",Chandler HS (Utah)
21,Sam Guridy,S,FR,6-0,185,"Lynchburg, VA",E.C. Glass HS
10,Nate Hampton,QB,FR,6-6,235,"Advance, NC",Davie County HS
33,Kyle Hanks,RB,FR,5-10,175,"Salem, VA",Glenvar HS
78,Brian Hannibal,OL,SO,6-3,295,"Silver Spring, MD",James Hubert Blake HS
15,Bentley Hanshaw,TE,JR,6-5,250,"Moorpark, CA",Moorpark HS (BYU)
94,Jay Hardy,DE,FR,6-3,320,"Chattanooga, TN",McCallie HS (Auburn)
63,Tommy Harley,OL,FR,6-6,280,"Deerfield Beach, FL",Calvary Christian HS
51,Harrison Hayes,OL,SO,6-4,285,"Wexford, PA",Pine-Richland HS
83,Austin Henderson,TE,SO,6-6,240,"Nashville, TN",Ensworth HS (Minnesota)
28,Preston Hodge,CB,FR,6-0,185,"Waxahachie, TX",Waxahachie HS (Navarro)
0,Dae Dae Hunter,RB,SO,5-10,190,"Denver, CO",Chandler HS (Hawaii)
85,Mark Hutzel,WR,FR,6-0,180,"Louisville, KY",Martha Layne Collins HS
25,Antwon Jackson,CB,FR,5-10,155,"Warner Robins, GA",Warner Robins HS
88,Jerome Jackson,TE,SR,6-3,255,"Fort Worth, TX",Timber Creek HS
13,Jaylon Jimmerson,S,JR,5-10,200,"Pittsburg, TX",Pittsburg HS (Incarnate Word)
11,Durrell Johnson,DE,SR,6-3,240,"Baltimore, MD",Overlea HS (ASA College)
0,"Jerome Jolly, Jr.",LB,SO,5-11,215,"Jacksonville, FL",Mandarin HS
29,A'Khori Jones,S,FR,5-11,185,"Macon, GA",Mount De Sales Academy
79,John Kourtis,OL,JR,6-5,320,"Toronto, Canada",Canada Prep
38,Tre Lawing,S,FR,5-10,185,"Appomattox, VA",Appomattox County HS
74,Jacob Lecates,OL,FR,6-7,330,"Trinity, NC",Bel Lippen School
95,Teagen Lenderink,K,FR,6-1,175,"Belmont, MI",Brentwood Academy
6,Jaivian Lofton,WR,JR,6-1,200,"Rancho Cucamonga, CA",Rancho Cucamonga HS (Chaffey College)
1,Shedro Louis,RB,JR,5-8,170,"Immokalee, FL",Immokalee HS
84,Teigan Martin,TE,FR,6-5,220,"Mayer, MN",Mayer Lutheran HS
77,Cooper McCaw,OL,SR,6-5,305,"Southlake, TX",Grapeville Faith Christian School
37,Owen McCone,LB,FR,5-11,190,"Fayetteville, AR",Fayetteville HS
4,Chris Megginson,CB,JR,6-0,190,"Lynchburg, VA",Heritage HS
50,Chase Mitchell,OL,SO,6-4,330,"Washington, PA",Washington HS
41,Austin Mock,LS,SR,6-2,240,"Lynchburg, VA",Liberty Christian Academy
87,Brayden Monday,TE,SO,6-4,235,"Waynesville, NC",Tuscola HS
37,Max Morgan,K,SO,6-3,225,"Greenville, SC",Christ Church Episcopal School
39,Dylan Mullins,S,FR,5-11,175,"Hampton, GA",Eagles Landing Christian Academy
30,Jordan Norwood,LB,FR,6-1,210,"Highlands Ranch, CO",Valor Christian School
86,Eddie Ogle,WR,SO,5-9,180,"Allentown, PA",Liberty Christian Academy
44,Ike Okoye,DE,SO,6-3,235,"Silver Spring, MD",Wheaton HS
90,Dennis Osagiede,DL,SR,5-11,290,"Nacogdoches, TX",Ridge Point HS (Stephen F. Austin)
17,Rashaud Pernell,DE,FR,6-4,250,"Highland Springs, VA",Highland Springs HS
