No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
20,Sam Barry,WR,FR,6-1,185,"Suamico, WI",Bay Port
18,Jeremiah Batiste,WR,FR,5-11,181,"New Orleans, LA",Tyner Academy
97,Brendan Beattie,LS,SO,6-0,212,"Maineville, OH",Kings
48,Chase Becker,TE,FR,6-4,230,"Carmel, IN",Carmel
38,Henry Beckett,K,SO,6-0,189,"Dothan, AL",Houston Academy
29,James Besett,WR,SO,6-2,209,"Twinsburg, OH",Twinsburg
1,Jaylon Bester,RB,SR,5-8,180,"Belleville, IL",Althoff Catholic
46,Alec Bevelhimer,K,SO,6-3,222,"Indianapolis, IN",Brebeuf Jesuit
81,Matt Bjorson,TE,SR,6-3,235,"Hinsdale, IL",Hinsdale Central
16,Eli Blakey,DB,FR,6-2,204,"Louisville, KY",DuPont Manual
47,Luke Bolden,TE,JR,6-2,238,"Cincinnati, OH",Colerain
58,Jackson Boras,LB,FR,6-0,220,"Orchard Park, NY",Canisius
64,Kolby Borders,OL,SO,6-6,330,"Lafayette, IN",McCutcheon
75,John Brekke,OL,SR,6-3,291,"Chicago, IL",Loyola Academy
26,Jordan Brunson,RB,FR,6-0,222,"Alpharetta, GA",Denmark
83,Angelo Butts,WR,FR,6-0,173,"St. Louis, MO",O'Fallon Christian
19,Ambe' Caldwell,DB,SO,6-1,206,"Atlanta, GA",Woodward Academy
34,Chris Cavalaris,WR,JR,5-10,167,"Lake Forest, IL",Lake Forest
55,Malachi Clark,DL,FR,6-1,317,"Detroit, MI",Roseville
89,Jack Coldiron,TE,SO,6-5,239,"Florence, KY",Covington Catholic
99,Anthony Collier,DL,SO,6-3,295,"Nashville, TN",East Nashville Magnet
26,Eli Coppess,LB,FR,6-1,216,"Pickerington, OH",Pickerington North
8,Kevin Davis,RB,SO,5-9,164,"Jackson, TN",Trinity Christian Academy
91,Marlon Dawson Jr.,DL,FR,6-4,220,"Detroit, MI",Oak Park
80,Jack DeJarld,TE,SO,6-3,238,"Chicago, IL",Brother Rice
25,Devon Dorsey,WR,SO,6-2,201,"Jonesboro, GA",Eagles Landing Christian Academy
21,Michael Dowell,DB,JR,6-1,216,"North Ridgeville, OH",St. Edwards
21,Ashton Duncan,TE,FR,6-4,238,"Ironton, OH",Ironton
24,Danny Dunlop,RB,FR,-,-,"Loveland, OH",Moeller
31,Dom Dzioban,K,SO,6-1,200,"Frankfork, IL",Lincoln Way East
16,Orin Edwards,QB,FR,6-1,177,"Zionsville, IN",Cathedral
0,Austin Ertl,DL,JR,6-2,290,"Wauwatosa, WI",Wauwatosa West
60,Rusty Feth,OL,JR,6-5,304,"Colerain, OH",Colerain
5,Brett Gabbert,QB,JR,6-0,205,"St. Louis, MO",Christian Brothers
94,Terran Hearn,DL,FR,6-3,236,"Louisville, KY",Ballard
12,Henry Hesson,QB,FR,6-2,197,"Plainfield, IN",Avon
96,Kobe Hilton,DL,SO,6-3,265,"Farrell, PA",Farrell
0,Mac Hippenhammer,WR,SR,5-11,190,"Fort Wayne, IN",Nelson R. Snider
56,Reid Holskey,OL,SO,6-6,298,"Pataskala, OH",Licking Heights
12,Corban Hondru,LB,FR,6-1,228,"McMurray, PA",Peters Township
17,Joseph Humphreys,QB,FR,6-3,201,"Owensboro, KY",Daviess County
36,Jackson Izzard,WR,FR,6-3,211,"Plain City, OH",Alder High School
72,Ben Jackson,OL,SO,6-7,316,"Winchester, KY",George Rogers Clark
70,Will Jados,OL,FR,6-8,308,"Westerville, OH",Westerville Central
1,Devin Johnson,DB,FR,6-1,194,"Berea, OH",Berea-Midpark
3,Nolan Johnson,DB,JR,6-2,200,"High Point, NC",Southwest Guilford
33,Ryan Kahn,DB,FR,5-9,160,"Strongsville, OH",Strongsville
22,Ja'Von Kimpson,DB,SO,5-11,192,"Clinton Township, MI",Chippewa Valley
66,Luke Kirin,OL,FR,6-4,303,"Brecksville, OH",Brecksville-Broadview Heights
31,Cam Kirk,DB,FR,5-10,192,"Dublin, OH",Coffman
87,Trey LaBounty,TE,SR,6-7,252,"Lynden, WA",Lynden
73,Brandon Lawhorn Moore,OL,FR,6-6,321,"Vandergrift, PA",Kiski Area
94,Joshua Lukusa,DL,FR,6-4,248,"Cincinnati, OH",Withrow
43,Grant Lyons,LB,FR,6-3,228,"Cincinnati, OH",St. Xavier
19,Matt MacLeod,QB,FR,6-1,190,"Menlo Park, CA",Menlo-Atherton
13,Miles Marshall,WR,JR,6-4,205,"Lilburn, GA",Parkview
2,Yahsyn McKee,DB,JR,5-10,162,"Stockbridge, GA",Stockbridge
23,Oscar McWood,LB,FR,6-1,210,"Grosse Pointe, MI",Brother Rice
35,Ryan McWood,LB,SR,6-2,221,"Grosse Pointe, MI",Brother Rice
