No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
27,Oscar Adaway III,RB,SO,6-0,222,"North Little Rock, AR",North Little Rock HS
39,Ayo Adeyi,RB,SO,5-7,197,"Mansfield, TX",Mansfield Legacy HS / Harding
89,Asher Alberding,TE,SO,6-3,259,"Houston, TX",Clear Lake HS
71,Leke Asenuga,OL,FR,6-2,301,"Houston, TX",George Bush HS / New Mexico
2,Austin Aune,QB,JR,6-2,221,"Argyle, TX",Argyle HS / Arkansas
40,Trent Ayers,LB,SO,6-1,210,"Arlington, TX",Colleyville Heritage HS / Navarro College
17,Moh Bility,DB,FR,6-0,182,"Dallas, TX",North Dallas HS
29,Daviawn Bishop,RB,FR,5-5,192,"Dallas, TX",W.T. White HS
65,Gabe Blair,OL,SO,6-3,303,"Denton, TX",Guyer HS
70,Kade Bond,OL,FR,6-3,298,"Magnolia, TX",Magnolia HS
46,Grady Brewer,LB,FR,5-10,216,"Rockwall, TX",Rockwall-Heath HS
73,Cole Brown,OL,JR,6-4,292,"Conroe, TX",Conroe HS
49,Collin Brown,LS,SO,5-11,230,"Austin, TX",Savio Catholic / Blinn College
11,Detraveon Brown,WR,SO,6-0,194,"Shreveport, LA",Northwood HS
19,Jordan Brown,LB,SO,6-1,220,"Huntsville, TX",Huntsville HS
10,Roderick Brown,DT,SO,6-0,275,"Forney, TX",North Forney HS
14,Roderic Burns,WR,JR,5-9,200,"Houston, TX",Lamar HS
5,Tommy Bush,WR,JR,6-5,204,"Schertz, TX",Clemens HS / Georgia
68,Daxton Byers,OL,SO,6-5,307,"Edmond, OK",Deer Creek HS
78,Daizion Carroll,OL,JR,6-1,319,"Waco, TX",Midway HS
47,Chris Cayton,K,FR,5-11,175,"Fort Myers, FL",Cypress Lake HS
83,Jake Cook,WR,FR,6-0,190,"Krum, TX",Krum HS
22,Keelan Crosby,DB,JR,6-1,194,"Anna, TX",Anna HS
47,Jacob Daulong,LB,SR,6-1,213,"Spring, TX",Klein Collins HS / Houston
8,John Davis,DB,SR,6-1,190,"Euless, TX",Trinity HS / Texas Tech
1,KD Davis,LB,SR,6-0,229,"Ennis, TX",Ennis HS
76,Michael Davis,DL,SO,6-1,258,"Orange, TX",Little Cypress-Mauriceville HS / Howard Payne
24,Devunte Dawson,DB,SR,5-10,177,"Bedford, TX",LD Bell HS / Coffeyville CC / UCF
53,Emmerick Dopona,LB,FR,5-10,216,"Flower Mound, TX",Marcus HS
34,Bryce Drummond,LB,FR,6-3,219,"Pawhuska, OK",Pawhuska HS
64,Jett Duncan,OL,SO,6-2,281,"The Woodlands, TX",The Woodlands HS
3,Stone Earle,QB,SO,6-0,203,"Keller, TX",Birdville HS / ACU
41,Sawyer Evans,P,JR,6-3,189,"Arlington, TX",Martin HS / Texas Southern
58,Samora Ezekiel,OL,FR,6-3,285,"Fort Worth, TX",Paschal HS
20,Qualon Farrar,RB,FR,5-6,190,"Dallas, TX",South Oak Cliff HS
86,Zac Farris,TE,FR,6-4,231,"Celina, TX",Celina HS
25,Sean-Thomas Faulkner,LB,SR,5-11,190,"Easley, SC",Easley HS / The Citadel
2,DeShawn Gaddie,DB,JR,6-1,188,"Indianapolis, IN",Lamar HS
74,Nick Gallo,OL,SO,6-3,295,"Denton, TX",Guyer HS / Independence CC / Missouri St.
85,Evan Greene,WR,FR,5-11,191,"Dallas, TX",Parish Episcopal
20,Alphie Guillory,DB,SO,5-9,184,"DeSoto, TX",DeSoto HS
30,Var'Keyes Gumms,TE,FR,6-3,230,"Houston, TX",Dekaney HS
17,Grant Gunnell,QB,SO,6-6,228,"The Woodlands, TX",St. Pius X / Arizona / Memphis
50,JP Hadley,LS,JR,6-3,258,"Lacey, NJ",Donovan Catholic / West Virginia
4,JD Head,QB,SO,6-1,185,"Pearland, TX",Pearland HS / Louisiana Tech
29,Braelon Hill,DB,SR,5-10,189,"Houston, TX",Clear Brook HS / ACU
41,Kaylon Horton,WR,JR,5-10,175,"Houston, TX",Cy Ridge HS / Tarleton State
39,Karter Houchin,LB,FR,5-11,216,"Decatur, TX",Decatur HS
