No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
23,Omari Abor,DE,FR,6-3,249,"Duncanville, TX",Duncanville
82,David Adolph,WR,FR,6-4,210,"Dublin, OH",Jerome
14,Kojo Antwi,WR,FR,5-11,192,"Suwanee, GA",Lambert
94,Mason Arnold,LS,SO,6-0,228,"Tampa, FL",Carrollwood Day
0,Kamryn Babb,WR,SR,6-0,210,"St. Louis, MO",Christian Brothers College
9,Jayden Ballard,WR,SO,6-2,196,"Massillon, OH",Massillon Washington
33,Chase Brecht,RB,FR,6-0,205,"Powell, OH",Olentangy Liberty
26,Cameron Brown,CB,SR,6-0,192,"St. Louis, MO",Christian Brothers College
15,Devin Brown,QB,FR,6-3,210,"Gilbert, AZ",Corner Canyon (Utah)
18,Jyaire Brown,CB,FR,5-11,180,"New Orleans, LA",Lakota West
13,Kaleb Brown,WR,FR,5-10,197,"Chicago, IL",St. Rita
10,Denzel Burke,CB,SO,6-1,190,"Phoenix, AZ",Saguaro
64,Quinton Burke,OL,JR,6-5,310,"Lancaster, OH",Lancaster
12,Caleb Burton,WR,FR,5-11,169,"Austin, TX",Lake Travis
28,TC Caffey,RB,FR,5-10,218,"Hubbard, OH",Hubbard
86,Jerron Cage,DT,SR,6-2,305,"Cincinnati, OH",Winton Woods
28,Reid Carrico,LB,SO,6-2,230,"Ironton, OH",Ironton
22,Steele Chambers,LB,SR,6-1,232,"Roswell, GA",Blessed Trinity Catholic
85,Bennett Christian,TE,FR,6-5,245,"Acworth, GA",Allatoona
71,Ben Christman,OL,SO,6-6,310,"Akron, OH",Revere
56,Zack Cicero,DL,SO,6-2,265,"Youngstown, OH",Niles McKinley
30,Corban Cleveland,WR,SO,5-11,180,"Rockwall, TX",Rockwall Heath
24,Marcus Crowley,RB,JR,6-1,216,"Jacksonville, FL",Trinity Christian Academy
92,Caden Curry,DE,FR,6-3,250,"Greenwood, IN",Center Grove
24,Jantzen Dunn,SAF,SO,6-1,192,"Bowling Green, KY",South Warren
2,Emeka Egbuka,WR,SO,6-1,205,"Steilacoom, WA",Steilacoom
35,Tommy Eichenberg,LB,SR,6-2,239,"Cleveland, OH",St. Ignatius
80,Blaize Exline,WR,FR,5-10,175,"Salem, OH",Salem
38,Jayden Fielding,K,FR,6-0,175,"League City, TX",IMG Academy
68,George Fitzpatrick,OL,FR,6-6,285,"Englewood, CO",Cherry Creek
4,Julian Fleming,WR,JR,6-2,205,"Catawissa, PA",Southern Columbia
61,Jack Forsman,OL,SO,6-6,295,"Powell, OH",Olentangy Liberty
54,Tyler Friday,DE,SR,6-3,264,"Ramsey, NJ",Don Bosco Prep
70,Josh Fryar,OL,JR,6-6,320,"Beech Grove, IN",Beech Grove
21,Palaie Gaoteote IV,LB,SR,6-2,245,"Las Vegas, NV",Bishop Gorman / USC
17,Kyion Grayes,WR,FR,6-0,185,"Chandler, AZ",Chandler
43,Dianté Griffin,CB,FR,5-8,185,"Lima, OH",Lima Senior
49,Patrick Gurd,TE,JR,6-4,245,"New Albany, OH",New Albany
51,Michael Hall Jr.,DT,SO,6-2,290,"Streetsboro, OH",Streetsboro
58,Ty Hamilton,DT,JR,6-3,294,"Pickerington, OH",Pickerington Central
7,Jordan Hancock,CB,SO,6-1,185,"Suwanee, GA",North Gwinnett
9,Zach Harrison,DE,SR,6-6,272,"Lewis Center, OH",Olentangy Orange
18,Marvin Harrison Jr.,WR,SO,6-4,205,"Philadelphia, PA",St. Joseph’s Prep
81,Sam Hart,TE,SO,6-5,245,"Aurora, CO",Cherokee Trail
5,Dallan Hayden,RB,FR,5-10,195,"Memphis, TN",Christian Brothers
32,TreVeyon Henderson,RB,SO,5-10,214,"Hopewell, VA",Hopewell
72,Avery Henry,OL,FR,6-6,309,"St. Clairsville, OH",St. Clairsville
89,Zak Herbstreit,TE,SO,6-2,243,"Nashville, TN",Montgomery Bell Academy
14,Ronnie Hickman,SAF,SR,6-1,207,"South Orange, NJ",DePaul Catholic
11,C.J. Hicks,LB,FR,6-3,225,"Dayton, OH",Archbishop Alter
75,Carson Hinzman,OL,FR,6-4,290,"Hammond, WI",Saint Croix Central
74,Donovan Jackson,OL,SO,6-4,300,"Bellaire, TX",Episcopal
97,Kenyatta Jackson,DE,FR,6-5,239,"Hollywood, FL",Chaminade-Madonna Prep
78,Jakob James,OL,JR,6-5,295,"Cincinnati, OH",Elder
8,Javontae Jean-Baptiste,DE,SR,6-5,249,"Spring Valley, NY",Bergen Catholic
4,JK Johnson,CB,SO,6-0,179,"St. Louis, MO",De Smet
25,Jaylen Johnson,SAF,SO,6-1,211,"Cincinnati, OH",La Salle
10,Xavier Johnson,WR,SR,6-2,215,"Cincinnati, OH",Summit Country Day
77,Paris Johnson Jr.,OL,JR,6-6,310,"Cincinnati, OH",Princeton
32,Brenten Jones,SAF,FR,6-1,196,"Steubenville, OH",Steubenville
79,Dawand Jones,OL,SR,6-8,359,"Indianapolis, IN",Ben Davis
55,Matthew Jones,OL,SR,6-4,315,"Brooklyn, NY",Erasmus Hall
93,Hero Kanu,DT,FR,6-4,305,"Rancho Santa Margarita, CA",Santa Margarita Catholic
34,Colin Kaufmann,CB,FR,5-10,185,"Avon, OH",Avon
38,Cameron Kittle,DB,JR,6-0,182,"Glouster, OH",Trimble
50,Jackson Kuwatch,LB,SO,6-4,235,"Cincinnati, OH",Lakota West
69,Trey Leroux,OL,JR,6-7,315,"Norwalk, OH",Norwalk
48,Max Lomonico,LS,SO,6-3,225,"Pickerington, OH",Pickerington Central
16,Mason Maggs,QB,FR,6-2,218,"Dublin, OH",Coffman
13,Cameron Martinez,SAF,JR,5-10,190,"Muskegon, MI",Muskegon
15,Tanner McCalister,SAF,SR,5-11,195,"Rockwall, TX",Rockwall-Heath H.S. & Oklahoma State
6,Kyle McCord,QB,SO,6-3,222,"Mt. Laurel, NJ",St. Joseph’s Prep
42,Lloyd McFarquhar,CB,SR,5-10,180,"Cleveland, OH",Brush
90,Jaden McKenzie,DT,SR,6-2,286,"Wake Forest, NC",Wake Forest H.S.
17,Mitchell Melton,LB,JR,6-3,245,"Silver Spring, MD",Good Counsel
65,Zen Michalski,OL,SO,6-7,310,"Floyds Knobs, IN",Floyd Central
76,Harry Miller,OL,JR,6-4,315,"Buford, GA",Buford
29,Jesse Mirco,P,SO,6-4,220,"Fremantle, Australia",-
83,Joop Mitchell,WR,SO,6-2,180,"Wyoming, OH",Wyoming
3,Teradja Mitchell,LB,SR,6-2,239,"Virginia Beach, VA",Bishop Sullivan
39,Andrew Moore,DB,SO,5-11,185,"Cleveland, OH",Cleveland Heights
46,Elias Myers,LB,SR,6-2,245,"Sunbury, OH",Big Walnut / IMG Academy / Pittsburgh
96,Michael O'Shaughnessy,P,SR,6-3,205,"New Albany, OH",New Albany
57,Jalen Pace,LB,SO,6-0,228,"St. Louis, MO",Mary Institute and Saint Louis Country Day School
36,Gabe Powers,LB,FR,6-4,228,"Marysville, OH",Marysville
62,Bryce Prater,DL,SO,6-0,275,"West Lafayette, OH",Ridgewood
63,Zach Prater,DL,SO,6-0,285,"West Lafayette, OH",Ridgewood
41,Josh Proctor,SAF,SR,6-2,205,"Owasso, OK",Owasso
21,Evan Pryor,RB,SO,5-11,198,"Cornelius, NC",William Amos Hough
12,Lathan Ransom,SAF,JR,6-1,205,"Tucson, AZ",Salpointe Catholic
19,Chad Ray,QB,SO,6-2,215,"Dublin, OH",Scioto
42,Bradley Robinson,LS,SR,6-1,230,"Troy, MI",Athens
34,Mitch Rossi,TE,SR,6-1,250,"Franklin, TN",Franklin
84,Joe Royer,TE,JR,6-5,245,"Cincinnati, OH",Elder
95,Noah Ruggles,K,SR,6-2,190,"Odessa, FL",-
26,Cayden Saunders,RB,SO,5-9,190,"Northville, MI",Northville
25,Kai Saunders,WR,FR,6-2,210,"Northville, MI",Northville
33,Jack Sawyer,DE,SO,6-4,267,"Pickerington, OH",Pickerington North
88,Gee Scott Jr.,TE,JR,6-3,239,"Seattle, WA",Eastside Catholic
98,Jake Seibert,CB,JR,6-1,205,"Cincinnati, OH",La Salle
30,Cody Simon,LB,JR,6-2,239,"Jersey City, NJ",St. Peter’s Prep
60,Ryan Smith,OL,SR,6-1,285,"Valley City, OH",Buckeye
11,Jaxon Smith-Njigba,WR,JR,6-1,200,"Rockwall, TX",Rockwall
43,Riordin Stauffer,TE,FR,6-1,242,"Milford Center, OH",Fairbanks
87,Reis Stocksdale,WR,SO,5-9,188,"Morrow, OH",Little Miami
52,Jay Stoker,LB,FR,5-11,215,"Liberty Twp., OH",Cincinnati Princeton
37,Kye Stokes,SAF,FR,6-1,190,"Seffner, FL",Armwood
8,Cade Stover,TE,SR,6-4,255,"Mansfield, OH",Lexington
7,C.J. Stroud,QB,JR,6-3,218,"Inland Empire, CA",Rancho Cucamonga
20,Sonny Styles,SAF,FR,6-4,222,"Pickerington, OH",Pickerington Central
73,Grant Toutant,OL,JR,6-7,320,"Warren, MI",De La Salle
19,Chip Trayanum,RB,JR,5-11,230,"Akron, OH",Archbishop Hoban H.S. and Arizona State
67,Tegra Tshabola,OL,FR,6-6,330,"West Chester, OH",Lakota West
44,JT Tuimoloau,DE,SO,6-4,270,"Edgewood, WA",Eastside Catholic
29,Ryan Turner,CB,FR,5-11,188,"Hollywood, FL",Chaminade-Madonna Prep
66,Enokk Vimahi,OL,SR,6-4,310,"Kahuku, HI",Kahuku
6,Taron Vincent,DT,SR,6-2,300,"Baltimore, MD",IMG Academy
3,Miyan Williams,RB,JR,5-9,225,"Cincinnati, OH",Winton Woods
91,Tyleik Williams,DT,SO,6-3,318,"Manassas, VA",Unity Reed
2,Kourt Williams II,SAF,JR,6-1,220,"Harbor City, CA",St. John Bosco
54,Toby Wilson,OL,SO,6-2,290,"Lewis Center, OH",Olentangy
53,Luke Wypler,OL,JR,6-3,300,"Montvale, NJ",St. Joseph Regional
