No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
0,O'Shaan Allison,RB,SR,5-10,202,"Malvern, PA",Malvern Prep
53,Jay Amburgey,OL,JR,6-4,298,"Reynoldsburg, OH",Reynoldsburg
60,Demond Arter,OL,SO,6-4,296,"Elkridge, MD",St. John's (Washington DC)
66,Christophe Atkinson,OL,JR,6-3,301,"Leesburg, VA",Tuscarora
22,Sieh Bangura,RB,FR,6-0,200,"Bowie, MD",Dematha Catholic High School
5,Kadin Beler,QB,SO,6-1,210,"Phoenix, AZ",Arcadia
45,Ben Bergfeld,LS,FR,5-9,240,"Davenport, IA",Davenport North
8,Justin Birchette,CB,SR,5-10,181,"Palm Beach Gardens, FL",Dwyer
33,Cannon Blauser,LB,JR,6-1,234,"Hilliard, OH",Hilliard Bradley
28,Shane Bonner,DE,SR,5-11,219,"New Concord, OH",John Glenn
18,James Bostic,WR,SR,6-3,230,"Fort Lauderdale, FL",Cardinal Gibbons / Vanderbilt
21,Austin Brawley,CB,FR,5-10,177,"Massillon, OH",Massillon Washington
31,Major Brown,WR,JR,6-1,207,"Gahanna, OH",Gahanna Lincoln
97,Rayyan Buell,DT,JR,6-2,276,"Hornell, NY",Hornell Senior / Northwest Mississippi CC
2,Alec Burton,TE,SR,6-4,242,"Danville, IN",Danville
44,Jeremiah Burton,DE,JR,6-1,251,"Reynoldsburg, OH",Reynoldsburg
14,Bryce Butler,TE,FR,6-3,265,"Bowie, MD",St. John’s College High School
50,Kai Caesar,DT,SR,6-1,316,"Cache, OK",Cache
18,Caden Campolieti,LB,JR,6-1,222,"Cleveland, OH",Saint Ignatius
15,Philip Cole,WR,SR,5-8,172,"Columbus, OH",Bishop Hartley
5,Jamison Collier,S,SR,6-1,191,"Snellville, GA",Brookwood
7,"Torrie Cox, Jr.",CB,FR,5-9,166,"Miami Gardens, FL",| Chaminade-Madonna Preparatory School
57,Langston Cross,DE,SR,6-2,250,"Bowie, MD",C.H. Flowers / Towson / Middle Tennessee State
19,Miles Cross,WR,SO,6-1,213,"Bowie, MD",Rock Hill High School (S.C.)
42,Donte Cruz,WR,FR,6-3,180,"Pittsfield, MA",Pittsfield
72,Kurt Danneker,OL,SR,6-3,334,"Linden, PA",Williamsport Area
51,Griffin Davies,DE,JR,6-2,247,"Elyria, OH",Elyria Catholic
16,Isaiah Davis,WR,FR,6-3,195,"Apopka, FL",Wekiva High School
0,Denzel Daxon,DT,SR,6-2,318,"Nassau, Bahamas",Carol City (Fla.)
77,Jacob Dennison,OL,SO,6-5,302,"Mansfield, OH",Lexington / Jacksonville State
36,Cam Dorsey,S,SO,6-0,200,"Alpharetta, GA",Alpharetta
11,Tariq Drake,S,SR,6-0,186,"Leavittsburg, OH",LaBrae
17,Nigel Drummond II,WR,JR,5-10,180,"Cleveland, OH",Saint Ignatius
52,Bryce Dugan,DE,SR,6-1,245,"Milford, OH",Milford
89,Kalos Farrier,DT,SO,6-2,328,"Cincinnati, OH",Gamble Montessori / Hocking College
20,Alvin Floyd,S,SR,5-10,187,"North Miami Beach, FL",North Miami Beach
97,Jonah Fortkamp,PK,SO,5-11,-,"Columbus, OH",Bishop Watterson
86,Tyler Foster,TE,JR,6-5,247,"Pickerington, OH",Pickerington
27,Jack Fries,S,FR,-,-,"Cincinnati, OH",-
82,Kyle Fullam,TE,FR,6-5,225,"Vandalia, OH",Butler Senior High School
83,Will Futhey,WR,FR,6-5,225,"Waverly City, OH",Waverly
30,Carson Gebeau,WR,FR,6-0,170,"Kenston, OH",Kenston
88,Caleb Gossett,WR,FR,6-3,198,"Lewis Center, OH",Olentangy / Dayton
13,John Gregory,CB,SR,6-1,214,"Indian Land, SC",Indian Land
73,Joseph Habinowski,OL,SO,6-5,297,"Pembroke Pines, FL",Chaminade-Madonna College Preparatory
29,CJ Hankins,LB,FR,5-11,218,"Lakewood, OH",St. Edward / Brown
10,CJ Harris,QB,SO,6-3,215,"West Bloomfield, MI",West Bloomfield
11,Rodney Harris II,WR,FR,6-2,201,"Cincinnati, OH",Princeton High School
81,Bralen Henderson,DT,FR,6-3,277,"Pittsburgh, PA",Central Catholic High School
31,Justin Holloway,LS,SR,6-3,213,"Venice, FL",Venice
32,Bryce Houston,LB,SR,5-11,237,"Lewis Center, OH",Olentangy Orange
41,Devon Hunter,RB,FR,5-10,190,"Avon, OH",Avon / Ball State
6,Dontay Hunter II,DE,JR,6-4,251,"Westerville, OH",Westerville Central / Purdue
30,Ben Johnson,S,JR,6-1,201,"Pickerington, OH",Pickerington North
8,Jacoby Jones,WR,JR,6-1,223,"Tunica, MS",NW Mississippi CC
98,Jordon Jones,DT,FR,6-2,266,"Ashland, KY",Paul G. Blazer
87,Will Kacmarek,TE,FR,6-6,252,"St. Louis, MO",Mary Institute and Saint Louis Country Day School
25,Chris Kammerer,CB,FR,5-10,153,"Cincinnati, OH",Elder
37,Xander Karagosian,S,FR,6-1,195,"Jackson, OH",Alexander and Jackson
48,Kyle Kelly,LB,JR,6-1,220,"Newport, KY",Newport Central Catholic
26,Bryce Kitrell,RB,SO,5-10,185,"Ashland, NE",Ashland-Greenwood
71,Aidan MacDonald,OL,JR,6-3,304,"Chardon, OH",Notre Dame-Cathedral Latin
91,Aiden Malenchek,DE,JR,6-5,254,"Twinsburg, OH",Twinsburg
55,Rodney Mathews,DT,SR,6-2,295,"Memphis, TN",Craigmont / Hutchinson Community College
16,Chris Mayfield,DT,SO,6-2,270,"Hilliard, OH",Hilliard Bradley / Michigan State
21,Nolan McCormick,RB,FR,5-10,219,"Mason, OH",William Mason
9,Kylen McCracken,DT,SR,6-3,306,"Cleveland Heights, OH",Cleveland Heights
40,Jack McCrory,DE,SR,6-1,236,"Springfield, OH",Springfield Shawnee
24,Cam McCullum,CB,JR,5-11,177,"Greenville, MS",East Mississippi CC / East Mississippi CC
80,Ryan McDole,WR,FR,6-4,205,"Cincinnati, OH",Turpin
76,Hagen Meservy,OL,SR,6-3,320,"Tulsa, OK",Jenks
95,Dane Middlebrook,DT,SO,6-0,337,"Indianapolis, IN",Brownsburg
84,Michael Molnar,TE,FR,6-3,205,"Mason, OH",Mason
14,John Motton,S,FR,5-11,203,"Groveport, OH",Groveport-Madison High School
12,Tyler Mullins,S,JR,5-11,186,"Grovetown, GA",Coffeyville CC / Coffeyville CC
13,Parker Navarro,QB,JR,6-0,201,"Tempe, AZ",Desert Vista / UCF
36,Jake Neatherton,RB,SR,5-10,205,"Miamisburg, OH",Miamisburg
54,Joe Oakes,OL,JR,6-2,281,"Cincinnati, OH",Indian Hill
2,Nife Oseni,S,SO,5-10,193,"Rolling Meadows, IL",Rolling Meadows
4,Roman Parodie,CB,SO,6-1,191,"Fort Lauderdale, FL",Cardinal Gibbons
15,David Patterson,DE,FR,6-3,222,"Lilburn, GA",Parkview High School
6,Quintell Quinn,RB,FR,6-1,219,"Columbus, OH",St. Francis DeSales High School
58,Bryce Ramer,OL,SR,6-4,314,"Beaver, PA",Beaver Area
64,Shedrick Rhodes Jr.,OL,SO,6-4,311,"McDonough, GA",Eagle's Landing Christian Academy
81,Aramoni Rhone,WR,FR,6-5,194,"Orlando, FL",Plant City High School
79,Brody Rodgers,OL,SR,6-4,324,"Athens, OH",Athens
61,Kaden Rogers,OL,FR,6-3,295,"Hamilton, OH",Ross High School
23,Julian Ross,RB,SR,5-11,207,"Kansas City, MO",Staley
7,Kurtis Rourke,QB,JR,6-5,216,"Oakville, Canada",Holy Trinity
47,Bailey Russ,S,FR,6-1,182,"Cuyahoga Falls, OH",Walsh Jesuit
39,Mekah Ryder,CB,FR,6-0,173,"McKinney, TX",McKinney High School
19,Zack Sanders,CB,SR,5-11,187,"Lawrence, KS",Lawrence Free State / Missouri State
10,Giovonni Scales,S,FR,6-1,201,"Columbus, OH",Marion-Franklin High School
75,Jarian Shelby,OL,FR,6-3,301,"Luling, LA",Hahnville High School
65,Jake Skelly,OL,FR,6-4,265,"Columbus, OH",Bishop Harley High School
46,Jayden Spires,LB,SO,6-1,-,"Jackson, OH",Jackson
96,Bryce Stai,DE,SR,6-2,241,"Lincoln, NE",Norris
34,Dylan Stevens,LB,SO,5-10,200,"Powell, OH",Olentangy Liberty
42,Michael Taylor,DE,SR,6-2,240,"Rockville Centre, NY",Holy Cross / Villanova
35,Shay Taylor,LB,FR,6-3,214,"Mount Perry, OH",Sheridan High School
38,Keye Thompson,LB,SR,6-0,230,"Barberton, OH",Barberton
69,Parker Titsworth,OL,JR,6-1,284,"Wexford, PA",North Allegheny
37,Tyler Toledo,RB,FR,5-9,207,"Canal Winchester, OH",Canal Winchester
90,Nathanial Vakos,K,FR,6-1,188,"Avon, OH",Avon High School
55,Vance Van Every,OL,JR,6-2,302,"Hernando, MS",NW Mississippi CC
25,Tristian Vandenberg,K,JR,6-4,227,"Buffalo, NY",Canisius
4,Tyler Walton,WR,SR,5-9,174,"St. Louis, MO",Christian Brothers
17,Vonnie Watkins,DE,SR,6-3,230,"Lusby, MD",Patuxent
74,Joseph Watson,OL,FR,6-0,270,"Unioto, OH",Unioto
51,Davion Weatherspoon,OL,FR,6-1,292,"Harper Woods, MI",Harper Woods High School
94,Bradley Weaver,DE,FR,6-4,248,"Hilliard, OH",Hilliard Darby High School
49,Jonah Wieland,P,SR,6-1,224,"Hudson, OH",Hudson / Akron
12,Sam Wiglusz,WR,SR,5-11,185,"Brecksville, OH",Brecksville / Ohio State
3,Keegan Wilburn,WR,SO,5-9,180,"Nelsonville, OH",Nelsonville-York
22,Adonis Williams Jr.,S,FR,6-2,202,"South Euclid, OH",Cleveland Heights / Naval Academy Prep School
43,Jack Wilson,P,SO,5-10,218,"Lancefield, Australia",Gisborne Secondary College (ProKick Australia)
9,Callum Wither,QB,FR,6-3,208,"Mississauga, Canada",Clarkson Football North
3,Jeremiah Wood,S,SR,6-0,213,"Pickerington, OH",Pickerington Central
99,Joey Woolard,DT,SO,6-1,282,"Grove City, OH",Grove City
67,Kam Wright,OL,FR,6-4,315,"Granville, OH",Granville
