No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
79,Campbell Ambrose,K,FR,5-10,160,"Edmond, OK",North / Southwestern Oklahoma State
88,Langston Anderson,WR,JR,6-1,202,"Midlothian, TX",Heritage
99,Sione Asi,DT,SR,6-1,310,"Reno, NV",McQueen / Snow College
57,Ryan Baker,DE,SO,6-3,235,"Cashion, OK",Cashion
32,Clayton Barbour,WR,JR,5-10,180,"Bixby, OK",Bixby
38,Carter Barnard,S,FR,5-10,180,"Stillwater, OK",Stillwater
54,Silas Barr,OL,SO,6-5,285,"Pottsboro, TX",Pottsboro
69,Evan Bax,OL,FR,6-4,280,"East Cobb, GA",Walton
24,De’kelvion Beamon,CB,FR,6-0,203,"Shreveport, LA",Huntington
1,Xavier Benson,LB,JR,6-2,224,"Texarkana, TX",Pleasant Grove / Texas Tech / Tyler Junior College
53,Tyler Berryhill,LB,SO,6-1,215,"Ardmore, OK",Plainview
67,Cole Birmingham,OL,JR,6-5,315,"Katy, TX",Katy
11,Lamont Bishop,LB,SR,6-2,235,"Country Club Hills, IL",Hillcrest / Iowa Central CC
2,Korie Black,CB,JR,6-0,185,"Waco, TX",Connally
41,Constantino Borrelli,LB,SO,5-11,220,"Ramsey, NJ",Don Bosco Prep
85,Jaden Bray,WR,SO,6-2,200,"Norman, OK",Norman
73,Jason Brooks Jr.,OL,SO,6-4,295,"Houston, TX",Dobie / Vanderbilt
24,CJ Brown,RB,FR,5-10,175,"Beggs, OK",Beggs
87,DeSean Brown,DE,FR,6-3,250,"Choctaw, OK",Choctaw
32,Gabe Brown,LB,FR,6-2,220,"Stillwater, OK",Stillwater
49,Tanner Brown,K,SR,6-0,180,"Saugus, CA",Saugus / College of the Canyons / UNLV
20,DeSean Buckner,CB,SO,6-0,205,"Pine Bluff, AR",White Hall
22,Donte Buckner,RB,SO,5-11,200,"Pine Bluff, AR",White Hall / Arkansas
77,Brayden Burke,DE,FR,6-3,245,"Stillwater, OK",Stillwater
83,Cale Cabbiness,WR,SO,6-2,200,"Norman, OK",Norman North
90,Braden Cassity,CW,SR,6-2,240,"Austin, TX",Westlake
93,Collin Clay,DT,JR,6-3,310,"Oklahoma City, OK",Putnam City / Arkansas
31,Chance Clements,LB,FR,6-2,205,"Stillwater, OK",Stillwater
0,Mason Cobb,LB,JR,6-0,230,"Provo, UT",Provo
71,Casey Collier,OL,SO,6-7,300,"Baytown, TX",Barbers Hill / Southern Cal.
84,Xavier Dandridge,WR,JR,6-2,200,"Tulsa, OK",Union
5,Kendal Daniels,S,FR,6-4,205,"Beggs, OK",Beggs
57,Cade Davis,LS,FR,6-1,225,"Tulsa, OK",Bishop Kelley
49,Dylan Davis,S,FR,6-1,185,"Plano, TX",Plano
88,Landon Dean,DE,FR,6-5,240,"Frontenac, KS",Frontenac
87,Jaxon Deason,WR,FR,5-10,170,"San Antonio, TX",Central Catholic
89,Harrison Dempsey,WR,FR,6-0,180,"Gainesville, TX",Gainesville
86,Rashad Dixon,WR,JR,5-11,175,"Wylie, TX",Wylie / Texas A&M-Commerce
36,Na'Drian Dizadare,LB,JR,6-2,225,"Shreveport, LA",Evangel Christian
78,Davis Dotson,OL,FR,6-6,290,"Tulsa, OK",Berryhill
54,Marcus Duckworth,DT,SO,6-1,300,"North Richland Hills, TX",Birdville
57,Osker Ehrlich,LS,FR,6-3,215,"Stillwater, OK",Stillwater
23,Cameron Epps,CB,FR,6-3,194,"St. Louis, MO",Chaminade
76,Caleb Etienne,OL,JR,6-7,325,"New Orleans, LA",Warren Easton / Fort Scott / Butler
98,Brendon Evers,DT,SR,6-2,295,"Bixby, OK",Bixby
97,Seleti Fevaleaki,DT,JR,6-3,270,"Mira Loma, CA",Centennial / BYU / Snow College
18,Sean Michael Flanagan,S,SR,6-1,210,"Charleston, AR",Charleston
94,Trace Ford,DE,JR,6-3,240,"Edmond, OK",Santa Fe
27,Raymond Gay II,S,FR,5-10,180,"Red Oak, TX",Red Oak
83,Gordie Geymuller,LB,JR,6-2,210,"Dallas, TX",Parish Episcopal
84,Mason Gilkey,WR,FR,6-3,175,"Pawhuska, OK",Pawhuska
54,Aidan Gonzalez,OL,FR,6-3,275,"Chickasha, OK",Chickasha
0,Ollie Gordon II,RB,FR,6-1,211,"Fort Worth, TX",Euless Trinity
28,Blaine Green,CW,SO,6-1,220,"Allen, TX",Allen
9,Bryson Green,WR,SO,6-1,205,"Allen, TX",Allen
12,Gunnar Gundy,QB,FR,6-1,200,"Stillwater, OK",Stillwater
19,Alex Hale,K,SR,6-0,204,"Point Frederick, Australia",St. Edward's
51,Bo Hardy,LB,SO,5-11,210,"Piedmont, OK",Piedmont
13,Thomas Harper,S,SR,5-11,180,"Knoxville, TN",Karns
72,Calvin Harvey,OL,FR,6-8,320,"Houston, TX",Ridge Point
33,Daxton Hembree,WR,FR,6-2,185,"Westville, OK",Westville
53,Matt Hembrough,LS,SR,6-3,220,"Lisle, IL",Benet
56,Jake Henry,OL,SO,6-4,290,"Tulsa, OK",Union
74,Preston Hickey,DT,FR,6-2,275,"Mandeville, LA",St. Paul's
85,Justin Hines,DE,FR,6-5,240,"Coweta, OK",Coweta
36,Vance Hooper,WR,SR,6-1,195,"McKinney, TX",Heritage / Southern Nazarene
29,Tom Hutton,P,SR,6-3,201,"Newborough, Australia",ProKick
91,Tyren Irby,DE,SR,6-3,240,"Lake Cormorant, MS",Lake Cormorant / Northwest Mississippi Community College
37,Isreal Isuman-Hundley,DE,JR,6-5,257,"Colleyville, TX",Heritage
4,Deondre Jackson,RB,SO,5-11,215,"Stone Mountain, GA",Stephenson / Texas A&M
8,Braydon Johnson,WR,SR,6-0,205,"Arlington, TX",Bowie
33,David Johnson,S,FR,6-3,167,"Ada, OK",Ada
95,Jaleel Johnson,DE,FR,6-4,240,"Oklahoma City, OK",Putnam City North
6,Stephon Johnson Jr.,WR,FR,6-2,182,"Houston, TX",DeSoto
73,Darian Jones,OL,FR,6-0,305,"Missouri City, TX",Fort Bend Hightower
22,Demarco Jones,CB,JR,6-0,185,"Tulsa, OK",Booker T. Washington
51,Austin Kawecki,OL,FR,6-5,265,"Frisco, TX",Lebanon Trail
71,Aden Kelley,DT,FR,6-2,295,"Thomas, OK",Thomas-Fay-Custer
52,Ben Kopenski,DE,SR,6-1,255,"McKinney, TX",Prosper
39,Peyton Kramer,WR,FR,5-11,175,"Fort Worth, TX",All Saints' Episcopal
89,Tyler Lacy,DE,SR,6-4,285,"Sachse, TX",Sachse
92,Nathan Latu,DE,SR,6-4,265,"Salt Lake City, UT",Olympus / Snow College
