No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
74,Marcus Alexander,OL,JR,6-4,325,"Sunnyvale, TX",Sunnyvale HS
57,Gunnar Allen,OL,FR,6-0,295,"Aledo, TX",Aledo HS
50,Ben Anderson,LS,FR,6-5,240,"Charlotte, NC",Charlotte Latin School
69,Nate Anderson,OL,SO,6-4,292,"Frisco, TX",Rick Reedy HS
4,Nic Anderson,WR,FR,6-4,200,"Katy, TX",Katy HS
2,Jovantae Barnes,RB,FR,6-0,200,"Las Vegas, NV",Desert Pines HS
11,Davis Beville,QB,JR,6-6,225,"Greenville, SC",University of Pittsburgh
14,General Booty,QB,SO,6-2,190,"Allen, TX",Tyler Junior College
5,Micah Bowens II,QB,SO,5-11,190,"Las Vegas, NV",Bishop Gorman HS / Penn State University
5,Billy Bowman Jr.,DB,SO,5-10,190,"Denton, TX",Ryan HS
47,Brady Braun,P,FR,6-0,235,"Indianapolis, IN",Bishop Chatard HS
98,Hayden Bray,DL,FR,6-4,265,"Austin, TX",Westlake HS
25,Justin Broiles,DB,SR,5-11,195,"Oklahoma City, OK",John Marshall HS
6,LV Bunkley-Shelton,WR,SO,5-11,195,"Compton, CA",Arizona State University
16,Jamarrien Burt,DB,FR,6-0,185,"Ocala, FL",Forest HS
59,Savion Byrd,OL,FR,6-5,310,"Cedar Hill, TX",Duncanville HS
94,Isaiah Coe,DL,JR,6-2,305,"Homewood, IL",Iowa Western CC
22,C.J. Coldon,DB,SR,5-11,185,"Belleville, IL",University of Wyoming
39,Doug Collins,DB,SR,5-11,208,"Norman, OK",Emporia State
66,Robert Congel,OL,SR,6-4,322,"Greenwood Village, CO",IMG Academy / University of Arizona
85,Luke Creeger,WR,SO,6-0,183,"Bixby, OK",Bixby HS
16,Brian Darby,WR,JR,6-0,202,"College Station, TX",A&M Consolidated HS
4,Jaden Davis,DB,SR,5-10,183,"Fort Lauderdale, FL",St. Thomas Aquinas HS
21,Kendall Dennis,DB,SO,5-11,187,"Lakeland, FL",Lakeland HS
40,Ethan Downs,DL,SO,6-4,260,"Weatherford, OK",Weatherford HS
88,Dallas Dudley,WR,FR,6-2,190,"Flower Mound, TX",Marcus HS
1,Joshua Eaton,DB,JR,6-1,183,"Houston, TX",Aldine MacArthur HS
90,Josh Ellison,DL,SR,6-3,300,"College Station, TX",A&M Consolidated HS / Blinn College
63,Kyle Ergenbright,OL,SR,6-5,305,"Midwest City, OK",Northern Colorado
7,Nick Evers,QB,FR,6-3,185,"Flower Mound, TX",Flower Mound HS
3,Jalil Farooq,WR,SO,6-1,203,"Landham, MD",Dr. Henry A Wise Jr. HS
82,Gavin Freeman,WR,FR,5-8,173,"Oklahoma City, OK",Heritage Hall HS
8,Dillon Gabriel,QB,JR,5-11,203,"Mililani, HI",Mililani HS / UCF
1,Jayden Gibson,WR,FR,6-5,195,"Winter Garden, FL",West Orange HS
44,Kelvin Gilliam Jr.,DL,FR,6-3,293,"Richmond, VA",Highland Springs HS
53,Darius Graham,DL,FR,6-2,225,"Keller, TX",Keller Central HS
9,D.J. Graham II,DB,JR,6-0,190,"Fort Worth, TX",Keller Central HS
0,Eric Gray,RB,SR,5-10,210,"Memphis, TN",Lausanne Collegiate School / University of Tennessee
14,Reggie Grimes II,DL,JR,6-4,270,"Antioch, TN",Ravenwood HS
84,Carsten Groos,TE,SO,6-4,240,"Austin, TX",Anderson HS
60,Tyler Guyton,OL,SO,6-7,320,"Manor, TX",TCU
56,Gracen Halton,DL,FR,6-2,277,"San Diego, CA",St. Augustine HS
17,Damond Harmon,DB,SO,6-0,180,"Richmond, VA",Highland Springs HS
37,Justin Harrington,DB,SR,6-3,215,"Raleigh, NC",Southeast Raleigh HS / Bakersfield (Calif.) CC
71,Anton Harrison,OL,JR,6-5,315,"Washington, DC",Archbishop Carroll HS
38,Owen Heinecke,DB,FR,6-2,202,"Tulsa, OK",Ohio State University
18,Kaden Helms,TE,FR,6-5,225,"Bellevue, NE",Bellevue West HS
53,Caden Hendren,LB,FR,6-0,200,"Piedmont, OK",Piedmont HS
45,Kevonte Henry,DL,FR,6-4,220,"Los Angeles, CA",Leuzinger HS
13,J.J. Hester,WR,SO,6-4,200,"Tulsa, OK",University of Missouri
78,Marcus Hicks,OL,JR,6-6,302,"Wichita, KS",Northwest HS
49,Pierce Hudgens,DB,SO,6-1,200,"Flower Mound, TX",Flower Mound HS
23,Todd Hudson,RB,JR,5-7,183,"League City, TX",Clear Springs HS
77,Jeffery Johnson,DL,SR,6-2,305,"Brookhaven, MS",Tulane
7,Jaren Kanak,LB,FR,6-2,225,"Hays, KS",Hays Highschool
51,Kasey Kelleher,LS,SR,5-11,230,"Peninsula, OH",Woodridge HS
88,Jordan Kelley,DL,SR,6-4,288,"Tulsa, OK",Union HS
25,Jaden Knowles,RB,SR,5-8,195,"Kennedale, TX",Kennedale HS / Southwestern Okla. State Univ.
58,Ethan Lane,LS,SO,5-11,230,"Dallas, TX",Jesuit College Prep School of Dallas
8,Jonah Laulu,DL,SR,6-5,265,"Las Vegas, NV",University of Hawai'i
12,Key Lawrence,DB,JR,6-1,210,"Nashville, TN",Ensworth HS / University of Tennessee
10,Kip Lewis,LB,FR,6-1,201,"Carthage, TX",Carthage HS
93,Reed Lindsey,DL,JR,6-4,268,"Clinton, OK",Clinton HS
87,Jason Llewellyn,TE,FR,6-5,250,"Aledo, TX",Aledo HS
24,Marcus Major,RB,JR,6-0,220,"Oklahoma City, OK",Millwood HS
46,Gavin Marshall,K,FR,6-1,195,"Frisco, TX",Frisco HS
41,Jake McCoy,LB,JR,6-3,228,"Edmond, OK",Edmond North HS
46,Gabriel McDaniel,DB,SO,5-10,165,"Nashville, TN",Middle Tennessee State Univ.
11,Kobie McKinzie,LB,FR,6-2,238,"Lubbock, TX",Lubbock-Cooper HS
23,Emeka Megwa,RB,FR,6-0,207,"Fort Worth, TX",University of Washington
83,Major Melson,WR,SO,5-10,180,"Mansfield, TX",Legacy HS
72,McKade Mettauer,OL,JR,6-4,310,"The Woodlands, TX",University of California
17,Marvin Mims Jr.,WR,JR,5-11,182,"Frisco, TX",Lone Star HS
75,Cullen Montgomery,OL,FR,6-4,330,"Pearland, TX",Episcopal HS
