No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
41,Jontae Allen,ILB,FR,6-1,211,"Beaverton, OR",Mountainside
98,Cody Anderson,DL,SR,6-3,282,"Springfield, OR",Thurston
0,Akili Arnold,DB,SO,5-11,195,"Lake Forest, CA",Mission Viejo
5,Alex Austin,DB,SO,6-1,191,"Long Beach, CA",Long Beach Poly
53,Marco Balestrieri,OL,FR,6-3,286,"Walnut Creek, CA",Las Lomas
48,Dylan Black,LS,SO,6-1,205,"Reno, NV",Bishop Manogue
19,Jake Blair,WR,FR,6-1,190,"Camas, WA",Camas
47,Tyree Blake,ILB,FR,6-1,210,"Portland, OR",Jesuit
58,Heneli Bloomfield,OL,JR,6-4,306,"Sandy, UT",Jordan / Utah State
7,Silas Bolden,WR,SO,5-8,152,"Rancho Cucamonga, CA",Rancho Cucamonga
60,Marco Brewer,OL,JR,6-4,297,"Corvallis, OR",Corvallis/Grant / Laney College
89,Sebastian Briski,DL,JR,6-3,260,"Pago Pago, American Samoa",Samoana
29,Cade Brownholtz,OLB,SO,6-3,229,"Sacramento, CA",Jesuit
46,Braydon Bruener,ILB,FR,5-11,186,"Redmond, WA",Redmond
50,Henry Buckles,OL,FR,6-2,286,"Hood River, OR",Hood River Valley
87,J.T. Byrne,TE,FR,6-5,247,"Carmel, CA",Carmel
89,Bryce Caufield,TE,FR,6-4,230,"Lake Oswego, OR",Lakeridge
10,Andrew Chatfield Jr.,OLB,JR,6-2,254,"Plantation, FL",American Heritage
12,Jack Colletto,ILB,SR,6-3,239,"Camas, WA",Camas / Arizona Western College
23,Ryan Cooper Jr.,DB,JR,6-0,188,"San Jose, CA",Wilcox / College of San Mateo
26,Jhae Drummer,DB,FR,6-0,187,"Long Beach, CA",Millikan
14,John Dunmore,WR,SO,6-2,185,"Fort Lauderdale, FL",Chaminade-Madonna / Penn State
78,Nathan Elu,OL,FR,6-5,310,"San Mateo, CA",Junipero Serra
40,Michael Erhart,ILB,SO,6-0,229,"Westlake Village, CA",Chaminade College Prep
74,Brian Espinoza,OL,SO,6-4,300,"Dublin, CA",Clackamas
77,Omarion Fa'amoe,DL,FR,6-2,280,"Salt Lake City, UT",West
5,Deshaun Fenwick,RB,JR,6-2,226,"Bradenton, FL",Braden River / South Carolina
56,Jacob Ferenczi,OL,FR,6-5,310,"Gardiner, OR",North Bend
8,Kyrei Fisher-Morris,ILB,SR,6-1,237,"Tulsa, OK",Union / Arkansas
9,Ryan Franke,OLB,SO,6-3,252,"Camarillo, CA",Oaks Christian
75,Taliese Fuaga,OL,SO,6-6,326,"Tacoma, WA",Mount Tahoma
