No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
13,Bryan Addison,DB,JR,6-5,195,"Gardena, CA",Junipero Serra HS
97,Maceal Afaese,DT,FR,6-4,259,"Kapolei, HI",Kapolei HS
28,Preston Alford,RB,FR,5-10,194,"Dripping Springs, TX",Dripping Springs HS
86,Darrian Anderson,WR,FR,5-9,184,"Waipahu, HI",Junipero Serra (Calif.)
50,Popo Aumavae,DT,SR,6-3,304,"Stockton, CA",St. Mary's HS
71,Malaesala Aumavae-Laulu,OL,SR,6-6,330,"Hilo, HI",Liberty HS / Navarro College
80,Alex Bales,K,JR,6-0,172,"Westfield, IN",Westfield HS / Cincinnati
22,Darren Barkins,DB,FR,5-9,170,"Spring Valley, CA",Mater Dei Catholic HS
93,Adam Barry,P,SR,6-6,230,"Louisville, KY",North Oldham HS / Temple
56,T.J. Bass,OL,SR,6-4,325,"Deming, WA",Mt. Baker HS / Butte College
33,Jeffrey Bassa,ILB,SO,6-2,212,"Salt Lake City, UT",Kearns HS
57,Luke Basso,LS,FR,6-3,227,"Lake Oswego, OR",Lakeridge HS
45,Karsten Battles,LS,SR,6-1,250,"San Antonio, TX",Claudia Taylor Johnson HS
31,DJ Beckum,DB,SO,5-9,166,"Columbus, MS",McQueen HS / Ole Miss
46,Bryce Boettcher,DB,SO,6-2,200,"Eugene, OR",South Eugene HS
98,Andrew Boyle,K,JR,6-2,199,"Camas, WA",Camas HS / Washington State
15,Isaiah Brevard,WR,FR,6-3,196,"Memphis, TN",Southhaven HS (Miss.)
11,Trikweze Bridges,DB,SO,6-3,192,"Lanett, AL",Lanett HS
16,DonJ'rael Brooks,DB,FR,-,-,"Eastvale, CA",Upland HS
81,Cole Brosterhous,WR,SO,-,-,"Klamath Falls, OR",Mazama HS / Western Oregon
21,Keith Brown,ILB,SO,6-1,235,"Lebanon, OR",Lebanon HS
96,Lachlan Bruce,P,SO,6-2,220,"Geelong, Australia",Newcomb HS / City College of San Francisco
43,Brandon Buckner,OLB,SO,6-1,250,"Charlotte, NC",Chandler HS (Ariz.)
45,Peter Burke,TE,FR,6-4,234,"Tualatin, OR",Tualatin HS
9,Jay Butterfield,QB,FR,6-6,216,"Brentwood, CA",Liberty HS
26,Ellis Bynum,RB,FR,5-8,187,"Portland, OR",Central Catholic HS
21,Byron Cardwell,RB,SO,6-0,206,"San Diego, CA",Morse HS
19,Caleb Chapman,WR,SR,6-5,218,"Clear Lake, TX",Clear Brook HS / Texas A&M
25,Brison Cobbins,RB,SO,5-8,193,"Kansas City, KS",Bishop Miege HS / Missouri Western
76,Josh Conerly Jr.,OL,FR,6-4,294,"Seattle, WA",Rainier Beach HS
23,Chase Cota,WR,SR,6-4,200,"Medford, OR",South Medford HS / UCLA
6,Isaah Crocker,WR,JR,6-1,183,"Sacramento, CA",Inderkum HS
30,Donovan Dalton,DB,SR,6-3,208,"Apple Valley, MN",Saguaro HS / Hawaii
12,Daymon David,DB,SO,6-0,182,"Baltimore, MD",Franklin HS
36,Timon Davis,DB,FR,5-9,159,"Portland, OR",Grant HS
83,Josh Delgado,WR,SO,5-9,182,"Carson, CA",IMG Academy (Fla.)
73,Ty Delgado,DL,FR,6-2,284,"Portland, OR",Parkrose HS
28,Avante Dickerson,DB,SO,6-0,173,"Omaha, NE",Westside HS
5,Sean Dollars,RB,SO,5-8,199,"Rancho Cucamonga, CA",Mater Dei HS
3,Brandon Dorlus,DE,JR,6-3,290,"Fort Lauderdale, FL",Deerfield Beach HS
3,Terrance Ferguson,TE,SO,6-5,255,"Littleton, CO",Heritage HS
6,Jahlil Florence,DB,FR,6-1,191,"Southeast San Diego, CA",Lincoln HS
25,Jonathan Flowe,DB,FR,6-1,209,"Chino, CA",Upland HS
10,Justin Flowe,ILB,FR,6-3,220,"Chino, CA",Upland HS
78,Alex Forsyth,OL,SR,6-4,312,"West Linn, OR",West Linn HS
11,Troy Franklin,WR,SO,6-3,178,"East Palo Alto, CA",Menlo-Atherton HS
18,Mase Funa,OLB,JR,6-3,255,"Anaheim, CA",Mater Dei HS
56,TJ Gilbert,ILB,FR,-,-,"Calera, AL",Calera HS
0,Christian Gonzalez,DB,SO,6-2,201,"The Colony, TX",The Colony / Colorado
24,JJ Greenfield,DB,FR,6-1,178,"Crenshaw, CA",Narbonne HS
41,Zach Grisham,DB,FR,5-11,192,"Portland, OR",Central Catholic HS
29,Kilohana Haasenritter,RB,FR,5-8,189,"Hilo, HI",Hilo HS / Hawaii
71,Malachi Hannah,OLB,FR,6-1,232,"Simi Valley, CA",Simi Valley HS
55,Marcus Harper II,OL,SO,6-3,313,"Chicago Heights, IL",Homewood-Flossmoor HS
88,Patrick Herbert,TE,SO,6-5,251,"Eugene, OR",Sheldon HS
19,Jamal Hill,DB,JR,6-0,211,"Rex, GA",Morrow HS
1,Kris Hutson,WR,SO,5-11,172,"Compton, CA",St. John Bosco HS
0,Bucky Irving,RB,SO,5-10,194,"Chicago, IL",Hillcrest HS / Minnesota
52,Dave Iuli,OL,FR,6-3,339,"Puyallup, WA",Puyallup HS
29,Adrian Jackson,ILB,JR,-,-,"Denver, CO",Mullen HS
26,Devon Jackson,ILB,FR,6-2,214,"Omaha, NE",Burke HS
20,Jordan James,RB,FR,5-10,210,"Nashville, TN",Oakland HS
92,Ross James,P,SO,6-2,180,"Brandon, MS",Hartfield Academy / East Central CC
69,Bailey Jaramillo,OL,FR,6-6,315,"Portland, OR",Lake Oswego HS/Northland Christian (Texas)
70,Dawson Jaramillo,OL,JR,6-5,300,"Portland, OR",Lake Oswego HS
82,Michael Jennings,WR,SO,6-0,177,"Marin County, CA",Marin Catholic HS
2,DJ Johnson,OLB,SR,6-4,270,"Sacramento, CA",Luther Burbank HS / Miami
5,Anthony Jones,OLB,FR,6-3,243,"Las Vegas, NV",Liberty HS
74,Steven Jones,OL,JR,6-5,340,"Temecula, CA",Chaparall HS
17,Kyler Kasper,WR,FR,6-6,193,"Gilbert, AZ",Williams Field HS
42,Jackson LaDuke,ILB,FR,6-2,236,"Sparks, NV",Spanish Springs HS
75,Faaope Laloulu,OL,SO,6-7,330,"Honolulu, HI",Farrington HS
49,Camden Lewis,K,JR,5-10,206,"Charlotte, NC",Hough HS
14,Justius Lowe,WR,FR,6-1,182,"Portland, OR",Lake Oswego HS
31,La'Vaughn Luellen,RB,FR,5-10,230,"Omaha, NE",Omaha North HS
48,Treven Ma'ae,DL,SO,6-5,272,"Kapolei, HI",Bishop Gorman HS
8,Dontae Manning,DB,SO,5-10,189,"Kansas City, MO",Raytown HS
8,Moliki Matavao,TE,SO,6-6,256,"Henderson, NV",Liberty HS
84,Cam McCormick,TE,SR,6-5,260,"Bend, OR",Summit HS
7,Seven McGee,WR,SO,5-8,180,"Rochester, NY",East HS
17,Jabril McNeill,OLB,SO,6-4,230,"Raleigh, NC",Sanderson HS
40,Sir Mells,DL,FR,6-3,315,"Las Vegas, NV",Liberty HS
43,Devin Morrow,DB,FR,5-10,159,"Atlanta, GA",National Christian Academy
89,Tyler Nanney,TE,SO,6-8,261,"Pleasanton, CA",Amador Valley HS
9,Jaden Navarrette,OLB,FR,6-3,230,"Norco, CA",Norco HS
10,Bo Nix,QB,SR,6-2,213,"Pinson, AL",Pinson Valley HS / Auburn
65,Charlie Pickard,OL,FR,6-4,284,"Portland, OR",Jesuit HS
94,Sua'ava Poti,DT,SO,6-3,283,"Bellflower, CA",St. John Bosco HS
58,Jackson Powers-Johnson,DL,SO,6-3,319,"Draper, UT",Corner Canyon HS
80,Cole Prusia,WR,FR,6-1,200,"Tualatin, OR",Tualatin HS
87,Von Reames,WR,FR,5-7,162,"Baltimore, MD",Franklin HS
91,Jordon Riley,DL,SR,6-5,325,"New Bern, NC",Riverside HS / North Carolina/Garden City CC/Nebraska
52,Ben Roberts,DL,FR,6-2,311,"Lakewood, WA",East HS (Utah)
98,Casey Rogers,DL,JR,6-5,285,"Syracuse, NY",Westhill HS / Old Farms Prep/Nebraska
73,Kawika Rogers,OL,FR,6-5,334,"Kapa'a, HI",Kapa'a HS
60,Kanen Rossi,OL,FR,6-1,286,"Portland, OR",Sunset HS
35,Micah Roth,ILB,SR,6-2,223,"Temecula, CA",Calvary Murrieta HS / Azusa Pacific
85,Malachi Russell,WR,SR,5-11,163,"Oceanside, CA",El Camino / Palomar College
16,Marcus Sanders,QB,FR,6-5,228,"Union City, CA",James Logan HS
1,Noah Sewell,ILB,SO,6-2,253,"Malaeimi, American Samoa",Orem HS (Utah)
90,Jake Shipley,DE,SO,6-3,267,"Indio, CA",Shadow Hills HS
61,Josh Simmons,DL,SO,6-6,280,"Asheville, NC",T.C. Roberson / Catawba College
39,Dane Sipos,DB,FR,6-0,182,"Lebanon, OR",Lebanon HS
34,Aaron Smith,RB,FR,5-11,225,"San Jose, CA",Archbishop Mitty HS
38,Tom Snee,P,JR,-,-,"Melbourne, Australia",Frankston HS
29,Dominic Stephens,DB,FR,6-1,181,"Fort Lauderdale, FL",American Heritage
7,Steve Stephens IV,DB,JR,6-0,197,"Fresno, CA",Edison HS
44,Bradyn Swinson,DE,SO,6-4,233,"Douglasville, GA",Chapel Hill HS
34,Harrison Taggart,ILB,FR,6-1,216,"Draper, UT",Corner Canyon HS
55,Taki Taimani,DL,JR,6-3,315,"Salt Lake City, UT",East HS / Washington
14,Khamari Terrell,DB,FR,6-1,174,"Killeen, TX",Shoemaker HS
13,Ty Thompson,QB,FR,6-4,224,"Gilbert, AZ",Mesquite HS
2,Dont'e Thornton,WR,SO,6-5,199,"Baltimore, MD",Mount Saint Joseph HS
12,Terrell Tilmon,TE,SO,6-5,221,"Mansfield, TX",Mansfield Timberview HS
20,Jalil Tucker,DB,FR,6-0,165,"San Diego, CA",Lincoln HS
12,Jake Van Dyne,QB,SO,6-2,187,"Kansas City, MO",Liberty North HS / Missouri State
27,Marko Vidackovic,DB,SO,6-1,192,"Stuttgart, Germany",Lincoln HS (Ore.)
72,Bram Walden,OL,FR,6-3,304,"Scottsdale, AZ",Saguaro HS
53,Ryan Walk,OL,SR,6-3,292,"Eugene, OR",Sheldon HS
95,Keyon Ware-Hudson,DT,SO,6-2,281,"Duarte, CA",Mater Dei HS
4,Spencer Webb,TE,JR,-,-,"Sacramento, CA",Christian Brothers HS
62,Holden Whipple,OL,FR,6-4,300,"Salem, OR",West Salem HS / Northern Arizona
22,Noah Whittington,RB,SO,5-8,194,"Fort Valley, GA",Peach County HS / Western Kentucky
4,Bennett Williams,DB,SR,6-0,205,"Campbell, CA",St. Francis HS / Illinois/College of San Mateo
47,Elijah Williams,ILB,FR,6-1,218,"Chicago, IL",Saint Ignatius College Prep
99,Keanu Williams,DL,FR,6-4,300,"Clovis, CA",Clovis HS
38,Rayquan Williams,DB,FR,6-1,168,"Memphis, TN",Germantown HS
23,Trejon Williams,DB,FR,5-11,187,"Portland, OR",Jefferson HS
32,Emar'rion Winston,OLB,FR,6-4,245,"Portland, OR",Central Catholic HS
38,Kade Wisher,WR,JR,5-10,165,"Tigard, OR",Jesuit HS
77,Michael Wooten,OL,FR,6-4,305,"Simi Valley, CA",Sierra Canyon HS
37,Max Wysocki,DB,SO,5-11,213,"Vienna, VA",Madison HS
67,Cole Young,OL,SO,6-5,321,"Medina, WA",Bellevue HS
