No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
76,Dean Abdullah,OL,SO,6-4,260,"Antelope, CA",Antelope High / American River College
42,Brady Anderson,LB,SO,6-2,230,"Bakersfield, CA",Liberty High
38,Jaylon Armstead,RB,SO,5-11,220,"Los Angeles, CA",Serra High
4,Liu Aumavae,QB,FR,6-3,205,"Waldorf, MD",Timpview High (Utah)
30,Lucky Avinger,RB,SR,6-1,210,"Cerritos, CA",La Habra HS / Fullerton College
17,Noah Avinger,CB,SO,6-1,190,"Cerritos, CA",Servite High
74,Drew Azzopardi,OL,FR,6-5,315,"Pacifica, CA",Junipero Serra High
2,Keshawn Banks,DL,SR,6-4,255,"Rio Rancho, NM",Rio Rancho High
3,Cedarious Barfield,S,SR,5-11,195,"El Paso, TX",El Dorado High
6,CJ Baskerville,S,SO,6-2,210,"North Richland Hills, TX",Richland High
21,Chance Bell,RB,SR,5-10,200,"Burbank, CA",John Burroughs High
60,Cade Bennett,OL,SO,6-3,315,"Scottsdale, AZ",Notre Dame Prep / Oklahoma State
35,Martin Blake,RB,FR,5-6,205,"Las Vegas, NV",Canyon Springs High
12,Dallas Branch,CB,SR,5-11,180,"Redondo Beach, CA",Salesian High / Long Beach City College
53,Barrett Brennan,LB,FR,6-3,225,"Carlsbad, CA",Carlsbad High
52,Daelin Brooks,LB,FR,6-4,205,"Annapolis, MD",Broadneck High
48,Adonis Brown,CB,SR,6-0,185,"Westlake, CA",Chaminade College Prep / Texas Tech
22,Jaiden Brown,CB,FR,6-0,185,"San Diego, CA",Helix High
13,Jack Browning,K,SR,5-11,190,"Lakeside, CA",West Hills HS / Grossmont College
37,DJ Bryant,S,FR,6-0,185,"Oakland, CA",San Leandro High
5,Braxton Burmeister,QB,SR,6-1,205,"La Jolla, CA",La Jolla Country Day / Virginia Tech
34,Eric Butler,S,FR,6-1,180,"Corona, CA",Centennial High
15,Jordan Byrd,RB,SR,5-9,170,"Albuquerque, NM",Manzano High
31,Sam Camposeco,RB,FR,5-9,195,"San Diego, CA",Francis Parker High
20,Sheldon Canley II,RB,FR,5-10,165,"Lompoc, CA",Lompoc High
31,Davaughn Celestine,S,JR,6-0,190,"Placentia, CA",El Dorado High
64,Tyson Chavez,LS,FR,6-2,235,"San Marcos, CA",Mission Hills High
23,Kenan Christon,RB,JR,5-10,185,"San Diego, CA",Madison High / USC
61,Brandon Crenshaw-Dickson,OL,JR,6-6,310,"Inglewood, CA",Narbonne High
9,Kyle Crum,QB,FR,6-3,205,"Norco, CA",Norco High
97,Darrion Dalton,DL,FR,6-3,265,"Apple Valley, MN",Saguaro High (Ariz.)
29,Cam Davis,RB,FR,5-8,175,"Dallas, TX",South Oak Cliff High
84,Darius De Los Reyes,WR,SO,5-9,175,"San Diego, CA",Lincoln High
41,David Delgado,K,JR,5-10,165,"San Diego, CA",Hilltop High
92,Jaylin Dickerson,DL,JR,6-6,240,"Indianapolis, IN",Marion High / Southwestern College
75,Ryan Dirksen,OL,SO,6-6,295,"Portland, OR",Central Catholic High / Butte College
45,Wyatt Draeger,DL,JR,6-4,265,"Reno, NV",Reno High
27,D'Andre Edwards,WR,FR,6-5,205,"Nanuet, NY",Nanuet Senior High
29,Arnold Escano,CB,SO,5-10,175,"San Diego, CA",Olympian High / Southwestern College
17,Marshall Eucker,QB,SO,6-5,225,"Encinitas, CA",La Costa Canyon High
58,Pa'a Ewaliko,DL,FR,6-4,250,"Seattle, WA",Ballard High
51,Zyrus Fiaseu,LB,FR,6-0,230,"Las Vegas, NV",Liberty High
39,Garret Fountain,DL,JR,6-4,250,"Turlock, CA",Turlock High
26,Nick Gardinera,RB,FR,5-10,200,"San Diego, CA",Scripps Ranch High
22,Max Garrison,S,FR,5-10,185,"Pasadena, CA",St. Francis High
