No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
44,John Adams,WR,FR,6-2,185,"Deptford, NJ",Deptford
75,Peace Addo,OL,JR,6-6,325,"Silver Spring, MD",St. Frances Academy / Duke
33,Ikenna Akosa,OLB,-,6-3,200,"Somerset, NJ",Rutgers Prep
15,Amad Anderson Jr.,WR,JR,5-11,165,"Staten Island, NY",Curtis / Purdue
44,Joseph Appiah Darkwa,DL,JR,6-5,295,"North Rhine-Westphalia, Germany",Don Bosco Gymnasium / Penn State
80,Zae Baines,WR,FR,6-3,175,"Roanoke, VA",North Cross School
10,Jose Barbon,WR,SR,6-0,185,"Lancaster, PA",Conestoga Valley
38,Ali Barkley,RB,FR,6-1,225,"Whitehall, PA",Whitehall
47,Rory Bell,K,SO,5-9,185,"Wilmington, OH",Wilmington
43,Liam Besecker,TE,FR,6-3,250,"Lancaster, PA",Lancaster Catholic
33,Trey Blair,RB,FR,5-11,210,"Havertown, PA",Haverford Senior
81,Evan Boozer,TE,SR,6-4,250,"Hunt Valley, MD",Loyola Blakefield
92,Noah Botsford,P,FR,6-3,205,"Ft. Lauderdale, FL",St. Thomas Aquinas
19,Nazir Burnett,WR,SO,6-0,165,"Harrisburg, PA",Bishop McDevitt / Georgia Tech
48,JaySun Carroll,WR,FR,6-2,185,"Powhatan, VA",Powhatan
20,Elijah Clark,CB,JR,6-3,195,"Sayreville, NJ",Sayreville
95,Reese Clark,TE,FR,6-4,220,"Philadelphia, PA",St. Joseph's Prep
93,Dyshier Clary,DL,SO,6-2,270,"East Camden, NJ",Woodrow Wilson
22,Iverson Clement,CB,JR,5-11,192,"Mount Holly, NJ",Rancocas Valley / Florida
53,Zymir Cobbs,DL,JR,6-2,240,"Philadelphia, PA",Imhotep Charter / Penn State
86,Jaden Coffen,WR,FR,6-2,210,"Bowie, MD",St. Albans
35,Elias Collins,WR,FR,5-9,170,"Swedesboro, NJ",Kingsway Regional
89,Malik Cooper,WR,FR,5-9,180,"Philadelphia, PA",St. Joseph's Prep
32,Corey Cuascut-Palmer,SAF,FR,6-0,175,"Camden, NJ",Camden
35,DeJuan Dandridge,SAF,SR,6-1,195,"Darby Township, PA",St. Joseph's Prep / Robert Morris
73,Sam Davis,OL,FR,6-3,290,"Geneva, OH",Geneva
45,Marcus Day,TE,FR,6-4,250,"Altoona, PA",Altoona
87,James Della Pesca,TE,SO,6-3,250,"River Vale, NJ",Pascack Valley
27,Elijah Deravil,SAF,SO,6-1,200,"Miami, FL",North Miami / Garden City CC
36,Jordan Diaz,WR,FR,5-9,160,"Voorhees, NJ",The Peddie School
71,Jermaine Donaldson,OL,SO,6-4,305,"Voorhees, NJ",Eastern Regional
