No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
34,Emmanuel Abdallah,RB,FR,5-8,185,"China Spring, TX",China Spring HS
2,Kevin Anderson,S,JR,6-0,195,"Lewisville, TX",Lewisville HS
66,Russell Baker,OL,SR,6-4,315,"Owasso, OK",Owasso HS / Northeastern Oklahoma A&M College
1,Javen Banks,WR,SR,6-1,175,"Wichita Falls, TX",Hirschi HS
18,Marcell Barbee,WR,SR,6-1,195,"Pueblo, CO",Pueblo South HS / Iowa Western CC
33,Ben Bell,OLB,SO,6-2,225,"Cedar Park, TX",Cedar Park / LA Tech
54,Levi Bell,DL,JR,6-1,275,"Cedar Park, TX",Cedar Park / LA Tech
20,Josh Berry,RB,SO,5-11,195,"Haines City, FL",Ridge Community / Blinn College
13,Charles Brown,WR,FR,5-11,170,"Grand Prairie, TX",Arlington / Montana State
57,TJ Chirebvu,OLB,-,6-2,225,"Leander, TX",Tom Glenn
76,Kylar Cooks,OL,JR,6-4,305,"Texarkana, TX",Liberty Eylau HS
73,Dalton Cooper,OL,SO,6-6,320,"Prague, OK",Prague HS
49,Will Cornelson,OLB,FR,6-0,210,"Cedar Park, TX",Vista Ridge
72,Alex Costilla,OL,JR,6-4,310,"San Marcos, TX",San Marcos HS / Tyler JC
98,Gjemar Daniels,DL,SR,5-11,305,"Kennedale, TX",Kennedale HS
4,"Alonzo Edwards, Jr.",CB,SO,5-11,190,"Madison, MS",Germantown / Mississippi Gulf Coast
32,John Emmanuel,ILB,FR,6-0,225,"Dallas, TX",Bishop Dunne
30,Josh Emmanuel,ILB,SO,6-1,225,"Dallas, TX",Bishop Dunne HS
4,Ty Evans,QB,SO,6-3,210,"Colorado Springs, CO",Palmer Ridge HS / North Carolina State
95,Nico Ezidore,DL,SR,6-1,280,"Garland, TX",Naaman Forest HS
34,Graham Faloona,ILB,FR,6-2,215,"Southlake, TX",Southlake Carroll / Utah
56,Nic Fulwider,OL,JR,6-6,280,"Tyrone, GA",Sandy Creek HS / Arkansas
15,Damarius Good,RB,SO,5-11,195,"Orlando, FL",Lake Brantley / UCF
5,Demarcus Gregory,WR,JR,6-2,205,"Duncan, SC",Byrnes / USF
89,Austin Groeschel,TE,FR,6-3,240,"Midland, TX",Greenwood HS
0,Rontavius Groves,WR,SR,6-0,185,"Nashville, TN",Pearl-Cohn HS / North Carolina
53,Ethan Hamby,DL,FR,6-2,245,"Boerne, TX",Boerne HS
25,Ronnie Hamrick II,S,FR,5-10,185,"Lilburn, GA",Parkview HS / UCF
46,Durham Harris,LS,SO,5-9,195,"Corpus Christi, TX",Flour Bluff HS
27,London Harris,ILB,SR,6-1,230,"Rosharon, TX",Manvel HS
3,Layne Hatcher,QB,JR,6-0,210,"Little Rock, AR",Pulaski Academy / Arkansas State
2,Ashtyn Hawkins,WR,SO,5-10,170,"DeSoto, TX",DeSoto HS / Cisco College
9,DeMarrquese Hayes,OLB,SO,5-11,215,"Waco, TX",La Vega HS / Kansas State
14,Kenny Haynes,ILB,SO,6-1,215,"Edna, TX",Edna HS
68,David Hensley,OL,FR,6-4,305,"North Richland Hills, TX",Birdville
60,Kyle Hergel,OL,JR,6-2,305,"Toronto, Canada",Clarkson Football North HS / North Dakota
11,Calvin Hill,RB,SO,5-8,185,"Baytown, TX",Ross Sterling HS
83,Micah Hilts,TE,JR,6-5,255,"Colorado Springs, CO",Vista Ridge HS
15,Rodrick Hockley,CB,JR,6-0,170,"Galveston, TX",Ball HS / Navarro CC
37,Brian Holloway,ILB,JR,6-0,225,"League City, TX",Clear Lake / SMU
26,Jared Hopper,S,SO,5-10,175,"Dallas, TX",Calabasas HS
78,Ian Hover,OL,SO,6-2,320,"Atlanta, GA",Westlake / Campbell
41,Tyler Huff,TE,SR,6-2,250,"Rancho Santa Margarita, CA",Tesoro HS / Saddleback College
31,Bernock Iya,CB,FR,6-2,180,"Azle, TX",Azle
9,Drue Jackson,WR,JR,6-0,195,"Garland, TX",Sachse / Tyler JC
35,Jonathan James,CB,FR,5-9,180,"Missouri City, TX",Ridge Point
