No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
34,Waylon Adams,TE,FR,6-3,243,"Jenks, OK",Jenks
78,Daniel Ademisoye,OL,FR,6-4,280,"Canoga Park, CA",Sierra Canyon
75,Chris Akporoghene,OL,SO,6-3,310,"Warri, Nigeria",IMG Academy / Tennessee
22,Scottie Alexander,WR,FR,6-2,198,"Collierville, TN",Collierville HS
53,William Alexander,LB,FR,6-2,215,"Magnolia, TX",Magnolia
53,Samari Allen,DL,FR,5-9,290,"Pensacola, FL",Escambia
93,Bryce Alonso,DL,SR,6-3,258,"Tulsa, OK",Bishop Kelley HS / NE Oklahoma A&M / NE Oklahoma A&M
44,Joseph Anderson,DL,SR,6-0,281,"Anadarko, OK",Anadarko
24,Steven Anderson,RB,SR,6-2,269,"Live Oak, FL",Suwannee HS / Southern Miss / Southern Miss
16,Izuchukwu King Ani,DL,SO,6-4,265,"Hendersonville, TN",Davidson Academy (Tenn.) / Mississippi State / Mississippi State
76,Chester Baah,OL,JR,6-3,308,"Tulsa, OK",Edison HS
18,Kamdyn Benjamin,WR,JR,5-9,172,"Midlothian, TX",Cedar Hill
52,Duvan Boshoff,DL,FR,6-4,235,"Tulsa, OK",Regent Prep
1,Braylon Braxton,QB,FR,6-3,222,"Frisco, TX",Independence
77,Bryce Bray,OL,JR,6-4,305,"Bixby, OK",Bixby HS / Oklahoma State
7,Davis Brin,QB,SR,6-2,208,"Boerne, TX",Champion
62,Preston Brown,OL,FR,6-2,290,"Mary Esther, FL",Fort Walton Beach
27,Connor Bryan,PK,FR,5-9,178,"Spring, TX",Klein
38,Seth Bullock,LB,FR,6-2,205,"Dubuque, IA",Dubuque Senior
68,Jake Burrow,OL,FR,6-0,290,"Anthem, AZ",Notre Dame Prep
12,Donte Burton,DB,SR,6-0,185,"Loganville, GA",Loganville / WIsconsin / Wisconsin
13,NuNu Campbell,CB,FR,6-0,180,"Tulsa, OK",Holland Hall
2,Jehlen Cannady,S,SO,6-0,180,"Macon, GA",Westside / Georgia / Georgia
48,Kyser Cannon,RB,FR,5-5,169,"Cedar Hill, TX",Cedar Hill
50,Gabe Cantu,OL,SO,6-4,298,"Catoosa, OK",Tulsa Union
4,Tyree Carlisle,CB,JR,6-1,180,"LaGrange, GA",Troup County HS / Independence CC / Independence CC
15,Carl Chester,WR,SO,6-4,195,"Manor, TX",Manor / Trinity Valley CC / Trinity Valley CC
33,Sam Clayton,LB,JR,6-1,209,"Prosper, TX",Legacy Christian
16,Carson Collins,QB,JR,6-1,210,"Lucas, TX",Lovejoy
62,Connor Combs,OL,FR,6-1,293,"Chesterfield, MO",Parkway West
35,Connor Cook,DS,FR,6-2,195,"Dothan, AL",Dothan
28,Corbin Daniels,WR,SR,6-1,182,"Tulsa, OK",Holland Hall / NE Oklahoma A&M
0,Tyon Davis,CB,SR,6-0,180,"Putnam City, OK",Putnam City West / Northeastern Oklahoma A&M / Northeastern Oklahoma A&M
35,Cookie Desiderio,RB,FR,6-1,215,"Somerville, NJ",Somerville / IMG Academy
3,Reggie Ellis,CB,JR,6-0,193,"Houston, TX",Aldine Davis HS
3,Isaiah Epps,WR,SR,6-2,190,"Jenks, OK",Jenks / Kentucky / Kentucky
