No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
27,Austin Ajiake,ILB,SR,6-2,220,"Fremont, CA",Bellarmine Prep
40,Daego Albert,DB,SR,6-0,190,"Berkeley, CA",El Cerrito / NAU/Northern Colorado
75,Anton Ambuehl,OL,FR,6-6,290,"Santa Monica, CA",Calabasas HS
5,Harrison Bailey,QB,SO,6-5,225,"Marietta, GA",Marietta HS / Tennessee
3,Johnathan Baldwin,DB,SO,6-0,190,"Houston, TX",Franke Dobie HS
19,Kaleo Ballungay,TE,SO,6-6,260,"Tracy, CA",Kimball HS
24,Kai Banks,-,FR,5-10,175,"Loganville, GA",Grayson HS
44,Kyle Beaudry,ILB,SR,6-1,240,"Las Vegas, NV",Liberty HS
99,LeShaun Bell,OLB,SO,6-3,235,"Thousand Oaks, CA",Calabasas HS
77,Anthony Berry,OL,JR,6-6,290,"Urbandale, IA",Urbandale HS / Iowa Central CC
18,Kamren Blanton,DB,FR,5-11,170,"Long Beach, CA",St. John Bosco HS
64,Will Bonkavich,OL,SR,6-3,285,"Henderson, NV",Green Valley HS / Ventura College
89,Malik Bradford,WR,FR,6-2,220,"Long Beach, CA",Milikan HS
21,Spencer Briggs,RB,SO,5-11,200,"Gallatin, TN",Gallatin HS
2,Doug Brumfield,QB,SO,6-5,225,"Inglewood, CA",Serra HS
57,Cobe Bryant,OL,SR,6-5,315,"Auburn Hills, MI",Rochester HS / Riverside CC/Arizona Western/SMU
46,Charlton Butt,P,SO,6-3,220,"Victoria, Australia",Bacchus Marsh Grammar
28,Fisher Camac,OLB,FR,6-7,240,"Gilbert, AZ",Highland HS
14,Keith Conley Jr.,OLB,JR,6-3,260,"Los Angeles, CA",Cathedral HS / Cerritos College
35,Anthony Costanzo,DB,FR,6-3,200,"Miami, FL",Palmer Ridge HS
56,Levi Currier,OL,SO,6-5,285,"Covina, CA",Bishop Amat HS / Citrus College
97,Nick Dimitris,DL,FR,6-4,285,"Watts, CA",Sierra Vista HS
29,Donyai Dixon,DB,SR,6-3,195,"Baltimore, MD",Reginald Lewis HS / Ventura College
50,Jalen Dixon,DL,SO,6-0,265,"Seattle, WA",O'Dea HS
26,Ose Egbase,LB,SO,6-4,240,"Encino, CA",Crespi HS
16,Eliel Ehimare,DL,SR,6-2,290,"Katy, TX",Cinco Ranch HS / Cabrillo College
13,Jordan Eubanks,OLB,FR,6-2,225,"Denton, TX",Guyer HS / Florida State
6,Naki Fahina,DL,SR,6-0,280,"Hawthorne, CA",Lawndale HS
79,Leif Fautanu,OL,JR,6-2,305,"Honolulu, HI",University Laboratory School
30,Austin Fiaseu,ILB,JR,6-0,220,"Las Vegas, NV",Liberty HS
7,Cameron Friel,QB,SO,6-3,230,"Kahalu'u, HI",Kailuah HS
15,Matthew Geeting,QB,FR,6-5,215,"Chino, CA",Chino Hills HS
52,Rex Goossen,LS,SR,6-2,210,"Scottsdale, AZ",Scottsdale CC / Arizona
18,Shaun Grayson,TE,SO,6-3,235,"La Mirada, CA",La Mirada HS
24,Sammy Green,RB,FR,5-8,180,"Huntington Beach, CA",Huntington Beach HS
14,Zyell Griffin,WR,JR,6-2,195,"Vancouver, WA",Evergreen HS
32,Daniel Gutierrez,P,SR,5-11,220,"Los Angeles, CA",Granada Hills Charter HS
59,Walker Hardan,LS,JR,6-1,235,"Bothell, WA",Bothell HS
21,BJ Harris,DB,JR,5-10,165,"Compton, CA",Bellflower HS / Cerritos College
49,David Heckard Jr.,OLB,JR,6-5,255,"Las Vegas, NV",Faith Lutheran HS / East LA College
14,Jared Heywood,QB,JR,6-0,190,"Inglewood, CA",Inglewood HS / Rhode Island
5,Phillip Hill,DB,SR,6-0,190,"Spring, TX",Klein Collins HS
20,Trenton Holloway,DB,SR,6-0,190,"Clovis, CA",Clovis North HS / City College of San Francisco
33,Devynn Holly,DB,JR,5-11,185,"Boulder, CO",Fairview HS
17,Jordan Jakes,WR,JR,6-6,215,"Stockbridge, GA",St. Frances Academy (Md.) / Indiana
8,Darius Johnson,DL,SR,6-3,295,"Spokane, WA",Gonzaga Prep HS/Garden City CC
0,Ricky Johnson,DB,JR,6-1,175,"Houston, TX",Cy Falls HS
61,Graham Keating III,OL,FR,6-5,300,"Murfreesboro, TN",Oakland HS
47,Ryan Keeler,DL,FR,6-6,275,"Chicago, IL",Nazareth Academy / Rutgers
94,Ben Key,DL,SR,6-3,315,"Cranbourne West, Australia",Cathedral HS / East LA College/Missouri
78,Jeminai Leuta-Ulu,OL,SO,6-3,330,"Anaheim, CA",Servite HS
80,Brye Lighon,TE,FR,6-2,230,"Murrieta, CA",Linfield Christian School
72,Brandon Logan,OL,JR,6-6,290,"Lakewood, CA",Artesia HS / Cerritos College
43,La'akea Louis,ILB,FR,6-1,215,"Honolulu, HI",Liberty HS
95,L'Cier Luter,DL,FR,6-3,315,"Detroit, MI",Cass Tech HS / Northern Colorado
36,Chad Magyar,RB,SR,6-2,215,"Rancho Santa Margarita, CA",Santa Margarita HS
4,Jayden Maiava,QB,FR,6-4,220,"Las Vegas, NV",Liberty HS
73,Alani Makihele,OL,SO,6-3,350,"Anchorage, AK",West HS
