No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
33,Max Alford,ILB,FR,6-1,230,"Park City, UT",Park City HS
69,Falepule Alo,OL,JR,6-2,285,"Gonzales, LA",West (UT) HS
38,Johnny Alo,ILB,FR,5-10,210,"Rose Park, UT",West HS
34,Saco Alofipo,S,FR,5-9,165,"Henderson, NV",Liberty HS
70,Teague Andersen,OL,FR,6-5,280,"Lehi, UT",Lehi HS
22,Michael Anyanwu,CB,SR,5-9,165,"Covina, CA",Charter Oak HS
24,Ty Barnett,CB,FR,5-11,165,"North Ogden, UT",Weber HS/Weber State
1,Logan Bonner,QB,SR,6-1,230,"Rowlett, TX",Rowlett HS/Arkansas State
60,Wyatt Bowles,OL,SR,6-5,290,"West Point, UT",Syracuse HS
55,Aaron Bredsguard,OL,JR,6-2,260,"Bountiful, UT",Viewmont HS
41,McKay Breshears,ILB,FR,6-0,215,"Declo, ID",Declo HS
22,Robert Briggs,RB,FR,5-6,175,"Bellville, TX",Bellville HS
85,Parker Buchanan,TE,FR,6-5,240,"Brigham City, UT",Box Elder HS
12,Ajani Carter,CB,SR,6-0,195,"Houston, TX",North Shore HS
8,Brian Cobbs,WR,SR,6-2,210,"Alexandria, VA",Hayfield HS/Maryland
94,Tavian Coleman,DT,SO,6-1,280,"Humble, TX",Humble HS/Trinity Valley CC
59,Connor Coles,PK,SR,6-0,220,"Bozeman, MT",Bozeman HS
24,Bailee Davenport,RB,SO,6-0,200,"Spring, TX",Spring HS/Kilgore JC
7,Bishop Davenport,QB,FR,6-2,180,"Spring, TX",Spring HS
21,Josh Davis,WR,FR,6-1,185,"Carlsbad, CA",Carlsbad HS
6,NyNy Davis,WR,FR,5-8,155,"Attalla, AL",Etowah HS
74,Chandler Dolphin,OL,SR,6-3,310,"Sandy, UT",Alta HS
18,Jordan Drew,CB,FR,6-0,150,"Tulsa, OK",Booker T. Washington HS
72,Alfred Edwards,OL,SR,6-7,325,"Redlands, CA",Redlands Senior HS
41,Avery Ellis,ILB,FR,6-1,230,"Royal City, WA",Royal HS
32,Paul Fitzgerald,DE,FR,6-3,230,"Idaho Falls, ID",Thunder Ridge HS
28,Lofa Fonoti-Maikui,OLB,FR,6-1,190,"Layton, UT",Northridge HS
49,Jacob Garcia,LS,SO,6-0,250,"Anaheim, CA",Servite HS
13,Shawn Gates,CB,FR,6-0,180,"Akron, OH",East HS
2,John Gentry,RB,JR,5-10,195,"Houston, TX",North Shore HS
97,Rock Gonzalez,DL,JR,6-2,250,"Chula Vista, CA",Olympian HS/Grossmont JC
21,Andre Grayson,CB,SR,5-8,160,"Rancho Cucamonga, CA",Etiwanda HS
9,Daniel Grzesiak,DE,JR,6-1,245,"Los Angeles, CA",Crenshaw HS/Nevada
64,Griffin Hadlock,OL,FR,6-1,255,"American Fork, UT",American Fork HS
13,Quinton Hadnot,WR,SO,6-0,185,"San Marcos, CA",Mission Hills HS
6,Gurvan Hall Jr.,S,SR,6-0,175,"West Palm Beach, FL",Palm Beach Gardens HS/Miami
56,Johnson Hansen,DT,FR,6-3,295,"Salt Lake City, UT",East HS
70,Addison Harris,OL,FR,6-1,255,"Holladay, UT",Olympus HS
37,Keith Harris,S,JR,5-11,190,"Lawndale, CA",Leuzinger HS
68,Jonah Hayes,OL,FR,6-3,310,"Vancouver, WA",Evergreen HS
62,Sam Hogan,PK,JR,5-11,180,"Hudson Falls, NY",Glens Falls HS/Cornell
68,Kingsley Holiday,OL,SO,6-2,295,"Draper, UT",Corner Canyon HS/Snow College
64,Nikita Iuferov,OL,SO,6-6,295,"Petrozavodsk, Russia",Attestat O Srednow/San Mateo JC
28,Franky Jacobsen,WR,SO,5-11,160,"North Salt Lake City, UT",Woods Cross HS
