No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
37,Faysal Aden,RB,SO,5-8,208,"Salt Lake City, UT",West HS
56,Ka'eo Akana,DE,FR,6-2,206,"Honolulu, HI",Roosevelt HS
-,James Allemann,TE,FR,6-5,210,"Dana Point, CA",Dana Hills HS
36,Stone Azarcon,S,SR,6-0,197,"Denver, CO",Juan Diego HS (Utah)
16,Bryson Barnes,QB,SO,6-1,206,"Milford, UT",Milford HS
20,Lander Barton,LB,FR,6-4,230,"Cottonwood Heights, UT",Brighton HS
89,Noah Bennee,WR,FR,6-4,208,"Holladay, UT",Olympus HS
2,Micah Bernard,RB,SO,6-0,202,"Long Beach, CA",Gahr HS
-,Brandon Bethel,WR,FR,6-1,170,"Mountain Home, ID",Mountain Home HS
51,Keaton Bills,OL,SO,6-4,314,"Draper, UT",Corner Canyon HS
8,Cole Bishop,S,SO,6-2,206,"Peachtree City, GA",Starr's Mill HS
18,Luke Bottari,QB,JR,5-10,205,"San Mateo, CA",College of San Mateo
34,Jack Bouwmeester,P,JR,6-2,194,"Bendigo, Australia",Michigan State
4,JaTravis Broughton,CB,JR,5-11,191,"Tulsa, OK",Union HS
19,Luca Caldarella,WR,SO,6-3,194,"Cerritos, CA",Cerritos College
0,Ethan Calvert,LB,FR,6-1,215,"Westlake Village, CA",Oaks Christian HS
14,Josh Calvert,LB,SO,6-2,225,"Westlake Village, CA",Washington
65,Logan Castor,SN,FR,6-4,223,"Cottonwood Heights, UT",Brighton HS
40,Joey Cheek,K,FR,5-10,200,"San Diego, CA",Cathedral Catholic HS
98,Cody Christensen,OL,FR,6-2,253,"Draper, UT",Corner Canyon HS
-,Spencer Clegg,LB,FR,5-11,175,"American Fork, UT",American Fork HS
11,Makai Cope,WR,FR,6-3,195,"Culver City, CA",Culver City HS
24,Chris Curry,RB,JR,5-11,220,"Fort Myers, FL",LSU
71,Braeden Daniels,OL,JR,6-4,297,"Carrollton, TX",Hebron HS
9,Elijah Davis,CB,FR,6-0,160,"Winter Haven, FL",Auburndale Senior HS
66,Hunter Deuel,OL,FR,6-4,307,"American Fork, UT",American Fork HS
3,Mohamoud Diabate,LB,SR,6-4,222,"Auburn, AL",Florida
25,Jaylen Dixon,WR,SR,5-9,170,"Frisco, TX",Lone Star HS
83,Collin Edwards,WR,FR,6-0,165,"Cottonwood Heights, UT",Brighton HS
83,Jonah Elliss,DE,SO,6-2,241,"Moscow, ID",Moscow Senior HS
21,Solomon Enis,WR,SR,6-3,206,"Phoenix, AZ",North Canyon HS
46,Hayden Erickson,TE,FR,6-2,249,"Lehi, UT",Lehi HS
61,Kolinu'u Faaiu,OL,FR,6-3,319,"Edmonds, WA",North Creek HS
7,Van Fillinger,DE,SO,6-4,256,"Draper, UT",Corner Canyon HS
94,Tevita Fotu,DT,FR,6-5,275,"Herriman, UT",Herriman HS
54,Hayden Furey,LB,JR,6-2,228,"Saratoga Springs, UT",Westlake HS
15,Tiquan Gilmore,WR,JR,5-11,180,"Los Angeles, CA",College of the Canyons
1,Jaylon Glover,RB,FR,5-7,207,"Lakeland, FL",Lake Gibson HS
57,JT Greep,SN,SO,6-0,225,"Glendora, CA",Glendora HS
-,Kaimana Hanohano,WR,FR,6-2,195,"Mesa, AZ",Highland HS
72,Ridge Harrell,OL,FR,6-4,303,"Denver, CO",Skyridge HS
79,Alex Harrison,OL,SO,6-4,315,"Bountiful, UT",Viewmont HS
30,Nick Howe,CB,FR,5-10,176,"North Salt Lake, UT",Woods Cross HS
11,R.J. Hubert,S,SR,6-0,198,"Logandale, NV",Moapa Valley HS
12,Clayton Isbell,S,JR,6-2,210,"St. Charles, IL",Illinois State
3,Ja'Quinden Jackson,RB,FR,6-2,227,"Dallas, TX",Texas
