No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
4,Jeremiah Aaron,WR,SO,5-10,186,"Natchitoches, LA",Pearland / Navarro CC
4,Rashad Ajayi,CB,SR,5-11,182,"Atlanta, GA",Langston Hughes / Colorado State
12,Taijh Alston,DL,SR,6-4,255,"Lumberton, NC",Union Pines / Copiah-Lincoln CC
28,Jaylen Anderson,RB,FR,5-11,214,"Perry, OH",Perry
18,Tirek Austin-Cave,LB,SO,6-1,228,"Pennsauken, NJ",Camden / Miami
10,Jared Bartlett,BAN,SO,6-2,235,"Miami, FL",Collins Hill (Ga.)
65,Donavan Beaver,OL,SO,6-6,315,"Fredericksburg, VA",Massaponax
98,Leighton Bechdel,K,SO,5-11,211,"Towson, MD",Towson
56,Derek Berlitz,DL,FR,6-3,250,"Catawissa, PA",Southern Columbia
63,Bryce Biggs,OL,FR,6-4,298,"Ashland, KY",Spring Valley
29,Mumu Bin-Wahad,DB,FR,5-10,179,"Atlanta, GA",Grayson
36,Caden Biser,LB,FR,6-0,226,"Morgantown, WV",Morgantown
11,Cortez Braham,WR,JR,6-2,198,"Baltimore, MD",Westwood (S.C.) / Hutchinson CC
38,Donald Brandel,LB,FR,6-2,220,"Morgantown, WV",University
43,Austin Brinkman,LS,SO,6-4,232,"Bel Air, MD",The John Carroll School
2,Aubrey Burks,S,SO,5-11,201,"Oakridge, FL",Auburndale
35,Aric Burton,DL,FR,6-5,202,"Heufeld, Germany",Clearwater International Academy (Fla.)
44,Lanell Carr,BAN,SO,6-1,245,"St. Louis, MO",De Smet Jesuit
14,Matt Cavallaro,QB,SR,5-11,210,"Matamoras, PA",Delaware Valley / Lackawanna CC
37,Owen Chafin,RB,JR,5-8,202,"Huntington, WV",Spring Valley
84,Hudson Clement,WR,FR,6-1,190,"Martinsburg, WV",Martinsburg
83,C.J. Cole,WR,FR,6-4,210,"Washington, PA",McGuffey
16,Caleb Coleman,DB,FR,6-2,195,"Phenix City, AL",Smith's Station / Hutchinson CC
32,Raleigh Collins III,S,FR,6-3,196,"Newark, DE",Neumann Goretti
62,Tyler Connolly,OL,SO,6-5,340,"Marysville, OH",Marysville
7,Jasir Cox,SPR,SR,6-1,204,"Kansas City, MO",Bishop Miege / North Dakota State
12,Jackson Crist,QB,FR,6-2,204,"Canfield, OH",Canfield
7,Will Crowder,QB,FR,6-2,220,"Gardendale, AL",Gardendale
18,JT Daniels,QB,JR,6-2,226,"Irvine, CA",Mater Dei / USC/Georgia
81,Treylan Davis,TE,FR,6-3,246,"Jackson, OH",Jackson
47,Anthony Del Negro,DL,JR,6-0,259,"Bohemia, NY",Connetquot / Stony Brook
5,Lance Dixon,LB,SO,6-2,220,"Oak Park, MI",West Bloomfield / Penn State
86,Will Dixon,TE,FR,6-5,230,"Hillsborough, NJ",Hillsborough
12,CJ Donaldson Jr.,RB,FR,6-2,240,"Miami, FL",Gulliver Prep
97,Brayden Dudley,DL,FR,6-2,248,"Buford, GA",Mill Creek
20,Tyler Evans,WR,FR,5-11,185,"Youngstown, OH",Fitch
80,Michael Evans Jr.,WR,FR,6-0,185,"Delmont, PA",Franklin Regional / Robert Morris
33,Jairo Faverus,LB,FR,6-0,216,"Amsterdam, Netherlands",Bristol Academy of Sports
49,Taran Fitzpatrick,WR,FR,6-3,180,"Charleston, WV",George Washington
24,Marcis Floyd,S,JR,6-0,194,"Louisville, KY",Du Pont Manual / Murray State
0,Bryce Ford-Wheaton,WR,JR,6-3,224,"Fuquay-Varina, NC",Holly Springs
29,Preston Fox,WR,FR,5-10,184,"Morgantown, WV",Morgantown
54,Zach Frazier,OL,SO,6-3,306,"Fairmont, WV",Fairmont Senior
74,James Gmiter,OL,JR,6-3,310,"Bethel Park, PA",Bethel Park
85,Theo Grabill,TE,FR,6-2,235,"Tonganoxie, KS",Myers Park (NC)
6,Garrett Greene,QB,SO,5-11,200,"Tallahassee, FL",Chiles
37,Parker Grothaus,K,SR,6-2,216,"Indian Lake, OH",Indian Lake / Florida State
71,Maurice Hamilton,OL,FR,6-3,320,"Cleveland, OH",Cleveland Heights
-,Ethan Hiester,LB,FR,5-11,200,"Pittsburgh, PA",Upper St. Clair
-,Harry Hilvert,DL,FR,6-2,255,"Cleves, OH",Taylor
66,Ja'Quay Hubbard,OL,SO,6-5,318,"Hermitage, PA",Sharpsville / Virginia
13,Sam James,WR,JR,6-0,176,"Richmond Hill, GA",Richmond Hill
95,Jordan Jefferson,DL,JR,6-3,310,"Navarre, FL",Navarre
26,Justin Johnson Jr.,RB,SO,5-11,198,"St. Louis, MO",Edwardsville
76,Charlie Katarincic,OL,FR,6-5,275,"Pittsburgh, PA",Choate Rosemary School (Connecticut)
-,Scott Kean,QB,FR,6-2,200,"Fort Lauderdale, FL",St. Thomas Aquinas
39,Danny King,K,FR,5-10,175,"Cumberland, MD",Fort Hill
-,RJ Kocan,K,FR,6-0,215,"West Islip, NY",St. John The Baptist
8,Lee Kpogba,LB,JR,6-1,230,"Winston-Salem, NC",Parkland / Syracuse / East Mississippi CC
19,Trey Lathan,LB,FR,6-1,218,"Goulds, FL",Gulliver Prep
41,Jarrett Lawrence,DB,FR,5-11,195,"Morgantown, WV",Morgantown
99,Zeiqui Lawton,DL,FR,6-1,274,"Charleston, WV",South Charleston / Cincinnati
48,Casey Legg,K,JR,6-4,216,"Charleston, WV",Cross Lanes Christian
67,Landen Livingston,OL,FR,6-4,290,"Leo, IN",Leo
93,Mike Lockhart,DL,SO,6-4,317,"Birmingham, AL",Huffman / Georgia Tech
6,Exree Loe,LB,SR,6-0,214,"Johnstown, PA",Greater Johnstown Area
89,Nick Maher,WR,FR,6-1,200,"Pittsburgh, PA",North Catholic
19,Graeson Malashevich,WR,SO,5-9,186,"Ceredo, WV",Spring Valley
27,Davis Mallinger,S,FR,6-1,194,"Melbourne, FL",Cocoa
