Name,Hometown,High School
Ben Davis,"Gordo, Ala.",Gordo
Keilan Robinson,"Washington, D.C.",St. John's
Patrick Surtain II,"Plantation, Fla.",American Heritage
Daniel Wright,"Fort Lauderdale, Fla.",Boyd Anderson
Christopher Allen,"Baton Rouge, La.",Southern Lab School
Jerry Jeudy,"Deerfield Beach, Fla.",Deerfield Beach
Shyheim Carter,"Kentwood, La.",Kentwood
Taulia Tagovailoa,"Ewa Beach, Hawai'i",Thompson
DeVonta Smith,"Amite, La.",Amite
Braxton Barker,"Birmingham, Ala.",Spain Park
Trevon Diggs,"Gaithersburg, Md.",Avalon School
Christian Harris,"Baton Rouge, La.",University Lab
John Metchie III,"Brampton, Canada",St. James School (Md.)
Jordan Battle,"Fort Lauderdale, Fla.",St. Thomas Aquinas
Xavier Williams,"Hollywood, Fla.",Chaminade-Madonna Prep
Mac Jones,"Jacksonville, Fla.",The Bolles School
Scooby Carter,"Mansfield, Texas",Mansfield Legacy
Henry Ruggs III,"Montgomery, Ala.",Lee
Skyler DeLong,"Fort Mill, S.C.",Nation Ford
Chadarius Townsend,"Tanner, Ala.",Tanner
Tua Tagovailoa,"Ewa Beach, Hawai'i",St. Louis
Tyrell Shavers,"Lewisville, Texas",Lewisville
Brandon Turnage,"Oxford, Miss.",Lafayette
Xavier McKinney,"Roswell, Ga.",Roswell
Paul Tyson,"Trussville, Ala.",Hewitt-Trussville
Jayden George,"Indianapolis, Ind.",Warren Central
Will Reichard,"Hoover, Ala.",Hoover
Jaylen Waddle,"Houston, Texas",Episcopal
Slade Bolden,"West Monroe, La.",West Monroe
Jahleel Billingsley,"Chicago, Ill.",Phillips Academy
Stone Hollenbach,"Catawissa, Pa.",Southern Columbia
Cooper Bishop,"Vestavia Hills, Ala.",Vestavia Hills
DJ Douglas,"Montgomery, Ala.",Thompson
Ale Kaho,"Reno, Nev.",Reno
Jared Mayden,"Sachse, Texas",Sachse
Jalyn Armour-Davis,"Mobile, Ala.",St. Paul’s
Najee Harris,"Antioch, Calif.",Antioch
Jarez Parks,"Fellsmere, Fla.",Sebastian River
Terrell Lewis,"Washington, D.C.",St. John's
Brian Robinson Jr.,"Tuscaloosa, Ala.",Hillcrest
Eddie Smith,"Slidell, La.",Salmen
Marcus Banks,"Houston, Texas",Dekaney
Trey Sanders,"Port Saint Joe, Fla.",IMG Academy
Jerome Ford,"Seffner, Fla.",Armwood
Joshua Robinson,"Hoover, Ala.",Hoover
Josh Jobe,"Miami, Fla.",Cheshire Academy (Conn.)
DeMarcco Hellams,"Washington, D.C.",DeMatha Catholic
King Mwikuta,"West Point, Ga.",Troup County
Michael Collins,"Montgomery, Ala.",Montgomery Catholic
A.J. Gates,"Mountain Brook, Ala.",Mountain Brook
Jalen Jackson,"Waldorf, Md.",Thomas Stone/Troy
Dylan Moses,"Alexandria, La.",IMG Academy
Anfernee Jennings,"Dadeville, Ala.",Dadeville
Shane Lee,"Burtonsville, Md.",St. Frances Academy
De'Marquise Lockridge,"Columbia, Tenn.",Lawrence County
Markail Benton,"Phenix City, Ala.",Central
Mac Hereford,"Birmingham, Ala.",Woodberry Forest
Sean Kelly,"Cary, N.C.",Green Hope
Eric Poellnitz,"Mobile, Ala.",Mobile Christian
Loren Ugheoke,"Huntsville, Ala.",Randolph
Giles Amos,"Perry, Ga.",Westfield
Joshua McMillon,"Memphis, Tenn.",Whitehaven
Carson Ware,"Muscle Shoals, Ala.",Muscle Shoals
Jaylen Moody,"Conway, S.C.",Conway
Sam Reed,"Mountain Brook, Ala.",Mountain Brook
Daniel Powell,"Aliceville, Ala.",Pickens Academy
Kevin Harris II,"Loganville, Ga.",Grayson
Thomas Fletcher,"Georgetown, Texas",IMG Academy
Melvin Billingsley,"Opelika, Ala.",Opelika
